<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ULTY.US,60,20240411,160000,39.3373,39.3373,38.68,38.8988,13186.462897793752,0
ULTY.US,60,20240411,170000,38.789,38.8112,38.4824,38.4824,18810.947003206,0
ULTY.US,60,20240411,180000,38.4607,38.7202,38.4607,38.7202,25121.722208289,0
ULTY.US,60,20240411,190000,38.8677,38.8988,38.724,38.8328,9504.0365850664,0
ULTY.US,60,20240411,200000,38.8988,39.1618,38.8333,39.096,15588.938057213,0
ULTY.US,60,20240411,210000,39.096,39.2279,39.0308,39.0633,15818.462274722,0
ULTY.US,60,20240411,220000,39.0522,39.271,38.8875,39.271,9123.9298789323,0
ULTY.US,60,20240412,160000,39.3591,39.3591,38.3953,38.5267,27595.381816875786,0
ULTY.US,60,20240412,170000,38.5701,38.5701,38.0224,38.1099,22421.732556194,0
ULTY.US,60,20240412,180000,38.0774,38.3703,38.0774,38.2084,13254.453172961,0
ULTY.US,60,20240412,190000,38.2199,38.2607,37.9128,38.0224,21487.208505579,0
ULTY.US,60,20240412,200000,38.0007,38.0007,37.58,37.7592,20745.703826746,0
ULTY.US,60,20240412,210000,37.6938,37.7812,37.2609,37.4305,24043.460327623,0
ULTY.US,60,20240412,220000,37.4088,37.6279,37.2773,37.5624,9740.8617717213,0
ULTY.US,60,20240415,160000,37.9565,37.9565,37.3433,37.4088,46330.12495462641,0
ULTY.US,60,20240415,170000,37.4222,37.4524,36.8171,36.8176,36000.166234983,0
ULTY.US,60,20240415,180000,36.8387,37.1238,36.795,37.1238,12979.754208864,0
ULTY.US,60,20240415,190000,37.102,37.1673,36.7517,36.8371,8875.240617416,0
ULTY.US,60,20240415,200000,36.7513,36.9006,36.3782,36.5101,17179.636709774,0
ULTY.US,60,20240415,210000,36.5316,36.5538,36.2032,36.2232,16049.355423946,0
ULTY.US,60,20240415,220000,36.3129,36.3129,36.0063,36.16,15765.530248418,0
ULTY.US,60,20240416,160000,36.4228,36.4228,35.6335,35.9841,92022.78404074232,0
ULTY.US,60,20240416,170000,35.8701,36.202,35.6918,35.8746,60638.199237387,0
ULTY.US,60,20240416,180000,35.8526,36.114,35.8313,35.9295,23479.460461138,0
ULTY.US,60,20240416,190000,35.8526,36.2882,35.8279,36.2257,19894.684610731,0
ULTY.US,60,20240416,200000,36.3132,36.488,36.0499,36.3132,26696.449990844,0
ULTY.US,60,20240416,210000,36.3349,36.6636,36.16,36.5316,31119.468361262,0
ULTY.US,60,20240416,220000,36.4887,36.5978,36.3782,36.5101,47834.580909157,0
ULTY.US,60,20240417,160000,36.6713,36.8735,36.3905,36.4799,42416.003206490015,0
ULTY.US,60,20240417,170000,36.4676,36.4676,35.7966,35.8324,42985.051322267,0
ULTY.US,60,20240417,180000,36.0003,36.2157,35.8288,36.0714,3256.0574137507,0
ULTY.US,60,20240417,190000,35.9746,36.0241,35.4972,35.689,21136.609653283,0
ULTY.US,60,20240417,200000,35.689,36.1324,35.689,36.0596,11276.588119683,0
ULTY.US,60,20240417,210000,36.2638,36.4799,36.0721,36.1684,7749.9927902877,0
ULTY.US,60,20240417,220000,36.0484,36.0721,35.9045,35.9286,6471.6176395114,0
ULTY.US,60,20240418,160000,36.1202,36.1202,35.1139,35.5214,23012.840197891026,0
ULTY.US,60,20240418,170000,35.3898,36.1684,35.3898,36.1684,8898.9439382095,0
ULTY.US,60,20240418,180000,36.1684,36.3336,36.0565,36.2157,8023.0356866325,0
ULTY.US,60,20240418,190000,36.1914,36.3357,35.9045,35.9332,6290.0065387316,0
ULTY.US,60,20240418,200000,35.9286,36.0721,35.4736,35.4736,12645.977569241,0
ULTY.US,60,20240418,210000,35.4489,35.4736,35.2098,35.2816,6796.0126402146,0
ULTY.US,60,20240418,220000,35.3293,35.4736,35.2095,35.2816,7504.0871848641,0
ULTY.US,60,20240419,160000,35.1139,35.3179,34.7308,35.3179,28479.543079754283,0
ULTY.US,60,20240419,170000,35.1982,35.2442,34.5629,34.8268,22886.33867252,0
ULTY.US,60,20240419,180000,34.8911,34.8984,34.6351,34.7308,16618.459463309,0
ULTY.US,60,20240419,190000,34.659,34.6818,34.1319,34.3231,43513.602250053,0
ULTY.US,60,20240419,200000,34.3231,34.5115,34.3115,34.4903,11016.487623623,0
ULTY.US,60,20240419,210000,34.3861,34.3861,33.7775,33.8927,19876.604360977,0
ULTY.US,60,20240419,220000,33.8808,34.1796,33.7967,34.0842,15555.930149551,0
ULTY.US,60,20240422,160000,34.2755,34.7148,34.1081,34.4431,44599.51138368148,0
ULTY.US,60,20240422,170000,34.4074,34.5629,34.0124,34.0124,10647.420467096,0
ULTY.US,60,20240422,180000,34.0854,34.1796,33.725,34.1796,22165.321727585,0
ULTY.US,60,20240422,190000,34.285,34.3714,34.228,34.3473,17163.292765648,0
ULTY.US,60,20240422,200000,34.3594,35.1509,34.3594,35.0659,17367.031195948,0
ULTY.US,60,20240422,210000,34.9501,35.2094,34.9501,35.0206,5122.6855323402,0
ULTY.US,60,20240422,220000,35.0017,35.0424,34.8268,34.9463,9172.8218281211,0
ULTY.US,60,20240423,160000,35.2816,35.8565,35.1857,35.8162,12628.025207554467,0
ULTY.US,60,20240423,170000,35.689,36.0184,35.689,35.9765,6046.188417225,0
