<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VIG.US,60,20240411,160000,178.1,178.1,177.3142,177.525,76508,0
VIG.US,60,20240411,170000,177.45,177.45,176.65,176.85,215385,0
VIG.US,60,20240411,180000,176.86,177.41,176.8,177.41,80338,0
VIG.US,60,20240411,190000,177.3997,177.48,177.17,177.36,53820,0
VIG.US,60,20240411,200000,177.35,178.1699,177.27,178.1101,59874,0
VIG.US,60,20240411,210000,178.1,178.56,178.1,178.33,93327,0
VIG.US,60,20240411,220000,178.39,178.49,177.85,177.85,132374,0
VIG.US,60,20240412,160000,176.68,177.07,176.62,176.829,79275,0
VIG.US,60,20240412,170000,176.82,176.83,176.055,176.148,91750,0
VIG.US,60,20240412,180000,176.14,176.46,176.14,176.3,59465,0
VIG.US,60,20240412,190000,176.29,176.315,175.48,175.51,54862,0
VIG.US,60,20240412,200000,175.4699,175.6651,175.09,175.49,71927,0
VIG.US,60,20240412,210000,175.495,175.8232,175.3184,175.33,83800,0
VIG.US,60,20240412,220000,175.3,175.64,175.1,175.6,131694,0
VIG.US,60,20240415,160000,177.32,177.5385,177.13,177.22,63943,0
VIG.US,60,20240415,170000,177.24,177.29,176.0717,176.11,180796,0
VIG.US,60,20240415,180000,176.07,176.55,175.98,176.47,84751,0
VIG.US,60,20240415,190000,176.46,176.57,175.74,175.875,71581,0
VIG.US,60,20240415,200000,175.7,175.97,174.5,174.84,75978,0
VIG.US,60,20240415,210000,174.83,174.83,174.22,174.48,108245,0
VIG.US,60,20240415,220000,174.4841,174.62,174.0386,174.38,145717,0
VIG.US,60,20240416,160000,174.91,174.965,174.18,174.47,72155,0
VIG.US,60,20240416,170000,174.3,174.53,173.8901,173.97,109160,0
VIG.US,60,20240416,180000,173.98,174.7399,173.979,174.43,77969,0
VIG.US,60,20240416,190000,174.435,174.632,174.221,174.38,41348,0
VIG.US,60,20240416,200000,174.4196,174.49,173.7,174.22,50153,0
VIG.US,60,20240416,210000,174.1701,174.9,173.7,174.74,73974,0
VIG.US,60,20240416,220000,174.75,174.79,173.95,173.98,94895,0
VIG.US,60,20240417,160000,174.85,174.905,174.6,174.82,58708,0
VIG.US,60,20240417,170000,174.7799,174.78,173.8261,174.0304,49269,0
VIG.US,60,20240417,180000,174.015,174.2855,173.45,173.72,78373,0
VIG.US,60,20240417,190000,173.67,173.6874,173.17,173.415,105788,0
VIG.US,60,20240417,200000,173.33,174.03,173.3218,174,60109,0
VIG.US,60,20240417,210000,174.005,174.5,173.73,173.8193,77353,0
VIG.US,60,20240417,220000,173.79,173.95,173.4,173.63,93030,0
VIG.US,60,20240418,160000,174.17,174.3184,173.76,174.285,1288983,0
VIG.US,60,20240418,170000,174.2815,174.8499,174.0297,174.72,66661,0
VIG.US,60,20240418,180000,174.72,174.8981,174.385,174.4737,41979,0
VIG.US,60,20240418,190000,174.5,174.58,173.77,173.8152,47191,0
VIG.US,60,20240418,200000,173.811,173.92,173.31,173.5681,53247,0
VIG.US,60,20240418,210000,173.53,173.78,173.2506,173.39,75700,0
VIG.US,60,20240418,220000,173.42,173.99,173.415,173.63,98654,0
VIG.US,60,20240419,160000,173.91,174.32,173.87,174.26,53881,0
VIG.US,60,20240419,170000,174.222,174.34,173.8621,174.0624,203864,0
VIG.US,60,20240419,180000,174.011,174.2199,173.92,174,48268,0
VIG.US,60,20240419,190000,173.96,174.2,173.5901,174.1,81563,0
VIG.US,60,20240419,200000,174.15,174.5587,174,174.32,36620,0
VIG.US,60,20240419,210000,174.2,174.21,173.61,173.85,70531,0
VIG.US,60,20240419,220000,173.8,174.2074,173.705,174.14,73153,0
VIG.US,60,20240422,160000,174.71,174.859,174.26,174.6218,58452,0
VIG.US,60,20240422,170000,174.65,174.89,174.6212,174.695,135128,0
VIG.US,60,20240422,180000,174.65,174.876,174.49,174.8488,40806,0
VIG.US,60,20240422,190000,174.95,175.23,174.8835,175.23,39018,0
VIG.US,60,20240422,200000,175.28,176.2699,175.21,176.1699,58791,0
VIG.US,60,20240422,210000,176.18,176.39,175.9136,176.03,104890,0
VIG.US,60,20240422,220000,176.03,176.0352,175.22,175.5,195563,0
VIG.US,60,20240423,160000,176.01,176.375,175.76,176.19,56109,0
VIG.US,60,20240423,170000,176.2584,176.74,176.1,176.72,39082,0
VIG.US,60,20240423,180000,176.738,176.738,176.3601,176.4294,44885,0
VIG.US,60,20240423,190000,176.46,176.8,176.38,176.71,47835,0
VIG.US,60,20240423,200000,176.7088,176.9151,176.54,176.85,31070,0
VIG.US,60,20240423,210000,176.88,176.89,176.61,176.6984,80585,0
VIG.US,60,20240423,220000,176.71,176.7195,176.442,176.59,69234,0
VIG.US,60,20240424,160000,176.52,176.72,176.195,176.55,70682,0
VIG.US,60,20240424,170000,176.56,176.78,176.15,176.2,45728,0
VIG.US,60,20240424,180000,176.21,176.375,176.0281,176.26,44575,0
VIG.US,60,20240424,190000,176.25,176.43,176.06,176.3699,45141,0
VIG.US,60,20240424,200000,176.31,177.0756,176.3,177.048,39106,0
VIG.US,60,20240424,210000,177.04,177.0472,176.5701,176.6312,84649,0
VIG.US,60,20240424,220000,176.63,177.09,176.54,176.91,71296,0
VIG.US,60,20240425,160000,176.14,176.34,175.45,175.51,62077,0
VIG.US,60,20240425,170000,175.5,175.57,175.25,175.265,45213,0
VIG.US,60,20240425,180000,175.26,175.85,175.23,175.85,50864,0
VIG.US,60,20240425,190000,175.81,176.312,175.75,176.29,30522,0
VIG.US,60,20240425,200000,176.285,176.8668,176.0855,176.8,42836,0
VIG.US,60,20240425,210000,176.8,176.8,176.1376,176.304,89726,0
