<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VO.US,60,20240411,160000,244.31,244.92,243.1201,243.3478,32495,0
VO.US,60,20240411,170000,243.21,243.21,242.1615,242.4067,38135,0
VO.US,60,20240411,180000,242.2995,243.18,242.275,243.18,31372,0
VO.US,60,20240411,190000,243.25,243.26,242.9239,243.0738,34454,0
VO.US,60,20240411,200000,243.2306,244.26,243.06,244.17,28488,0
VO.US,60,20240411,210000,244.19,244.755,244.18,244.38,38489,0
VO.US,60,20240411,220000,244.35,244.53,243.69,243.69,54997,0
VO.US,60,20240412,160000,242.34,242.845,242,242.21,106956,0
VO.US,60,20240412,170000,242.1,242.16,241.22,241.44,54377,0
VO.US,60,20240412,180000,241.46,241.75,241.35,241.4992,77529,0
VO.US,60,20240412,190000,241.5078,241.5263,240.31,240.4099,47116,0
VO.US,60,20240412,200000,240.2829,240.365,239.53,240.1168,44857,0
VO.US,60,20240412,210000,239.9501,240.5,239.54,239.6,51633,0
VO.US,60,20240412,220000,239.485,240.03,239.24,239.94,66359,0
VO.US,60,20240415,160000,242.27,242.7499,241.78,241.94,65024,0
VO.US,60,20240415,170000,242.01,242.01,239.74,239.74,1070552,0
VO.US,60,20240415,180000,239.71,240.58,239.57,240.49,61507,0
VO.US,60,20240415,190000,240.4,240.61,239.31,239.395,37407,0
VO.US,60,20240415,200000,239.355,239.44,237.36,238.07,73321,0
VO.US,60,20240415,210000,237.88,237.9799,236.865,237.2,43160,0
VO.US,60,20240415,220000,237.1637,237.38,236.44,237.15,77257,0
VO.US,60,20240416,160000,236.83,236.95,235.2601,235.77,40690,0
VO.US,60,20240416,170000,235.5708,236.11,235,235.375,57372,0
VO.US,60,20240416,180000,235.404,236.7999,235.365,236.37,47524,0
VO.US,60,20240416,190000,236.22,236.63,235.965,236.4885,47226,0
VO.US,60,20240416,200000,236.5498,236.6348,235.26,235.825,62624,0
VO.US,60,20240416,210000,235.95,237.085,235.27,236.81,104226,0
VO.US,60,20240416,220000,236.8647,236.9,235.81,235.99,66844,0
VO.US,60,20240417,160000,237.23,237.25,236.6025,237.205,56290,0
VO.US,60,20240417,170000,237.05,237.05,235.5486,235.82,186305,0
VO.US,60,20240417,180000,235.87,236.31,235.025,235.55,85092,0
VO.US,60,20240417,190000,235.51,235.51,234.65,234.825,59658,0
VO.US,60,20240417,200000,234.7543,236.199,234.7543,236.0601,45385,0
VO.US,60,20240417,210000,236.008,236.89,235.595,235.765,46387,0
VO.US,60,20240417,220000,235.7,235.8889,235.16,235.22,59750,0
VO.US,60,20240418,160000,236.09,236.27,235.1761,236.035,61828,0
VO.US,60,20240418,170000,236.055,237.18,235.62,237.02,78798,0
VO.US,60,20240418,180000,237.01,237.36,236.5657,236.829,71782,0
VO.US,60,20240418,190000,236.8026,236.9842,235.8742,235.925,37695,0
VO.US,60,20240418,200000,235.89,236.012,234.89,235.1389,24574,0
VO.US,60,20240418,210000,235.17,235.42,234.52,234.8148,87597,0
VO.US,60,20240418,220000,234.995,235.59,234.92,235.12,118946,0
VO.US,60,20240419,160000,235.34,236.43,235.203,236.36,45295,0
VO.US,60,20240419,170000,236.42,236.55,235.56,235.83,31252,0
VO.US,60,20240419,180000,235.76,236.0038,235.335,235.3508,62762,0
VO.US,60,20240419,190000,235.43,235.635,234.49,235.2852,38220,0
VO.US,60,20240419,200000,235.37,235.77,235.1316,235.4687,36085,0
VO.US,60,20240419,210000,235.29,235.29,234.18,234.585,35824,0
VO.US,60,20240419,220000,234.5,235.03,234.24,234.99,82258,0
VO.US,60,20240422,160000,235.94,236.095,234.605,235.76,31039,0
VO.US,60,20240422,170000,235.73,236.07,235.455,235.495,40242,0
VO.US,60,20240422,180000,235.47,235.58,235.11,235.58,43899,0
VO.US,60,20240422,190000,235.6,236.24,235.5967,236.24,54803,0
VO.US,60,20240422,200000,236.28,237.83,236.245,237.635,37648,0
VO.US,60,20240422,210000,237.6525,238.02,237.3,237.59,58475,0
VO.US,60,20240422,220000,237.58,237.59,236.59,236.89,134978,0
VO.US,60,20240423,160000,237.33,238.635,237.11,238.535,36095,0
VO.US,60,20240423,170000,238.5,239.48,238.43,239.3614,45119,0
VO.US,60,20240423,180000,239.3774,239.3774,238.79,238.885,40342,0
VO.US,60,20240423,190000,238.925,239.54,238.8255,239.375,19826,0
VO.US,60,20240423,200000,239.32,239.78,239.1863,239.7397,19061,0
VO.US,60,20240423,210000,239.7028,239.77,239.34,239.5478,32640,0
VO.US,60,20240423,220000,239.5462,239.5462,238.89,239.16,157156,0
VO.US,60,20240424,160000,239.43,240.4,238.78,239.83,42303,0
VO.US,60,20240424,170000,239.84,240.24,238.95,239.0044,78454,0
VO.US,60,20240424,180000,239.08,239.19,238.5601,238.64,34813,0
VO.US,60,20240424,190000,238.625,238.77,238.2478,238.725,48295,0
VO.US,60,20240424,200000,238.78,239.87,238.73,239.835,20986,0
VO.US,60,20240424,210000,239.84,239.84,239.1201,239.1381,37845,0
VO.US,60,20240424,220000,239.145,239.83,238.9513,239.49,42658,0
VO.US,60,20240425,160000,238.12,238.7,236.59,237.03,43669,0
VO.US,60,20240425,170000,236.71,237.68,236.4857,237.3262,21583,0
VO.US,60,20240425,180000,237.19,238.582,237.19,238.582,35045,0
VO.US,60,20240425,190000,238.5735,239.31,238.4551,239.2092,25943,0
VO.US,60,20240425,200000,239.16,240.025,238.85,239.9375,21932,0
VO.US,60,20240425,210000,239.93,239.9995,239.3737,239.6799,45607,0
VO.US,60,20240425,220000,239.77,240.39,239.63,239.82,50314,0
VO.US,60,20240426,160000,239.93,240.8,239.66,240.635,36399,0
VO.US,60,20240426,170000,240.72,241.16,240.56,240.735,44570,0
VO.US,60,20240426,180000,240.73,240.97,240.1954,240.63,26714,0
VO.US,60,20240426,190000,240.675,241.05,240.501,241.05,24730,0
VO.US,60,20240426,200000,241.01,241.24,240.97,241.1,27738,0
VO.US,60,20240426,210000,241.0362,241.22,240.85,241.2021,48748,0
VO.US,60,20240426,220000,241.2099,241.24,240.39,240.39,55382,0
VO.US,60,20240429,160000,241.28,242.1,241.26,241.35,17612,0
VO.US,60,20240429,170000,241.3738,242.12,241.3738,241.905,21895,0
VO.US,60,20240429,180000,241.84,241.946,241.655,241.915,38156,0
VO.US,60,20240429,190000,241.8413,242.205,241.8413,241.99,19388,0
VO.US,60,20240429,200000,241.98,242.17,241.97,242.01,20772,0
VO.US,60,20240429,210000,241.95,242.116,241.46,241.9264,31884,0
VO.US,60,20240429,220000,241.88,242.14,240.8874,242.11,66565,0
VO.US,60,20240430,160000,240.82,241.03,240.385,240.77,46075,0
VO.US,60,20240430,170000,240.91,241.09,240.39,240.76,142124,0
VO.US,60,20240430,180000,240.72,240.72,239.4701,239.741,30559,0
VO.US,60,20240430,190000,239.74,239.943,239.05,239.205,21186,0
VO.US,60,20240430,200000,239.14,239.55,238.9601,239.51,29071,0
VO.US,60,20240430,210000,239.4901,239.65,238.76,238.8652,37547,0
VO.US,60,20240430,220000,239,239.1088,238,238.08,48656,0
VO.US,60,20240501,160000,237.45,238.3,237.01,237.21,36877,0
VO.US,60,20240501,170000,237.35,237.52,236.73,237.315,24916,0
VO.US,60,20240501,180000,237.34,237.475,236.918,237.24,71858,0
VO.US,60,20240501,190000,237.18,237.69,237.11,237.305,26175,0
VO.US,60,20240501,200000,237.3384,237.835,237.09,237.595,34241,0
VO.US,60,20240501,210000,237.69,240.73,237.38,240.5108,77529,0
VO.US,60,20240501,220000,240.81,241.085,237.6,237.605,114944,0
VO.US,60,20240502,160000,239.35,239.67,237.65,237.8849,30110,0
VO.US,60,20240502,170000,237.75,238.49,236.81,238.49,31903,0
VO.US,60,20240502,180000,238.355,238.7525,238.0794,238.703,414697,0
VO.US,60,20240502,190000,238.6158,238.6952,238.14,238.605,25131,0
VO.US,60,20240502,200000,238.62,239.35,238.62,239.15,28806,0
VO.US,60,20240502,210000,239.21,240.055,239.1714,240,30006,0
VO.US,60,20240502,220000,239.99,240.2299,239.1495,239.64,60624,0
VO.US,60,20240507,160000,243.81,244.21,243.66,244.06,31174,0
VO.US,60,20240507,170000,244.06,244.549,243.93,244.5,28615,0
VO.US,60,20240507,180000,244.5673,244.6299,244.26,244.415,31218,0
VO.US,60,20240507,190000,244.36,244.47,244.115,244.2,29101,0
VO.US,60,20240507,200000,244.2,244.39,243.82,243.88,24293,0
VO.US,60,20240507,210000,243.8063,243.98,243.6684,243.86,31533,0
VO.US,60,20240507,220000,243.878,244.26,243.74,243.98,63442,0
VO.US,60,20240508,160000,243.06,243.435,242.85,243.29,28730,0
VO.US,60,20240508,170000,243.408,243.7389,243.12,243.7099,30518,0
VO.US,60,20240508,180000,243.695,243.78,243.32,243.5,33113,0
VO.US,60,20240508,190000,243.52,243.57,243.1008,243.4,16151,0
VO.US,60,20240508,200000,243.36,243.68,243.23,243.66,20339,0
VO.US,60,20240508,210000,243.66,243.765,243.455,243.4717,23631,0
VO.US,60,20240508,220000,243.355,243.81,243.355,243.59,37259,0
VO.US,60,20240509,160000,243.71,243.91,243.444,243.7,29324,0
VO.US,60,20240509,170000,243.7985,244.87,243.7172,244.76,70570,0
VO.US,60,20240509,180000,244.795,244.925,244.501,244.58,72336,0
VO.US,60,20240509,190000,244.63,244.9,244.5869,244.78,27518,0
VO.US,60,20240509,200000,244.7544,245,244.7,244.7622,42816,0
VO.US,60,20240509,210000,244.6739,245.1587,244.6515,245.15,23920,0
VO.US,60,20240509,220000,245.075,245.4385,244.9841,245.41,38766,0
VO.US,60,20240510,160000,246.37,246.54,246,246.54,26475,0
VO.US,60,20240510,170000,246.44,246.44,245.72,245.8301,29436,0
VO.US,60,20240510,180000,245.7946,245.865,245.54,245.82,28092,0
VO.US,60,20240510,190000,245.8304,245.88,245.61,245.82,18173,0
VO.US,60,20240510,200000,245.765,245.795,245.41,245.635,17044,0
VO.US,60,20240510,210000,245.6053,245.83,245.45,245.7827,22070,0
VO.US,60,20240510,220000,245.7168,246.015,245.7,245.74,79000,0
VO.US,60,20240513,160000,246.66,247.278,246.66,247.22,29506,0
VO.US,60,20240513,170000,247.0899,247.1541,246.37,246.4159,29427,0
VO.US,60,20240513,180000,246.445,246.51,245.85,245.99,96875,0
VO.US,60,20240513,190000,245.94,246,245.8318,245.85,37497,0
VO.US,60,20240513,200000,245.81,245.81,245.34,245.49,32532,0
VO.US,60,20240513,210000,245.505,245.56,245.33,245.45,47806,0
VO.US,60,20240513,220000,245.475,245.55,245.13,245.22,97389,0
VO.US,60,20240514,160000,246.02,246.6794,245.68,246.47,198375,0
VO.US,60,20240514,170000,246.53,246.8,245.85,246.18,36516,0
VO.US,60,20240514,180000,246.2335,246.2522,245.77,245.77,59000,0
VO.US,60,20240514,190000,245.7201,245.84,245.46,245.565,54691,0
VO.US,60,20240514,200000,245.5537,245.66,245.3,245.52,95977,0
VO.US,60,20240514,210000,245.51,246.2301,245.51,246.145,39623,0
VO.US,60,20240514,220000,246.1224,246.47,246.03,246.21,94223,0
VO.US,60,20240515,160000,248.02,248.4,247.74,247.765,74584,0
VO.US,60,20240515,170000,247.66,248.2026,247.62,248.0951,47103,0
VO.US,60,20240515,180000,248.0967,248.59,248.0001,248.37,69297,0
VO.US,60,20240515,190000,248.27,248.7397,248.185,248.66,30523,0
VO.US,60,20240515,200000,248.7499,248.819,248.466,248.6886,19936,0
VO.US,60,20240515,210000,248.61,248.83,248.5,248.663,45327,0
VO.US,60,20240515,220000,248.66,249.15,248.5926,248.98,52056,0
VO.US,60,20240516,160000,248.8,249.3508,248.6594,248.735,51789,0
VO.US,60,20240516,170000,248.819,249.2888,248.5854,249.2888,26905,0
VO.US,60,20240516,180000,249.221,249.375,249.0461,249.31,30178,0
VO.US,60,20240516,190000,249.28,249.28,248.974,249.1768,27737,0
VO.US,60,20240516,200000,249.17,249.18,248.57,248.877,47358,0
VO.US,60,20240516,210000,248.87,249.005,248.54,249,44202,0
