<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VUG.US,60,20240411,160000,342.18,342.63,341.5901,341.75,52342,0
VUG.US,60,20240411,170000,341.51,341.99,340.285,341.421,1046070,0
VUG.US,60,20240411,180000,341.54,343.14,341.522,343.128,47573,0
VUG.US,60,20240411,190000,343.18,343.35,342.862,343.1759,49128,0
VUG.US,60,20240411,200000,343.1,345.3459,342.87,345.2499,96684,0
VUG.US,60,20240411,210000,345.23,346.5,345.23,345.9332,102161,0
VUG.US,60,20240411,220000,345.8712,346.7338,345.8712,346.14,99019,0
VUG.US,60,20240412,160000,343.18,344.37,342.86,344.37,73060,0
VUG.US,60,20240412,170000,344.3,344.33,341.54,341.74,1707669,0
VUG.US,60,20240412,180000,341.75,343.515,341.75,343.022,53888,0
VUG.US,60,20240412,190000,342.972,343.03,340.7503,340.92,80369,0
VUG.US,60,20240412,200000,340.945,341.36,340.0468,340.75,67104,0
VUG.US,60,20240412,210000,340.715,341.38,340.22,340.225,106744,0
VUG.US,60,20240412,220000,340.248,341.41,339.99,341.33,169909,0
VUG.US,60,20240415,160000,343.75,343.75,342.16,343.4,254196,0
VUG.US,60,20240415,170000,343.45,343.81,340.76,340.76,85045,0
VUG.US,60,20240415,180000,340.81,341.66,340.54,341.5,103533,0
VUG.US,60,20240415,190000,341.48,341.77,339.1945,339.65,61946,0
VUG.US,60,20240415,200000,339.49,340.035,335.53,336.4274,98411,0
VUG.US,60,20240415,210000,336.43,336.57,335.25,335.69,81904,0
VUG.US,60,20240415,220000,335.61,335.698,334.5178,334.96,187021,0
VUG.US,60,20240416,160000,334.8,335.92,333.86,335.66,136542,0
VUG.US,60,20240416,170000,335.59,336.32,334.0912,334.4694,218644,0
VUG.US,60,20240416,180000,334.5,335.85,334.2253,335.35,85906,0
VUG.US,60,20240416,190000,335,335.5981,334.5,335.335,34353,0
VUG.US,60,20240416,200000,335.12,335.64,333.78,335.11,64938,0
VUG.US,60,20240416,210000,335.03,336.94,334.2265,336.3207,89207,0
VUG.US,60,20240416,220000,336.33,336.45,334.6,335.08,218081,0
VUG.US,60,20240417,160000,336.54,336.665,335.37,335.66,52911,0
VUG.US,60,20240417,170000,335.71,335.71,333.5,333.925,59912,0
VUG.US,60,20240417,180000,333.995,334.8301,332.64,333,69810,0
VUG.US,60,20240417,190000,332.8315,333.06,330.63,331.23,87192,0
VUG.US,60,20240417,200000,331.2001,333.1899,331.2001,333.175,53527,0
VUG.US,60,20240417,210000,333.001,334.24,332.3436,332.535,62171,0
VUG.US,60,20240417,220000,332.44,332.55,331.54,331.93,146499,0
VUG.US,60,20240418,160000,332,332.2,329.75,330.91,81726,0
VUG.US,60,20240418,170000,330.9,333.29,330.48,332.9074,101971,0
VUG.US,60,20240418,180000,333.01,333.65,332.7128,332.8337,92945,0
VUG.US,60,20240418,190000,332.99,333.15,331.16,331.1924,59385,0
VUG.US,60,20240418,200000,331.339,331.4989,329.715,330.0768,108875,0
VUG.US,60,20240418,210000,330.11,330.6601,329.3505,329.44,132695,0
VUG.US,60,20240418,220000,329.49,330.67,329.49,329.82,183955,0
VUG.US,60,20240419,160000,328.93,329.28,327.73,328.285,70427,0
VUG.US,60,20240419,170000,328.13,328.565,325.58,326.86,222659,0
VUG.US,60,20240419,180000,326.71,326.8516,324.98,324.9968,92420,0
VUG.US,60,20240419,190000,325.116,325.45,323.185,324.6123,91732,0
VUG.US,60,20240419,200000,324.62,325.705,324.19,324.7212,43306,0
VUG.US,60,20240419,210000,324.82,324.82,321.76,322.32,160087,0
VUG.US,60,20240419,220000,322.18,323.005,321.2923,322.46,234015,0
VUG.US,60,20240422,160000,324.78,325.53,324.2,324.66,87680,0
VUG.US,60,20240422,170000,324.66,325.26,322.2,322.515,133406,0
VUG.US,60,20240422,180000,322.5,323.825,321.915,323.825,141913,0
VUG.US,60,20240422,190000,323.9635,324.685,323.65,324.19,134628,0
VUG.US,60,20240422,200000,324.4416,327,324.25,326.72,65065,0
VUG.US,60,20240422,210000,326.6993,327.629,326.315,326.875,62234,0
VUG.US,60,20240422,220000,326.9078,326.92,325.32,325.61,229958,0
VUG.US,60,20240423,160000,327.73,329.025,327.2,328.614,124303,0
VUG.US,60,20240423,170000,328.54,330.61,328.363,330.55,121584,0
VUG.US,60,20240423,180000,330.6299,330.6299,329.5726,330.01,58784,0
VUG.US,60,20240423,190000,329.89,330.82,329.865,330.3857,64942,0
VUG.US,60,20240423,200000,330.38,331.235,330,331.16,37495,0
VUG.US,60,20240423,210000,331.2285,331.3722,330.87,331.145,68743,0
VUG.US,60,20240423,220000,331.21,331.29,330.644,331.15,93337,0
VUG.US,60,20240424,160000,333.62,334.025,332.4,332.61,50128,0
VUG.US,60,20240424,170000,332.815,333.455,331.68,331.9454,91903,0
