<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WEAT.US,60,20240411,160000,26.9,26.9,26.65,26.8675,15637.800000000001,0
WEAT.US,60,20240411,170000,26.875,26.9,26.65,26.672,8229.6,0
WEAT.US,60,20240411,180000,26.675,26.718,26.6,26.6,35893.6,0
WEAT.US,60,20240411,190000,26.625,26.65,26.5,26.505,35296.2,0
WEAT.US,60,20240411,200000,26.55,26.6,26.5,26.5435,7041.4,0
WEAT.US,60,20240411,210000,26.5485,26.6,26.5235,26.575,3842.8,0
WEAT.US,60,20240411,220000,26.5985,26.6,26.55,26.55,6951.8,0
WEAT.US,60,20240412,160000,26.6,26.8,26.6,26.7475,20966.600000000002,0
WEAT.US,60,20240412,170000,26.75,27,26.7495,26.9,33392.8,0
WEAT.US,60,20240412,180000,26.925,26.925,26.613,26.75,11052.4,0
WEAT.US,60,20240412,190000,26.751,26.8,26.6,26.6495,19463.8,0
WEAT.US,60,20240412,200000,26.65,26.725,26.6,26.685,8430.6,0
WEAT.US,60,20240412,210000,26.7,26.8,26.7,26.725,14625,0
WEAT.US,60,20240412,220000,26.7,26.775,26.7,26.75,18172.2,0
WEAT.US,60,20240415,160000,26.5,26.65,26.4,26.6495,20359.2,0
WEAT.US,60,20240415,170000,26.61,26.6495,26.275,26.4345,24583,0
WEAT.US,60,20240415,180000,26.4175,26.5495,26.4,26.525,12798,0
WEAT.US,60,20240415,190000,26.525,26.55,26.475,26.5245,3056.4,0
WEAT.US,60,20240415,200000,26.55,26.6445,26.524,26.6175,7127.8,0
WEAT.US,60,20240415,210000,26.6495,26.65,26.55,26.625,7677.4,0
WEAT.US,60,20240415,220000,26.637,26.65,26.55,26.55,17247.2,0
WEAT.US,60,20240416,160000,26.55,26.55,26.2505,26.3,11821.400000000001,0
WEAT.US,60,20240416,170000,26.375,26.4,26.2,26.375,16389.8,0
WEAT.US,60,20240416,180000,26.375,26.55,26.3,26.45,13945.8,0
WEAT.US,60,20240416,190000,26.4005,26.6,26.4005,26.55,3824.8,0
WEAT.US,60,20240416,200000,26.5,26.575,26.45,26.529,2423.8,0
WEAT.US,60,20240416,210000,26.5,26.5,26.45,26.4505,13970.800000000001,0
WEAT.US,60,20240416,220000,26.4925,26.5,26.45,26.5,5432.2,0
WEAT.US,60,20240417,160000,26.55,26.75,26.55,26.575,12296.400000000001,0
WEAT.US,60,20240417,170000,26.55,26.55,26.35,26.4275,9019.4,0
WEAT.US,60,20240417,180000,26.4,26.434,26.1515,26.1515,9398,0
WEAT.US,60,20240417,190000,26.15,26.2,25.95,26,33346.8,0
WEAT.US,60,20240417,200000,25.975,26.075,25.9,25.9985,40034.8,0
WEAT.US,60,20240417,210000,25.975,26.05,25.95,26.05,17560,0
WEAT.US,60,20240417,220000,26.0475,26.05,26,26.025,5227,0
WEAT.US,60,20240418,160000,25.95,26.25,25.95,26.2495,7562.400000000001,0
WEAT.US,60,20240418,170000,26.25,26.3,26.15,26.15,7873.4,0
WEAT.US,60,20240418,180000,26.1375,26.2,26,26.018,4720,0
WEAT.US,60,20240418,190000,26.0485,26.1435,26.025,26.061,8567.4,0
WEAT.US,60,20240418,200000,26.084,26.125,26.05,26.075,1493.8,0
WEAT.US,60,20240418,210000,26.075,26.1,26,26.0245,3293.8,0
WEAT.US,60,20240418,220000,26.05,26.05,26,26,4680.8,0
WEAT.US,60,20240419,160000,26.25,26.55,26.25,26.3395,16918.600000000002,0
WEAT.US,60,20240419,170000,26.35,26.4495,26.3195,26.35,9396,0
WEAT.US,60,20240419,180000,26.325,26.5,26.3205,26.4775,8007.8,0
WEAT.US,60,20240419,190000,26.4755,26.6,26.419,26.5885,14685.6,0
WEAT.US,60,20240419,200000,26.553,26.675,26.5005,26.6515,20921,0
WEAT.US,60,20240419,210000,26.675,26.7,26.65,26.655,15270.8,0
WEAT.US,60,20240419,220000,26.7,26.7,26.65,26.7,9212.8,0
WEAT.US,60,20240422,160000,27,27.5,27,27.5,73207,0
WEAT.US,60,20240422,170000,27.55,27.9,27.45,27.75,73363.2,0
WEAT.US,60,20240422,180000,27.745,27.8295,27.6,27.625,35155.2,0
WEAT.US,60,20240422,190000,27.65,27.7,27.55,27.65,30757.4,0
WEAT.US,60,20240422,200000,27.65,27.7495,27.55,27.577,27585.4,0
WEAT.US,60,20240422,210000,27.573,27.65,27.55,27.6495,13795.6,0
WEAT.US,60,20240422,220000,27.65,27.65,27.6,27.65,19654.8,0
WEAT.US,60,20240423,160000,27.75,27.75,27.4035,27.6,23521,0
WEAT.US,60,20240423,170000,27.575,27.725,27.55,27.6995,19675.4,0
