<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XBB.US,60,20240411,170000,39.7,39.7,39.69,39.69,2397,0
XBB.US,60,20240411,180000,39.69,39.69,39.69,39.69,500,0
XBB.US,60,20240411,220000,39.6378,39.6378,39.6378,39.6378,178,0
XBB.US,60,20240412,160000,39.65,39.65,39.65,39.65,300,0
XBB.US,60,20240412,170000,39.65,39.65,39.65,39.65,400,0
XBB.US,60,20240415,180000,39.48,39.48,39.48,39.48,234,0
XBB.US,60,20240415,190000,39.3801,39.3801,39.3801,39.3801,136,0
XBB.US,60,20240415,210000,39.55,39.55,39.44,39.44,461,0
XBB.US,60,20240417,220000,39.53,39.53,39.26,39.5,924,0
XBB.US,60,20240419,180000,39.34,39.34,39.321,39.321,1700,0
XBB.US,60,20240419,210000,39.341,39.341,39.341,39.341,100,0
XBB.US,60,20240422,160000,39.57,39.57,39.57,39.57,400,0
XBB.US,60,20240422,200000,39.515,39.62,39.515,39.62,300,0
XBB.US,60,20240422,210000,39.56,39.56,39.56,39.56,102,0
XBB.US,60,20240425,190000,39.52,39.52,39.4201,39.43,1500,0
XBB.US,60,20240430,220000,39.48,39.8,39.48,39.63,357,0
XBB.US,60,20240501,210000,39.62,39.62,39.62,39.62,116,0
XBB.US,60,20240502,160000,39.62,39.62,39.62,39.62,100,0
XBB.US,60,20240502,180000,39.62,39.62,39.62,39.62,14345,0
XBB.US,60,20240502,210000,39.7899,39.79,39.7382,39.7382,4210,0
XBB.US,60,20240502,220000,39.58,39.75,39.58,39.6697,995,0
XBB.US,60,20240507,160000,39.91,39.91,39.91,39.91,250,0
XBB.US,60,20240507,220000,39.8001,39.8001,39.8001,39.8001,121,0
XBB.US,60,20240508,180000,39.8102,39.8102,39.81,39.81,300,0
XBB.US,60,20240508,220000,39.8,39.8,39.8,39.8,100,0
XBB.US,60,20240509,190000,39.8755,39.8755,39.8755,39.8755,302,0
XBB.US,60,20240510,220000,39.82,39.92,39.82,39.92,364,0
XBB.US,60,20240513,200000,39.93,39.93,39.93,39.93,100,0
XBB.US,60,20240513,220000,39.73,39.92,39.73,39.92,300,0
XBB.US,60,20240514,160000,39.74,39.95,39.73,39.835,580,0
XBB.US,60,20240514,190000,39.86,39.86,39.86,39.86,301,0
XBB.US,60,20240514,200000,39.94,39.94,39.94,39.94,100,0
XBB.US,60,20240522,220000,39.9967,40.03,39.83,40.03,566,0
XBB.US,60,20240523,200000,39.8,39.8,39.8,39.8,423,0
XBB.US,60,20240524,180000,39.9867,40,39.9708,39.9708,11708,0
XBB.US,60,20240524,220000,40.04,40.04,40.04,40.04,100,0
XBB.US,60,20240529,190000,39.631,39.631,39.631,39.631,119,0
XBB.US,60,20240530,220000,39.8011,39.8011,39.72,39.72,219,0
XBB.US,60,20240531,210000,39.94,39.94,39.94,39.94,100,0
XBB.US,60,20240531,220000,39.9399,39.9399,39.9399,39.9399,300,0
XBB.US,60,20240603,180000,39.72,39.89,39.72,39.89,15700,0
XBB.US,60,20240603,200000,39.87,39.87,39.87,39.87,100,0
XBB.US,60,20240603,220000,39.88,39.95,39.88,39.92,3605,0
XBB.US,60,20240604,160000,39.96,39.96,39.96,39.96,100,0
XBB.US,60,20240604,180000,39.87,39.97,39.77,39.97,600,0
XBB.US,60,20240604,200000,39.94,39.94,39.94,39.94,100,0
XBB.US,60,20240604,210000,39.95,39.95,39.95,39.95,100,0
XBB.US,60,20240604,220000,39.94,39.94,39.85,39.94,526,0
XBB.US,60,20240605,170000,40,40,40,40,100,0
XBB.US,60,20240606,220000,39.92,39.92,39.92,39.92,106,0
XBB.US,60,20240607,180000,39.815,39.815,39.815,39.815,200,0
XBB.US,60,20240607,220000,39.81,39.94,39.81,39.94,207,0
XBB.US,60,20240611,160000,39.73,39.825,39.73,39.825,500,0
XBB.US,60,20240611,180000,39.825,39.825,39.825,39.825,100,0
XBB.US,60,20240611,190000,39.7219,39.7219,39.72,39.72,1237,0
XBB.US,60,20240611,200000,39.83,39.85,39.83,39.85,244,0
XBB.US,60,20240611,210000,39.82,39.96,39.82,39.8564,3131,0
XBB.US,60,20240611,220000,39.78,39.8,39.78,39.8,200,0
XBB.US,60,20240613,210000,40.06,40.06,40.06,40.06,144,0
XBB.US,60,20240614,220000,39.94,39.94,39.87,39.87,776,0
XBB.US,60,20240617,170000,39.77,39.77,39.77,39.77,200,0
XBB.US,60,20240617,180000,39.78,39.78,39.78,39.78,500,0
XBB.US,60,20240617,200000,40.01,40.01,39.85,39.85,522,0
XBB.US,60,20240617,210000,39.85,39.85,39.83,39.83,2001,0
XBB.US,60,20240617,220000,40.01,40.01,39.79,39.79,11688,0
XBB.US,60,20240618,180000,39.99,40,39.99,40,727,0
XBB.US,60,20240618,200000,39.95,39.95,39.95,39.95,500,0
XBB.US,60,20240618,210000,39.99,39.99,39.99,39.99,230,0
XBB.US,60,20240618,220000,39.965,39.9853,39.965,39.9853,382,0
