<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XLF.US,60,20240411,160000,40.87,40.87,40.605,40.65,3558448,0
XLF.US,60,20240411,170000,40.655,40.655,40.355,40.485,9443413,0
XLF.US,60,20240411,180000,40.485,40.69,40.47,40.665,5655028,0
XLF.US,60,20240411,190000,40.67,40.7,40.605,40.635,3501199,0
XLF.US,60,20240411,200000,40.6376,40.84,40.6,40.805,6550691,0
XLF.US,60,20240411,210000,40.805,40.93,40.76,40.81,6796612,0
XLF.US,60,20240411,220000,40.81,40.87,40.6,40.64,14247534,0
XLF.US,60,20240412,160000,40.33,40.4998,40.24,40.345,7335144,0
XLF.US,60,20240412,170000,40.35,40.365,40.12,40.185,12245443,0
XLF.US,60,20240412,180000,40.185,40.285,40.15,40.255,8399122,0
XLF.US,60,20240412,190000,40.255,40.26,40.03,40.0601,8310048,0
XLF.US,60,20240412,200000,40.0638,40.095,39.905,40.045,7571146,0
XLF.US,60,20240412,210000,40.045,40.13,39.985,40.0101,9202688,0
XLF.US,60,20240412,220000,40.01,40.09,39.935,40.0828,16662050,0
XLF.US,60,20240415,160000,40.58,40.74,40.53,40.6,6220128,0
XLF.US,60,20240415,170000,40.61,40.62,40.235,40.245,7573275,0
XLF.US,60,20240415,180000,40.25,40.36,40.185,40.345,5105006,0
XLF.US,60,20240415,190000,40.35,40.37,40.17,40.2,4867231,0
XLF.US,60,20240415,200000,40.2,40.23,39.83,39.955,9187272,0
XLF.US,60,20240415,210000,39.95,39.98,39.795,39.8887,9795656,0
XLF.US,60,20240415,220000,39.885,39.93,39.745,39.86,23618541,0
XLF.US,60,20240416,160000,39.89,39.98,39.61,39.675,4626526,0
XLF.US,60,20240416,170000,39.675,39.75,39.53,39.61,9121631,0
XLF.US,60,20240416,180000,39.62,39.795,39.56,39.7099,7950053,0
XLF.US,60,20240416,190000,39.7051,39.8,39.65,39.74,4734430,0
XLF.US,60,20240416,200000,39.74,39.8,39.57,39.685,9345906,0
XLF.US,60,20240416,210000,39.685,39.86,39.54,39.815,9813937,0
XLF.US,60,20240416,220000,39.815,39.85,39.59,39.61,16024399,0
XLF.US,60,20240417,160000,39.77,39.915,39.72,39.87,4332524,0
XLF.US,60,20240417,170000,39.87,39.88,39.65,39.71,4535361,0
XLF.US,60,20240417,180000,39.71,39.77,39.57,39.665,4769064,0
XLF.US,60,20240417,190000,39.66,39.66,39.5322,39.595,5587800,0
XLF.US,60,20240417,200000,39.6,39.791,39.585,39.79,4617189,0
XLF.US,60,20240417,210000,39.7869,39.945,39.74,39.76,4608871,0
XLF.US,60,20240417,220000,39.765,39.785,39.655,39.685,9998158,0
XLF.US,60,20240418,160000,39.87,39.99,39.775,39.975,2401534,0
XLF.US,60,20240418,170000,39.975,40.1459,39.86,40.115,7085181,0
XLF.US,60,20240418,180000,40.1101,40.18,40.055,40.0799,4807921,0
XLF.US,60,20240418,190000,40.08,40.11,39.9125,39.925,4538495,0
XLF.US,60,20240418,200000,39.925,39.955,39.735,39.825,5799245,0
XLF.US,60,20240418,210000,39.82,39.905,39.764,39.815,4873222,0
XLF.US,60,20240418,220000,39.81,39.95,39.81,39.86,16112277,0
XLF.US,60,20240419,160000,40.05,40.22,39.97,40.175,4757177,0
XLF.US,60,20240419,170000,40.18,40.28,40.13,40.225,6379593,0
