<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZSC.US,60,20250103,220000,22.5,22.5,22.5,22.5,100,0
ZSC.US,60,20250121,210000,23.13,23.13,23.13,23.13,200,0
ZSC.US,60,20250122,190000,23.08,23.09,23.08,23.09,400,0
ZSC.US,60,20250123,180000,23,23,23,23,100,0
ZSC.US,60,20250124,170000,23.07,23.5,23.07,23.5,3324,0
ZSC.US,60,20250124,220000,22.72,22.72,22.72,22.72,100,0
ZSC.US,60,20250128,170000,24,25,23.04,23.88,1700,0
ZSC.US,60,20250128,220000,22.5,22.5,22.5,22.5,100,0
ZSC.US,60,20250129,210000,22.6,22.61,22.42,22.58,2479,0
ZSC.US,60,20250207,160000,23,23,23,23,1000,0
ZSC.US,60,20250214,180000,23.35,23.359,23.35,23.359,3515,0
ZSC.US,60,20250214,190000,23.02,23.02,23.02,23.02,100,0
ZSC.US,60,20250218,220000,22.96,22.96,22.95,22.95,3577,0
ZSC.US,60,20250219,210000,22.3,22.96,22.3,22.95,400,0
ZSC.US,60,20250307,160000,22.725,22.725,22.725,22.725,175,0
ZSC.US,60,20250314,210000,23.44,23.49,23.11,23.11,500,0
ZSC.US,60,20250424,180000,22.85,22.85,22.85,22.85,220,0
ZSC.US,60,20250509,170000,22.56,22.5927,22.56,22.5927,200,0
ZSC.US,60,20250528,200000,23.289,23.289,23.2465,23.2465,1974,0
ZSC.US,60,20250603,180000,23.07,23.07,23.07,23.07,417,0
ZSC.US,60,20250618,220000,23.71,23.71,23.71,23.71,100,0
ZSC.US,60,20250627,200000,23.13,23.13,23.13,23.13,357,0
ZSC.US,60,20250701,180000,23.41,23.44,23.1995,23.1995,38968,0
ZSC.US,60,20250701,200000,23.44,23.49,23.28,23.4135,1767,0
ZSC.US,60,20250714,190000,23.62,23.62,23.62,23.62,100,0
ZSC.US,60,20250717,220000,23.59,23.6049,23.59,23.6049,200,0
ZSC.US,60,20250718,180000,23.85,23.85,23.85,23.85,100,0
ZSC.US,60,20250718,190000,23.86,23.86,23.86,23.86,100,0
ZSC.US,60,20250730,160000,24.31,24.31,24.12,24.12,221,0
ZSC.US,60,20250814,170000,24.08,24.08,24.08,24.08,136,0
ZSC.US,60,20250827,210000,24.34,24.56,24.16,24.56,1667,0
ZSC.US,60,20250903,160000,24.497,24.497,24.497,24.497,100,0
ZSC.US,60,20250903,180000,24.4252,24.4252,24.4252,24.4252,120,0
ZSC.US,60,20250924,220000,24.7001,24.8699,24.7,24.8699,600,0
ZSC.US,60,20250930,180000,25.6099,25.6099,25.6099,25.6099,193,0
ZSC.US,60,20251001,190000,25.24,25.6,25.24,25.6,20492,0
ZSC.US,60,20251010,170000,26.365,26.365,26.365,26.365,131,0
ZSC.US,60,20251010,190000,26.6,26.6,26.6,26.6,100,0
ZSC.US,60,20251014,170000,26,26.0001,26,26.0001,400,0
ZSC.US,60,20251020,210000,26.7,26.7,26.7,26.7,100,0
ZSC.US,60,20251023,220000,26.65,26.65,26.65,26.65,400,0
ZSC.US,60,20251027,180000,26.99,26.99,26.99,26.99,100,0
ZSC.US,60,20251027,210000,26.85,26.85,26.85,26.85,274,0
ZSC.US,60,20251028,190000,26.78,26.78,26.78,26.78,279,0
ZSC.US,60,20251104,180000,27.67,27.7,27.27,27.27,1100,0
ZSC.US,60,20251105,160000,27.43,27.43,27.43,27.43,400,0
ZSC.US,60,20251107,210000,27.53,27.53,27.53,27.53,100,0
ZSC.US,60,20251121,220000,26.86,26.86,26.7871,26.7871,326,0
ZSC.US,60,20251203,170000,27.1535,27.1535,27.1535,27.1535,370,0
ZSC.US,60,20251203,200000,27.369,27.369,27.369,27.369,100,0
ZSC.US,60,20251204,180000,26.94,27.1099,26.9001,26.9001,900,0
ZSC.US,60,20251211,210000,27.24,27.24,27.24,27.24,168,0
