<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACLO.US,60,20241122,170000,50.01,50.12,50.01,50.12,700,0
ACLO.US,60,20241125,220000,50.0699,50.0699,50.0699,50.0699,1000,0
ACLO.US,60,20241126,200000,50.12,50.16,50.12,50.16,600,0
ACLO.US,60,20241127,190000,50.11,50.11,50.1,50.1,6500,0
ACLO.US,60,20241127,210000,50.13,50.16,50.13,50.1501,6900,0
ACLO.US,60,20241129,160000,50.18,50.18,50.18,50.18,700,0
ACLO.US,60,20241203,210000,50.15,50.15,50.15,50.15,100,0
ACLO.US,60,20241203,220000,50.15,50.16,50.15,50.16,800,0
ACLO.US,60,20241204,160000,50.15,50.1501,50.15,50.1501,400,0
ACLO.US,60,20241206,210000,50.15,50.16,50.15,50.16,6678,0
ACLO.US,60,20241213,200000,50.2108,50.2108,50.2108,50.2108,149,0
ACLO.US,60,20241224,180000,50.0499,50.05,50.0499,50.05,998,0
ACLO.US,60,20250110,170000,50.0948,50.1901,50.0948,50.1901,948,0
ACLO.US,60,20250110,220000,50.195,50.195,50.195,50.195,600,0
ACLO.US,60,20250114,170000,50.2486,50.2486,50.2206,50.2206,238,0
ACLO.US,60,20250122,200000,50.32,50.32,50.32,50.32,200,0
ACLO.US,60,20250122,220000,50.32,50.36,50.32,50.36,600,0
ACLO.US,60,20250128,210000,50.39,50.39,50.39,50.39,1856,0
ACLO.US,60,20250203,180000,50.24,50.24,50.24,50.24,497,0
ACLO.US,60,20250203,200000,50.25,50.25,50.25,50.25,12462,0
ACLO.US,60,20250203,220000,50.25,50.25,50.25,50.25,5000,0
ACLO.US,60,20250206,180000,50.27,50.27,50.27,50.27,300,0
ACLO.US,60,20250206,190000,50.27,50.3,50.27,50.3,1099,0
ACLO.US,60,20250206,200000,50.29,50.29,50.29,50.29,800,0
ACLO.US,60,20250206,210000,50.3,50.3,50.3,50.3,1900,0
ACLO.US,60,20250206,220000,50.31,50.31,50.3,50.31,4500,0
ACLO.US,60,20250207,170000,50.32,50.32,50.31,50.31,700,0
ACLO.US,60,20250207,180000,50.32,50.33,50.32,50.32,900,0
ACLO.US,60,20250207,190000,50.33,50.33,50.33,50.33,300,0
ACLO.US,60,20250207,200000,50.33,50.34,50.33,50.33,500,0
ACLO.US,60,20250213,220000,50.31,50.31,50.31,50.31,100,0
ACLO.US,60,20250221,190000,50.32,50.32,50.32,50.32,300,0
ACLO.US,60,20250224,160000,50.31,50.31,50.31,50.31,200,0
ACLO.US,60,20250227,190000,50.4,50.4,50.4,50.4,14329,0
ACLO.US,60,20250227,220000,50.36,50.36,50.35,50.35,600,0
ACLO.US,60,20250228,170000,50.39,50.39,50.39,50.39,850,0
ACLO.US,60,20250303,200000,50.194,50.194,50.194,50.194,168,0
ACLO.US,60,20250307,180000,50.1792,50.1792,50.1792,50.1792,247,0
ACLO.US,60,20250307,220000,50.2,50.2,50.2,50.2,250,0
ACLO.US,60,20250310,190000,50.2,50.2,50.2,50.2,100,0
ACLO.US,60,20250310,200000,50.2,50.2,50.2,50.2,497,0
ACLO.US,60,20250311,190000,50.19,50.2,50.19,50.2,40993,0
ACLO.US,60,20250311,200000,50.18,50.18,50.18,50.18,700,0
ACLO.US,60,20250312,150000,50.195,50.195,50.195,50.195,548,0
ACLO.US,60,20250313,200000,50.18,50.18,50.18,50.18,700,0
ACLO.US,60,20250328,210000,50.17,50.24,50.12,50.24,16000,0
ACLO.US,60,20250331,160000,50.21,50.21,50.21,50.21,800,0
ACLO.US,60,20250331,170000,50.25,50.26,50.25,50.26,2500,0
ACLO.US,60,20250331,210000,50.28,50.28,50.28,50.28,1100,0
ACLO.US,60,20250331,220000,50.33,50.34,50.33,50.34,300,0
ACLO.US,60,20250402,210000,50.02,50.02,50.02,50.02,490,0
ACLO.US,60,20250404,170000,49.95,49.95,49.85,49.85,3200,0
ACLO.US,60,20250404,210000,49.75,49.75,49.65,49.7,2000,0
ACLO.US,60,20250407,220000,49.72,49.74,49.63,49.63,1882,0
ACLO.US,60,20250408,210000,49.7,49.7,49.7,49.7,400,0
ACLO.US,60,20250410,220000,49.65,49.65,49.65,49.65,400,0
ACLO.US,60,20250411,200000,49.69,49.7,49.69,49.7,9000,0
ACLO.US,60,20250411,220000,49.605,49.605,49.595,49.6,500,0
ACLO.US,60,20250414,180000,49.79,49.8,49.79,49.8,1200,0
ACLO.US,60,20250414,220000,49.83,49.835,49.83,49.83,400,0
ACLO.US,60,20250415,180000,49.81,49.82,49.81,49.8199,466,0
ACLO.US,60,20250415,220000,49.875,49.8799,49.875,49.8799,600,0
ACLO.US,60,20250416,170000,49.755,49.755,49.755,49.755,250,0
ACLO.US,60,20250422,180000,49.8014,49.8014,49.8014,49.8014,266,0
ACLO.US,60,20250423,190000,49.94,49.94,49.94,49.94,100,0
ACLO.US,60,20250424,170000,49.95,49.98,49.95,49.98,800,0
ACLO.US,60,20250424,180000,49.98,49.98,49.97,49.97,900,0
ACLO.US,60,20250424,190000,49.96,49.97,49.96,49.97,600,0
ACLO.US,60,20250424,210000,50.02,50.02,50.02,50.02,800,0
ACLO.US,60,20250424,220000,50.04,50.04,50.02,50.02,1800,0
ACLO.US,60,20250507,180000,50.05,50.05,50.01,50.01,397,0
ACLO.US,60,20250508,190000,50.05,50.06,50.05,50.06,627,0
ACLO.US,60,20250512,180000,50.1,50.1,50.1,50.1,6800,0
ACLO.US,60,20250513,220000,50.1,50.14,50.1,50.1399,2206,0
ACLO.US,60,20250515,190000,50.18,50.18,50.18,50.18,100,0
ACLO.US,60,20250516,170000,50.21,50.21,50.21,50.21,3247,0
ACLO.US,60,20250516,180000,50.23,50.23,50.23,50.23,300,0
ACLO.US,60,20250516,200000,50.25,50.25,50.24,50.2427,300,0
ACLO.US,60,20250519,180000,50.24,50.24,50.21,50.2102,1401,0
ACLO.US,60,20250520,190000,50.24,50.24,50.24,50.24,100,0
ACLO.US,60,20250522,180000,50.245,50.28,50.245,50.28,452,0
ACLO.US,60,20250523,200000,50.26,50.26,50.26,50.26,100,0
ACLO.US,60,20250529,170000,50.32,50.32,50.25,50.32,1375,0
ACLO.US,60,20250530,220000,50.35,50.4,50.35,50.4,332,0
ACLO.US,60,20250604,170000,50.2,50.2,50.1999,50.1999,278,0
ACLO.US,60,20250605,200000,50.17,50.17,50.17,50.17,281,0
ACLO.US,60,20250613,190000,50.285,50.285,50.285,50.285,500,0
ACLO.US,60,20250618,220000,50.3,50.34,50.29,50.29,1988,0
ACLO.US,60,20250620,190000,50.3,50.3,50.2999,50.2999,388,0
ACLO.US,60,20250620,200000,50.27,50.27,50.27,50.27,3000,0
ACLO.US,60,20250620,210000,50.27,50.27,50.27,50.27,2000,0
ACLO.US,60,20250620,220000,50.27,50.27,50.27,50.27,1500,0
ACLO.US,60,20250626,190000,50.32,50.32,50.32,50.32,359,0
ACLO.US,60,20250626,200000,50.32,50.32,50.32,50.32,1477,0
ACLO.US,60,20250703,170000,50.2262,50.2262,50.2262,50.2262,139,0
ACLO.US,60,20250709,220000,50.24,50.25,50.24,50.25,2628,0
ACLO.US,60,20250711,190000,50.27,50.27,50.27,50.27,2008,0
ACLO.US,60,20250714,210000,50.35,50.36,50.35,50.36,25391,0
ACLO.US,60,20250716,200000,50.28,50.29,50.25,50.2705,18465,0
ACLO.US,60,20250716,220000,50.3199,50.32,50.3199,50.3199,1986,0
ACLO.US,60,20250717,180000,50.34,50.34,50.3111,50.3111,597,0
ACLO.US,60,20250717,190000,50.34,50.35,50.34,50.35,3000,0
ACLO.US,60,20250717,210000,50.33,50.33,50.33,50.33,690,0
ACLO.US,60,20250717,220000,50.33,50.345,50.33,50.345,240,0
ACLO.US,60,20250718,160000,50.35,50.39,50.35,50.39,3200,0
ACLO.US,60,20250718,170000,50.36,50.39,50.355,50.39,5629,0
ACLO.US,60,20250718,180000,50.35,50.41,50.35,50.41,7600,0
ACLO.US,60,20250721,200000,50.3301,50.3301,50.33,50.33,283,0
ACLO.US,60,20250721,210000,50.365,50.365,50.365,50.365,150,0
ACLO.US,60,20250723,180000,50.4,50.4,50.3999,50.3999,400,0
ACLO.US,60,20250728,170000,50.42,50.42,50.42,50.42,100,0
ACLO.US,60,20250728,190000,50.42,50.42,50.42,50.42,100,0
ACLO.US,60,20250731,170000,50.43,50.43,50.43,50.43,100,0
ACLO.US,60,20250731,190000,50.465,50.465,50.465,50.465,2000,0
ACLO.US,60,20250805,170000,50.3203,50.3203,50.3203,50.3203,149,0
ACLO.US,60,20250814,190000,50.3298,50.345,50.3298,50.345,722,0
ACLO.US,60,20250818,180000,50.3727,50.3727,50.3727,50.3727,1100,0
ACLO.US,60,20250820,220000,50.37,50.37,50.37,50.37,992,0
