<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACP_A.US,60,20240411,160000,23.65,23.65,23.65,23.65,100,0
ACP_A.US,60,20240411,200000,23.9416,23.9416,23.9416,23.9416,241,0
ACP_A.US,60,20240411,210000,23.845,24.15,23.845,23.8892,4693,0
ACP_A.US,60,20240411,220000,23.9512,23.9512,23.9512,23.9512,435,0
ACP_A.US,60,20240412,160000,23.88,23.88,23.88,23.88,100,0
ACP_A.US,60,20240412,210000,23.9603,23.9603,23.9,23.94,428,0
ACP_A.US,60,20240415,170000,23.9396,23.9396,23.8162,23.8162,766,0
ACP_A.US,60,20240415,190000,23.7817,23.7817,23.7817,23.7817,1000,0
ACP_A.US,60,20240415,200000,23.6935,23.6935,23.6935,23.6935,1000,0
ACP_A.US,60,20240416,160000,23.65,23.65,23.65,23.65,512,0
ACP_A.US,60,20240416,170000,23.58,23.65,23.58,23.65,695,0
ACP_A.US,60,20240416,180000,23.73,23.73,23.73,23.73,376,0
ACP_A.US,60,20240416,220000,23.525,23.525,22.794,22.794,1150,0
ACP_A.US,60,20240418,200000,23.1671,23.8542,23.1671,23.8542,2309,0
ACP_A.US,60,20240418,220000,23.44,23.44,23.44,23.44,123,0
ACP_A.US,60,20240419,200000,23.9133,23.9133,23.9133,23.9133,944,0
ACP_A.US,60,20240422,180000,23.79,23.94,23.79,23.9397,700,0
ACP_A.US,60,20240423,160000,24.06,24.06,24.06,24.06,280,0
ACP_A.US,60,20240423,190000,23.92,24.27,23.92,24.27,1472,0
ACP_A.US,60,20240423,210000,23.77,23.77,23.77,23.77,790,0
ACP_A.US,60,20240424,170000,23.5569,23.5569,23.5569,23.5569,998,0
ACP_A.US,60,20240424,190000,23.7993,23.7993,23.7993,23.7993,162,0
ACP_A.US,60,20240425,170000,23.7438,23.7438,23.7438,23.7438,1901,0
ACP_A.US,60,20240425,190000,24.0575,24.0575,24.0575,24.0575,117,0
ACP_A.US,60,20240425,220000,23.335,24.05,23.335,24.04,1764,0
ACP_A.US,60,20240426,160000,24.16,24.16,24.16,24.16,100,0
ACP_A.US,60,20240426,170000,24.22,24.22,24.22,24.22,200,0
ACP_A.US,60,20240426,190000,24.0818,24.22,24.0818,24.22,200,0
ACP_A.US,60,20240426,200000,24.35,24.35,24.35,24.35,200,0
ACP_A.US,60,20240426,210000,24.35,24.35,24.35,24.35,300,0
ACP_A.US,60,20240429,160000,23.08,23.38,23.08,23.38,300,0
ACP_A.US,60,20240429,170000,23.87,23.87,23.87,23.87,100,0
ACP_A.US,60,20240429,190000,24.4399,24.4399,24.4399,24.4399,240,0
ACP_A.US,60,20240429,210000,24.3508,24.3508,24.3508,24.3508,435,0
ACP_A.US,60,20240429,220000,24.44,24.48,23.3605,23.3605,999,0
ACP_A.US,60,20240502,170000,24.46,25.65,24.46,25.65,3405,0
ACP_A.US,60,20240502,180000,25.1377,25.455,25.1377,25.41,925,0
ACP_A.US,60,20240502,190000,24.0873,24.0873,24.0873,24.0873,240,0
ACP_A.US,60,20240502,210000,24.25,24.25,24,24,4400,0
ACP_A.US,60,20240502,220000,24.32,24.59,24.28,24.55,3700,0
ACP_A.US,60,20240506,160000,25.35,25.35,24.0985,24.0985,1100,0
ACP_A.US,60,20240507,220000,24.75,24.75,24.75,24.75,387,0
ACP_A.US,60,20240508,200000,23.867,23.867,23.65,23.65,1988,0
ACP_A.US,60,20240508,210000,24.2,24.32,24.0718,24.0718,1412,0
ACP_A.US,60,20240508,220000,24.32,24.32,23.77,23.83,566,0
ACP_A.US,60,20240509,180000,24.6,25.65,24.6,25.15,4055,0
ACP_A.US,60,20240510,170000,25.0885,25.0885,25.0885,25.0885,182,0
ACP_A.US,60,20240513,220000,24.5336,25,24.5336,25,492,0
ACP_A.US,60,20240514,160000,24.85,24.85,24.85,24.85,100,0
ACP_A.US,60,20240514,180000,24.592,24.95,24.59,24.95,769,0
ACP_A.US,60,20240514,220000,24.36,24.36,24.36,24.36,100,0
ACP_A.US,60,20240515,170000,24.95,25,24.9,24.9,500,0
ACP_A.US,60,20240515,180000,24.51,24.51,24.51,24.51,200,0
ACP_A.US,60,20240515,190000,24.9,24.9,24.9,24.9,200,0
ACP_A.US,60,20240515,200000,24.89,24.89,24.89,24.89,200,0
