<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AKRE.US,60,20251027,160000,67.58,67.63,67.51,67.5105,7175,0
AKRE.US,60,20251027,170000,67.5,67.63,67.5,67.63,5674,0
AKRE.US,60,20251027,180000,67.62,67.68,67.57,67.65,17252,0
AKRE.US,60,20251027,190000,67.65,67.65,67.47,67.5732,25608,0
AKRE.US,60,20251027,200000,67.58,67.6303,67.52,67.6142,86797,0
AKRE.US,60,20251027,210000,67.6142,67.8135,67.6,67.7002,106614,0
AKRE.US,60,20251028,150000,67.25,67.9638,67.25,67.95,87367,0
AKRE.US,60,20251028,160000,67.94,68.18,67.87,68.0103,71277,0
AKRE.US,60,20251028,170000,67.94,67.97,67.76,67.7604,119416,0
AKRE.US,60,20251028,180000,67.76,67.83,67.71,67.8201,128742,0
AKRE.US,60,20251028,190000,67.81,67.82,67.54,67.58,57027,0
AKRE.US,60,20251028,200000,67.557,67.58,67.49,67.53,99837,0
AKRE.US,60,20251028,210000,67.53,67.53,67.32,67.32,284580,0
AKRE.US,60,20251029,150000,66.72,66.72,65.99,65.99,326013,0
AKRE.US,60,20251029,160000,66.0008,66.095,65.6503,65.7269,136476,0
AKRE.US,60,20251029,170000,65.68,65.69,65.35,65.53,167279,0
AKRE.US,60,20251029,180000,65.41,65.55,65.37,65.4852,99920,0
AKRE.US,60,20251029,190000,65.47,65.51,65.3201,65.4,146409,0
AKRE.US,60,20251029,200000,65.43,65.44,64.8201,64.94,188425,0
AKRE.US,60,20251029,210000,64.96,65.025,64.7,64.84,157607,0
AKRE.US,60,20251030,150000,64.875,65.39,64.64,65.31,168758,0
AKRE.US,60,20251030,160000,65.26,65.3901,65.195,65.355,36350,0
AKRE.US,60,20251030,170000,65.38,65.4192,65.13,65.1901,60915,0
AKRE.US,60,20251030,180000,65.2,65.25,65.09,65.13,106529,0
AKRE.US,60,20251030,190000,65.12,65.175,65.03,65.125,203871,0
AKRE.US,60,20251030,200000,65.1268,65.1268,65,65.0003,149357,0
AKRE.US,60,20251030,210000,64.9737,64.9737,64.67,64.71,178780,0
AKRE.US,60,20251031,150000,64.3475,64.5616,64.26,64.5589,63097,0
AKRE.US,60,20251031,160000,64.565,64.76,64.51,64.661,143866,0
AKRE.US,60,20251031,170000,64.6101,64.81,64.55,64.81,90961,0
AKRE.US,60,20251031,180000,64.75,64.8599,64.67,64.6701,110694,0
AKRE.US,60,20251031,190000,64.695,64.84,64.6,64.8068,42292,0
AKRE.US,60,20251031,200000,64.83,65.13,64.83,65.13,61819,0
AKRE.US,60,20251031,210000,65.15,65.27,65.1103,65.19,124227,0
AKRE.US,60,20251103,160000,65.1,65.1,64.55,64.5616,24663,0
AKRE.US,60,20251103,170000,64.57,64.6201,64.2,64.4,94928,0
AKRE.US,60,20251103,180000,64.44,64.47,64.31,64.47,86425,0
AKRE.US,60,20251103,190000,64.47,64.56,64.44,64.4937,109388,0
AKRE.US,60,20251103,200000,64.51,64.6097,64.39,64.5304,70162,0
AKRE.US,60,20251103,210000,64.555,64.6925,64.555,64.5807,99466,0
AKRE.US,60,20251103,220000,64.58,64.67,64.55,64.63,274294,0
AKRE.US,60,20251104,160000,64.31,64.59,64.27,64.575,35725,0
AKRE.US,60,20251104,170000,64.5478,64.83,64.52,64.57,97452,0
