<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AMX.US,60,20240411,160000,18.44,18.55,18.44,18.47,31693,0
AMX.US,60,20240411,170000,18.46,18.49,18.3431,18.46,119568,0
AMX.US,60,20240411,180000,18.465,18.64,18.465,18.635,100216,0
AMX.US,60,20240411,190000,18.63,18.64,18.54,18.55,97671,0
AMX.US,60,20240411,200000,18.56,18.65,18.56,18.635,60844,0
AMX.US,60,20240411,210000,18.63,18.63,18.465,18.49,163389,0
AMX.US,60,20240411,220000,18.49,18.63,18.485,18.53,604485,0
AMX.US,60,20240412,160000,18.46,18.46,18.26,18.26,43807,0
AMX.US,60,20240412,170000,18.24,18.33,18.19,18.285,55554,0
AMX.US,60,20240412,180000,18.29,18.34,18.26,18.28,161844,0
AMX.US,60,20240412,190000,18.28,18.28,18.13,18.13,35156,0
AMX.US,60,20240412,200000,18.135,18.1599,18.072,18.149,44869,0
AMX.US,60,20240412,210000,18.14,18.17,18.11,18.145,81527,0
AMX.US,60,20240412,220000,18.15,18.165,18.05,18.05,235839,0
AMX.US,60,20240415,160000,18.13,18.14,18.035,18.06,26060,0
AMX.US,60,20240415,170000,18.055,18.135,17.99,18.005,106881,0
AMX.US,60,20240415,180000,18.005,18.26,18.005,18.26,111191,0
AMX.US,60,20240415,190000,18.26,18.33,18.195,18.22,111961,0
AMX.US,60,20240415,200000,18.21,18.22,18.08,18.1,123701,0
AMX.US,60,20240415,210000,18.1,18.1,17.99,18.01,93623,0
AMX.US,60,20240415,220000,18.011,18.04,17.945,18.02,327694,0
AMX.US,60,20240416,160000,17.82,17.94,17.8,17.83,25617,0
AMX.US,60,20240416,170000,17.82,17.875,17.675,17.68,83142,0
AMX.US,60,20240416,180000,17.68,17.74,17.65,17.73,122403,0
AMX.US,60,20240416,190000,17.73,17.78,17.72,17.78,58045,0
AMX.US,60,20240416,200000,17.785,17.79,17.665,17.73,49401,0
AMX.US,60,20240416,210000,17.735,17.795,17.7,17.76,77265,0
AMX.US,60,20240416,220000,17.77,17.77,17.56,17.57,390721,0
AMX.US,60,20240417,160000,17.76,18.41,17.685,18.17,341803,0
AMX.US,60,20240417,170000,18.13,18.185,17.95,18.055,241011,0
AMX.US,60,20240417,180000,18.06,18.19,18.01,18.16,158370,0
AMX.US,60,20240417,190000,18.15,18.165,17.92,17.955,133376,0
AMX.US,60,20240417,200000,17.95,18.02,17.92,17.93,128889,0
AMX.US,60,20240417,210000,17.925,18.1975,17.91,18.19,175318,0
AMX.US,60,20240417,220000,18.19,18.195,17.97,18.03,539867,0
AMX.US,60,20240418,160000,18.06,18.1799,17.76,17.905,114377,0
AMX.US,60,20240418,170000,17.905,17.97,17.875,17.925,84166,0
AMX.US,60,20240418,180000,17.92,17.985,17.79,17.81,78695,0
AMX.US,60,20240418,190000,17.815,17.835,17.77,17.78,58047,0
AMX.US,60,20240418,200000,17.77,17.805,17.725,17.765,56458,0
AMX.US,60,20240418,210000,17.76,17.8,17.715,17.715,80979,0
AMX.US,60,20240418,220000,17.72,17.77,17.635,17.75,458700,0
AMX.US,60,20240419,160000,17.58,17.82,17.53,17.63,74063,0
AMX.US,60,20240419,170000,17.63,17.865,17.59,17.81,173318,0
AMX.US,60,20240419,180000,17.8165,18.045,17.81,17.9797,138942,0
AMX.US,60,20240419,190000,17.97,18.08,17.92,18.075,157007,0
AMX.US,60,20240419,200000,18.075,18.2,18.005,18.155,171796,0
AMX.US,60,20240419,210000,18.155,18.295,18.12,18.245,290252,0
AMX.US,60,20240419,220000,18.245,18.325,18.19,18.27,533423,0
AMX.US,60,20240422,160000,18.24,18.305,18.14,18.14,104747,0
AMX.US,60,20240422,170000,18.13,18.335,18.105,18.315,121246,0
AMX.US,60,20240422,180000,18.31,18.375,18.295,18.32,86567,0
AMX.US,60,20240422,190000,18.325,18.37,18.285,18.36,69266,0
AMX.US,60,20240422,200000,18.35,18.38,18.3,18.3299,102837,0
AMX.US,60,20240422,210000,18.3242,18.33,18.205,18.25,290882,0
AMX.US,60,20240422,220000,18.25,18.48,18.25,18.46,351844,0
AMX.US,60,20240423,160000,18.46,18.46,18.36,18.425,33335,0
AMX.US,60,20240423,170000,18.43,18.59,18.43,18.53,91067,0
AMX.US,60,20240423,180000,18.52,18.64,18.5,18.61,90331,0
AMX.US,60,20240423,190000,18.605,18.615,18.52,18.55,82117,0
AMX.US,60,20240423,200000,18.55,18.58,18.52,18.565,66639,0
AMX.US,60,20240423,210000,18.57,18.795,18.57,18.78,198694,0
AMX.US,60,20240423,220000,18.77,18.78,18.615,18.64,452977,0
AMX.US,60,20240424,160000,18.51,18.62,18.255,18.29,151067,0
AMX.US,60,20240424,170000,18.3,18.5,18.3,18.43,193910,0
AMX.US,60,20240424,180000,18.43,18.54,18.375,18.4,95413,0
AMX.US,60,20240424,190000,18.395,18.44,18.335,18.43,72112,0
AMX.US,60,20240424,200000,18.43,18.47,18.32,18.32,99869,0
AMX.US,60,20240424,210000,18.33,18.38,18.315,18.38,88700,0
AMX.US,60,20240424,220000,18.3875,18.41,18.29,18.31,357449,0
AMX.US,60,20240425,160000,18.23,18.23,17.87,17.89,64727,0
AMX.US,60,20240425,170000,17.905,18.04,17.85,18,151041,0
AMX.US,60,20240425,180000,17.99,18.1,17.95,18.095,78384,0
AMX.US,60,20240425,190000,18.09,18.31,18.06,18.22,181562,0
AMX.US,60,20240425,200000,18.215,18.27,18.1202,18.24,99578,0
AMX.US,60,20240425,210000,18.24,18.38,18.185,18.3499,241066,0
AMX.US,60,20240425,220000,18.345,18.4,18.24,18.3,795623,0
AMX.US,60,20240426,160000,18.29,18.55,18.29,18.55,63994,0
AMX.US,60,20240426,170000,18.545,18.65,18.46,18.49,249180,0
AMX.US,60,20240426,180000,18.49,18.595,18.46,18.59,132118,0
AMX.US,60,20240426,190000,18.585,18.7,18.58,18.69,93770,0
AMX.US,60,20240426,200000,18.69,18.77,18.63,18.76,96954,0
AMX.US,60,20240426,210000,18.755,18.82,18.71,18.81,146959,0
AMX.US,60,20240426,220000,18.805,18.885,18.795,18.83,405410,0
AMX.US,60,20240429,160000,19.24,19.26,19.08,19.235,118359,0
AMX.US,60,20240429,170000,19.24,19.305,19.16,19.26,95428,0
AMX.US,60,20240429,180000,19.25,19.285,19.21,19.215,88431,0
AMX.US,60,20240429,190000,19.215,19.235,19.165,19.2,145210,0
AMX.US,60,20240429,200000,19.205,19.255,19.155,19.255,96734,0
AMX.US,60,20240429,210000,19.255,19.32,19.245,19.29,141832,0
AMX.US,60,20240429,220000,19.285,19.45,19.25,19.43,502862,0
AMX.US,60,20240430,160000,19.22,19.39,19.22,19.27,36533,0
AMX.US,60,20240430,170000,19.3,19.45,19.26,19.395,146427,0
AMX.US,60,20240430,180000,19.39,19.425,19.31,19.335,121196,0
AMX.US,60,20240430,190000,19.335,19.345,19.18,19.1864,75089,0
AMX.US,60,20240430,200000,19.18,19.215,19.1,19.125,32521,0
AMX.US,60,20240430,210000,19.13,19.16,19.06,19.11,52075,0
AMX.US,60,20240430,220000,19.11,19.155,18.995,19.06,412905,0
AMX.US,60,20240501,160000,19.03,19.15,18.91,18.915,25674,0
AMX.US,60,20240501,170000,18.93,19.03,18.84,18.97,167909,0
AMX.US,60,20240501,180000,18.98,19.025,18.94,18.9799,121513,0
AMX.US,60,20240501,190000,18.97,19.06,18.97,19.03,46497,0
AMX.US,60,20240501,200000,19.025,19.045,18.985,19.02,22024,0
AMX.US,60,20240501,210000,19.04,19.16,18.99,19.115,125996,0
AMX.US,60,20240501,220000,19.12,19.255,19.08,19.12,354320,0
AMX.US,60,20240502,160000,19.31,19.31,19.03,19.11,64073,0
AMX.US,60,20240502,170000,19.105,19.205,19.095,19.14,208248,0
AMX.US,60,20240502,180000,19.125,19.25,19.075,19.2,129793,0
AMX.US,60,20240502,190000,19.2,19.285,19.165,19.18,60740,0
AMX.US,60,20240502,200000,19.18,19.18,19.01,19.0101,124319,0
AMX.US,60,20240502,210000,19.0151,19.028,18.91,18.98,101883,0
AMX.US,60,20240502,220000,18.98,19.03,18.85,18.87,514435,0
AMX.US,60,20240506,160000,19.3,19.43,19.29,19.305,64679,0
AMX.US,60,20240506,170000,19.3,19.48,19.25,19.44,117091,0
AMX.US,60,20240506,180000,19.45,19.485,19.375,19.485,68311,0
AMX.US,60,20240506,190000,19.49,19.555,19.46,19.485,96725,0
AMX.US,60,20240506,200000,19.485,19.57,19.45,19.545,68984,0
AMX.US,60,20240506,210000,19.545,19.69,19.545,19.66,186073,0
AMX.US,60,20240506,220000,19.66,19.78,19.64,19.69,1026098,0
AMX.US,60,20240507,160000,19.76,19.76,19.535,19.535,61799,0
AMX.US,60,20240507,170000,19.53,19.635,19.48,19.52,354949,0
AMX.US,60,20240507,180000,19.525,19.635,19.485,19.595,131503,0
AMX.US,60,20240507,190000,19.59,19.62,19.5,19.565,107533,0
AMX.US,60,20240507,200000,19.57,19.65,19.52,19.6201,65516,0
AMX.US,60,20240507,210000,19.62,19.65,19.59,19.595,112500,0
AMX.US,60,20240507,220000,19.6,19.63,19.515,19.55,746685,0
AMX.US,60,20240508,160000,19.37,19.45,19.33,19.33,67653,0
AMX.US,60,20240508,170000,19.33,19.52,19.325,19.49,340338,0
AMX.US,60,20240508,180000,19.485,19.63,19.47,19.62,454981,0
