<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AREA.US,60,20240910,220000,19.8902,19.8902,19.8902,19.8902,101.90955462,0
AREA.US,60,20240917,190000,20.4888,20.4888,20.4888,20.4888,101.90955462,0
AREA.US,60,20240918,210000,20.5967,20.5967,20.5967,20.5967,184.4562938622,0
AREA.US,60,20240919,170000,20.4789,20.4789,20.4789,20.4789,101.90955462,0
AREA.US,60,20240925,180000,20.7046,20.7144,20.7046,20.7143,2353.0916161758,0
AREA.US,60,20240925,220000,20.5476,20.5476,20.5476,20.5476,101.90955462,0
AREA.US,60,20241001,180000,20.3808,20.3808,20.3808,20.3808,152.86433193,0
AREA.US,60,20241021,160000,19.9294,20.371,19.9294,20.371,1141.387011744,0
AREA.US,60,20241023,180000,20.0668,20.0668,20.057,20.0668,509.5477731,0
AREA.US,60,20241024,160000,20.1944,20.1944,20.1944,20.1944,206.8763958786,0
AREA.US,60,20241101,190000,19.5566,19.5566,19.5566,19.5566,509.5477731,0
AREA.US,60,20241209,210000,19.9,19.9196,19.9,19.9196,2445.82931088,0
AREA.US,60,20241223,220000,18.45,18.45,18.45,18.45,100,0
AREA.US,60,20241224,170000,18.43,18.43,18.42,18.42,1600,0
AREA.US,60,20241224,190000,18.42,18.42,18.42,18.42,400,0
AREA.US,60,20250117,220000,18.3,18.61,18.3,18.61,945,0
AREA.US,60,20250124,160000,18.535,18.535,18.535,18.535,100,0
AREA.US,60,20250306,210000,18.71,18.71,18.71,18.71,100,0
AREA.US,60,20250407,190000,16.82,16.82,16.82,16.82,100,0
AREA.US,60,20250409,200000,16.73,16.73,16.73,16.73,100,0
AREA.US,60,20250409,210000,17.2,17.2,17.13,17.13,200,0
AREA.US,60,20250409,220000,17.21,17.21,17.21,17.21,100,0
AREA.US,60,20250410,170000,17.15,17.15,17.15,17.15,100,0
AREA.US,60,20250513,160000,18.27,18.27,18.27,18.27,300,0
AREA.US,60,20250513,190000,18.15,18.15,18.15,18.15,300,0
AREA.US,60,20250529,180000,18.16,18.16,18.16,18.16,100,0
AREA.US,60,20250723,160000,19.18,19.18,19.1799,19.1799,286,0
AREA.US,60,20250728,200000,18.88,18.88,18.88,18.88,900,0
AREA.US,60,20250729,180000,18.78,18.83,18.78,18.83,985,0
AREA.US,60,20250806,160000,18.5321,18.5321,18.5321,18.5321,143,0
AREA.US,60,20250819,190000,18.68,18.68,18.68,18.68,100,0
AREA.US,60,20250829,210000,19.03,19.0301,19.03,19.0301,200,0
AREA.US,60,20250911,200000,19.09,19.09,19.09,19.09,117,0
AREA.US,60,20250924,160000,18.88,18.8804,18.88,18.8801,412,0
AREA.US,60,20250930,220000,18.94,18.9594,18.94,18.9594,800,0
AREA.US,60,20251001,170000,19,19,19,19,100,0
AREA.US,60,20251006,160000,18.85,18.85,18.8,18.83,1900,0
AREA.US,60,20251009,200000,18.51,18.51,18.5099,18.5099,200,0
AREA.US,60,20251010,170000,18.41,18.4101,18.41,18.4101,200,0
AREA.US,60,20251103,190000,17.96,18,17.96,18,300,0
AREA.US,60,20251120,170000,18.43,18.4301,18.43,18.4301,200,0
AREA.US,60,20251126,160000,18.9,18.9,18.8775,18.8775,200,0
AREA.US,60,20251209,220000,18.37,18.41,18.36,18.3849,2252,0
AREA.US,60,20251211,200000,18.56,18.6,18.56,18.5825,2032,0
AREA.US,60,20251212,180000,18.63,18.63,18.6,18.61,136446,0
AREA.US,60,20251212,190000,18.62,18.62,18.6,18.61,182279,0
AREA.US,60,20251216,170000,18.63,18.63,18.63,18.63,18187,0
AREA.US,60,20251216,210000,18.52,18.52,18.52,18.52,18187,0
AREA.US,60,20251222,170000,18.3,18.31,18.3,18.31,434,0
AREA.US,60,20251226,160000,18.35,18.35,18.35,18.35,798,0
AREA.US,60,20251226,190000,18.31,18.3101,18.31,18.3101,4776,0
