<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BBUC.US,60,20240411,160000,21.2,21.2,21.2,21.2,100,0
BBUC.US,60,20240411,170000,21.06,21.1,20.93,21.02,1906,0
BBUC.US,60,20240411,180000,21.07,21.07,20.89,20.89,800,0
BBUC.US,60,20240411,190000,20.9107,20.9107,20.85,20.85,456,0
BBUC.US,60,20240411,200000,20.7553,21.25,20.7553,21.25,4155,0
BBUC.US,60,20240411,210000,21.3,21.39,21.275,21.3,2310,0
BBUC.US,60,20240411,220000,21.32,21.6,21.32,21.59,16246,0
BBUC.US,60,20240412,160000,21.29,21.45,21.2681,21.45,926,0
BBUC.US,60,20240412,170000,21.18,21.18,20.75,20.75,1508,0
BBUC.US,60,20240412,180000,20.65,20.73,20.59,20.73,797,0
BBUC.US,60,20240412,190000,20.725,20.91,20.72,20.91,1301,0
BBUC.US,60,20240412,200000,20.85,21,20.74,20.94,2010,0
BBUC.US,60,20240412,210000,20.97,20.97,20.73,20.73,336,0
BBUC.US,60,20240412,220000,20.8,21.02,20.8,20.81,13439,0
BBUC.US,60,20240415,160000,21.1,21.1,21.1,21.1,142,0
BBUC.US,60,20240415,170000,20.81,20.81,20.575,20.575,1142,0
BBUC.US,60,20240415,180000,20.74,21.36,20.74,21.36,2228,0
BBUC.US,60,20240415,190000,21.5,21.51,21.3,21.45,3366,0
BBUC.US,60,20240415,200000,21.51,21.71,21.2,21.29,5606,0
BBUC.US,60,20240415,210000,21.22,21.22,21.06,21.13,2341,0
BBUC.US,60,20240415,220000,21.24,21.29,21.02,21.02,20830,0
BBUC.US,60,20240416,160000,20.67,20.67,20.67,20.67,202,0
BBUC.US,60,20240416,170000,20.68,20.79,20.5,20.77,2587,0
BBUC.US,60,20240416,180000,20.77,21,20.77,20.89,1902,0
BBUC.US,60,20240416,190000,20.95,20.95,20.95,20.95,100,0
BBUC.US,60,20240416,200000,21,21,20.66,20.66,1607,0
BBUC.US,60,20240416,210000,20.7,20.74,20.61,20.61,402,0
BBUC.US,60,20240416,220000,20.6,20.6,20.37,20.41,10285,0
BBUC.US,60,20240417,160000,20.95,20.95,20.95,20.95,100,0
BBUC.US,60,20240417,170000,20.77,20.82,20.58,20.62,780,0
BBUC.US,60,20240417,180000,20.53,20.55,20.515,20.55,300,0
BBUC.US,60,20240417,190000,20.48,20.48,20.47,20.47,200,0
BBUC.US,60,20240417,200000,20.585,20.66,20.585,20.63,400,0
BBUC.US,60,20240417,210000,20.51,20.51,20.34,20.375,1730,0
BBUC.US,60,20240417,220000,20.31,20.5,20.15,20.42,19218,0
