<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BC.US,60,20240411,160000,90.92,90.92,89.5,90.29,21640,0
BC.US,60,20240411,170000,90.41,90.41,89.19,89.27,26036,0
BC.US,60,20240411,180000,89.22,89.875,89.13,89.875,32547,0
BC.US,60,20240411,190000,89.83,89.94,89.37,89.51,18876,0
BC.US,60,20240411,200000,89.495,89.78,88.9,88.92,59019,0
BC.US,60,20240411,210000,88.92,89.83,88.89,89.26,150832,0
BC.US,60,20240411,220000,89.265,89.28,88.51,88.61,275618,0
BC.US,60,20240412,160000,87.64,88.14,87.16,87.23,14452,0
BC.US,60,20240412,170000,87.15,87.54,86.45,87.43,50839,0
BC.US,60,20240412,180000,87.46,87.72,87.19,87.48,33385,0
BC.US,60,20240412,190000,87.41,87.56,86.87,86.965,20546,0
BC.US,60,20240412,200000,86.96,87.215,86.855,87.17,31717,0
BC.US,60,20240412,210000,87.14,87.25,86.7,86.97,55682,0
BC.US,60,20240412,220000,86.92,87.23,86.645,87.15,200523,0
BC.US,60,20240415,160000,86.43,87.74,86.43,87.3,48425,0
BC.US,60,20240415,170000,87.27,87.275,86.265,86.4,59063,0
BC.US,60,20240415,180000,86.24,86.5875,86.02,86.41,24150,0
BC.US,60,20240415,190000,86.43,86.485,85.77,86.115,43386,0
BC.US,60,20240415,200000,86.07,86.07,85.74,85.9947,32331,0
BC.US,60,20240415,210000,86.05,86.07,85.675,85.85,39704,0
BC.US,60,20240415,220000,85.82,85.88,85.21,85.48,233454,0
BC.US,60,20240416,160000,84.98,85.32,84.48,84.875,28650,0
BC.US,60,20240416,170000,84.81,85.28,84.66,85.08,32589,0
BC.US,60,20240416,180000,85.04,85.78,84.955,85.67,40791,0
BC.US,60,20240416,190000,85.62,85.86,85.57,85.7,28598,0
BC.US,60,20240416,200000,85.6875,85.73,84.95,85.25,30474,0
BC.US,60,20240416,210000,85.21,85.68,84.95,85.385,35787,0
BC.US,60,20240416,220000,85.36,85.41,84.88,84.92,197242,0
BC.US,60,20240417,160000,84.51,84.98,84.06,84.28,33717,0
BC.US,60,20240417,170000,84.2,84.77,83.85,84.1,47028,0
BC.US,60,20240417,180000,84.11,84.21,83.78,83.965,38875,0
BC.US,60,20240417,190000,83.99,84.07,83.78,83.94,48902,0
BC.US,60,20240417,200000,83.85,84.08,83.825,83.995,38297,0
BC.US,60,20240417,210000,83.95,84.06,83.465,83.58,42815,0
BC.US,60,20240417,220000,83.55,83.55,82.645,82.82,275471,0
BC.US,60,20240418,160000,82.8,82.97,81.85,82.815,13673,0
BC.US,60,20240418,170000,82.805,83.52,82.675,83.47,57573,0
BC.US,60,20240418,180000,83.47,83.53,82.69,82.93,47239,0
BC.US,60,20240418,190000,82.89,83.005,82.29,82.29,42423,0
BC.US,60,20240418,200000,82.35,82.43,81.87,82,40489,0
BC.US,60,20240418,210000,81.96,82.05,81.665,81.79,34860,0
BC.US,60,20240418,220000,81.79,82.37,81.665,82.08,199534,0
BC.US,60,20240419,160000,81.69,83.18,81.69,83.18,31729,0
BC.US,60,20240419,170000,83.29,83.66,83.225,83.62,114819,0
BC.US,60,20240419,180000,83.55,84.27,83.45,84.01,65252,0
BC.US,60,20240419,190000,84.04,84.19,83.75,84.025,51185,0
BC.US,60,20240419,200000,84.025,84.135,83.735,83.865,25632,0
BC.US,60,20240419,210000,83.87,83.87,83.37,83.6,55731,0
BC.US,60,20240419,220000,83.6,83.94,83.34,83.9,205913,0
BC.US,60,20240422,160000,84.59,85.5,84.59,85.07,35720,0
BC.US,60,20240422,170000,85.08,85.08,84.405,84.47,34155,0
BC.US,60,20240422,180000,84.35,84.905,84.18,84.63,37728,0
BC.US,60,20240422,190000,84.67,84.92,84.57,84.78,36214,0
BC.US,60,20240422,200000,84.86,85.33,84.85,85.08,38036,0
BC.US,60,20240422,210000,85.08,85.49,84.93,84.95,65830,0
BC.US,60,20240422,220000,84.97,85.09,84.62,84.92,226689,0
BC.US,60,20240423,160000,84.92,85.38,84.51,85.23,13519,0
BC.US,60,20240423,170000,85.33,86.325,85.2,85.705,28630,0
BC.US,60,20240423,180000,85.7,85.85,85.45,85.71,37759,0
BC.US,60,20240423,190000,85.72,85.86,85.455,85.5375,15321,0
BC.US,60,20240423,200000,85.49,86.04,85.38,85.97,77536,0
BC.US,60,20240423,210000,85.998,86.95,85.93,86.9,56342,0
