<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BINT.US,60,20250623,210000,25.18,25.19,25.18,25.18,9090,0
BINT.US,60,20250623,220000,25.21,25.22,25.17,25.21,5197,0
BINT.US,60,20250624,160000,25.3784,25.3784,25.3784,25.3784,100,0
BINT.US,60,20250624,190000,25.52,25.54,25.52,25.54,3832557,0
BINT.US,60,20250624,200000,25.53,25.53,25.53,25.53,897350,0
BINT.US,60,20250624,210000,25.53,25.53,25.51,25.51,1356,0
BINT.US,60,20250624,220000,25.54,25.55,25.53,25.55,6607,0
BINT.US,60,20250625,160000,25.39,25.39,25.39,25.39,1724,0
BINT.US,60,20250625,170000,25.39,25.45,25.38,25.39,3505,0
BINT.US,60,20250625,180000,25.36,25.36,25.35,25.36,1945,0
BINT.US,60,20250625,190000,25.36,25.38,25.36,25.38,11933,0
BINT.US,60,20250625,200000,25.37,25.39,25.34,25.37,19911,0
BINT.US,60,20250625,210000,25.36,25.39,25.36,25.39,8476,0
BINT.US,60,20250625,220000,25.4,25.42,25.39,25.39,998,0
BINT.US,60,20250626,160000,25.5694,25.57,25.5694,25.57,804,0
BINT.US,60,20250626,170000,25.57,25.63,25.57,25.63,128608,0
BINT.US,60,20250626,180000,25.61,25.61,25.57,25.59,20927,0
BINT.US,60,20250626,190000,25.64,25.65,25.63,25.63,346,0
BINT.US,60,20250626,200000,25.66,25.66,25.64,25.64,14832,0
BINT.US,60,20250626,210000,25.65,25.66,25.65,25.66,553,0
BINT.US,60,20250626,220000,25.65,25.65,25.65,25.65,2573,0
BINT.US,60,20250627,160000,25.76,25.77,25.76,25.77,2777,0
BINT.US,60,20250627,180000,25.8,25.86,25.8,25.86,12815,0
BINT.US,60,20250627,190000,25.85,25.87,25.85,25.87,12487,0
BINT.US,60,20250627,200000,25.84,25.85,25.76,25.77,91305,0
BINT.US,60,20250627,210000,25.7,25.72,25.7,25.71,5341,0
BINT.US,60,20250627,220000,25.78,25.78,25.78,25.78,525,0
BINT.US,60,20250630,160000,25.7799,25.78,25.76,25.77,17439,0
BINT.US,60,20250630,170000,25.78,25.81,25.78,25.81,3571,0
BINT.US,60,20250630,190000,25.84,25.84,25.84,25.84,660,0
BINT.US,60,20250630,200000,25.85,25.85,25.829,25.829,1548,0
BINT.US,60,20250630,210000,25.84,25.85,25.839,25.839,14821,0
BINT.US,60,20250630,220000,25.88,25.9,25.86,25.9,15784,0
BINT.US,60,20250701,160000,25.88,25.89,25.88,25.89,10693,0
BINT.US,60,20250701,170000,25.85,25.87,25.85,25.87,243,0
BINT.US,60,20250701,180000,25.84,25.86,25.81,25.8301,24516,0
BINT.US,60,20250701,190000,25.86,25.87,25.86,25.87,1970,0
BINT.US,60,20250701,210000,25.9,25.91,25.8999,25.91,2386,0
BINT.US,60,20250701,220000,25.86,25.9,25.85,25.9,9571,0
BINT.US,60,20250702,160000,25.8,25.8,25.7999,25.7999,3146,0
BINT.US,60,20250702,170000,25.81,25.87,25.81,25.87,4276,0
BINT.US,60,20250702,180000,25.86,25.91,25.86,25.91,13330,0
BINT.US,60,20250702,190000,25.91,25.93,25.91,25.93,8935,0
BINT.US,60,20250702,200000,25.92,25.93,25.92,25.93,4238,0
BINT.US,60,20250702,210000,25.94,25.96,25.94,25.959,4858,0
BINT.US,60,20250702,220000,25.96,25.98,25.95,25.98,1635,0
BINT.US,60,20250703,160000,26.03,26.03,26.03,26.03,6349,0
BINT.US,60,20250703,170000,26.05,26.05,26.03,26.03,1407,0
BINT.US,60,20250703,180000,26.03,26.075,26.03,26.07,4435,0
BINT.US,60,20250703,190000,26.0589,26.0589,26.04,26.04,952,0
BINT.US,60,20250707,160000,25.89,25.89,25.89,25.89,3284,0
BINT.US,60,20250707,170000,25.89,25.89,25.89,25.89,2436,0
BINT.US,60,20250707,180000,25.88,25.89,25.869,25.869,3326,0
BINT.US,60,20250707,190000,25.81,25.81,25.76,25.76,1113,0
BINT.US,60,20250707,200000,25.76,25.78,25.76,25.77,5142,0
BINT.US,60,20250707,210000,25.75,25.789,25.75,25.789,769,0
BINT.US,60,20250707,220000,25.78,25.78,25.77,25.77,21544,0
BINT.US,60,20250708,180000,25.86,25.86,25.86,25.86,124,0
BINT.US,60,20250708,190000,25.9093,25.92,25.9,25.919,631,0
BINT.US,60,20250708,200000,25.9,25.929,25.899,25.929,3575,0
BINT.US,60,20250708,210000,25.93,25.93,25.93,25.93,100,0
BINT.US,60,20250708,220000,25.91,25.91,25.9099,25.9099,389,0
BINT.US,60,20250709,160000,26,26.01,26,26.01,30156,0
BINT.US,60,20250709,170000,26,26,26,26,100,0
BINT.US,60,20250709,190000,26,26,25.9867,25.999,1847,0
BINT.US,60,20250709,200000,26.02,26.03,26.01,26.03,666,0
BINT.US,60,20250709,210000,26.03,26.06,26.03,26.06,4655,0
BINT.US,60,20250709,220000,26.05,26.07,26.05,26.07,9543,0
BINT.US,60,20250710,160000,26.01,26.03,26.01,26.02,2972,0
BINT.US,60,20250710,170000,26.02,26.04,26.01,26.04,11155,0
BINT.US,60,20250710,180000,26.06,26.08,26.06,26.08,3091,0
BINT.US,60,20250710,190000,26.08,26.08,26.069,26.069,1381,0
BINT.US,60,20250710,200000,26.09,26.09,26.09,26.09,545,0
BINT.US,60,20250710,210000,26.1001,26.12,26.1001,26.11,1438,0
BINT.US,60,20250710,220000,26.11,26.11,26.097,26.1,8968,0
BINT.US,60,20250711,180000,25.92,25.92,25.92,25.92,100,0
BINT.US,60,20250711,190000,25.91,25.92,25.89,25.919,1553,0
BINT.US,60,20250711,200000,25.929,25.93,25.92,25.92,1554,0
BINT.US,60,20250711,210000,25.93,25.949,25.93,25.949,1027,0
BINT.US,60,20250711,220000,25.94,25.95,25.91,25.92,22280,0
BINT.US,60,20250714,170000,25.8834,25.8834,25.8834,25.8834,548,0
BINT.US,60,20250714,190000,25.91,25.92,25.901,25.91,3106,0
BINT.US,60,20250714,200000,25.943,25.95,25.92,25.94,8385,0
BINT.US,60,20250714,210000,25.94,25.96,25.94,25.96,9843,0
BINT.US,60,20250714,220000,25.95,25.95,25.93,25.93,3355,0
BINT.US,60,20250715,170000,25.86,25.87,25.8,25.8,3230,0
BINT.US,60,20250715,180000,25.7701,25.7701,25.7701,25.7701,103,0
BINT.US,60,20250715,190000,25.79,25.8,25.75,25.76,16569,0
BINT.US,60,20250715,200000,25.74,25.76,25.74,25.76,5076,0
BINT.US,60,20250715,210000,25.77,25.79,25.76,25.76,20488,0
BINT.US,60,20250715,220000,25.76,25.76,25.76,25.76,2234,0
BINT.US,60,20250716,160000,25.6799,25.69,25.67,25.69,708,0
BINT.US,60,20250716,170000,25.68,25.69,25.66,25.67,1900,0
BINT.US,60,20250716,180000,25.75,25.755,25.68,25.74,23349,0
BINT.US,60,20250716,190000,25.74,25.779,25.73,25.779,13519,0
BINT.US,60,20250716,200000,25.799,25.82,25.799,25.8003,2437,0
BINT.US,60,20250716,210000,25.81,25.83,25.81,25.83,3213,0
BINT.US,60,20250716,220000,25.82,25.83,25.82,25.83,12275,0
BINT.US,60,20250717,170000,25.84,25.84,25.82,25.82,466,0
BINT.US,60,20250717,180000,25.8801,25.8801,25.88,25.88,274,0
BINT.US,60,20250717,190000,25.9,25.91,25.859,25.86,5753,0
BINT.US,60,20250717,200000,25.87,25.9,25.87,25.9,1454,0
BINT.US,60,20250717,210000,25.929,25.93,25.929,25.93,200,0
BINT.US,60,20250717,220000,25.93,25.93,25.9121,25.9121,4139,0
BINT.US,60,20250718,160000,25.97,25.97,25.97,25.97,745,0
BINT.US,60,20250718,170000,26,26,25.95,25.95,8867,0
BINT.US,60,20250718,180000,25.94,25.959,25.94,25.959,1116,0
BINT.US,60,20250718,190000,25.97,25.97,25.9,25.9,27684,0
BINT.US,60,20250718,200000,25.88,25.89,25.88,25.89,7671,0
BINT.US,60,20250718,210000,25.889,25.89,25.869,25.87,15132,0
BINT.US,60,20250718,220000,25.88,25.88,25.86,25.88,4487,0
BINT.US,60,20250721,160000,26.01,26.01,26.01,26.01,100,0
BINT.US,60,20250721,170000,26.08,26.08,26.08,26.08,676,0
BINT.US,60,20250721,180000,26.09,26.09,26.09,26.09,119,0
BINT.US,60,20250721,190000,26.08,26.1,26.08,26.1,20274,0
BINT.US,60,20250721,200000,26.09,26.1,26.08,26.08,14561,0
BINT.US,60,20250721,210000,26.07,26.07,26.05,26.06,1990,0
BINT.US,60,20250721,220000,26.04,26.04,26.01,26.01,1386,0
BINT.US,60,20250722,160000,26.03,26.03,26.03,26.03,8658,0
BINT.US,60,20250722,170000,25.99,25.99,25.99,25.99,125,0
BINT.US,60,20250722,180000,26.06,26.09,26.06,26.09,830,0
BINT.US,60,20250722,190000,26.089,26.1,26.07,26.1,1152,0
BINT.US,60,20250722,200000,26.09,26.1,26.09,26.1,200,0
BINT.US,60,20250722,210000,26.1,26.13,26.09,26.13,12745,0
BINT.US,60,20250722,220000,26.13,26.14,26.13,26.13,15246,0
BINT.US,60,20250723,160000,26.37,26.37,26.36,26.36,1442,0
BINT.US,60,20250723,170000,26.36,26.36,26.36,26.36,717,0
BINT.US,60,20250723,180000,26.39,26.509,26.39,26.5,2226,0
BINT.US,60,20250723,190000,26.53,26.53,26.49,26.5,5643,0
BINT.US,60,20250723,200000,26.52,26.54,26.52,26.53,3911,0
BINT.US,60,20250723,210000,26.5579,26.57,26.5579,26.57,10520,0
BINT.US,60,20250723,220000,26.565,26.565,26.55,26.5502,3668,0
BINT.US,60,20250724,160000,26.4593,26.51,26.4593,26.51,4006,0
BINT.US,60,20250724,170000,26.52,26.52,26.49,26.49,2268,0
BINT.US,60,20250724,180000,26.51,26.51,26.51,26.51,100,0
BINT.US,60,20250724,190000,26.48,26.48,26.48,26.48,524,0
BINT.US,60,20250724,200000,26.47,26.51,26.47,26.5,2252,0
BINT.US,60,20250724,210000,26.49,26.5,26.4622,26.4622,432,0
BINT.US,60,20250724,220000,26.47,26.49,26.46,26.46,963,0
BINT.US,60,20250725,160000,26.26,26.26,26.26,26.26,100,0
BINT.US,60,20250725,170000,26.3,26.3,26.3,26.3,100,0
BINT.US,60,20250725,180000,26.33,26.33,26.31,26.32,3802,0
BINT.US,60,20250725,190000,26.31,26.36,26.31,26.36,13411,0
BINT.US,60,20250725,200000,26.36,26.39,26.36,26.38,1103,0
BINT.US,60,20250725,210000,26.39,26.41,26.39,26.41,7223,0
BINT.US,60,20250725,220000,26.41,26.42,26.4,26.41,11235,0
BINT.US,60,20250728,160000,26.19,26.19,26.14,26.14,3049,0
BINT.US,60,20250728,170000,26.13,26.16,26.13,26.16,978,0
BINT.US,60,20250728,180000,26.14,26.14,26.1017,26.1017,470,0
BINT.US,60,20250728,190000,26.12,26.12,26.09,26.09,9979,0
BINT.US,60,20250728,200000,26.11,26.11,26.07,26.08,8681,0
BINT.US,60,20250728,210000,26.06,26.07,26.05,26.07,233287,0
BINT.US,60,20250728,220000,26.07,26.08,26.06,26.08,6007,0
BINT.US,60,20250729,160000,26.11,26.11,26.11,26.11,588,0
BINT.US,60,20250729,170000,26.09,26.1,26.08,26.1,4392,0
BINT.US,60,20250729,180000,26.03,26.06,26.029,26.06,11927,0
BINT.US,60,20250729,190000,26.06,26.07,26.04,26.06,4827,0
BINT.US,60,20250729,200000,26.09,26.099,26.049,26.06,915,0
BINT.US,60,20250729,210000,26.06,26.079,26.05,26.07,7006,0
BINT.US,60,20250729,220000,26.07,26.08,26.0367,26.04,6308,0
BINT.US,60,20250730,160000,26.01,26.01,26.01,26.01,191,0
