<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BLTD.US,60,20250623,210000,25.15,25.15,25.14,25.14,1517,0
BLTD.US,60,20250623,220000,25.13,25.13,25.0876,25.11,2205,0
BLTD.US,60,20250624,160000,25.05,25.05,25.04,25.04,400,0
BLTD.US,60,20250624,180000,25.17,25.17,25.17,25.17,100,0
BLTD.US,60,20250624,190000,25.18,25.18,25.18,25.18,2065880,0
BLTD.US,60,20250624,200000,25.17,25.17,25.17,25.17,475763,0
BLTD.US,60,20250624,210000,25.19,25.19,25.19,25.19,2460,0
BLTD.US,60,20250624,220000,25.21,25.21,25.17,25.19,5123,0
BLTD.US,60,20250625,160000,25.1,25.1,25.1,25.1,939,0
BLTD.US,60,20250625,170000,25.1,25.1,25.07,25.07,2711,0
BLTD.US,60,20250625,180000,25.1,25.1,25.1,25.1,1450,0
BLTD.US,60,20250625,190000,25.09,25.11,25.09,25.11,4531,0
BLTD.US,60,20250625,200000,25.09,25.09,25.08,25.08,458389,0
BLTD.US,60,20250625,210000,25.11,25.13,25.11,25.13,4676,0
BLTD.US,60,20250625,220000,25.16,25.16,25.15,25.15,978,0
BLTD.US,60,20250626,160000,25.19,25.19,25.19,25.19,266,0
BLTD.US,60,20250626,170000,25.14,25.17,25.14,25.14,58874,0
BLTD.US,60,20250626,180000,25.14,25.15,25.13,25.14,11886,0
BLTD.US,60,20250626,200000,25.18,25.21,25.1799,25.21,7118,0
BLTD.US,60,20250626,220000,25.22,25.25,25.21,25.24,11984,0
BLTD.US,60,20250627,160000,25.17,25.21,25.17,25.21,9151,0
BLTD.US,60,20250627,170000,25.22,25.23,25.22,25.23,14372,0
BLTD.US,60,20250627,180000,25.21,25.25,25.21,25.24,11703,0
BLTD.US,60,20250627,190000,25.25,25.29,25.25,25.28,21166,0
BLTD.US,60,20250627,200000,25.29,25.29,25.23,25.23,3137,0
BLTD.US,60,20250627,210000,25.21,25.21,25.15,25.16,3509,0
BLTD.US,60,20250627,220000,25.16,25.16,25.16,25.16,537,0
BLTD.US,60,20250630,160000,25.24,25.26,25.24,25.26,8791,0
BLTD.US,60,20250630,170000,25.2699,25.2699,25.2399,25.2399,6866,0
BLTD.US,60,20250630,190000,25.27,25.34,25.27,25.34,10199,0
BLTD.US,60,20250630,200000,25.32,25.32,25.32,25.32,468,0
BLTD.US,60,20250630,210000,25.3521,25.37,25.3521,25.37,2936,0
BLTD.US,60,20250630,220000,25.37,25.37,25.34,25.35,20034,0
BLTD.US,60,20250701,160000,25.37,25.41,25.37,25.41,5992,0
BLTD.US,60,20250701,170000,25.37,25.37,25.34,25.3434,3570,0
BLTD.US,60,20250701,180000,25.32,25.34,25.32,25.34,9352,0
BLTD.US,60,20250701,190000,25.32,25.34,25.32,25.34,1549,0
BLTD.US,60,20250701,210000,25.37,25.39,25.37,25.3863,8133,0
BLTD.US,60,20250701,220000,25.3893,25.4,25.37,25.4,7947,0
BLTD.US,60,20250702,160000,25.23,25.23,25.23,25.23,1512,0
BLTD.US,60,20250702,170000,25.24,25.26,25.23,25.26,3906,0
BLTD.US,60,20250702,180000,25.26,25.29,25.25,25.25,21680,0
BLTD.US,60,20250702,190000,25.24,25.26,25.24,25.24,15141,0
BLTD.US,60,20250702,200000,25.25,25.28,25.25,25.28,1174,0
BLTD.US,60,20250702,210000,25.285,25.31,25.285,25.309,4079,0
BLTD.US,60,20250702,220000,25.3,25.31,25.3,25.31,1100,0
BLTD.US,60,20250703,160000,25.27,25.27,25.26,25.26,11125,0
BLTD.US,60,20250703,170000,25.265,25.265,25.21,25.26,16441,0
BLTD.US,60,20250703,180000,25.27,25.29,25.26,25.26,6811,0
BLTD.US,60,20250703,190000,25.26,25.26,25.23,25.24,8227,0
BLTD.US,60,20250707,160000,25.12,25.12,25.12,25.12,3589,0
BLTD.US,60,20250707,170000,25.1,25.1,25.09,25.09,1553,0
BLTD.US,60,20250707,180000,25.08,25.08,25.06,25.06,3324,0
BLTD.US,60,20250707,190000,25.07,25.07,25.05,25.05,646,0
BLTD.US,60,20250707,200000,25.03,25.03,25.03,25.03,2131,0
BLTD.US,60,20250707,210000,25.03,25.03,25.01,25.02,581,0
BLTD.US,60,20250707,220000,25.04,25.05,25.03,25.05,11254,0
BLTD.US,60,20250708,160000,24.94,24.94,24.94,24.94,381,0
BLTD.US,60,20250708,180000,24.98,24.98,24.96,24.96,8529,0
BLTD.US,60,20250708,190000,24.959,24.97,24.959,24.9599,1998,0
BLTD.US,60,20250708,200000,24.96,24.96,24.94,24.96,15786,0
BLTD.US,60,20250708,210000,24.96,24.989,24.959,24.989,408,0
BLTD.US,60,20250708,220000,24.99,24.99,24.99,24.99,509,0
BLTD.US,60,20250709,160000,25.07,25.07,25.06,25.06,808,0
BLTD.US,60,20250709,170000,25.08,25.08,25.08,25.08,9450,0
BLTD.US,60,20250709,190000,25.09,25.11,25.09,25.11,8560,0
BLTD.US,60,20250709,200000,25.13,25.13,25.12,25.12,4720,0
BLTD.US,60,20250709,210000,25.13,25.16,25.13,25.16,2375,0
BLTD.US,60,20250709,220000,25.17,25.17,25.16,25.17,27344,0
BLTD.US,60,20250710,170000,25.13,25.14,25.11,25.14,10440,0
BLTD.US,60,20250710,180000,25.15,25.15,25.13,25.13,9618,0
BLTD.US,60,20250710,190000,25.13,25.13,25.13,25.13,973,0
BLTD.US,60,20250710,200000,25.159,25.159,25.159,25.159,100,0
BLTD.US,60,20250710,210000,25.19,25.22,25.19,25.21,879,0
BLTD.US,60,20250710,220000,25.19,25.2,25.19,25.2,9659,0
BLTD.US,60,20250711,190000,24.97,24.97,24.97,24.97,2163,0
BLTD.US,60,20250711,200000,24.98,24.989,24.98,24.989,499,0
BLTD.US,60,20250711,210000,24.97,24.97,24.969,24.97,1784,0
BLTD.US,60,20250711,220000,24.97,24.97,24.95,24.96,9409,0
BLTD.US,60,20250714,170000,24.95,24.95,24.9067,24.9067,2601,0
BLTD.US,60,20250714,180000,24.9,24.91,24.9,24.91,5388,0
BLTD.US,60,20250714,190000,24.9,24.935,24.9,24.93,8129,0
BLTD.US,60,20250714,200000,24.94,24.96,24.94,24.96,563,0
BLTD.US,60,20250714,210000,24.95,24.955,24.935,24.95,10273,0
BLTD.US,60,20250714,220000,24.96,24.96,24.95,24.95,4875,0
BLTD.US,60,20250715,170000,24.91,24.91,24.86,24.86,2715,0
BLTD.US,60,20250715,180000,24.85,24.85,24.84,24.84,285,0
BLTD.US,60,20250715,190000,24.84,24.84,24.83,24.83,5678,0
BLTD.US,60,20250715,200000,24.82,24.83,24.82,24.82,2184,0
BLTD.US,60,20250715,210000,24.82,24.83,24.82,24.825,13931,0
BLTD.US,60,20250715,220000,24.84,24.84,24.83,24.835,1413,0
BLTD.US,60,20250716,160000,24.92,24.92,24.92,24.92,267,0
BLTD.US,60,20250716,170000,24.9199,24.95,24.9199,24.94,4393,0
BLTD.US,60,20250716,180000,24.79,24.79,24.7,24.76,9737,0
BLTD.US,60,20250716,190000,24.8,24.8,24.77,24.77,6983,0
BLTD.US,60,20250716,200000,24.82,24.86,24.82,24.85,3778,0
BLTD.US,60,20250716,210000,24.84,24.87,24.84,24.87,5153,0
BLTD.US,60,20250716,220000,24.85,24.86,24.85,24.85,9588,0
BLTD.US,60,20250717,170000,24.93,24.93,24.9109,24.9109,439,0
BLTD.US,60,20250717,190000,24.91,24.91,24.889,24.889,6553,0
BLTD.US,60,20250717,200000,24.88,24.9,24.88,24.89,2618,0
BLTD.US,60,20250717,210000,24.88,24.89,24.869,24.88,1723,0
BLTD.US,60,20250717,220000,24.87,24.87,24.87,24.87,1299,0
BLTD.US,60,20250718,160000,24.96,24.96,24.95,24.95,1040,0
BLTD.US,60,20250718,170000,24.93,24.94,24.93,24.93,3720,0
BLTD.US,60,20250718,180000,24.92,24.955,24.92,24.955,4659,0
BLTD.US,60,20250718,190000,24.95,24.95,24.949,24.949,400,0
BLTD.US,60,20250718,200000,24.96,24.96,24.955,24.955,4261,0
BLTD.US,60,20250718,210000,24.955,24.96,24.93,24.94,7953,0
BLTD.US,60,20250718,220000,24.93,24.93,24.93,24.93,3507,0
BLTD.US,60,20250721,170000,25.14,25.14,25.13,25.13,1231,0
BLTD.US,60,20250721,190000,25.14,25.16,25.14,25.16,21773,0
BLTD.US,60,20250721,200000,25.16,25.16,25.14,25.14,10923,0
BLTD.US,60,20250721,210000,25.11,25.11,25.11,25.11,830,0
BLTD.US,60,20250721,220000,25.1,25.1,25.09,25.09,845,0
BLTD.US,60,20250722,160000,25.1,25.1,25.1,25.1,16071,0
BLTD.US,60,20250722,180000,25.18,25.18,25.18,25.18,407,0
BLTD.US,60,20250722,190000,25.18,25.18,25.18,25.18,100,0
BLTD.US,60,20250722,210000,25.18,25.19,25.18,25.185,13261,0
BLTD.US,60,20250722,220000,25.18,25.18,25.16,25.16,13070,0
BLTD.US,60,20250723,160000,25.1,25.1,25.09,25.09,1248,0
BLTD.US,60,20250723,170000,25.1,25.1,25.08,25.08,953,0
BLTD.US,60,20250723,190000,25.07,25.07,25.06,25.069,5360,0
BLTD.US,60,20250723,200000,25.059,25.08,25.059,25.07,3448,0
BLTD.US,60,20250723,210000,25.0905,25.11,25.09,25.09,5856,0
BLTD.US,60,20250723,220000,25.09,25.09,25.09,25.09,1563,0
BLTD.US,60,20250724,160000,25.01,25.01,25.01,25.01,1962,0
BLTD.US,60,20250724,170000,25.06,25.06,25.04,25.05,1296,0
BLTD.US,60,20250724,200000,25.11,25.129,25.1,25.12,2875,0
BLTD.US,60,20250724,210000,25.11,25.11,25.0734,25.08,424,0
BLTD.US,60,20250724,220000,25.08,25.08,25.0634,25.0634,390,0
BLTD.US,60,20250725,170000,25.06,25.0701,25.05,25.0701,1333,0
BLTD.US,60,20250725,180000,25.11,25.11,25.1,25.1,1882,0
BLTD.US,60,20250725,190000,25.12,25.16,25.12,25.16,7671,0
BLTD.US,60,20250725,200000,25.17,25.17,25.16,25.16,2726,0
BLTD.US,60,20250725,210000,25.16,25.17,25.1579,25.16,23035,0
BLTD.US,60,20250725,220000,25.16,25.17,25.15,25.17,19358,0
BLTD.US,60,20250728,160000,25.11,25.11,25.08,25.08,2541,0
BLTD.US,60,20250728,170000,25.07,25.12,25.07,25.12,565,0
BLTD.US,60,20250728,180000,25.1,25.1,25.08,25.09,583,0
BLTD.US,60,20250728,190000,25.09,25.09,25.0766,25.09,6561,0
BLTD.US,60,20250728,200000,25.1,25.1,25.08,25.09,5616,0
BLTD.US,60,20250728,210000,25.09,25.09,25.07,25.08,154912,0
BLTD.US,60,20250728,220000,25.08,25.08,25.07,25.0735,4499,0
BLTD.US,60,20250729,160000,25.2,25.2,25.2,25.2,385,0
BLTD.US,60,20250729,170000,25.2,25.26,25.2,25.26,2496,0
BLTD.US,60,20250729,180000,25.25,25.28,25.25,25.25,8060,0
BLTD.US,60,20250729,190000,25.25,25.29,25.25,25.29,563,0
BLTD.US,60,20250729,200000,25.32,25.32,25.3,25.3,1816,0
BLTD.US,60,20250729,210000,25.3,25.32,25.3,25.32,5932,0
BLTD.US,60,20250729,220000,25.32,25.36,25.32,25.36,9411,0
BLTD.US,60,20250730,160000,25.15,25.15,25.15,25.15,126,0
BLTD.US,60,20250730,170000,25.16,25.16,25.1402,25.16,1253,0
BLTD.US,60,20250730,180000,25.15,25.17,25.15,25.16,4296,0
BLTD.US,60,20250730,190000,25.15,25.18,25.15,25.17,6617,0
BLTD.US,60,20250730,200000,25.175,25.2,25.17,25.2,500,0
BLTD.US,60,20250730,210000,25.21,25.21,25.13,25.13,1869,0
BLTD.US,60,20250730,220000,25.13,25.16,25.13,25.15,5785,0
BLTD.US,60,20250731,170000,25.23,25.23,25.23,25.23,100,0
BLTD.US,60,20250731,180000,25.26,25.27,25.257,25.27,41425,0
BLTD.US,60,20250731,190000,25.25,25.25,25.2304,25.2393,5701,0
BLTD.US,60,20250731,210000,25.2347,25.2347,25.21,25.21,638,0
BLTD.US,60,20250731,220000,25.16,25.21,25.16,25.1986,9681,0
BLTD.US,60,20250801,160000,25.3477,25.3477,25.3477,25.3477,220,0
BLTD.US,60,20250801,170000,25.36,25.39,25.36,25.39,400,0
BLTD.US,60,20250801,180000,25.3824,25.3824,25.3824,25.3824,121,0
BLTD.US,60,20250801,190000,25.41,25.41,25.41,25.41,7586,0
BLTD.US,60,20250801,200000,25.4093,25.4093,25.4093,25.4093,105,0
BLTD.US,60,20250801,210000,25.4434,25.45,25.44,25.44,2606,0
BLTD.US,60,20250801,220000,25.44,25.44,25.44,25.44,735,0
BLTD.US,60,20250804,160000,25.45,25.45,25.45,25.45,784,0
BLTD.US,60,20250804,170000,25.44,25.44,25.44,25.44,100,0
BLTD.US,60,20250804,180000,25.46,25.4734,25.46,25.4734,2375,0
BLTD.US,60,20250804,200000,25.5,25.5,25.48,25.4999,8944,0
BLTD.US,60,20250804,210000,25.5,25.5,25.48,25.49,13167,0
BLTD.US,60,20250804,220000,25.49,25.49,25.48,25.48,1683,0
BLTD.US,60,20250805,160000,25.45,25.45,25.45,25.45,402,0
BLTD.US,60,20250805,170000,25.47,25.47,25.47,25.47,200,0
BLTD.US,60,20250805,180000,25.54,25.54,25.5033,25.5033,6337,0
BLTD.US,60,20250805,200000,25.52,25.52,25.51,25.52,1330,0
BLTD.US,60,20250805,210000,25.55,25.55,25.55,25.55,113,0
BLTD.US,60,20250805,220000,25.55,25.55,25.53,25.54,1965,0
BLTD.US,60,20250806,170000,25.49,25.49,25.49,25.49,200,0
BLTD.US,60,20250806,180000,25.4718,25.4718,25.36,25.36,6563,0
BLTD.US,60,20250806,190000,25.45,25.45,25.43,25.43,3893,0
BLTD.US,60,20250806,200000,25.44,25.44,25.4192,25.43,10004,0
BLTD.US,60,20250806,210000,25.427,25.49,25.427,25.4827,1164,0
BLTD.US,60,20250806,220000,25.497,25.5,25.47,25.47,2811,0
BLTD.US,60,20250807,170000,25.56,25.57,25.53,25.5599,1656,0
BLTD.US,60,20250807,180000,25.55,25.55,25.5499,25.5499,400,0
BLTD.US,60,20250807,200000,25.54,25.54,25.46,25.47,2656,0
BLTD.US,60,20250807,210000,25.47,25.47,25.47,25.47,362,0
BLTD.US,60,20250807,220000,25.47,25.47,25.46,25.47,639,0
BLTD.US,60,20250808,170000,25.37,25.39,25.37,25.38,1141,0
BLTD.US,60,20250808,190000,25.37,25.37,25.36,25.36,300,0
BLTD.US,60,20250808,200000,25.36,25.37,25.36,25.36,10434,0
BLTD.US,60,20250808,210000,25.37,25.37,25.37,25.37,766,0
BLTD.US,60,20250808,220000,25.36,25.36,25.36,25.36,370,0
BLTD.US,60,20250811,160000,25.4,25.41,25.4,25.41,1465,0
BLTD.US,60,20250811,170000,25.42,25.42,25.42,25.42,200,0
BLTD.US,60,20250811,190000,25.45,25.45,25.42,25.44,57946,0
BLTD.US,60,20250811,200000,25.44,25.44,25.43,25.435,1721,0
BLTD.US,60,20250811,210000,25.43,25.43,25.4092,25.43,5188,0
BLTD.US,60,20250811,220000,25.4,25.42,25.3901,25.42,3218,0
BLTD.US,60,20250812,160000,25.34,25.35,25.29,25.3,2357,0
BLTD.US,60,20250812,170000,25.29,25.34,25.28,25.34,2300,0
BLTD.US,60,20250812,180000,25.34,25.34,25.32,25.33,4300,0
BLTD.US,60,20250812,190000,25.32,25.36,25.32,25.35,5100,0
BLTD.US,60,20250812,200000,25.34,25.34,25.33,25.34,18250,0
BLTD.US,60,20250812,220000,25.34,25.38,25.34,25.38,8487,0
BLTD.US,60,20250813,160000,25.485,25.485,25.485,25.485,1500,0
BLTD.US,60,20250813,170000,25.53,25.53,25.53,25.53,100,0
BLTD.US,60,20250813,180000,25.54,25.54,25.53,25.54,1452,0
BLTD.US,60,20250813,190000,25.54,25.55,25.54,25.55,6660,0
BLTD.US,60,20250813,200000,25.54,25.54,25.54,25.54,484,0
BLTD.US,60,20250813,210000,25.53,25.53,25.5249,25.5249,3468,0
BLTD.US,60,20250813,220000,25.53,25.53,25.52,25.53,9351,0
BLTD.US,60,20250814,160000,25.47,25.47,25.47,25.47,1203,0
BLTD.US,60,20250814,190000,25.39,25.4,25.39,25.4,545,0
BLTD.US,60,20250814,200000,25.4,25.41,25.4,25.41,8826,0
BLTD.US,60,20250814,210000,25.41,25.41,25.4,25.4,11985,0
BLTD.US,60,20250814,220000,25.4,25.41,25.395,25.41,6830,0
BLTD.US,60,20250815,160000,25.38,25.38,25.38,25.38,100,0
BLTD.US,60,20250815,170000,25.3883,25.3883,25.37,25.37,1711,0
BLTD.US,60,20250815,180000,25.3657,25.3657,25.3657,25.3657,1413,0
BLTD.US,60,20250815,200000,25.32,25.32,25.32,25.32,100,0
BLTD.US,60,20250815,210000,25.29,25.3,25.29,25.3,526,0
BLTD.US,60,20250815,220000,25.32,25.33,25.3125,25.32,4893,0
BLTD.US,60,20250818,160000,25.35,25.35,25.35,25.35,100,0
BLTD.US,60,20250818,170000,25.31,25.31,25.28,25.28,4160,0
BLTD.US,60,20250818,180000,25.25,25.25,25.24,25.24,293,0
BLTD.US,60,20250818,190000,25.27,25.27,25.26,25.27,5327,0
BLTD.US,60,20250818,200000,25.27,25.28,25.27,25.28,300,0
BLTD.US,60,20250818,210000,25.26,25.27,25.2557,25.27,440,0
BLTD.US,60,20250818,220000,25.28,25.28,25.27,25.27,3556,0
BLTD.US,60,20250819,170000,25.33,25.33,25.32,25.32,1840,0
BLTD.US,60,20250819,180000,25.32,25.33,25.32,25.33,9429,0
BLTD.US,60,20250819,190000,25.32,25.33,25.32,25.33,897,0
BLTD.US,60,20250819,200000,25.35,25.36,25.35,25.36,8244,0
BLTD.US,60,20250819,210000,25.36,25.36,25.36,25.36,5831,0
BLTD.US,60,20250819,220000,25.3546,25.36,25.34,25.34,3709,0
BLTD.US,60,20250820,160000,25.34,25.34,25.34,25.34,1847,0
BLTD.US,60,20250820,170000,25.34,25.34,25.335,25.34,832,0
BLTD.US,60,20250820,180000,25.35,25.35,25.35,25.35,153,0
BLTD.US,60,20250820,190000,25.37,25.38,25.36,25.37,8902,0
BLTD.US,60,20250820,200000,25.37,25.37,25.37,25.37,200,0
BLTD.US,60,20250820,220000,25.37,25.38,25.37,25.38,6965,0
BLTD.US,60,20250821,170000,25.25,25.26,25.25,25.26,1046,0
BLTD.US,60,20250821,180000,25.21,25.22,25.21,25.21,2026,0
BLTD.US,60,20250821,190000,25.21,25.2343,25.21,25.2343,5850,0
