<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BLUI.US,60,20250623,210000,25.05,25.05,25.05,25.05,4954,0
BLUI.US,60,20250623,220000,25.09,25.09,25.053,25.07,3605,0
BLUI.US,60,20250624,160000,25.079,25.079,25.079,25.079,200,0
BLUI.US,60,20250624,200000,25.15,25.15,25.15,25.15,1561819,0
BLUI.US,60,20250624,210000,25.18,25.23,25.18,25.185,2942,0
BLUI.US,60,20250625,170000,25.1,25.1,25.065,25.065,280,0
BLUI.US,60,20250625,190000,25.09,25.09,25.09,25.09,1182,0
BLUI.US,60,20250625,200000,25.07,25.08,25.07,25.08,304735,0
BLUI.US,60,20250625,210000,25.07,25.07,25.06,25.06,32840,0
BLUI.US,60,20250626,170000,25.06,25.06,25.06,25.06,964,0
BLUI.US,60,20250626,180000,25.06,25.06,25.06,25.06,9354,0
BLUI.US,60,20250626,190000,25.07,25.09,25.07,25.09,200,0
BLUI.US,60,20250626,200000,25.08,25.09,25.08,25.09,300,0
BLUI.US,60,20250626,210000,25.09,25.09,25.09,25.09,368,0
BLUI.US,60,20250627,170000,25.14,25.14,25.14,25.14,3924,0
BLUI.US,60,20250627,180000,25.13,25.13,25.13,25.13,10753,0
BLUI.US,60,20250630,200000,25.14,25.14,25.13,25.13,1318,0
BLUI.US,60,20250630,220000,25.155,25.155,25.155,25.155,169,0
BLUI.US,60,20250701,160000,25.15,25.15,25.15,25.15,315,0
BLUI.US,60,20250701,190000,25.17,25.17,25.16,25.16,841,0
BLUI.US,60,20250701,210000,25.17,25.18,25.17,25.18,402,0
BLUI.US,60,20250701,220000,25.17,25.17,25.15,25.15,1412,0
BLUI.US,60,20250702,200000,25.17,25.17,25.17,25.17,3486,0
BLUI.US,60,20250702,210000,25.21,25.21,25.21,25.21,140,0
BLUI.US,60,20250702,220000,25.23,25.23,25.23,25.23,3310,0
BLUI.US,60,20250703,160000,25.21,25.21,25.21,25.21,6025,0
BLUI.US,60,20250703,180000,25.2138,25.2138,25.21,25.21,615,0
BLUI.US,60,20250707,170000,25.16,25.16,25.14,25.14,397,0
BLUI.US,60,20250708,180000,25.11,25.11,25.11,25.11,1744,0
BLUI.US,60,20250708,190000,25.11,25.11,25.091,25.091,226,0
BLUI.US,60,20250708,200000,25.12,25.12,25.12,25.12,26679,0
BLUI.US,60,20250708,210000,25.101,25.101,25.101,25.101,100,0
BLUI.US,60,20250708,220000,25.12,25.12,25.1155,25.1155,849,0
BLUI.US,60,20250709,170000,25.14,25.14,25.14,25.14,3949,0
BLUI.US,60,20250709,190000,25.16,25.16,25.15,25.15,3948,0
BLUI.US,60,20250709,200000,25.1593,25.1593,25.1593,25.1593,131,0
BLUI.US,60,20250709,210000,25.171,25.171,25.171,25.171,164,0
BLUI.US,60,20250709,220000,25.18,25.18,25.18,25.18,34621,0
BLUI.US,60,20250710,170000,25.18,25.18,25.18,25.18,4036,0
BLUI.US,60,20250710,180000,25.18,25.18,25.17,25.17,8879,0
BLUI.US,60,20250710,190000,25.185,25.185,25.185,25.185,100,0
BLUI.US,60,20250710,210000,25.2,25.21,25.2,25.2,1692,0
BLUI.US,60,20250711,220000,25.21,25.21,25.14,25.145,54832,0
BLUI.US,60,20250714,200000,25.13,25.14,25.13,25.14,219,0
BLUI.US,60,20250714,210000,25.15,25.15,25.15,25.15,492,0
BLUI.US,60,20250714,220000,25.16,25.16,25.16,25.16,100,0
BLUI.US,60,20250715,180000,25.05,25.05,25.05,25.05,456,0
BLUI.US,60,20250715,190000,25.06,25.06,25.06,25.06,100,0
BLUI.US,60,20250715,200000,25.03,25.03,25.03,25.03,119,0
BLUI.US,60,20250715,210000,25.069,25.069,25.069,25.069,100,0
BLUI.US,60,20250716,170000,25.1,25.1,25.09,25.1,4539,0
BLUI.US,60,20250716,180000,25.04,25.04,25.02,25.02,200,0
BLUI.US,60,20250716,200000,25.1,25.1,25.099,25.099,1688,0
BLUI.US,60,20250716,210000,25.09,25.109,25.09,25.109,201,0
BLUI.US,60,20250716,220000,25.09,25.09,25.09,25.09,519,0
BLUI.US,60,20250717,180000,25.105,25.11,25.105,25.11,200,0
BLUI.US,60,20250717,200000,25.1,25.1,25.1,25.1,4416,0
BLUI.US,60,20250717,210000,25.1,25.1,25.1,25.1,100,0
BLUI.US,60,20250718,160000,25.17,25.17,25.17,25.17,872,0
BLUI.US,60,20250718,170000,25.17,25.17,25.17,25.17,100,0
BLUI.US,60,20250718,210000,25.18,25.18,25.18,25.18,434,0
BLUI.US,60,20250721,170000,25.23,25.23,25.23,25.23,438,0
BLUI.US,60,20250721,180000,25.23,25.23,25.2201,25.2201,433,0
BLUI.US,60,20250721,190000,25.25,25.25,25.25,25.25,100,0
BLUI.US,60,20250721,200000,25.249,25.249,25.229,25.229,3565,0
BLUI.US,60,20250721,210000,25.2,25.205,25.2,25.205,202,0
BLUI.US,60,20250721,220000,25.2,25.2,25.2,25.2,121,0
BLUI.US,60,20250722,180000,25.25,25.25,25.25,25.25,358,0
BLUI.US,60,20250722,210000,25.261,25.261,25.261,25.261,121,0
BLUI.US,60,20250723,180000,25.27,25.27,25.27,25.27,5833,0
BLUI.US,60,20250723,190000,25.26,25.26,25.26,25.26,26557,0
BLUI.US,60,20250723,200000,25.27,25.27,25.27,25.27,4562,0
BLUI.US,60,20250724,180000,25.26,25.26,25.26,25.26,100,0
BLUI.US,60,20250724,200000,25.29,25.29,25.29,25.29,1796,0
BLUI.US,60,20250724,220000,25.29,25.29,25.29,25.29,874,0
BLUI.US,60,20250725,170000,25.26,25.26,25.26,25.26,100,0
BLUI.US,60,20250725,180000,25.27,25.27,25.27,25.27,366,0
BLUI.US,60,20250725,190000,25.29,25.29,25.29,25.29,512,0
BLUI.US,60,20250725,210000,25.3,25.3,25.3,25.3,298,0
BLUI.US,60,20250725,220000,25.29,25.32,25.29,25.29,14095,0
BLUI.US,60,20250728,160000,25.29,25.3,25.29,25.3,13302,0
BLUI.US,60,20250728,180000,25.2501,25.27,25.2501,25.27,805,0
BLUI.US,60,20250728,210000,25.25,25.25,25.24,25.24,530433,0
BLUI.US,60,20250728,220000,25.24,25.24,25.24,25.24,3763,0
BLUI.US,60,20250729,170000,25.31,25.32,25.31,25.32,10292,0
BLUI.US,60,20250729,180000,25.33,25.33,25.33,25.33,400,0
BLUI.US,60,20250729,190000,25.33,25.34,25.33,25.34,760,0
BLUI.US,60,20250729,200000,25.36,25.36,25.36,25.36,634,0
BLUI.US,60,20250729,220000,25.37,25.37,25.37,25.37,100,0
BLUI.US,60,20250730,180000,25.25,25.25,25.25,25.25,190,0
BLUI.US,60,20250730,190000,25.2552,25.26,25.2552,25.26,4551,0
BLUI.US,60,20250730,210000,25.28,25.28,25.28,25.28,2005,0
BLUI.US,60,20250730,220000,25.2,25.2,25.2,25.2,100,0
BLUI.US,60,20250731,170000,25.25,25.25,25.25,25.25,100,0
BLUI.US,60,20250731,220000,25.2066,25.21,25.2,25.2,19417,0
BLUI.US,60,20250801,160000,25.22,25.22,25.22,25.22,810,0
BLUI.US,60,20250801,180000,25.2,25.22,25.2,25.22,627,0
BLUI.US,60,20250801,200000,25.24,25.249,25.24,25.249,300,0
BLUI.US,60,20250801,210000,25.24,25.24,25.225,25.23,6658,0
BLUI.US,60,20250801,220000,25.22,25.23,25.22,25.23,3779,0
BLUI.US,60,20250804,170000,25.29,25.29,25.29,25.29,200,0
BLUI.US,60,20250804,180000,25.32,25.32,25.32,25.32,1208,0
BLUI.US,60,20250804,200000,25.32,25.32,25.3033,25.3033,1618,0
BLUI.US,60,20250804,210000,25.32,25.32,25.32,25.32,613,0
BLUI.US,60,20250805,170000,25.3,25.3,25.29,25.3,933,0
BLUI.US,60,20250805,180000,25.29,25.3,25.29,25.29,10975,0
BLUI.US,60,20250805,200000,25.3,25.3,25.3,25.3,166,0
BLUI.US,60,20250805,220000,25.31,25.32,25.31,25.315,5405,0
BLUI.US,60,20250806,180000,25.3201,25.33,25.3201,25.33,2635,0
BLUI.US,60,20250806,190000,25.31,25.33,25.3,25.33,13410,0
BLUI.US,60,20250806,220000,25.29,25.299,25.29,25.299,906,0
BLUI.US,60,20250807,190000,25.28,25.28,25.28,25.28,200,0
BLUI.US,60,20250807,200000,25.26,25.26,25.26,25.26,2033,0
BLUI.US,60,20250807,210000,25.27,25.27,25.27,25.27,175,0
BLUI.US,60,20250808,190000,25.27,25.27,25.27,25.27,200,0
BLUI.US,60,20250808,220000,25.26,25.26,25.25,25.25,1340,0
BLUI.US,60,20250811,170000,25.24,25.24,25.24,25.24,100,0
BLUI.US,60,20250811,190000,25.23,25.26,25.23,25.2508,45318,0
BLUI.US,60,20250811,210000,25.2192,25.23,25.2192,25.23,11455,0
BLUI.US,60,20250811,220000,25.21,25.22,25.21,25.21,1244,0
BLUI.US,60,20250812,160000,25.21,25.21,25.21,25.21,3765,0
BLUI.US,60,20250812,170000,25.2,25.2,25.2,25.2,100,0
BLUI.US,60,20250812,200000,25.22,25.22,25.22,25.22,7838,0
BLUI.US,60,20250812,220000,25.23,25.23,25.23,25.23,3340,0
BLUI.US,60,20250813,180000,25.31,25.31,25.3,25.3,793,0
BLUI.US,60,20250813,190000,25.31,25.31,25.31,25.31,100,0
BLUI.US,60,20250813,200000,25.32,25.33,25.32,25.33,3894,0
BLUI.US,60,20250813,210000,25.33,25.33,25.33,25.33,1112,0
BLUI.US,60,20250813,220000,25.34,25.34,25.34,25.34,100,0
BLUI.US,60,20250814,190000,25.27,25.27,25.27,25.27,5858,0
BLUI.US,60,20250814,200000,25.27,25.29,25.27,25.28,2572,0
BLUI.US,60,20250814,210000,25.29,25.29,25.29,25.29,13940,0
BLUI.US,60,20250814,220000,25.3099,25.31,25.299,25.31,740,0
BLUI.US,60,20250815,170000,25.29,25.29,25.29,25.29,5707,0
BLUI.US,60,20250815,190000,25.29,25.29,25.29,25.29,206,0
BLUI.US,60,20250815,210000,25.29,25.29,25.29,25.29,100,0
BLUI.US,60,20250815,220000,25.29,25.29,25.271,25.2797,830,0
BLUI.US,60,20250818,170000,25.28,25.28,25.28,25.28,100,0
BLUI.US,60,20250818,180000,25.26,25.26,25.26,25.26,100,0
BLUI.US,60,20250818,190000,25.2401,25.27,25.2401,25.26,11617,0
BLUI.US,60,20250818,210000,25.24,25.24,25.24,25.24,469,0
BLUI.US,60,20250818,220000,25.26,25.26,25.26,25.26,192,0
BLUI.US,60,20250819,170000,25.31,25.31,25.31,25.31,100,0
BLUI.US,60,20250819,180000,25.3,25.3,25.29,25.29,20353,0
BLUI.US,60,20250819,220000,25.31,25.31,25.31,25.31,8185,0
BLUI.US,60,20250820,160000,25.36,25.36,25.36,25.36,5605,0
BLUI.US,60,20250820,170000,25.34,25.34,25.34,25.34,100,0
BLUI.US,60,20250820,180000,25.34,25.34,25.34,25.34,167,0
BLUI.US,60,20250820,190000,25.34,25.34,25.34,25.34,13731,0
BLUI.US,60,20250820,220000,25.35,25.35,25.35,25.35,600,0
BLUI.US,60,20250821,180000,25.31,25.31,25.3,25.3,806,0
BLUI.US,60,20250821,210000,25.301,25.301,25.301,25.301,167,0
BLUI.US,60,20250821,220000,25.3108,25.3108,25.3108,25.3108,166,0
BLUI.US,60,20250822,180000,25.48,25.48,25.48,25.48,124,0
BLUI.US,60,20250822,190000,25.49,25.49,25.49,25.49,1781,0
BLUI.US,60,20250822,210000,25.47,25.48,25.47,25.48,2972,0
BLUI.US,60,20250825,200000,25.44,25.44,25.44,25.44,8776,0
BLUI.US,60,20250825,210000,25.43,25.43,25.43,25.43,182,0
BLUI.US,60,20250825,220000,25.43,25.43,25.43,25.43,117,0
BLUI.US,60,20250826,190000,25.41,25.41,25.41,25.41,112,0
BLUI.US,60,20250827,170000,25.43,25.43,25.43,25.43,100,0
BLUI.US,60,20250827,180000,25.4581,25.4581,25.44,25.44,4031,0
BLUI.US,60,20250827,220000,25.46,25.46,25.46,25.46,725,0
BLUI.US,60,20250829,180000,25.35,25.35,25.35,25.35,100,0
BLUI.US,60,20250829,190000,25.35,25.37,25.35,25.3699,640,0
BLUI.US,60,20250829,220000,25.35,25.35,25.3454,25.3454,436,0
BLUI.US,60,20250902,170000,25.28,25.28,25.28,25.28,100,0
BLUI.US,60,20250902,180000,25.26,25.26,25.26,25.26,3411,0
BLUI.US,60,20250902,190000,25.25,25.25,25.25,25.25,779,0
BLUI.US,60,20250902,200000,25.2499,25.261,25.24,25.261,687,0
BLUI.US,60,20250903,170000,25.29,25.31,25.28,25.31,6409,0
BLUI.US,60,20250903,190000,25.3,25.3,25.3,25.3,320,0
BLUI.US,60,20250903,200000,25.3078,25.3078,25.271,25.271,525,0
BLUI.US,60,20250903,220000,25.29,25.29,25.29,25.29,100,0
