<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BOBP.US,60,20250522,160000,24.61,24.61,24.529,24.529,1500,0
BOBP.US,60,20250523,170000,24.5,24.5,24.3954,24.409,2450,0
BOBP.US,60,20250523,180000,24.38,24.44,24.38,24.43,1650,0
BOBP.US,60,20250523,190000,24.42,24.42,24.42,24.42,100,0
BOBP.US,60,20250527,180000,24.76,24.76,24.76,24.76,810,0
BOBP.US,60,20250527,190000,24.76,24.77,24.76,24.77,1423,0
BOBP.US,60,20250528,160000,24.809,24.809,24.809,24.809,121,0
BOBP.US,60,20250528,170000,24.81,24.81,24.7785,24.7785,1714,0
BOBP.US,60,20250528,200000,24.71,24.71,24.709,24.709,900,0
BOBP.US,60,20250528,210000,24.689,24.689,24.689,24.689,400,0
BOBP.US,60,20250529,170000,24.67,24.67,24.67,24.67,150,0
BOBP.US,60,20250529,180000,24.65,24.65,24.64,24.64,2100,0
BOBP.US,60,20250529,200000,24.615,24.615,24.615,24.615,200,0
BOBP.US,60,20250529,210000,24.615,24.62,24.615,24.62,2200,0
BOBP.US,60,20250530,160000,24.709,24.709,24.709,24.709,162,0
BOBP.US,60,20250530,170000,24.73,24.73,24.6209,24.6209,1800,0
BOBP.US,60,20250602,160000,24.5164,24.5164,24.5164,24.5164,330,0
BOBP.US,60,20250602,220000,24.68,24.68,24.68,24.68,6000,0
BOBP.US,60,20250603,160000,24.62,24.62,24.62,24.62,350,0
BOBP.US,60,20250603,170000,24.69,24.69,24.69,24.69,2722,0
BOBP.US,60,20250603,180000,24.69,24.69,24.69,24.69,3000,0
BOBP.US,60,20250604,170000,24.8,24.8,24.8,24.8,4500,0
BOBP.US,60,20250605,160000,24.695,24.695,24.65,24.65,2843,0
BOBP.US,60,20250605,170000,24.68,24.68,24.68,24.68,2000,0
BOBP.US,60,20250605,220000,24.72,24.72,24.72,24.72,200,0
BOBP.US,60,20250606,160000,24.84,24.84,24.84,24.84,322,0
BOBP.US,60,20250606,220000,24.9,24.9,24.9,24.9,1500,0
BOBP.US,60,20250609,160000,24.88,24.88,24.88,24.88,4000,0
BOBP.US,60,20250609,170000,24.8053,24.8053,24.8053,24.8053,321,0
BOBP.US,60,20250609,180000,24.78,24.78,24.78,24.78,100,0
BOBP.US,60,20250609,190000,24.88,24.92,24.87,24.92,5200,0
BOBP.US,60,20250609,200000,24.92,24.92,24.92,24.92,100,0
BOBP.US,60,20250609,220000,24.84,24.84,24.84,24.84,1920,0
BOBP.US,60,20250610,160000,24.8601,24.8601,24.8601,24.8601,930,0
BOBP.US,60,20250610,170000,24.89,24.97,24.89,24.97,300,0
BOBP.US,60,20250610,180000,24.9401,24.97,24.9401,24.97,500,0
BOBP.US,60,20250610,220000,24.92,24.95,24.92,24.95,2592,0
BOBP.US,60,20250611,160000,24.9899,24.9899,24.9599,24.9699,1397,0
BOBP.US,60,20250611,170000,24.9501,24.9501,24.95,24.95,630,0
BOBP.US,60,20250611,180000,24.9799,24.9799,24.94,24.94,1781,0
BOBP.US,60,20250611,190000,24.9399,24.9399,24.9399,24.9399,100,0
BOBP.US,60,20250611,220000,24.88,24.88,24.88,24.88,2013,0
BOBP.US,60,20250612,160000,24.8699,24.87,24.8699,24.87,1450,0
BOBP.US,60,20250612,170000,24.8603,24.91,24.8603,24.9,1366,0
BOBP.US,60,20250612,180000,24.9,24.9,24.9,24.9,500,0
BOBP.US,60,20250612,210000,24.94,24.94,24.94,24.94,2007,0
BOBP.US,60,20250612,220000,24.93,24.95,24.93,24.95,2606,0
BOBP.US,60,20250613,160000,24.9399,24.9399,24.8699,24.8699,1410,0
BOBP.US,60,20250613,170000,24.8499,24.8899,24.8499,24.8899,400,0
BOBP.US,60,20250613,180000,24.89,24.92,24.89,24.92,1000,0
BOBP.US,60,20250613,190000,24.91,24.9599,24.91,24.9599,600,0
BOBP.US,60,20250613,200000,24.81,24.81,24.81,24.81,100,0
BOBP.US,60,20250613,220000,24.7,24.7,24.69,24.69,2814,0
BOBP.US,60,20250616,160000,24.8601,24.92,24.86,24.92,2000,0
BOBP.US,60,20250616,200000,24.9299,24.9299,24.9299,24.9299,1000,0
BOBP.US,60,20250616,220000,24.85,24.85,24.85,24.85,1066,0
BOBP.US,60,20250617,160000,24.83,24.83,24.8,24.8,1000,0
BOBP.US,60,20250617,180000,24.78,24.78,24.78,24.78,500,0
BOBP.US,60,20250617,190000,24.77,24.84,24.77,24.84,1500,0
BOBP.US,60,20250618,160000,24.71,24.71,24.7,24.71,1500,0
BOBP.US,60,20250618,170000,24.7,24.7,24.6918,24.7,800,0
BOBP.US,60,20250618,180000,24.71,24.71,24.71,24.71,500,0
BOBP.US,60,20250620,160000,24.77,24.77,24.77,24.77,500,0
BOBP.US,60,20250620,170000,24.77,24.77,24.75,24.75,1009,0
BOBP.US,60,20250620,180000,24.75,24.77,24.75,24.75,1100,0
BOBP.US,60,20250620,200000,24.71,24.71,24.71,24.71,100,0
BOBP.US,60,20250620,220000,24.68,24.68,24.68,24.68,384,0
BOBP.US,60,20250623,160000,24.73,24.73,24.73,24.73,2000,0
BOBP.US,60,20250623,170000,24.73,24.8,24.73,24.8,1415,0
BOBP.US,60,20250623,180000,24.76,24.76,24.76,24.76,70603,0
BOBP.US,60,20250623,220000,24.8,24.8,24.8,24.8,489,0
BOBP.US,60,20250624,160000,24.87,24.87,24.86,24.86,2000,0
BOBP.US,60,20250624,170000,24.9,24.91,24.9,24.91,1920,0
BOBP.US,60,20250624,210000,25.02,25.02,25.02,25.02,126012,0
BOBP.US,60,20250625,170000,24.98,24.98,24.91,24.919,2100,0
BOBP.US,60,20250625,180000,24.85,24.85,24.85,24.85,100,0
BOBP.US,60,20250625,210000,24.85,24.85,24.85,24.85,100,0
BOBP.US,60,20250625,220000,24.87,24.92,24.87,24.92,1528,0
BOBP.US,60,20250626,160000,24.841,24.9195,24.841,24.9155,455,0
BOBP.US,60,20250626,170000,24.87,24.87,24.87,24.87,500,0
BOBP.US,60,20250626,190000,24.9,24.9,24.9,24.9,100,0
BOBP.US,60,20250626,200000,24.87,24.87,24.87,24.87,574,0
BOBP.US,60,20250630,160000,24.94,25,24.94,25,2500,0
BOBP.US,60,20250630,190000,25,25,25,25,200,0
BOBP.US,60,20250630,200000,25,25,25,25,139,0
BOBP.US,60,20250630,220000,25.02,25.02,25.02,25.02,500,0
BOBP.US,60,20250701,180000,25.09,25.19,25.09,25.19,952,0
BOBP.US,60,20250701,220000,25.15,25.17,25.111,25.17,2846,0
BOBP.US,60,20250702,160000,25.07,25.07,25.07,25.07,500,0
BOBP.US,60,20250702,170000,25.09,25.09,25.09,25.09,1000,0
BOBP.US,60,20250702,180000,25.07,25.07,25.07,25.07,500,0
BOBP.US,60,20250703,170000,25.245,25.245,25.245,25.245,147,0
BOBP.US,60,20250703,180000,25.26,25.26,25.25,25.25,3998,0
BOBP.US,60,20250707,160000,25.3,25.3,25.3,25.3,1000,0
BOBP.US,60,20250707,170000,25.26,25.26,25.26,25.26,100,0
BOBP.US,60,20250707,180000,25.2,25.26,25.19,25.19,1850,0
BOBP.US,60,20250708,170000,25.16,25.16,25.16,25.16,461,0
BOBP.US,60,20250708,180000,25.18,25.18,25.18,25.18,100,0
BOBP.US,60,20250709,190000,25.2024,25.2024,25.16,25.2,534,0
BOBP.US,60,20250710,160000,25.25,25.3,25.2493,25.3,1700,0
BOBP.US,60,20250711,220000,25.35,25.35,25.17,25.17,200,0
BOBP.US,60,20250714,170000,25.16,25.16,25.15,25.15,1097,0
BOBP.US,60,20250715,160000,25.31,25.31,25.31,25.31,100,0
BOBP.US,60,20250715,180000,25.19,25.19,25.19,25.19,1000,0
BOBP.US,60,20250716,170000,25.05,25.05,25.05,25.05,1000,0
BOBP.US,60,20250716,180000,24.98,24.98,24.9524,24.9524,912,0
BOBP.US,60,20250717,170000,25.19,25.19,25.19,25.19,100,0
BOBP.US,60,20250717,180000,25.19,25.19,25.19,25.19,100,0
BOBP.US,60,20250717,200000,25.22,25.22,25.22,25.22,100,0
BOBP.US,60,20250717,220000,25.309,25.309,25.309,25.309,256,0
BOBP.US,60,20250718,200000,25.3127,25.3127,25.3127,25.3127,361,0
BOBP.US,60,20250721,170000,25.39,25.39,25.39,25.39,100,0
BOBP.US,60,20250721,180000,25.4201,25.4878,25.4201,25.4878,761,0
BOBP.US,60,20250721,200000,25.46,25.46,25.46,25.46,100,0
BOBP.US,60,20250722,170000,25.3486,25.3486,25.3486,25.3486,291,0
BOBP.US,60,20250722,190000,25.32,25.32,25.32,25.32,100,0
BOBP.US,60,20250722,220000,25.345,25.35,25.345,25.35,1218,0
BOBP.US,60,20250723,180000,25.42,25.42,25.42,25.42,100,0
BOBP.US,60,20250724,160000,25.47,25.47,25.47,25.47,200,0
BOBP.US,60,20250724,190000,25.469,25.469,25.469,25.469,115,0
BOBP.US,60,20250725,160000,25.5538,25.5538,25.5538,25.5538,361,0
BOBP.US,60,20250725,180000,25.51,25.51,25.51,25.51,100,0
BOBP.US,60,20250725,190000,25.54,25.55,25.54,25.55,681,0
BOBP.US,60,20250728,160000,25.57,25.57,25.57,25.57,500,0
BOBP.US,60,20250728,170000,25.58,25.58,25.58,25.58,100,0
BOBP.US,60,20250729,180000,25.56,25.56,25.48,25.48,43515,0
BOBP.US,60,20250729,200000,25.46,25.46,25.46,25.46,100,0
BOBP.US,60,20250730,170000,25.58,25.58,25.58,25.58,500,0
BOBP.US,60,20250730,180000,25.5602,25.5602,25.5602,25.5602,686,0
BOBP.US,60,20250730,210000,25.56,25.56,25.48,25.48,535,0
BOBP.US,60,20250730,220000,25.4101,25.4101,25.4101,25.4101,270,0
BOBP.US,60,20250731,180000,25.56,25.56,25.56,25.56,100,0
BOBP.US,60,20250731,210000,25.47,25.47,25.47,25.47,100,0
BOBP.US,60,20250731,220000,25.57,25.57,25.57,25.57,297,0
BOBP.US,60,20250801,160000,25.03,25.03,25.03,25.03,300,0
BOBP.US,60,20250804,200000,25.5,25.5,25.5,25.5,139852,0
BOBP.US,60,20250804,210000,25.4701,25.5,25.47,25.47,8288,0
BOBP.US,60,20250805,160000,25.6598,25.6598,25.6598,25.6598,144,0
BOBP.US,60,20250805,180000,25.44,25.44,25.44,25.44,100,0
BOBP.US,60,20250805,190000,25.45,25.45,25.45,25.45,500,0
BOBP.US,60,20250806,180000,25.43,25.43,25.43,25.43,100,0
BOBP.US,60,20250806,220000,25.49,25.49,25.49,25.49,300,0
BOBP.US,60,20250808,170000,25.4992,25.4992,25.4992,25.4992,200,0
BOBP.US,60,20250811,160000,25.56,25.56,25.56,25.56,220,0
BOBP.US,60,20250811,170000,25.5,25.5,25.5,25.5,100,0
BOBP.US,60,20250811,220000,25.36,25.36,25.36,25.36,100,0
BOBP.US,60,20250812,170000,25.52,25.52,25.52,25.52,100,0
BOBP.US,60,20250812,180000,25.61,25.61,25.6,25.6,1975,0
BOBP.US,60,20250812,200000,25.65,25.65,25.65,25.65,2876,0
BOBP.US,60,20250812,210000,25.68,25.68,25.68,25.68,100,0
