<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BRIE.US,60,20251023,160000,25,25,25,25,200,0
BRIE.US,60,20251023,180000,25.07,25.09,25.07,25.09,7500,0
BRIE.US,60,20251023,220000,25.14,25.14,25.09,25.09,500,0
BRIE.US,60,20251024,170000,25.1659,25.1659,25.1659,25.1659,2445,0
BRIE.US,60,20251024,180000,25.2,25.2,25.18,25.1893,7907,0
BRIE.US,60,20251024,190000,25.185,25.185,25.18,25.18,300,0
BRIE.US,60,20251024,210000,25.2,25.205,25.2,25.205,2040,0
BRIE.US,60,20251024,220000,25.185,25.185,25.185,25.185,100,0
BRIE.US,60,20251027,150000,25.27,25.3,25.27,25.3,1100,0
BRIE.US,60,20251027,160000,25.37,25.37,25.37,25.37,1700,0
BRIE.US,60,20251027,170000,25.38,25.38,25.38,25.38,7500,0
BRIE.US,60,20251028,160000,25.31,25.38,25.31,25.35,8600,0
BRIE.US,60,20251028,200000,25.3599,25.3599,25.355,25.355,450,0
BRIE.US,60,20251028,210000,25.36,25.41,25.3599,25.4099,600,0
BRIE.US,60,20251029,150000,25.41,25.41,25.41,25.41,200,0
BRIE.US,60,20251029,160000,25.39,25.39,25.39,25.39,7700,0
BRIE.US,60,20251029,170000,25.41,25.41,25.41,25.41,100,0
BRIE.US,60,20251029,210000,25.39,25.39,25.24,25.32,3240,0
BRIE.US,60,20251030,160000,25.18,25.18,25.17,25.17,7600,0
BRIE.US,60,20251030,210000,25.17,25.19,25.16,25.16,500,0
BRIE.US,60,20251031,160000,25.14,25.14,25.11,25.11,8492,0
BRIE.US,60,20251031,190000,25.15,25.15,25.15,25.15,2000,0
BRIE.US,60,20251031,200000,25.28,25.28,25.1636,25.1636,1900,0
BRIE.US,60,20251031,210000,25.17,25.21,25.17,25.21,200,0
BRIE.US,60,20251103,160000,25.22,25.22,25.22,25.22,900,0
BRIE.US,60,20251103,170000,25.23,25.23,25.225,25.23,600,0
BRIE.US,60,20251103,190000,25.29,25.29,25.29,25.29,7500,0
BRIE.US,60,20251103,220000,25.2925,25.2925,25.26,25.26,400,0
BRIE.US,60,20251104,160000,25.1,25.1,24.93,24.99,700,0
BRIE.US,60,20251104,170000,25.04,25.07,25.04,25.07,400,0
BRIE.US,60,20251104,180000,25.07,25.075,25.07,25.07,7700,0
BRIE.US,60,20251104,220000,24.96,24.98,24.96,24.98,200,0
BRIE.US,60,20251105,160000,25.05,25.05,25.05,25.05,900,0
