<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSOL.US,60,20251028,150000,26.5,26.6,26.37,26.559,326885,0
BSOL.US,60,20251028,160000,26.545,26.58,25.755,26.1298,506115,0
BSOL.US,60,20251028,170000,26.12,26.2596,25.98,26.0394,274798,0
BSOL.US,60,20251028,180000,26.02,26.279,25.92,26.165,403095,0
BSOL.US,60,20251028,190000,26.17,26.31,26.15,26.295,197660,0
BSOL.US,60,20251028,200000,26.295,26.345,26.03,26.14,137777,0
BSOL.US,60,20251028,210000,26.145,26.21,25.49,25.55,189874,0
BSOL.US,60,20251029,150000,26.4,26.41,26.1,26.3099,279586,0
BSOL.US,60,20251029,160000,26.31,26.31,26.01,26.21,339364,0
BSOL.US,60,20251029,170000,26.24,26.32,25.71,25.7598,408653,0
BSOL.US,60,20251029,180000,25.75,25.78,25.51,25.5764,362393,0
BSOL.US,60,20251029,190000,25.58,26.07,25.54,26.07,345052,0
BSOL.US,60,20251029,200000,26.13,26.18,24.88,25.4091,329087,0
BSOL.US,60,20251029,210000,25.4,25.58,25.07,25.16,454279,0
BSOL.US,60,20251030,150000,24.58,24.61,24.2,24.26,243751,0
BSOL.US,60,20251030,160000,24.31,24.58,24.31,24.53,303828,0
BSOL.US,60,20251030,170000,24.53,24.56,24.15,24.21,244496,0
BSOL.US,60,20251030,180000,24.18,24.4,24.08,24.22,230171,0
BSOL.US,60,20251030,190000,24.22,24.25,23.75,24.0694,230179,0
BSOL.US,60,20251030,200000,24.05,24.0841,23.67,23.7595,135964,0
BSOL.US,60,20251030,210000,23.735,23.79,23.395,23.44,215494,0
BSOL.US,60,20251031,150000,24.489,24.72,24.3106,24.6697,397917,0
BSOL.US,60,20251031,160000,24.67,24.8,24.49,24.73,305651,0
BSOL.US,60,20251031,170000,24.74,24.89,24.6,24.635,356256,0
BSOL.US,60,20251031,180000,24.63,24.69,24.1701,24.2017,284894,0
BSOL.US,60,20251031,190000,24.17,24.34,24.1,24.28,109104,0
BSOL.US,60,20251031,200000,24.275,24.42,24.165,24.35,108039,0
BSOL.US,60,20251031,210000,24.32,24.76,24.23,24.61,640607,0
BSOL.US,60,20251103,160000,23.005,23.1,22.89,23.08,385000,0
BSOL.US,60,20251103,170000,23.105,23.14,21.72,21.83,621144,0
BSOL.US,60,20251103,180000,21.82,22.1395,21.7025,22.065,325905,0
BSOL.US,60,20251103,190000,22.06,22.3791,22.0101,22.237,252756,0
BSOL.US,60,20251103,200000,22.24,22.26,21.96,21.96,204660,0
BSOL.US,60,20251103,210000,21.97,22.01,21.81,21.8334,199349,0
