<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BWNB.US,60,20240411,160000,14.01,14.78,13.97,14.5,12000,0
BWNB.US,60,20240411,170000,14.31,14.7,14.26,14.7,6949,0
BWNB.US,60,20240411,180000,14.45,14.45,14.45,14.45,100,0
BWNB.US,60,20240411,190000,14.26,14.27,14.26,14.27,1400,0
BWNB.US,60,20240411,200000,14.16,14.315,14.16,14.305,1174,0
BWNB.US,60,20240411,210000,14.23,14.44,14,14,7874,0
BWNB.US,60,20240411,220000,14,14.36,13.98,14.14,3001,0
BWNB.US,60,20240412,160000,14.33,14.37,14.13,14.26,850,0
BWNB.US,60,20240412,170000,14.1,14.375,14.1,14.375,1212,0
BWNB.US,60,20240412,180000,14.25,14.34,14.25,14.34,1908,0
BWNB.US,60,20240412,190000,14.25,14.25,14.25,14.25,100,0
BWNB.US,60,20240412,200000,14.3,14.3,14.25,14.25,1792,0
BWNB.US,60,20240412,210000,14.25,14.34,14.2,14.33,2073,0
BWNB.US,60,20240412,220000,14.21,14.34,14.04,14.2,3591,0
BWNB.US,60,20240415,160000,14.2,14.2,14.2,14.2,200,0
BWNB.US,60,20240415,170000,14.43,14.43,14.43,14.43,200,0
BWNB.US,60,20240415,180000,14.085,14.5,14.06,14.12,3563,0
BWNB.US,60,20240415,190000,14.28,14.29,14,14.29,1688,0
BWNB.US,60,20240415,200000,14.01,14.2,13.9,14.17,2933,0
BWNB.US,60,20240415,210000,14.12,14.25,14.03,14.05,12658,0
BWNB.US,60,20240415,220000,14.07,14.08,14.025,14.06,3737,0
BWNB.US,60,20240416,160000,14.2,14.2,14.2,14.2,100,0
BWNB.US,60,20240416,170000,14.21,14.21,14.08,14.1,600,0
BWNB.US,60,20240416,180000,14.1,14.1,14.09,14.09,1038,0
BWNB.US,60,20240416,190000,14.1599,14.39,14.08,14.1,1600,0
BWNB.US,60,20240416,200000,14.15,14.15,14.15,14.15,300,0
BWNB.US,60,20240416,210000,14.08,14.09,13.94,14.08,6500,0
BWNB.US,60,20240416,220000,14.05,14.31,13.8,14.14,3746,0
BWNB.US,60,20240417,160000,14.5,14.5,14.5,14.5,245,0
BWNB.US,60,20240417,170000,14.2,14.2,14.2,14.2,750,0
BWNB.US,60,20240417,180000,13.99,14.3,13.94,14.09,2725,0
BWNB.US,60,20240417,190000,14.09,14.24,13.91,13.91,1993,0
BWNB.US,60,20240417,200000,13.86,13.92,13.85,13.92,1400,0
BWNB.US,60,20240417,210000,13.95,13.95,13.91,13.91,270,0
BWNB.US,60,20240417,220000,14.06,14.09,13.85,13.95,4871,0
BWNB.US,60,20240418,160000,14.41,14.41,14.14,14.14,400,0
BWNB.US,60,20240418,170000,14.12,14.12,13.88,13.88,489,0
BWNB.US,60,20240418,180000,13.9131,14.11,13.9001,14,1964,0
BWNB.US,60,20240418,190000,14.1,14.155,14.1,14.1321,1104,0
BWNB.US,60,20240418,200000,14.1,14.1,14,14,2700,0
BWNB.US,60,20240418,220000,14.0095,14.15,14,14.12,1043,0
BWNB.US,60,20240419,160000,14.25,14.25,14.25,14.25,100,0
BWNB.US,60,20240419,180000,14.1269,14.1269,14.1269,14.1269,180,0
BWNB.US,60,20240419,190000,14.1,14.29,14.01,14.2,600,0
BWNB.US,60,20240419,210000,14.023,14.065,14.023,14.0501,1480,0
BWNB.US,60,20240419,220000,14.0239,14.28,14.0239,14.28,700,0
BWNB.US,60,20240422,160000,14.5,14.5,14.5,14.5,100,0
BWNB.US,60,20240422,170000,14.5,14.5,13.8001,14.09,2872,0
BWNB.US,60,20240422,180000,14.09,14.31,13.902,14.31,1300,0
BWNB.US,60,20240422,190000,14.06,14.2,14.06,14.1875,3498,0
BWNB.US,60,20240422,200000,14.08,14.28,14.08,14.09,1400,0
BWNB.US,60,20240422,210000,14.185,14.28,14.185,14.28,1100,0
BWNB.US,60,20240422,220000,14.2313,14.26,14.07,14.24,2730,0
BWNB.US,60,20240423,160000,14.81,14.81,14.81,14.81,100,0
BWNB.US,60,20240423,180000,14.39,14.4,14.39,14.4,400,0
BWNB.US,60,20240423,200000,14.375,14.4999,14.2501,14.47,3800,0
BWNB.US,60,20240423,210000,14.28,14.45,13.945,13.95,27470,0
BWNB.US,60,20240423,220000,13.95,14,13.8506,13.86,17893,0
BWNB.US,60,20240424,160000,13.91,14.33,13.91,14.25,24741,0
