<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CMS.US,60,20240411,160000,58.44,58.48,57.94,58.11,48921,0
CMS.US,60,20240411,170000,58.105,58.105,57.76,57.76,69265,0
CMS.US,60,20240411,180000,57.75,57.95,57.635,57.93,56950,0
CMS.US,60,20240411,190000,57.925,57.995,57.875,57.98,47997,0
CMS.US,60,20240411,200000,57.97,58.23,57.94,58.205,48307,0
CMS.US,60,20240411,210000,58.205,58.335,58.205,58.21,70690,0
CMS.US,60,20240411,220000,58.205,58.215,57.86,57.88,715849,0
CMS.US,60,20240412,160000,57.89,58.17,57.755,58.03,41055,0
CMS.US,60,20240412,170000,58.03,58.25,57.95,58.05,115922,0
CMS.US,60,20240412,180000,58.07,58.16,57.85,57.95,62299,0
CMS.US,60,20240412,190000,57.95,58.075,57.68,57.695,124684,0
CMS.US,60,20240412,200000,57.69,57.75,57.4,57.745,102738,0
CMS.US,60,20240412,210000,57.74,57.8,57.59,57.6,87781,0
CMS.US,60,20240412,220000,57.59,57.7,57.505,57.66,458406,0
CMS.US,60,20240415,160000,57.96,58.12,57.605,57.75,64317,0
CMS.US,60,20240415,170000,57.76,57.76,57.23,57.32,88164,0
CMS.US,60,20240415,180000,57.31,57.73,57.27,57.685,200798,0
CMS.US,60,20240415,190000,57.68,57.795,57.6,57.71,87534,0
CMS.US,60,20240415,200000,57.705,57.795,57.3,57.375,125915,0
CMS.US,60,20240415,210000,57.37,57.38,57.16,57.365,246774,0
CMS.US,60,20240415,220000,57.365,57.67,57.305,57.61,910624,0
CMS.US,60,20240416,160000,57.42,57.62,56.87,56.89,65294,0
CMS.US,60,20240416,170000,56.88,56.9,56.61,56.83,161329,0
CMS.US,60,20240416,180000,56.825,57.2,56.71,57.04,127901,0
CMS.US,60,20240416,190000,57.04,57.185,56.92,57.12,111165,0
CMS.US,60,20240416,200000,57.12,57.12,56.73,56.98,139754,0
CMS.US,60,20240416,210000,56.98,57.18,56.8,57.09,117705,0
CMS.US,60,20240416,220000,57.1,57.1,56.725,56.89,765684,0
CMS.US,60,20240417,160000,57.33,57.62,57.24,57.54,47342,0
CMS.US,60,20240417,170000,57.53,57.66,57.17,57.29,123879,0
CMS.US,60,20240417,180000,57.3,57.51,57.23,57.37,129622,0
CMS.US,60,20240417,190000,57.38,57.79,57.33,57.77,120004,0
CMS.US,60,20240417,200000,57.775,57.96,57.75,57.92,104587,0
CMS.US,60,20240417,210000,57.92,58.25,57.91,58.095,150345,0
CMS.US,60,20240417,220000,58.07,58.33,57.995,58.25,835586,0
CMS.US,60,20240418,160000,58.39,58.6,58.1,58.27,45103,0
CMS.US,60,20240418,170000,58.32,58.32,57.91,57.97,73471,0
CMS.US,60,20240418,180000,57.95,58.07,57.86,57.885,76011,0
CMS.US,60,20240418,190000,57.89,58,57.835,57.84,96090,0
CMS.US,60,20240418,200000,57.85,58.095,57.815,58.08,108135,0
CMS.US,60,20240418,210000,58.07,58.35,58.02,58.32,121948,0
CMS.US,60,20240418,220000,58.33,58.56,58.29,58.48,1118233,0
CMS.US,60,20240419,160000,58.68,58.98,58.68,58.9,92351,0
CMS.US,60,20240419,170000,58.9,59.355,58.77,59.29,76973,0
CMS.US,60,20240419,180000,59.31,59.49,59.3,59.485,100064,0
CMS.US,60,20240419,190000,59.48,59.59,59.3492,59.57,78420,0
CMS.US,60,20240419,200000,59.585,59.68,59.49,59.505,53207,0
CMS.US,60,20240419,210000,59.5,59.54,59.29,59.54,135194,0
CMS.US,60,20240419,220000,59.53,59.58,59.395,59.55,289477,0
CMS.US,60,20240422,160000,59.29,59.44,59.09,59.4,52917,0
CMS.US,60,20240422,170000,59.36,59.83,59.33,59.74,186092,0
CMS.US,60,20240422,180000,59.74,59.81,59.62,59.72,219478,0
CMS.US,60,20240422,190000,59.73,59.91,59.71,59.9,137720,0
CMS.US,60,20240422,200000,59.905,60.18,59.865,60.18,206095,0
CMS.US,60,20240422,210000,60.175,60.34,60.12,60.2,147927,0
CMS.US,60,20240422,220000,60.18,60.22,59.86,60,1846913,0
CMS.US,60,20240423,160000,59.8,60.4,59.75,60.104,90610,0
CMS.US,60,20240423,170000,60.11,60.29,60.09,60.21,253845,0
CMS.US,60,20240423,180000,60.22,60.45,60.17,60.39,220289,0
CMS.US,60,20240423,190000,60.4,60.43,60.275,60.31,121720,0
CMS.US,60,20240423,200000,60.32,60.39,60.21,60.2599,354024,0
CMS.US,60,20240423,210000,60.26,60.28,59.97,60.01,240700,0
CMS.US,60,20240423,220000,60.01,60.075,59.8,59.91,1158253,0
CMS.US,60,20240424,160000,59.58,59.74,59.24,59.72,97846,0
CMS.US,60,20240424,170000,59.72,60.055,59.65,59.88,192949,0
CMS.US,60,20240424,180000,59.875,60.24,59.86,60.185,232477,0
CMS.US,60,20240424,190000,60.19,60.3375,60.11,60.115,252225,0
CMS.US,60,20240424,200000,60.105,60.265,60.07,60.18,460180,0
CMS.US,60,20240424,210000,60.18,60.315,60.13,60.255,926181,0
CMS.US,60,20240424,220000,60.25,60.41,60.1,60.28,2256195,0
CMS.US,60,20240425,160000,60.92,60.92,59.475,59.605,160763,0
CMS.US,60,20240425,170000,59.61,60.48,59.03,60.4,871015,0
CMS.US,60,20240425,180000,60.36,60.53,60.08,60.15,341555,0
CMS.US,60,20240425,190000,60.14,60.36,60.1,60.235,272411,0
CMS.US,60,20240425,200000,60.23,60.58,60.185,60.375,427032,0
CMS.US,60,20240425,210000,60.38,60.44,60.16,60.35,261334,0
CMS.US,60,20240425,220000,60.36,60.665,60.345,60.48,1483676,0
CMS.US,60,20240426,160000,60.65,60.65,59.76,59.815,65523,0
CMS.US,60,20240426,170000,59.79,59.97,59.515,59.61,124189,0
CMS.US,60,20240426,180000,59.6,59.86,59.46,59.495,129537,0
CMS.US,60,20240426,190000,59.49,59.775,59.415,59.68,254400,0
CMS.US,60,20240426,200000,59.67,59.76,59.48,59.575,106890,0
CMS.US,60,20240426,210000,59.575,59.6928,59.56,59.67,109613,0
CMS.US,60,20240426,220000,59.675,59.745,59.315,59.34,1028240,0
CMS.US,60,20240429,160000,59.68,60.07,59.61,59.62,48752,0
CMS.US,60,20240429,170000,59.61,59.855,59.46,59.82,111185,0
CMS.US,60,20240429,180000,59.83,59.95,59.71,59.93,90463,0
CMS.US,60,20240429,190000,59.93,60.2,59.93,60.11,96254,0
CMS.US,60,20240429,200000,60.115,60.19,60.07,60.105,96229,0
CMS.US,60,20240429,210000,60.1,60.16,59.95,60.045,113055,0
CMS.US,60,20240429,220000,60.04,60.21,59.835,60.2,2647942,0
CMS.US,60,20240430,160000,59.81,60.14,59.49,60.105,70607,0
CMS.US,60,20240430,170000,60.105,60.22,59.93,60.19,123415,0
CMS.US,60,20240430,180000,60.19,60.4,60.025,60.39,125548,0
CMS.US,60,20240430,190000,60.385,60.69,60.37,60.61,195963,0
CMS.US,60,20240430,200000,60.625,60.97,60.52,60.855,332603,0
CMS.US,60,20240430,210000,60.855,60.92,60.695,60.835,279802,0
CMS.US,60,20240430,220000,60.835,60.86,60.49,60.61,1670090,0
CMS.US,60,20240501,160000,60.48,60.66,60.16,60.25,57088,0
CMS.US,60,20240501,170000,60.28,60.6,60.19,60.415,68093,0
CMS.US,60,20240501,180000,60.42,60.74,60.42,60.675,154850,0
CMS.US,60,20240501,190000,60.705,60.935,60.68,60.855,141317,0
CMS.US,60,20240501,200000,60.83,60.83,60.58,60.65,1136407,0
CMS.US,60,20240501,210000,60.65,61.19,60.5,61.13,322651,0
CMS.US,60,20240501,220000,61.14,61.16,60.75,60.84,938998,0
CMS.US,60,20240502,160000,61.14,61.36,60.81,61.34,49887,0
CMS.US,60,20240502,170000,61.34,61.44,61,61.01,89706,0
CMS.US,60,20240502,180000,61.0132,61.13,60.89,60.95,153752,0
CMS.US,60,20240502,190000,60.94,61.03,60.89,60.95,56150,0
CMS.US,60,20240502,200000,60.94,61.24,60.94,61.22,63116,0
CMS.US,60,20240502,210000,61.22,61.35,61.19,61.32,50868,0
CMS.US,60,20240502,220000,61.32,61.41,61.015,61.27,658904,0
CMS.US,60,20240506,160000,61.74,61.74,61.14,61.43,43253,0
CMS.US,60,20240506,170000,61.44,61.47,61.23,61.43,168619,0
CMS.US,60,20240506,180000,61.43,61.46,61.24,61.36,158354,0
CMS.US,60,20240506,190000,61.36,61.48,61.29,61.46,92869,0
CMS.US,60,20240506,200000,61.455,61.505,61.39,61.42,54994,0
CMS.US,60,20240506,210000,61.42,61.55,61.38,61.485,126376,0
CMS.US,60,20240506,220000,61.48,61.67,61.42,61.61,728212,0
CMS.US,60,20240507,160000,62.02,62.19,61.61,62.04,127067,0
CMS.US,60,20240507,170000,62.03,62.06,61.87,61.99,207649,0
CMS.US,60,20240507,180000,61.99,61.99,61.67,61.77,91791,0
