<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CNR.US,60,20240411,160000,84,84.57,83.87,84.125,16563,0
CNR.US,60,20240411,170000,83.97,85.11,83.84,84.73,22000,0
CNR.US,60,20240411,180000,84.785,85.27,84.33,84.68,22486,0
CNR.US,60,20240411,190000,84.76,84.821,83.04,83.4,23563,0
CNR.US,60,20240411,200000,83.34,83.3899,81.98,82.27,41073,0
CNR.US,60,20240411,210000,82.27,82.845,81.97,82.78,60103,0
CNR.US,60,20240411,220000,82.82,83.4,82.23,83.37,145837,0
CNR.US,60,20240412,160000,84.09,84.09,83.15,83.685,7915,0
CNR.US,60,20240412,170000,83.53,83.75,82.755,83.055,19201,0
CNR.US,60,20240412,180000,83.15,83.15,82.51,82.51,6776,0
CNR.US,60,20240412,190000,82.7,82.9,82.0788,82.35,17362,0
CNR.US,60,20240412,200000,82.32,82.825,82.23,82.8169,9318,0
CNR.US,60,20240412,210000,82.87,83.32,82.87,83.01,33646,0
CNR.US,60,20240412,220000,83,83.63,82.93,83.61,109915,0
CNR.US,60,20240415,160000,84,84.45,83.09,84.37,15115,0
CNR.US,60,20240415,170000,84.25,85.07,84.03,85.07,49498,0
CNR.US,60,20240415,180000,85.07,85.7731,84.72,85.25,25629,0
CNR.US,60,20240415,190000,85.33,85.58,84.775,85.2408,15579,0
CNR.US,60,20240415,200000,85.13,85.29,84.61,85.245,20337,0
CNR.US,60,20240415,210000,85.2,85.2,84.51,84.72,17168,0
CNR.US,60,20240415,220000,84.76,85.12,84.66,84.96,116971,0
CNR.US,60,20240416,160000,84.69,84.87,83.4,84.68,11321,0
CNR.US,60,20240416,170000,84.64,86.47,84.64,85.94,63725,0
CNR.US,60,20240416,180000,86.05,86.68,85.9,86.495,42059,0
CNR.US,60,20240416,190000,86.475,87.6,86.42,87.27,33568,0
CNR.US,60,20240416,200000,87.2,87.32,86.11,86.64,46265,0
CNR.US,60,20240416,210000,86.75,87.51,86.45,87.51,29079,0
CNR.US,60,20240416,220000,87.515,88.595,87.36,88.4,119599,0
CNR.US,60,20240417,160000,89.4,89.5,88.94,88.97,23680,0
CNR.US,60,20240417,170000,88.485,88.485,87.24,87.44,42029,0
CNR.US,60,20240417,180000,87.5,87.885,85.8,86.35,35192,0
CNR.US,60,20240417,190000,86.34,86.45,85.8601,86.08,30604,0
CNR.US,60,20240417,200000,86.16,86.8991,86.13,86.85,17615,0
CNR.US,60,20240417,210000,86.77,87.1,86.4525,86.65,25776,0
CNR.US,60,20240417,220000,86.65,86.735,85.48,85.52,146591,0
CNR.US,60,20240418,160000,85.6,86.1,84.55,85.715,10019,0
CNR.US,60,20240418,170000,85.82,86.18,85.5,86.18,9324,0
CNR.US,60,20240418,180000,86.17,86.37,85.46,85.46,13996,0
CNR.US,60,20240418,190000,85.55,85.64,84.7,84.89,7742,0
CNR.US,60,20240418,200000,84.91,84.94,84.52,84.635,8079,0
CNR.US,60,20240418,210000,84.62,84.62,83.41,83.41,11607,0
CNR.US,60,20240418,220000,83.4,84.23,83.2,84,116808,0
CNR.US,60,20240419,160000,83.45,84.82,83.45,84.25,12112,0
CNR.US,60,20240419,170000,84.82,84.84,83.69,83.69,7301,0
CNR.US,60,20240419,180000,83.86,84.52,83.56,83.825,17646,0
CNR.US,60,20240419,190000,83.745,83.98,83.65,83.84,30712,0
CNR.US,60,20240419,200000,83.855,84.18,83.745,83.9,9744,0
CNR.US,60,20240419,210000,83.9397,84.01,83.63,83.84,18776,0
CNR.US,60,20240419,220000,83.81,84.14,83.68,84,43517,0
CNR.US,60,20240422,160000,83.67,83.91,82.7434,82.7434,16316,0
CNR.US,60,20240422,170000,82.86,84.03,82.73,83.95,29710,0
CNR.US,60,20240422,180000,83.92,83.95,82.96,83.51,17874,0
CNR.US,60,20240422,190000,83.53,84,83.53,83.8761,8571,0
CNR.US,60,20240422,200000,84,84.59,84,84.41,12468,0
CNR.US,60,20240422,210000,84.6199,84.88,84.52,84.87,6987,0
CNR.US,60,20240422,220000,84.92,85.19,84.1,84.22,63886,0
CNR.US,60,20240423,160000,83.14,83.55,82.75,83.3464,6412,0
CNR.US,60,20240423,170000,83.1,83.1306,81.95,83.0381,21747,0
CNR.US,60,20240423,180000,82.85,83.28,82.69,83.1,15787,0
CNR.US,60,20240423,190000,83.11,83.7699,83.065,83.55,14232,0
CNR.US,60,20240423,200000,83.7055,83.84,83.28,83.7963,16562,0
CNR.US,60,20240423,210000,83.81,83.89,83.45,83.89,18123,0
CNR.US,60,20240423,220000,83.825,84.17,83.79,84.03,69984,0
CNR.US,60,20240424,160000,84.43,84.48,83.55,83.94,11731,0
CNR.US,60,20240424,170000,83.8,83.91,83.13,83.28,8487,0
CNR.US,60,20240424,180000,83.145,83.26,82.595,82.82,18055,0
CNR.US,60,20240424,190000,82.75,83,82.31,82.9654,23702,0
CNR.US,60,20240424,200000,82.875,83.37,82.725,83.37,7516,0
CNR.US,60,20240424,210000,83.27,83.38,82.92,83.24,14739,0
CNR.US,60,20240424,220000,83.25,83.68,82.825,83.43,109404,0
CNR.US,60,20240425,160000,83.64,83.65,82.63,83.2061,18510,0
CNR.US,60,20240425,170000,82.78,84.14,82.73,84.14,44601,0
CNR.US,60,20240425,180000,84.0425,86.12,84.0425,86.1,51440,0
CNR.US,60,20240425,190000,86.18,86.22,85.8046,85.94,10240,0
CNR.US,60,20240425,200000,86,86.4,85.84,86.005,16518,0
CNR.US,60,20240425,210000,86.02,86.5,85.8529,86.355,14542,0
CNR.US,60,20240425,220000,86.46,86.86,85.58,86.15,135360,0
CNR.US,60,20240426,160000,86.04,86.68,84.3565,84.765,10499,0
CNR.US,60,20240426,170000,84.36,85,84.3,84.99,16947,0
CNR.US,60,20240426,180000,85.1,85.26,84.61,84.67,14723,0
CNR.US,60,20240426,190000,84.75,86.0102,84.75,85.955,9830,0
CNR.US,60,20240426,200000,86,86.07,85.1,85.44,7172,0
CNR.US,60,20240426,210000,85.385,85.65,85.07,85.07,10746,0
CNR.US,60,20240426,220000,85.08,86.18,84.73,85.73,95523,0
CNR.US,60,20240429,160000,86.38,86.38,85.23,85.82,7631,0
CNR.US,60,20240429,170000,85.835,86.85,85.67,86.75,8684,0
CNR.US,60,20240429,180000,86.74,87.275,86.595,86.85,8646,0
CNR.US,60,20240429,190000,87,87.485,86.59,86.59,9435,0
CNR.US,60,20240429,200000,86.78,87.19,86.67,87.035,26580,0
CNR.US,60,20240429,210000,87.12,87.37,86.84,86.9375,13646,0
CNR.US,60,20240429,220000,86.935,88,86.87,87.87,95074,0
CNR.US,60,20240430,160000,86.95,86.95,85.275,85.42,12622,0
CNR.US,60,20240430,170000,85.06,85.42,84.41,84.41,22115,0
CNR.US,60,20240430,180000,84.355,85.11,84.3225,85.11,17861,0
CNR.US,60,20240430,190000,85,85.06,83.665,83.665,22566,0
CNR.US,60,20240430,200000,83.75,84.05,83.61,83.865,17140,0
CNR.US,60,20240430,210000,83.92,84.21,82.95,82.95,24611,0
CNR.US,60,20240430,220000,83.0426,83.49,82.58,82.76,151727,0
CNR.US,60,20240501,160000,83.34,83.7648,82.53,83.05,17147,0
CNR.US,60,20240501,170000,83.13,83.13,81.415,81.45,22039,0
CNR.US,60,20240501,180000,81.38,81.72,81.09,81.09,25524,0
CNR.US,60,20240501,190000,81.2062,82.01,81.08,81.46,21838,0
CNR.US,60,20240501,200000,81.63,81.75,80.8,81,55704,0
CNR.US,60,20240501,210000,81.24,83.01,81.105,82.85,19899,0
CNR.US,60,20240501,220000,82.84,83.195,81.34,81.42,77204,0
CNR.US,60,20240502,160000,82.29,84.4,81.72,81.72,22836,0
CNR.US,60,20240502,170000,81.68,83.41,81.44,83.41,25904,0
CNR.US,60,20240502,180000,83.275,83.535,82.08,82.345,22761,0
CNR.US,60,20240502,190000,82.34,82.82,82.09,82.58,9095,0
CNR.US,60,20240502,200000,82.65,82.89,82.4,82.4,9982,0
CNR.US,60,20240502,210000,82.47,82.97,82.28,82.425,20127,0
CNR.US,60,20240502,220000,82.42,82.87,81.99,82.2,117787,0
CNR.US,60,20240506,160000,83.9,85.05,83.605,84.9,9239,0
CNR.US,60,20240506,170000,84.86,85.42,84.25,84.355,20883,0
CNR.US,60,20240506,180000,84.13,84.75,84.13,84.75,16713,0
CNR.US,60,20240506,190000,84.73,85.25,84.47,85.24,15446,0
CNR.US,60,20240506,200000,85.215,85.2399,84.76,84.99,19835,0
CNR.US,60,20240506,210000,84.965,85.15,84.69,84.735,28127,0
