<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CTRE.US,60,20240411,160000,23.65,23.75,23.55,23.71,25172,0
CTRE.US,60,20240411,170000,23.71,23.74,23.57,23.57,48022,0
CTRE.US,60,20240411,180000,23.57,23.64,23.5597,23.63,34555,0
CTRE.US,60,20240411,190000,23.62,23.67,23.56,23.67,29807,0
CTRE.US,60,20240411,200000,23.66,23.705,23.61,23.65,35155,0
CTRE.US,60,20240411,210000,23.65,23.755,23.645,23.73,34731,0
CTRE.US,60,20240411,220000,23.725,23.73,23.63,23.69,273176,0
CTRE.US,60,20240412,160000,23.68,23.7,23.57,23.68,26050,0
CTRE.US,60,20240412,170000,23.66,23.79,23.56,23.765,77493,0
CTRE.US,60,20240412,180000,23.765,23.78,23.615,23.67,74245,0
CTRE.US,60,20240412,190000,23.67,23.7,23.585,23.655,43061,0
CTRE.US,60,20240412,200000,23.655,23.755,23.645,23.7,55410,0
CTRE.US,60,20240412,210000,23.705,23.725,23.56,23.6,89778,0
CTRE.US,60,20240412,220000,23.6,23.66,23.545,23.66,233311,0
CTRE.US,60,20240415,160000,23.74,23.8,23.715,23.725,23890,0
CTRE.US,60,20240415,170000,23.71,23.735,23.575,23.67,91682,0
CTRE.US,60,20240415,180000,23.645,23.665,23.5015,23.6,27477,0
CTRE.US,60,20240415,190000,23.61,23.675,23.545,23.61,51677,0
CTRE.US,60,20240415,200000,23.6,23.6,23.4,23.46,33054,0
CTRE.US,60,20240415,210000,23.45,23.465,23.28,23.33,35995,0
CTRE.US,60,20240415,220000,23.33,23.6,23.3,23.56,284545,0
CTRE.US,60,20240416,160000,23.42,23.475,23.32,23.395,20397,0
CTRE.US,60,20240416,170000,23.39,23.5,23.33,23.45,87441,0
CTRE.US,60,20240416,180000,23.455,23.535,23.405,23.505,45777,0
CTRE.US,60,20240416,190000,23.5,23.565,23.5,23.54,47451,0
CTRE.US,60,20240416,200000,23.54,23.555,23.39,23.45,58156,0
CTRE.US,60,20240416,210000,23.45,23.545,23.41,23.505,51139,0
CTRE.US,60,20240416,220000,23.505,23.565,23.44,23.47,227918,0
CTRE.US,60,20240417,160000,23.59,23.64,23.49,23.585,23896,0
CTRE.US,60,20240417,170000,23.58,23.585,23.45,23.465,37251,0
CTRE.US,60,20240417,180000,23.46,23.525,23.38,23.525,72391,0
CTRE.US,60,20240417,190000,23.535,23.535,23.395,23.465,50781,0
CTRE.US,60,20240417,200000,23.46,23.645,23.46,23.635,76637,0
CTRE.US,60,20240417,210000,23.63,23.665,23.545,23.555,69181,0
CTRE.US,60,20240417,220000,23.555,23.585,23.46,23.52,381557,0
CTRE.US,60,20240418,160000,23.5,23.555,23.4,23.555,17667,0
CTRE.US,60,20240418,170000,23.56,23.64,23.55,23.625,49809,0
CTRE.US,60,20240418,180000,23.645,23.655,23.6,23.625,43299,0
CTRE.US,60,20240418,190000,23.62,23.62,23.52,23.52,42452,0
CTRE.US,60,20240418,200000,23.52,23.585,23.495,23.575,50373,0
CTRE.US,60,20240418,210000,23.575,23.66,23.55,23.63,84010,0
CTRE.US,60,20240418,220000,23.635,23.74,23.615,23.74,294234,0
CTRE.US,60,20240419,160000,23.75,23.98,23.74,23.96,32217,0
CTRE.US,60,20240419,170000,23.95,23.97,23.795,23.85,39950,0
CTRE.US,60,20240419,180000,23.84,23.84,23.725,23.73,29731,0
CTRE.US,60,20240419,190000,23.735,23.75,23.61,23.685,32292,0
CTRE.US,60,20240419,200000,23.685,23.715,23.635,23.66,57015,0
CTRE.US,60,20240419,210000,23.665,23.67,23.555,23.61,35646,0
CTRE.US,60,20240419,220000,23.61,23.73,23.6,23.71,187517,0
CTRE.US,60,20240422,160000,23.7,23.76,23.48,23.57,38303,0
CTRE.US,60,20240422,170000,23.575,23.585,23.46,23.49,116082,0
CTRE.US,60,20240422,180000,23.495,23.495,23.335,23.395,171165,0
CTRE.US,60,20240422,190000,23.4,23.405,23.26,23.345,82632,0
CTRE.US,60,20240422,200000,23.35,23.46,23.32,23.43,72783,0
CTRE.US,60,20240422,210000,23.43,23.54,23.39,23.535,65333,0
CTRE.US,60,20240422,220000,23.535,23.655,23.495,23.59,325808,0
CTRE.US,60,20240423,160000,23.64,23.845,23.64,23.83,48809,0
CTRE.US,60,20240423,170000,23.83,23.83,23.575,23.7,104443,0
CTRE.US,60,20240423,180000,23.71,23.845,23.705,23.81,50176,0
CTRE.US,60,20240423,190000,23.805,23.835,23.78,23.8,59559,0
CTRE.US,60,20240423,200000,23.81,23.885,23.77,23.79,59158,0
CTRE.US,60,20240423,210000,23.7925,23.895,23.79,23.85,217850,0
CTRE.US,60,20240423,220000,23.855,23.94,23.84,23.93,385992,0
CTRE.US,60,20240424,160000,23.78,23.975,23.65,23.975,22012,0
CTRE.US,60,20240424,170000,23.95,23.97,23.82,23.87,40327,0
CTRE.US,60,20240424,180000,23.88,23.91,23.83,23.895,37386,0
CTRE.US,60,20240424,190000,23.9,23.915,23.83,23.87,32587,0
CTRE.US,60,20240424,200000,23.86,23.92,23.845,23.915,36974,0
CTRE.US,60,20240424,210000,23.915,23.915,23.8,23.82,51313,0
CTRE.US,60,20240424,220000,23.825,23.89,23.78,23.81,273320,0
CTRE.US,60,20240425,160000,23.66,23.74,23.62,23.74,20888,0
CTRE.US,60,20240425,170000,23.72,23.955,23.66,23.92,78185,0
CTRE.US,60,20240425,180000,23.91,23.925,23.85,23.925,30736,0
CTRE.US,60,20240425,190000,23.92,24,23.875,23.975,76396,0
CTRE.US,60,20240425,200000,23.98,24.015,23.9,23.98,67584,0
CTRE.US,60,20240425,210000,23.97,24.015,23.91,23.955,83853,0
CTRE.US,60,20240425,220000,23.955,23.99,23.91,23.95,325056,0
CTRE.US,60,20240426,160000,24.04,24.23,23.92,24.23,14348,0
CTRE.US,60,20240426,170000,24.245,24.355,24.17,24.285,51981,0
CTRE.US,60,20240426,180000,24.28,24.365,24.24,24.365,29154,0
CTRE.US,60,20240426,190000,24.365,24.44,24.36,24.37,26209,0
CTRE.US,60,20240426,200000,24.375,24.3775,24.305,24.335,25726,0
CTRE.US,60,20240426,210000,24.335,24.37,24.295,24.36,39855,0
CTRE.US,60,20240426,220000,24.36,24.445,24.31,24.31,261322,0
CTRE.US,60,20240429,160000,24.36,24.52,24.36,24.44,65809,0
CTRE.US,60,20240429,170000,24.45,24.645,24.41,24.63,85667,0
CTRE.US,60,20240429,180000,24.605,24.685,24.535,24.565,32952,0
CTRE.US,60,20240429,190000,24.565,24.595,24.505,24.545,27429,0
CTRE.US,60,20240429,200000,24.545,24.6919,24.545,24.665,36063,0
CTRE.US,60,20240429,210000,24.66,24.6669,24.565,24.595,23258,0
CTRE.US,60,20240429,220000,24.59,24.7075,24.54,24.67,181890,0
CTRE.US,60,20240430,160000,24.39,24.73,24.39,24.69,19901,0
CTRE.US,60,20240430,170000,24.7,24.755,24.645,24.745,102185,0
CTRE.US,60,20240430,180000,24.75,24.77,24.47,24.47,72172,0
CTRE.US,60,20240430,190000,24.47,24.725,24.465,24.715,54589,0
CTRE.US,60,20240430,200000,24.71,24.78,24.695,24.78,25660,0
CTRE.US,60,20240430,210000,24.785,24.84,24.745,24.775,90619,0
CTRE.US,60,20240430,220000,24.77,24.795,24.67,24.72,483756,0
CTRE.US,60,20240501,160000,24.62,24.84,24.56,24.84,29308,0
CTRE.US,60,20240501,170000,24.84,24.985,24.82,24.96,45253,0
CTRE.US,60,20240501,180000,24.96,25.125,24.96,25.035,156660,0
CTRE.US,60,20240501,190000,25.02,25.09,24.97,24.985,35975,0
CTRE.US,60,20240501,200000,24.985,25,24.94,24.99,38037,0
CTRE.US,60,20240501,210000,24.97,25.245,24.8615,25.215,64676,0
CTRE.US,60,20240501,220000,25.22,25.24,24.85,24.93,384895,0
CTRE.US,60,20240502,160000,25.18,25.18,24.98,25.125,16574,0
CTRE.US,60,20240502,170000,25.14,25.2,25.1,25.13,44732,0
CTRE.US,60,20240502,180000,25.13,25.2497,25.11,25.195,46193,0
CTRE.US,60,20240502,190000,25.21,25.235,25.185,25.22,25978,0
CTRE.US,60,20240502,200000,25.225,25.305,25.22,25.28,37006,0
CTRE.US,60,20240502,210000,25.28,25.345,25.24,25.335,68825,0
CTRE.US,60,20240502,220000,25.34,25.345,25.2,25.31,446483,0
CTRE.US,60,20240506,160000,25.05,25.2,24.92,24.93,19101,0
CTRE.US,60,20240506,170000,24.935,25.1,24.86,25.045,70217,0
CTRE.US,60,20240506,180000,25.05,25.065,24.9825,25.045,82972,0
CTRE.US,60,20240506,190000,25.045,25.045,24.95,24.97,66782,0
CTRE.US,60,20240506,200000,24.965,24.97,24.91,24.955,46947,0
CTRE.US,60,20240506,210000,24.95,25.005,24.94,24.94,72161,0
CTRE.US,60,20240506,220000,24.945,24.945,24.81,24.87,383934,0
CTRE.US,60,20240507,160000,24.91,25.105,24.81,25.03,18075,0
CTRE.US,60,20240507,170000,25.04,25.05,24.935,24.955,37837,0
CTRE.US,60,20240507,180000,24.955,24.995,24.855,24.905,55466,0
CTRE.US,60,20240507,190000,24.905,24.95,24.86,24.915,77588,0
CTRE.US,60,20240507,200000,24.9101,24.975,24.815,24.835,72196,0
CTRE.US,60,20240507,210000,24.835,24.88,24.77,24.78,74066,0
CTRE.US,60,20240507,220000,24.77,24.88,24.74,24.88,484366,0
CTRE.US,60,20240508,160000,24.85,24.93,24.655,24.655,31358,0
CTRE.US,60,20240508,170000,24.6675,24.835,24.585,24.795,72399,0
CTRE.US,60,20240508,180000,24.79,24.835,24.765,24.785,51744,0
CTRE.US,60,20240508,190000,24.78,24.795,24.625,24.63,41894,0
CTRE.US,60,20240508,200000,24.645,24.715,24.615,24.655,66916,0
CTRE.US,60,20240508,210000,24.655,24.795,24.61,24.775,51067,0
CTRE.US,60,20240508,220000,24.7727,24.89,24.745,24.82,253046,0
CTRE.US,60,20240509,160000,24.92,24.92,24.75,24.84,25678,0
CTRE.US,60,20240509,170000,24.83,24.86,24.67,24.68,61891,0
CTRE.US,60,20240509,180000,24.68,24.71,24.59,24.62,40527,0
CTRE.US,60,20240509,190000,24.62,24.83,24.62,24.685,45343,0
CTRE.US,60,20240509,200000,24.685,24.78,24.65,24.66,84073,0
CTRE.US,60,20240509,210000,24.65,24.7,24.63,24.66,44488,0
CTRE.US,60,20240509,220000,24.665,24.69,24.53,24.55,454924,0
CTRE.US,60,20240510,160000,24.66,24.75,24.59,24.66,17646,0
CTRE.US,60,20240510,170000,24.65,24.77,24.64,24.69,35212,0
CTRE.US,60,20240510,180000,24.68,24.84,24.68,24.81,39176,0
CTRE.US,60,20240510,190000,24.81,24.84,24.785,24.825,28843,0
CTRE.US,60,20240510,200000,24.83,24.845,24.755,24.8,37084,0
CTRE.US,60,20240510,210000,24.81,24.81,24.695,24.72,27842,0
CTRE.US,60,20240510,220000,24.71,24.74,24.665,24.69,256162,0
CTRE.US,60,20240513,160000,24.74,24.88,24.695,24.755,24866,0
CTRE.US,60,20240513,170000,24.74,24.92,24.67,24.91,42442,0
CTRE.US,60,20240513,180000,24.91,24.935,24.865,24.9,22091,0
CTRE.US,60,20240513,190000,24.89,24.99,24.81,24.82,56921,0
CTRE.US,60,20240513,200000,24.815,24.85,24.775,24.85,40009,0
CTRE.US,60,20240513,210000,24.84,24.885,24.79,24.835,83515,0
CTRE.US,60,20240513,220000,24.8302,24.86,24.75,24.79,373389,0
CTRE.US,60,20240514,160000,24.8,24.98,24.75,24.86,21362,0
CTRE.US,60,20240514,170000,24.84,25.01,24.78,24.985,51560,0
CTRE.US,60,20240514,180000,24.985,25.04,24.93,24.94,47374,0
CTRE.US,60,20240514,190000,24.925,24.935,24.85,24.91,69408,0
CTRE.US,60,20240514,200000,24.9,24.9,24.81,24.845,88496,0
CTRE.US,60,20240514,210000,24.84,24.925,24.83,24.9,111115,0
CTRE.US,60,20240514,220000,24.91,24.95,24.8,24.88,365462,0
CTRE.US,60,20240515,160000,25.11,25.24,25,25,27292,0
CTRE.US,60,20240515,170000,24.995,25.015,24.84,24.885,52889,0
CTRE.US,60,20240515,180000,24.88,24.94,24.84,24.86,41060,0
CTRE.US,60,20240515,190000,24.855,25,24.83,24.92,100156,0
CTRE.US,60,20240515,200000,24.92,24.97,24.89,24.91,55195,0
CTRE.US,60,20240515,210000,24.91,24.925,24.865,24.92,68664,0
CTRE.US,60,20240515,220000,24.91,24.92,24.75,24.83,414990,0
CTRE.US,60,20240516,160000,24.85,24.965,24.83,24.87,19788,0
CTRE.US,60,20240516,170000,24.875,24.93,24.83,24.85,46780,0
CTRE.US,60,20240516,180000,24.855,24.91,24.825,24.84,55299,0
CTRE.US,60,20240516,190000,24.83,24.89,24.81,24.86,60496,0
CTRE.US,60,20240516,200000,24.86,24.9,24.805,24.86,28381,0
CTRE.US,60,20240516,210000,24.86,24.93,24.86,24.895,53833,0
CTRE.US,60,20240516,220000,24.9,24.95,24.83,24.87,327111,0
CTRE.US,60,20240517,160000,24.93,24.94,24.78,24.88,44468,0
CTRE.US,60,20240517,170000,24.88,24.96,24.87,24.93,58066,0
CTRE.US,60,20240517,180000,24.93,25.04,24.92,25.035,57331,0
CTRE.US,60,20240517,190000,25.03,25.08,24.985,24.99,71123,0
CTRE.US,60,20240517,200000,24.99,25.04,24.985,25.015,50652,0
CTRE.US,60,20240517,210000,25.01,25.09,25,25.085,93887,0
CTRE.US,60,20240517,220000,25.085,25.145,25.02,25.08,333877,0
CTRE.US,60,20240520,160000,25.05,25.34,25,25.265,76667,0
CTRE.US,60,20240520,170000,25.27,25.28,25.165,25.175,56589,0
CTRE.US,60,20240520,180000,25.175,25.34,25.165,25.3,66340,0
CTRE.US,60,20240520,190000,25.29,25.31,25.2201,25.295,51399,0
CTRE.US,60,20240520,200000,25.295,25.305,25.255,25.26,64416,0
CTRE.US,60,20240520,210000,25.265,25.38,25.245,25.345,89729,0
CTRE.US,60,20240520,220000,25.34,25.48,25.335,25.37,581714,0
CTRE.US,60,20240521,160000,25.38,25.46,25.3,25.455,30316,0
CTRE.US,60,20240521,170000,25.45,25.61,25.41,25.61,85879,0
CTRE.US,60,20240521,180000,25.615,25.615,25.535,25.545,72238,0
CTRE.US,60,20240521,190000,25.545,25.555,25.5,25.55,37780,0
CTRE.US,60,20240521,200000,25.555,25.635,25.5297,25.615,38759,0
CTRE.US,60,20240521,210000,25.615,25.64,25.575,25.63,44833,0
CTRE.US,60,20240521,220000,25.63,25.66,25.58,25.61,291571,0
CTRE.US,60,20240522,160000,25.61,25.7,25.54,25.635,56652,0
