<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DELL.US,60,20240411,160000,123.61,125.705,123.2901,125.0239,508106,0
DELL.US,60,20240411,170000,125.03,125.1,123.29,123.99,506172,0
DELL.US,60,20240411,180000,123.97,124.4699,123.3412,123.89,371345,0
DELL.US,60,20240411,190000,123.905,124.355,123.44,123.455,352455,0
DELL.US,60,20240411,200000,123.43,124.23,123.14,123.66,534486,0
DELL.US,60,20240411,210000,123.66,125,123.62,124.39,510191,0
DELL.US,60,20240411,220000,124.41,124.53,123.54,124.04,919319,0
DELL.US,60,20240412,160000,121.49,122.35,120.45,120.638,804501,0
DELL.US,60,20240412,170000,120.66,120.67,118.84,118.91,992328,0
DELL.US,60,20240412,180000,118.85,119.935,118.57,119.55,509693,0
DELL.US,60,20240412,190000,119.55,119.8688,117.87,117.87,454288,0
DELL.US,60,20240412,200000,117.9,118.715,117.7,118.53,585075,0
DELL.US,60,20240412,210000,118.53,118.9,117.85,118.02,571768,0
DELL.US,60,20240412,220000,118.0001,118.76,117.61,117.76,1661470,0
DELL.US,60,20240415,160000,119,121.9079,118.87,121.77,951927,0
DELL.US,60,20240415,170000,121.77,122.5,120.07,120.155,966682,0
DELL.US,60,20240415,180000,120.15,121.03,119.37,120.83,595486,0
DELL.US,60,20240415,190000,120.855,121.1,120.01,120.505,317794,0
DELL.US,60,20240415,200000,120.47,120.7482,118.35,119.15,489813,0
DELL.US,60,20240415,210000,119.07,119.075,118,118.265,257271,0
DELL.US,60,20240415,220000,118.32,118.33,117.27,117.81,928994,0
DELL.US,60,20240416,160000,116.66,119.08,115.68,118.86,816979,0
DELL.US,60,20240416,170000,118.98,119.36,117.42,118.11,721473,0
DELL.US,60,20240416,180000,118.1,120.5,118,119.97,542169,0
DELL.US,60,20240416,190000,119.945,120,119.07,119.45,316601,0
DELL.US,60,20240416,200000,119.47,119.79,118.5,119.79,222351,0
DELL.US,60,20240416,210000,119.79,121.4,119.67,121.02,774358,0
DELL.US,60,20240416,220000,121.025,121.74,120.81,121.08,1455132,0
DELL.US,60,20240417,160000,122.62,123.67,120.8,121.415,814809,0
DELL.US,60,20240417,170000,121.51,121.62,119.57,119.72,573789,0
DELL.US,60,20240417,180000,119.67,120.75,119.57,119.8501,382209,0
DELL.US,60,20240417,190000,119.85,120.015,118.31,118.62,459271,0
DELL.US,60,20240417,200000,118.62,120.255,118.58,120.07,384991,0
DELL.US,60,20240417,210000,120.06,121.15,119.805,120.26,388613,0
DELL.US,60,20240417,220000,120.26,120.31,119.44,119.62,1048690,0
DELL.US,60,20240418,160000,119.61,119.65,115.51,117.135,577796,0
DELL.US,60,20240418,170000,117.1535,118.705,116.82,118.25,503212,0
DELL.US,60,20240418,180000,118.215,119.17,117.8689,118.795,372645,0
DELL.US,60,20240418,190000,118.78,119.06,118.22,118.2914,322165,0
DELL.US,60,20240418,200000,118.31,118.31,116.95,117.44,351979,0
DELL.US,60,20240418,210000,117.4,118.05,116.98,117.47,315280,0
DELL.US,60,20240418,220000,117.42,118.41,117.41,118.37,1168979,0
DELL.US,60,20240419,160000,116.36,118.97,115.68,118.25,850826,0
DELL.US,60,20240419,170000,118.3133,119.18,115.31,117.565,1286805,0
DELL.US,60,20240419,180000,117.54,117.84,116.06,116.25,812937,0
DELL.US,60,20240419,190000,116.25,116.46,114.8,115.8,671190,0
DELL.US,60,20240419,200000,115.715,116.33,115.4,115.82,377087,0
DELL.US,60,20240419,210000,115.73,115.74,114.81,114.87,941232,0
DELL.US,60,20240419,220000,114.85,115.61,114.3,114.87,2168076,0
DELL.US,60,20240422,160000,115,117.8,115,117.085,616813,0
DELL.US,60,20240422,170000,117.085,118.34,115.25,115.68,815253,0
DELL.US,60,20240422,180000,115.715,115.7764,114.25,115.05,581842,0
DELL.US,60,20240422,190000,114.985,115.04,114.32,114.83,256593,0
DELL.US,60,20240422,200000,114.85,116.28,114.68,116.22,419835,0
DELL.US,60,20240422,210000,116.2,117.28,116.0301,117.17,397675,0
DELL.US,60,20240422,220000,117.19,117.42,115.5,115.54,930864,0
DELL.US,60,20240423,160000,116.38,118.4514,115.79,117.9,583920,0
DELL.US,60,20240423,170000,117.97,120.93,117.6509,119.85,952428,0
DELL.US,60,20240423,180000,119.93,120.03,119.33,119.38,391333,0
DELL.US,60,20240423,190000,119.35,119.93,118.55,118.92,273913,0
DELL.US,60,20240423,200000,118.88,119.27,118.55,118.9805,234870,0
DELL.US,60,20240423,210000,119.02,120.48,118.75,120.4401,423723,0
DELL.US,60,20240423,220000,120.48,121.0793,120.27,120.63,944798,0
DELL.US,60,20240424,160000,126.01,126.01,121.74,121.8685,1346156,0
DELL.US,60,20240424,170000,121.92,122.4,120.5,120.88,700843,0
DELL.US,60,20240424,180000,120.93,121.23,119.66,119.715,518906,0
DELL.US,60,20240424,190000,119.7599,120.29,119.31,120.265,329377,0
DELL.US,60,20240424,200000,120.28,121.69,120.15,121.213,482486,0
DELL.US,60,20240424,210000,121.24,121.31,119.85,119.8602,312658,0
DELL.US,60,20240424,220000,119.86,120.505,119.57,120.2,776395,0
DELL.US,60,20240425,160000,118.33,119.5369,117,119.275,551842,0
DELL.US,60,20240425,170000,119.28,121.815,118.78,121.1,888759,0
DELL.US,60,20240425,180000,121.04,122.83,120.97,122.75,520398,0
DELL.US,60,20240425,190000,122.68,124.23,122.525,123.88,750894,0
DELL.US,60,20240425,200000,123.91,125.135,123.61,124.8,500474,0
DELL.US,60,20240425,210000,124.85,125,123.79,124.678,375819,0
