<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DRD.US,60,20240411,160000,8.74,8.76,8.66,8.66,23314,0
DRD.US,60,20240411,170000,8.665,8.68,8.49,8.52,42675,0
DRD.US,60,20240411,180000,8.56,8.68,8.56,8.68,29949,0
DRD.US,60,20240411,190000,8.7,8.71,8.6363,8.69,10919,0
DRD.US,60,20240411,200000,8.68,8.7899,8.67,8.76,61005,0
DRD.US,60,20240411,210000,8.75,8.8199,8.74,8.81,12230,0
DRD.US,60,20240411,220000,8.8,8.845,8.76,8.77,50830,0
DRD.US,60,20240412,160000,8.93,9.12,8.89,9.04,182386,0
DRD.US,60,20240412,170000,9.03,9.19,9,9.19,83715,0
DRD.US,60,20240412,180000,9.18,9.24,8.73,8.86,106274,0
DRD.US,60,20240412,190000,8.86,8.86,8.53,8.59,49503,0
DRD.US,60,20240412,200000,8.59,8.6205,8.42,8.45,90695,0
DRD.US,60,20240412,210000,8.46,8.48,8.31,8.36,51099,0
DRD.US,60,20240412,220000,8.35,8.495,8.28,8.45,137440,0
DRD.US,60,20240415,160000,8.57,8.57,8.3301,8.385,43805,0
DRD.US,60,20240415,170000,8.39,8.43,8.12,8.4057,114707,0
DRD.US,60,20240415,180000,8.41,8.48,8.35,8.41,30273,0
DRD.US,60,20240415,190000,8.41,8.42,8.32,8.395,18105,0
DRD.US,60,20240415,200000,8.38,8.4,8.34,8.38,12984,0
DRD.US,60,20240415,210000,8.37,8.39,8.3215,8.38,11634,0
DRD.US,60,20240415,220000,8.37,8.47,8.36,8.38,60419,0
DRD.US,60,20240416,160000,8.46,8.46,8.32,8.33,43317,0
DRD.US,60,20240416,170000,8.34,8.42,8.27,8.4,51752,0
DRD.US,60,20240416,180000,8.4,8.46,8.35,8.37,27341,0
DRD.US,60,20240416,190000,8.37,8.47,8.37,8.47,23320,0
DRD.US,60,20240416,200000,8.47,8.47,8.34,8.36,23757,0
DRD.US,60,20240416,210000,8.355,8.4599,8.35,8.4599,24101,0
DRD.US,60,20240416,220000,8.45,8.46,8.32,8.38,80463,0
DRD.US,60,20240417,160000,8.39,8.615,8.39,8.58,31652,0
DRD.US,60,20240417,170000,8.54,8.615,8.51,8.58,17488,0
DRD.US,60,20240417,180000,8.58,8.665,8.532,8.57,20703,0
DRD.US,60,20240417,190000,8.57,8.575,8.45,8.4901,16155,0
DRD.US,60,20240417,200000,8.52,8.6,8.4801,8.59,8917,0
DRD.US,60,20240417,210000,8.6,8.62,8.49,8.52,41584,0
