<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DRES.US,60,20251001,160000,25.01,25.01,24.91,24.91,300,0
DRES.US,60,20251001,170000,24.94,25.04,24.94,25.02,10200,0
DRES.US,60,20251001,190000,25.04,25.04,24.93,24.93,16895,0
DRES.US,60,20251002,170000,24.99,24.99,24.99,24.99,205,0
DRES.US,60,20251002,200000,25.0008,25.015,25.0008,25.015,420,0
DRES.US,60,20251002,210000,25.07,25.08,25.0699,25.08,500,0
DRES.US,60,20251002,220000,25.06,25.06,25.06,25.06,40000,0
DRES.US,60,20251003,160000,25.155,25.155,25.155,25.155,198,0
DRES.US,60,20251003,170000,25.3199,25.3199,25.3004,25.3004,1907,0
DRES.US,60,20251003,180000,25.3098,25.325,25.295,25.31,2324,0
DRES.US,60,20251003,200000,25.3197,25.3197,25.3197,25.3197,1000,0
DRES.US,60,20251003,210000,25.295,25.295,25.2,25.2,400,0
DRES.US,60,20251003,220000,25.22,25.22,25.22,25.22,100,0
DRES.US,60,20251006,160000,25.22,25.22,25.22,25.22,100,0
DRES.US,60,20251006,170000,25.21,25.22,25.21,25.22,300,0
DRES.US,60,20251006,180000,25.43,25.43,25.43,25.43,261,0
DRES.US,60,20251006,190000,25.42,25.42,25.42,25.42,100,0
DRES.US,60,20251006,210000,25.42,25.42,25.42,25.42,100,0
DRES.US,60,20251006,220000,25.355,25.37,25.35,25.37,1628,0
DRES.US,60,20251007,170000,25.3196,25.32,25.3048,25.32,350,0
DRES.US,60,20251007,180000,25.32,25.32,25.195,25.195,700,0
DRES.US,60,20251007,190000,25.09,25.09,25.09,25.09,110,0
DRES.US,60,20251008,160000,25.12,25.12,25.12,25.12,205,0
DRES.US,60,20251008,170000,25.39,25.4,25.39,25.4,413,0
DRES.US,60,20251008,180000,25.45,25.52,25.42,25.52,1052,0
DRES.US,60,20251008,210000,25.5275,25.53,25.5275,25.53,400,0
DRES.US,60,20251008,220000,25.57,25.57,25.57,25.57,545354,0
DRES.US,60,20251009,170000,25.44,25.44,25.44,25.44,100,0
DRES.US,60,20251009,180000,25.46,25.46,25.435,25.44,820,0
DRES.US,60,20251009,190000,25.435,25.445,25.435,25.445,200,0
DRES.US,60,20251009,210000,25.34,25.34,25.34,25.34,100,0
DRES.US,60,20251009,220000,25.34,25.34,25.34,25.34,411331,0
DRES.US,60,20251010,170000,25.33,25.33,25.33,25.33,100,0
DRES.US,60,20251010,190000,24.915,24.915,24.915,24.915,100,0
DRES.US,60,20251010,200000,24.8688,24.879,24.86,24.879,501,0
DRES.US,60,20251010,210000,24.885,24.885,24.885,24.885,100,0
DRES.US,60,20251010,220000,24.76,24.76,24.75,24.75,300,0
DRES.US,60,20251013,170000,25,25,25,25,100,0
