<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EMOP.US,60,20250624,220000,35.12,36.26,35.12,36.26,5101,0
EMOP.US,60,20250625,190000,36.19,36.19,36.19,36.19,100,0
EMOP.US,60,20250627,180000,36.18,36.18,36.18,36.18,100,0
EMOP.US,60,20250627,210000,36,36.01,36,36.01,200,0
EMOP.US,60,20250707,180000,36.21,36.21,36.21,36.21,100,0
EMOP.US,60,20250709,170000,36.1684,36.199,36.1684,36.199,700,0
EMOP.US,60,20250714,180000,35.9536,35.9536,35.9536,35.9536,100,0
EMOP.US,60,20250714,220000,36.01,36.01,36.01,36.01,260,0
EMOP.US,60,20250715,160000,36.245,36.28,36.245,36.2544,1188,0
EMOP.US,60,20250718,210000,36.39,36.39,36.39,36.39,200,0
EMOP.US,60,20250730,160000,36.2672,36.2672,36.2672,36.2672,550,0
EMOP.US,60,20250804,220000,36.085,36.17,36.085,36.17,6068,0
EMOP.US,60,20250806,200000,36.42,36.42,36.42,36.42,5000,0
EMOP.US,60,20250814,190000,36.93,36.97,36.93,36.9408,386,0
EMOP.US,60,20250815,160000,36.99,36.9902,36.99,36.9902,600,0
EMOP.US,60,20250819,210000,37.11,37.11,37.11,37.11,100,0
EMOP.US,60,20250912,190000,38.58,38.58,38.58,38.58,154,0
EMOP.US,60,20250917,210000,39.14,39.14,39.14,39.14,100,0
EMOP.US,60,20250923,220000,39.28,39.28,39.28,39.28,100,0
EMOP.US,60,20250929,170000,38.8655,38.8655,38.8655,38.8655,100,0
EMOP.US,60,20251006,190000,39.61,39.61,39.61,39.61,500,0
EMOP.US,60,20251017,220000,39.96,39.96,39.96,39.96,25000,0
EMOP.US,60,20251024,210000,40.36,40.36,40.36,40.36,19893,0
EMOP.US,60,20251029,200000,40.93,40.93,40.92,40.92,6989,0
EMOP.US,60,20251104,160000,39.99,39.99,39.99,39.99,23109,0
EMOP.US,60,20251104,170000,40.2792,40.2792,40.2792,40.2792,2293,0
EMOP.US,60,20251106,180000,40.216,40.38,40.07,40.07,5811,0
EMOP.US,60,20251107,170000,39.7891,39.7891,39.7891,39.7891,1040,0
EMOP.US,60,20251107,210000,40.01,40.01,40.01,40.01,100,0
EMOP.US,60,20251110,170000,40.72,40.72,40.72,40.72,100,0
EMOP.US,60,20251113,190000,40.73,40.73,40.73,40.73,100,0
EMOP.US,60,20251113,220000,40.585,40.585,40.585,40.585,100,0
EMOP.US,60,20251118,190000,39.64,39.64,39.64,39.64,1011,0
EMOP.US,60,20251119,180000,39.6,39.6,39.6,39.6,1221,0
EMOP.US,60,20251124,190000,39.1836,39.1836,39.1836,39.1836,120,0
EMOP.US,60,20251125,200000,39.5276,39.5276,39.5276,39.5276,143,0
EMOP.US,60,20251203,180000,39.93,40.0212,39.9299,40.0212,836,0
EMOP.US,60,20251203,190000,40.056,40.056,40.056,40.056,100,0
EMOP.US,60,20251203,220000,40.09,40.09,40.09,40.09,12007,0
EMOP.US,60,20251209,190000,40.27,40.27,40.13,40.13,335,0
EMOP.US,60,20251209,210000,40.1564,40.1564,40.1564,40.1564,625,0
EMOP.US,60,20251217,180000,39.56,39.56,39.56,39.56,693,0
EMOP.US,60,20251218,170000,39.86,39.86,39.86,39.86,100,0
EMOP.US,60,20251222,160000,40.1196,40.1196,40.1196,40.1196,100,0
EMOP.US,60,20251222,210000,40.17,40.23,40.17,40.23,300,0
EMOP.US,60,20251222,220000,40.24,40.355,40.18,40.18,1700,0
