<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ENOV.US,60,20240411,160000,60.11,60.61,59.92,59.97,5057,0
ENOV.US,60,20240411,170000,59.84,59.84,59.3,59.39,39230,0
ENOV.US,60,20240411,180000,59.51,59.831,59.51,59.831,10145,0
ENOV.US,60,20240411,190000,59.895,59.895,59.71,59.75,6124,0
ENOV.US,60,20240411,200000,59.825,60.26,59.825,60.255,7616,0
ENOV.US,60,20240411,210000,60.26,60.53,59.95,60.015,18759,0
ENOV.US,60,20240411,220000,60.05,60.12,59.74,59.79,77958,0
ENOV.US,60,20240412,160000,59.28,59.63,59.27,59.4,4882,0
ENOV.US,60,20240412,170000,59.4,59.43,58.555,58.74,35827,0
ENOV.US,60,20240412,180000,58.7884,59.05,58.59,58.91,15350,0
ENOV.US,60,20240412,190000,58.915,58.915,58.64,58.64,11466,0
ENOV.US,60,20240412,200000,58.61,58.69,58.49,58.67,8952,0
ENOV.US,60,20240412,210000,58.635,58.67,58.21,58.21,18558,0
ENOV.US,60,20240412,220000,58.18,58.63,58.1,58.55,129899,0
ENOV.US,60,20240415,160000,59.12,59.12,58.17,58.77,23763,0
ENOV.US,60,20240415,170000,58.82,58.82,57.75,57.75,36758,0
ENOV.US,60,20240415,180000,57.74,57.885,57.66,57.67,25478,0
ENOV.US,60,20240415,190000,57.7,57.74,57.35,57.5,68060,0
ENOV.US,60,20240415,200000,57.49,57.54,57.055,57.19,22252,0
ENOV.US,60,20240415,210000,57.26,57.27,56.65,56.735,51122,0
ENOV.US,60,20240415,220000,56.71,57.03,56.49,56.81,165603,0
ENOV.US,60,20240416,160000,56.455,56.61,56.22,56.35,27563,0
ENOV.US,60,20240416,170000,56.34,56.44,55.5,55.5,39206,0
ENOV.US,60,20240416,180000,55.54,56.535,55.5,56.4,25386,0
ENOV.US,60,20240416,190000,56.38,56.89,56.27,56.775,19214,0
ENOV.US,60,20240416,200000,56.8,56.8,56.43,56.575,15214,0
ENOV.US,60,20240416,210000,56.59,56.92,56.47,56.785,15732,0
ENOV.US,60,20240416,220000,56.81,56.845,56.45,56.5,131666,0
ENOV.US,60,20240417,160000,56.76,57.08,56.5,56.88,16454,0
ENOV.US,60,20240417,170000,56.89,56.89,56.09,56.32,15139,0
ENOV.US,60,20240417,180000,56.35,56.74,56.23,56.69,15473,0
ENOV.US,60,20240417,190000,56.69,56.69,56.25,56.435,18266,0
ENOV.US,60,20240417,200000,56.415,56.535,56.15,56.2,24734,0
ENOV.US,60,20240417,210000,56.195,56.38,55.97,56.13,36762,0
ENOV.US,60,20240417,220000,56.11,56.37,56.06,56.24,160826,0
ENOV.US,60,20240418,160000,56.2,56.44,56.055,56.44,5191,0
ENOV.US,60,20240418,170000,56.37,56.38,56.085,56.19,32815,0
ENOV.US,60,20240418,180000,56.175,56.26,55.745,55.7975,16041,0
ENOV.US,60,20240418,190000,55.74,55.81,55.2,55.215,23955,0
ENOV.US,60,20240418,200000,55.23,55.24,55.025,55.085,26984,0
ENOV.US,60,20240418,210000,55.02,55.1075,54.86,55.05,27425,0
ENOV.US,60,20240418,220000,55.06,55.3,54.93,55.27,151720,0
ENOV.US,60,20240419,160000,55.39,55.98,54.96,55.89,13142,0
ENOV.US,60,20240419,170000,55.92,55.94,55.65,55.7,26035,0
ENOV.US,60,20240419,180000,55.67,55.93,55.48,55.775,23176,0
ENOV.US,60,20240419,190000,55.79,55.84,55.405,55.475,40516,0
ENOV.US,60,20240419,200000,55.53,55.81,55.53,55.58,25326,0
ENOV.US,60,20240419,210000,55.57,55.57,55.07,55.26,38063,0
ENOV.US,60,20240419,220000,55.24,55.86,55.24,55.8,128629,0
ENOV.US,60,20240422,160000,56.69,56.89,55.41,55.665,69825,0
ENOV.US,60,20240422,170000,55.71,55.845,55.53,55.64,75931,0
ENOV.US,60,20240422,180000,55.61,55.84,55.38,55.58,37904,0
ENOV.US,60,20240422,190000,55.6,55.98,55.6,55.84,30349,0
ENOV.US,60,20240422,200000,55.82,56.19,55.79,56.165,131453,0
ENOV.US,60,20240422,210000,56.19,56.25,55.58,55.81,73482,0
ENOV.US,60,20240422,220000,55.86,56.05,55.33,55.51,281929,0
ENOV.US,60,20240423,160000,55.42,55.77,55.33,55.77,5508,0
ENOV.US,60,20240423,170000,55.73,55.98,55.265,55.98,34167,0
ENOV.US,60,20240423,180000,55.97,56.04,55.7,55.8375,18999,0
ENOV.US,60,20240423,190000,55.86,55.95,55.78,55.94,14125,0
ENOV.US,60,20240423,200000,55.9,56.17,55.87,56.125,18002,0
ENOV.US,60,20240423,210000,56.11,56.11,55.86,55.92,22265,0
ENOV.US,60,20240423,220000,55.85,55.88,55.24,55.47,164107,0
ENOV.US,60,20240424,160000,55.44,55.78,55.19,55.19,4410,0
ENOV.US,60,20240424,170000,55.215,55.91,55.135,55.71,18980,0
ENOV.US,60,20240424,180000,55.685,55.79,55.58,55.58,5353,0
ENOV.US,60,20240424,190000,55.63,55.7,55.39,55.7,8821,0
ENOV.US,60,20240424,200000,55.66,55.94,55.64,55.91,7828,0
ENOV.US,60,20240424,210000,55.86,55.96,55.795,55.89,10818,0
ENOV.US,60,20240424,220000,55.87,56.24,55.78,56.17,134111,0
ENOV.US,60,20240425,160000,55.6,55.93,54.92,55.1,6324,0
ENOV.US,60,20240425,170000,55.13,55.39,54.705,54.905,23087,0
ENOV.US,60,20240425,180000,54.94,55.1,54.69,54.92,17692,0
ENOV.US,60,20240425,190000,55.03,55.06,54.71,55.06,11061,0
ENOV.US,60,20240425,200000,55.05,55.24,54.85,55.18,12471,0
ENOV.US,60,20240425,210000,55.12,55.37,55,55.27,19176,0
ENOV.US,60,20240425,220000,55.27,55.52,54.91,55.1,135488,0
