<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EPEM.US,60,20250718,220000,21.43,21.43,21.43,21.43,100,0
EPEM.US,60,20250724,210000,21.77,21.77,21.75,21.75,1545,0
EPEM.US,60,20250724,220000,21.76,21.77,21.75,21.75,853,0
EPEM.US,60,20250725,160000,21.63,21.63,21.63,21.63,153,0
EPEM.US,60,20250725,170000,21.66,21.67,21.64,21.65,1283,0
EPEM.US,60,20250725,190000,21.63,21.66,21.63,21.66,726,0
EPEM.US,60,20250725,220000,21.67,21.68,21.6,21.6,411,0
EPEM.US,60,20250729,210000,21.5,21.5,21.5,21.5,3361,0
EPEM.US,60,20250801,200000,20.97,20.98,20.97,20.98,1100,0
EPEM.US,60,20250811,220000,21.6,21.63,21.49,21.49,744,0
EPEM.US,60,20250813,210000,21.82,21.82,21.82,21.82,500,0
EPEM.US,60,20250822,220000,21.76,21.76,21.76,21.76,2000,0
EPEM.US,60,20250826,200000,21.74,21.75,21.74,21.75,1371,0
EPEM.US,60,20250827,170000,21.52,21.53,21.52,21.53,6100,0
EPEM.US,60,20250828,220000,21.65,21.72,21.48,21.72,6235,0
EPEM.US,60,20250829,210000,21.64,21.64,21.64,21.64,800,0
EPEM.US,60,20250902,220000,21.43,21.45,21.43,21.45,500,0
EPEM.US,60,20250923,170000,22.9976,22.9976,22.9976,22.9976,100,0
EPEM.US,60,20250923,220000,22.99,22.99,22.99,22.99,100,0
EPEM.US,60,20251001,160000,22.82,22.82,22.82,22.82,100,0
EPEM.US,60,20251208,200000,23.41,23.91,23.34,23.8712,1190,0
EPEM.US,60,20251215,160000,23.67,23.67,23.67,23.67,500,0
EPEM.US,60,20251215,170000,23.68,23.68,23.62,23.67,6000,0
EPEM.US,60,20251215,180000,23.73,23.74,23.7,23.7,1500,0
EPEM.US,60,20251222,170000,22.8599,22.86,22.8599,22.86,1296,0
