<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FBDC.US,60,20250701,160000,20.7824,20.8816,20.7328,20.7829,687.4999999802,0
FBDC.US,60,20250701,170000,20.8072,20.832,20.7824,20.7824,7237.903225598,0
FBDC.US,60,20250701,180000,20.7824,20.8072,20.7333,20.7576,6376.6129030422,0
FBDC.US,60,20250701,190000,20.7576,20.8816,20.7576,20.8568,17365.725805951,0
FBDC.US,60,20250701,200000,20.832,20.8568,20.8072,20.8568,1633.064516082,0
FBDC.US,60,20250701,210000,20.8568,20.9064,20.8325,20.8821,12946.774193176,0
FBDC.US,60,20250701,220000,20.8816,20.8816,20.7328,20.7328,1647.7822580171,0
FBDC.US,60,20250702,160000,20.9064,20.9312,20.8816,20.8836,525.80645159776,0
FBDC.US,60,20250702,170000,20.9064,20.9312,20.8816,20.9064,8253.8306449236,0
FBDC.US,60,20250702,180000,20.9064,20.9808,20.9064,20.9758,12901.612902854,0
FBDC.US,60,20250702,190000,20.9808,20.9808,20.9312,20.9312,8004.6370965437,0
FBDC.US,60,20250702,200000,20.9312,20.958,20.8816,20.9317,37722.37903117166,0
FBDC.US,60,20250702,210000,20.956,20.9808,20.956,20.9808,2338.5080644488,0
FBDC.US,60,20250702,220000,21.0076,21.0552,20.9808,21.0304,4470.1612901938,0
FBDC.US,60,20250703,160000,21.08,21.1296,21.0304,21.1296,5655.443548224221,0
FBDC.US,60,20250703,170000,21.1792,21.2288,21.1792,21.2288,1070.36290319498,0
FBDC.US,60,20250703,180000,21.2288,21.2288,21.2288,21.2288,120.967741932,0
FBDC.US,60,20250703,190000,21.2288,21.2467,21.1792,21.204,371.77419353768,0
FBDC.US,60,20250707,160000,21.1792,21.2288,21.1494,21.2288,784.67741933224,0
FBDC.US,60,20250707,170000,21.2288,21.2288,21.08,21.08,314865.12095867,0
FBDC.US,60,20250707,180000,21.08,21.1048,21.08,21.08,148045.56451187,0
FBDC.US,60,20250707,190000,21.08,21.1271,21.08,21.08,1600.40322576036,0
FBDC.US,60,20250707,200000,21.0304,21.0552,21.0304,21.0542,181.451612898,0
FBDC.US,60,20250707,210000,21.0304,21.0552,21.0274,21.0274,863.30645158804,0
FBDC.US,60,20250707,220000,21.0056,21.0056,20.9808,21.0056,3320.5645160334,0
FBDC.US,60,20250708,170000,21.1792,21.2536,21.1792,21.2288,4655.443548253,0
FBDC.US,60,20250708,180000,21.2288,21.2784,21.2288,21.2496,6114.3145159529,0
FBDC.US,60,20250708,190000,21.2784,21.2784,21.1792,21.1792,36791.532257005,0
FBDC.US,60,20250708,200000,21.2288,21.2288,21.1792,21.2288,2570.564516055,0
FBDC.US,60,20250708,210000,21.2288,21.2784,21.2288,21.2536,3245.967741842,0
FBDC.US,60,20250708,220000,21.2536,21.2536,21.1797,21.1797,1847.37903220486,0
FBDC.US,60,20250709,160000,21.2784,21.2784,21.2387,21.2387,62.499999998199996,0
FBDC.US,60,20250709,170000,21.2288,21.2288,21.1792,21.1792,282.258064508,0
FBDC.US,60,20250709,180000,21.1792,21.2055,21.1792,21.1906,1108.87096771,0
FBDC.US,60,20250709,190000,21.1797,21.2055,21.1544,21.1544,1190.1209677077,0
FBDC.US,60,20250709,200000,21.1296,21.261,21.1296,21.261,2022.7822580063,0
FBDC.US,60,20250709,210000,21.2288,21.2298,21.2015,21.2298,2425.4032257366,0
FBDC.US,60,20250709,220000,21.2288,21.269,21.1792,21.2288,4039.9193547224,0
FBDC.US,60,20250710,160000,21.2784,21.3528,21.2784,21.3528,141.73387096366,0
FBDC.US,60,20250710,170000,21.3776,21.5264,21.3776,21.4768,4250.6048385873,0
FBDC.US,60,20250710,180000,21.4768,21.4773,21.4768,21.4773,137.49999999604,0
FBDC.US,60,20250710,190000,21.5264,21.5512,21.4768,21.5016,4873.3870966338,0
FBDC.US,60,20250710,200000,21.5016,21.5016,21.5016,21.5016,423.387096762,0
FBDC.US,60,20250710,210000,21.5264,21.5264,21.4768,21.4773,2523.38709670152,0
FBDC.US,60,20250710,220000,21.5259,21.5259,21.4768,21.4768,446.5725806323,0
