<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FEOE.US,60,20241226,190000,35,35,35,35,230,0
FEOE.US,60,20241227,170000,34.92,34.92,34.91,34.91,1013,0
FEOE.US,60,20241227,180000,34.895,34.895,34.8347,34.89,1100,0
FEOE.US,60,20241227,190000,34.8396,34.8396,34.8396,34.8396,474,0
FEOE.US,60,20241227,210000,34.93,34.96,34.93,34.96,657,0
FEOE.US,60,20241230,160000,34.57,34.57,34.56,34.56,1800,0
FEOE.US,60,20241230,200000,34.6867,34.73,34.6867,34.73,1000,0
FEOE.US,60,20241231,160000,34.84,34.85,34.7735,34.7735,1250,0
FEOE.US,60,20241231,190000,34.725,34.725,34.725,34.725,2450,0
FEOE.US,60,20241231,210000,34.74,34.78,34.74,34.7799,700,0
FEOE.US,60,20250102,190000,34.64,34.64,34.64,34.64,500,0
FEOE.US,60,20250102,210000,34.66,34.66,34.66,34.66,100,0
FEOE.US,60,20250103,180000,34.91,34.91,34.91,34.91,100,0
FEOE.US,60,20250103,210000,34.96,34.96,34.96,34.96,1000,0
FEOE.US,60,20250103,220000,34.94,34.95,34.94,34.95,3200,0
FEOE.US,60,20250106,170000,35.11,35.11,35.1,35.1,600,0
FEOE.US,60,20250106,180000,35.13,35.15,35.13,35.15,18180,0
FEOE.US,60,20250106,190000,35.16,35.16,35.15,35.15,680,0
FEOE.US,60,20250106,210000,35.11,35.11,35.08,35.08,309,0
FEOE.US,60,20250106,220000,35.04,35.04,35.04,35.04,100,0
FEOE.US,60,20250107,200000,35.14,35.14,35.14,35.14,500,0
FEOE.US,60,20250107,210000,35.08,35.0801,35.08,35.0801,400,0
FEOE.US,60,20250107,220000,35.08,35.08,35.05,35.05,210,0
FEOE.US,60,20250108,180000,34.9029,34.9029,34.9029,34.9029,500,0
FEOE.US,60,20250108,190000,34.88,34.88,34.88,34.88,100,0
FEOE.US,60,20250110,170000,34.76,34.76,34.65,34.65,910,0
FEOE.US,60,20250110,220000,34.46,34.46,34.46,34.46,100,0
FEOE.US,60,20250113,170000,34.38,34.38,34.38,34.38,1000,0
FEOE.US,60,20250113,190000,34.28,34.28,34.28,34.28,100,0
FEOE.US,60,20250113,210000,34.34,34.34,34.3,34.33,300,0
FEOE.US,60,20250114,180000,34.3953,34.45,34.3953,34.45,1520,0
FEOE.US,60,20250114,210000,34.465,34.465,34.465,34.465,170,0
FEOE.US,60,20250114,220000,34.46,34.46,34.395,34.4,1400,0
FEOE.US,60,20250115,180000,34.72,34.72,34.72,34.72,100,0
FEOE.US,60,20250115,210000,34.84,34.85,34.84,34.85,1500,0
FEOE.US,60,20250116,160000,34.978,34.978,34.978,34.978,100,0
FEOE.US,60,20250122,210000,35.35,35.958,35.3269,35.958,1697,0
FEOE.US,60,20250124,160000,36.278,36.278,36.278,36.278,4129,0
FEOE.US,60,20250127,170000,36.21,36.2388,36.21,36.2388,313602,0
FEOE.US,60,20250127,180000,36.25,36.27,36.25,36.26,6316,0
FEOE.US,60,20250127,210000,36.32,36.34,36.32,36.34,866,0
FEOE.US,60,20250128,220000,36.36,36.361,36.28,36.3601,2630,0
FEOE.US,60,20250129,170000,36.41,36.41,36.36,36.36,2504,0
FEOE.US,60,20250130,220000,36.45,36.93,36.45,36.93,200,0
FEOE.US,60,20250131,200000,36.78,36.78,36.6176,36.6176,275,0
FEOE.US,60,20250131,210000,36.63,36.63,36.63,36.63,125,0
FEOE.US,60,20250203,220000,36.38,36.38,36.3799,36.3799,474,0
FEOE.US,60,20250204,170000,36.52,36.52,36.44,36.44,600,0
FEOE.US,60,20250204,220000,36.559,36.5799,36.559,36.57,60537,0
FEOE.US,60,20250205,170000,36.7499,36.7499,36.7499,36.7499,124,0
FEOE.US,60,20250205,190000,36.8,36.8,36.8,36.8,100,0
FEOE.US,60,20250206,210000,36.88,36.88,36.88,36.88,100,0
FEOE.US,60,20250207,180000,36.915,36.915,36.915,36.915,100,0
FEOE.US,60,20250207,200000,36.91,36.91,36.91,36.91,500,0
FEOE.US,60,20250210,220000,36.83,37.202,36.83,37.202,2195,0
FEOE.US,60,20250211,180000,37.295,37.295,37.295,37.295,100,0
FEOE.US,60,20250211,210000,37.21,37.21,37.21,37.21,100,0
FEOE.US,60,20250211,220000,37.3635,37.3635,37.36,37.36,666,0
FEOE.US,60,20250213,200000,37.655,37.655,37.655,37.655,100,0
FEOE.US,60,20250213,220000,37.735,37.735,37.735,37.735,674,0
FEOE.US,60,20250214,160000,38.09,38.09,37.955,37.955,1213,0
FEOE.US,60,20250218,170000,38.0907,38.0907,38.0907,38.0907,1850,0
FEOE.US,60,20250218,210000,38.13,38.13,38.13,38.13,200,0
FEOE.US,60,20250218,220000,38.1,38.21,38.1,38.21,27218,0
FEOE.US,60,20250219,180000,37.947,37.947,37.947,37.947,200,0
FEOE.US,60,20250219,210000,37.97,38.1099,37.97,37.97,3800,0
FEOE.US,60,20250219,220000,37.97,37.985,37.9684,37.985,1426,0
