<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FTNY.US,60,20251027,150000,7.92,7.92,7.92,7.92,200,0
FTNY.US,60,20251027,200000,7.91,7.91,7.91,7.91,290,0
FTNY.US,60,20251027,210000,7.9107,7.9107,7.9107,7.9107,113,0
FTNY.US,60,20251028,160000,7.91,7.91,7.9097,7.9097,498,0
FTNY.US,60,20251028,170000,7.91,7.91,7.88,7.89,5017,0
FTNY.US,60,20251028,180000,7.91,7.9149,7.9,7.9149,1958,0
FTNY.US,60,20251028,190000,7.9,7.91,7.89,7.8919,6703,0
FTNY.US,60,20251028,200000,7.9,7.9,7.895,7.895,1500,0
FTNY.US,60,20251028,210000,7.895,7.9,7.885,7.9,28680,0
FTNY.US,60,20251029,150000,7.87,7.88,7.87,7.88,3146,0
FTNY.US,60,20251029,160000,7.87,7.87,7.87,7.87,1131,0
FTNY.US,60,20251029,170000,7.8704,7.88,7.8704,7.88,10166,0
FTNY.US,60,20251029,190000,7.88,7.91,7.87,7.87,16195,0
FTNY.US,60,20251029,200000,7.88,7.88,7.875,7.875,779,0
FTNY.US,60,20251029,210000,7.875,7.875,7.86,7.87,17690,0
FTNY.US,60,20251030,150000,7.8497,7.85,7.84,7.84,27594,0
FTNY.US,60,20251030,160000,7.87,7.88,7.69,7.865,35717,0
FTNY.US,60,20251030,170000,7.86,7.88,7.8503,7.88,58425,0
FTNY.US,60,20251030,180000,7.869,7.88,7.86,7.869,36340,0
FTNY.US,60,20251030,190000,7.858,7.858,7.858,7.858,374,0
FTNY.US,60,20251030,200000,7.8604,7.88,7.8604,7.88,2475,0
FTNY.US,60,20251030,210000,7.9,7.9,7.86,7.88,4448,0
FTNY.US,60,20251031,150000,7.86,7.86,7.86,7.86,100,0
FTNY.US,60,20251031,170000,7.89,7.8935,7.8766,7.8766,41523,0
FTNY.US,60,20251031,180000,7.9,7.9,7.87,7.87,25468,0
FTNY.US,60,20251031,190000,7.88,7.8801,7.87,7.87,6083,0
FTNY.US,60,20251031,200000,7.87,7.87,7.87,7.87,200,0
FTNY.US,60,20251031,210000,7.87,7.87,7.86,7.87,5161,0
FTNY.US,60,20251103,160000,7.88,7.88,7.87,7.87,300,0
FTNY.US,60,20251103,170000,7.87,7.8832,7.87,7.8832,24355,0
FTNY.US,60,20251103,180000,7.87,7.875,7.87,7.87,22257,0
FTNY.US,60,20251103,190000,7.87,7.89,7.8602,7.875,72148,0
FTNY.US,60,20251103,200000,7.87,7.875,7.87,7.87,3848,0
FTNY.US,60,20251103,210000,7.87,7.87,7.87,7.87,3600,0
FTNY.US,60,20251103,220000,7.87,7.875,7.86,7.87,11746,0
FTNY.US,60,20251104,170000,7.8812,7.8812,7.8812,7.8812,473,0
FTNY.US,60,20251104,180000,7.88,7.9,7.87,7.8841,147375,0
FTNY.US,60,20251104,190000,7.892,7.892,7.892,7.892,656,0
FTNY.US,60,20251104,200000,7.87,7.9,7.87,7.8816,15181,0
FTNY.US,60,20251104,220000,7.89,7.89,7.89,7.89,100,0
FTNY.US,60,20251105,160000,7.86,7.89,7.86,7.8899,2318,0
FTNY.US,60,20251105,180000,7.865,7.865,7.8535,7.8535,4300,0
FTNY.US,60,20251105,200000,7.87,7.87,7.87,7.87,200,0
FTNY.US,60,20251105,210000,7.8687,7.87,7.8601,7.87,11860,0
FTNY.US,60,20251106,160000,7.871,7.871,7.871,7.871,5151,0
FTNY.US,60,20251106,170000,7.8815,7.89,7.872,7.89,1644,0
FTNY.US,60,20251106,180000,7.87,7.895,7.87,7.895,12798,0
FTNY.US,60,20251106,190000,7.8901,7.8901,7.8901,7.8901,2950,0
FTNY.US,60,20251106,200000,7.91,7.91,7.87,7.91,14938,0
FTNY.US,60,20251106,210000,7.88,7.88,7.87,7.8714,24607,0
FTNY.US,60,20251106,220000,7.904,7.904,7.88,7.88,1500,0
FTNY.US,60,20251107,160000,7.8932,7.8932,7.8932,7.8932,197,0
FTNY.US,60,20251107,170000,7.87,7.88,7.87,7.87,24400,0
FTNY.US,60,20251107,180000,7.8875,7.8893,7.87,7.8893,8693,0
FTNY.US,60,20251107,190000,7.88,7.88,7.86,7.86,21713,0
FTNY.US,60,20251107,200000,7.878,7.88,7.86,7.88,8671,0
