<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FUN.US,60,20240411,160000,39.78,39.78,39.5,39.5,4453,0
FUN.US,60,20240411,170000,39.6094,39.72,39.35,39.41,9467,0
FUN.US,60,20240411,180000,39.5,39.97,39.4342,39.855,30059,0
FUN.US,60,20240411,190000,39.875,40.15,39.84,39.875,11521,0
FUN.US,60,20240411,200000,39.86,40.01,39.76,39.87,7570,0
FUN.US,60,20240411,210000,39.86,39.95,39.68,39.815,24158,0
FUN.US,60,20240411,220000,39.815,40.11,39.55,40.01,68931,0
FUN.US,60,20240412,160000,39.61,39.61,39.37,39.59,1478,0
FUN.US,60,20240412,170000,39.59,39.74,39.4,39.49,15332,0
FUN.US,60,20240412,180000,39.52,39.62,39.18,39.2,14222,0
FUN.US,60,20240412,190000,39.2,39.43,39,39.43,24443,0
FUN.US,60,20240412,200000,39.43,39.66,39.23,39.5,31620,0
FUN.US,60,20240412,210000,39.4,39.68,39.12,39.53,45949,0
FUN.US,60,20240412,220000,39.605,39.665,39.19,39.19,58366,0
FUN.US,60,20240415,160000,39.25,39.46,39.19,39.22,5025,0
FUN.US,60,20240415,170000,39.2,39.21,38.25,38.38,31960,0
FUN.US,60,20240415,180000,38.33,39.37,38.32,39.29,29310,0
FUN.US,60,20240415,190000,39.28,39.37,39,39.175,26188,0
FUN.US,60,20240415,200000,39.06,39.2,38.72,38.99,33727,0
FUN.US,60,20240415,210000,39.16,39.24,38.92,39.16,51838,0
FUN.US,60,20240415,220000,39.17,39.32,38.8204,38.89,50706,0
FUN.US,60,20240416,160000,38.54,38.88,38.35,38.35,5813,0
FUN.US,60,20240416,170000,38.21,38.91,38.08,38.89,13229,0
FUN.US,60,20240416,180000,38.945,39.38,38.8,39.1,35445,0
FUN.US,60,20240416,190000,38.95,39.22,38.87,38.87,23675,0
FUN.US,60,20240416,200000,39.02,39.205,38.8,38.89,17956,0
FUN.US,60,20240416,210000,39.06,39.61,38.95,39.37,13227,0
FUN.US,60,20240416,220000,39.43,39.61,39.29,39.4,18262,0
FUN.US,60,20240417,160000,39.86,40.14,39.7,40.14,1848,0
FUN.US,60,20240417,170000,39.94,39.94,39,39,3058,0
FUN.US,60,20240417,180000,39.06,39.06,38.655,38.78,10495,0
FUN.US,60,20240417,190000,38.85,38.86,38.365,38.46,10904,0
FUN.US,60,20240417,200000,38.555,38.7755,38.361,38.5,13429,0
FUN.US,60,20240417,210000,38.42,39.19,38.34,39.1,41367,0
