<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FYEE.US,60,20240412,190000,24.78,24.78,24.74,24.74,600,0
FYEE.US,60,20240412,220000,24.66,24.66,24.641,24.641,400,0
FYEE.US,60,20240415,160000,25.03,25.03,24.85,24.8697,1106,0
FYEE.US,60,20240415,170000,24.75,24.765,24.75,24.76,2929,0
FYEE.US,60,20240415,180000,24.76,24.81,24.76,24.78,1604,0
FYEE.US,60,20240415,190000,24.76,24.76,24.69,24.6999,1375,0
FYEE.US,60,20240415,200000,24.68,24.68,24.5,24.5,2300,0
FYEE.US,60,20240415,210000,24.49,24.49,24.47,24.47,300,0
FYEE.US,60,20240416,220000,24.46,24.5,24.43,24.48,2124,0
FYEE.US,60,20240417,170000,24.5,24.5,24.5,24.5,204,0
FYEE.US,60,20240417,210000,24.3899,24.43,24.35,24.38,1846,0
FYEE.US,60,20240417,220000,24.35,24.35,24.3,24.32,2000,0
FYEE.US,60,20240418,160000,24.3,24.3095,24.3,24.3095,200,0
FYEE.US,60,20240418,200000,24.3,24.3,24.3,24.3,100,0
FYEE.US,60,20240418,210000,24.2499,24.2499,24.2499,24.2499,824,0
FYEE.US,60,20240419,190000,24.1,24.1,24.1,24.1,848,0
FYEE.US,60,20240422,170000,24.145,24.1795,24.145,24.1795,350,0
FYEE.US,60,20240422,180000,24.1187,24.1187,24.1187,24.1187,414,0
FYEE.US,60,20240422,200000,24.27,24.27,24.2699,24.2699,416,0
FYEE.US,60,20240422,210000,24.4,24.4,24.3999,24.3999,400,0
FYEE.US,60,20240423,170000,24.4399,24.4985,24.4399,24.4985,675,0
FYEE.US,60,20240423,200000,24.53,24.53,24.53,24.53,100,0
FYEE.US,60,20240423,220000,24.49,24.52,24.49,24.52,1750,0
FYEE.US,60,20240424,200000,24.44,24.44,24.44,24.44,100,0
FYEE.US,60,20240424,210000,24.46,24.47,24.45,24.45,1950,0
FYEE.US,60,20240425,160000,24.1508,24.1508,24.1508,24.1508,126,0
FYEE.US,60,20240425,180000,24.21,24.21,24.21,24.21,400,0
FYEE.US,60,20240425,220000,24.36,24.36,24.36,24.36,800,0
FYEE.US,60,20240426,180000,24.56,24.5601,24.56,24.5601,200,0
FYEE.US,60,20240426,200000,24.6597,24.66,24.6597,24.66,1216,0
FYEE.US,60,20240426,210000,24.6599,24.6599,24.61,24.61,362,0
FYEE.US,60,20240429,190000,24.63,24.6599,24.63,24.6599,263,0
FYEE.US,60,20240429,220000,24.62,24.62,24.62,24.62,100,0
FYEE.US,60,20240430,190000,24.5,24.5,24.5,24.5,100,0
FYEE.US,60,20240430,220000,24.45,24.45,24.43,24.43,300,0
FYEE.US,60,20240501,160000,24.31,24.31,24.2862,24.2862,600,0
FYEE.US,60,20240501,170000,24.32,24.32,24.3199,24.3199,400,0
FYEE.US,60,20240501,210000,24.44,24.6,24.44,24.59,719,0
FYEE.US,60,20240501,220000,24.41,24.45,24.4057,24.45,300,0
FYEE.US,60,20240506,160000,24.95,24.95,24.86,24.86,2512,0
FYEE.US,60,20240506,190000,24.84,24.84,24.84,24.84,100,0
FYEE.US,60,20240506,200000,24.85,24.85,24.831,24.831,2000,0
FYEE.US,60,20240506,220000,24.88,24.88,24.86,24.88,2790,0
FYEE.US,60,20240507,170000,24.8824,24.8824,24.8824,24.8824,200,0
FYEE.US,60,20240507,190000,24.87,24.87,24.87,24.87,200,0
FYEE.US,60,20240513,220000,24.9272,25.06,24.9272,25.06,1000,0
FYEE.US,60,20240514,170000,25.1,25.1,25.0999,25.0999,600,0
FYEE.US,60,20240514,200000,25.09,25.09,25.09,25.09,382,0
FYEE.US,60,20240514,220000,25.13,25.13,25.13,25.13,100,0
FYEE.US,60,20240515,180000,25.1957,25.1957,25.1957,25.1957,198,0
FYEE.US,60,20240515,210000,25.17,25.17,25.17,25.17,100,0
FYEE.US,60,20240515,220000,25.21,25.25,25.201,25.25,1299,0
FYEE.US,60,20240516,170000,25.2187,25.2187,25.2187,25.2187,100,0
FYEE.US,60,20240516,180000,25.1957,25.21,25.1957,25.21,557,0
FYEE.US,60,20240516,200000,25.16,25.1601,25.16,25.1601,420,0
FYEE.US,60,20240516,220000,25.17,25.17,25.17,25.17,100,0
FYEE.US,60,20240517,160000,25.35,25.35,25.35,25.35,200,0
FYEE.US,60,20240517,170000,25.1987,25.1987,25.1887,25.1887,200,0
FYEE.US,60,20240517,220000,25.19,25.19,25.19,25.19,100,0
FYEE.US,60,20240520,190000,25.25,25.25,25.25,25.25,200,0
FYEE.US,60,20240521,180000,25.23,25.23,25.23,25.23,300,0
FYEE.US,60,20240521,190000,25.2,25.22,25.2,25.22,600,0
FYEE.US,60,20240522,210000,25.2,25.2,25.2,25.2,250,0
FYEE.US,60,20240523,180000,25.26,25.27,25.241,25.27,500,0
FYEE.US,60,20240523,210000,25.16,25.16,25.1501,25.1501,378,0
FYEE.US,60,20240524,190000,25.25,25.25,25.25,25.25,1000,0
FYEE.US,60,20240528,210000,25.22,25.22,25.19,25.22,755,0
FYEE.US,60,20240529,220000,25.21,25.24,25.1355,25.1355,400,0
FYEE.US,60,20240530,170000,25.09,25.09,25.0899,25.0899,874,0
FYEE.US,60,20240530,220000,25.0399,25.0399,25.0399,25.0399,200,0
FYEE.US,60,20240531,170000,25.09,25.09,25.09,25.09,100,0
FYEE.US,60,20240531,190000,24.9413,24.9413,24.9413,24.9413,198,0
FYEE.US,60,20240604,160000,25.38,25.38,25.2099,25.2099,498,0
FYEE.US,60,20240604,200000,25.2,25.2,25.2,25.2,200,0
FYEE.US,60,20240604,220000,25.23,25.26,25.23,25.26,377,0
FYEE.US,60,20240605,200000,25.43,25.43,25.4299,25.4299,392,0
FYEE.US,60,20240606,170000,25.51,25.51,25.5099,25.5099,200,0
FYEE.US,60,20240607,180000,25.5099,25.51,25.5099,25.51,200,0
FYEE.US,60,20240607,210000,25.5,25.5,25.5,25.5,300,0
FYEE.US,60,20240610,160000,25.48,25.48,25.48,25.48,123,0
FYEE.US,60,20240610,210000,25.56,25.56,25.56,25.56,268,0
FYEE.US,60,20240612,190000,25.71,25.71,25.71,25.71,100,0
FYEE.US,60,20240612,210000,25.71,25.71,25.71,25.71,100,0
FYEE.US,60,20240612,220000,25.7,25.7,25.7,25.7,4847,0
FYEE.US,60,20240613,180000,25.6713,25.6713,25.6713,25.6713,200,0
FYEE.US,60,20240613,200000,25.6999,25.7,25.6999,25.7,310,0
FYEE.US,60,20240614,190000,25.74,25.74,25.7399,25.7399,400,0
FYEE.US,60,20240617,160000,26,26,25.73,25.73,1052,0
FYEE.US,60,20240617,190000,25.78,25.78,25.78,25.78,200,0
FYEE.US,60,20240624,180000,25.78,25.7801,25.39,25.39,448,0
FYEE.US,60,20240624,200000,25.34,25.34,25.34,25.34,100,0
FYEE.US,60,20240624,210000,25.33,25.33,25.33,25.33,100,0
FYEE.US,60,20240625,190000,25.35,25.35,25.33,25.33,1103,0
FYEE.US,60,20240625,220000,25.38,25.38,25.38,25.38,100,0
FYEE.US,60,20240626,180000,25.3999,25.3999,25.3999,25.3999,150,0
FYEE.US,60,20240626,190000,25.4,25.4,25.4,25.4,142,0
FYEE.US,60,20240626,220000,25.4087,25.4087,25.38,25.3801,1000,0
FYEE.US,60,20240627,200000,25.48,25.48,25.4799,25.4799,714,0
FYEE.US,60,20240627,210000,25.4599,25.46,25.4599,25.46,412,0
FYEE.US,60,20240628,170000,25.61,25.61,25.5862,25.5862,378,0
FYEE.US,60,20240628,180000,25.56,25.56,25.5599,25.5599,400,0
FYEE.US,60,20240701,220000,25.5,25.5,25.46,25.46,391,0
FYEE.US,60,20240702,190000,25.5299,25.5299,25.5,25.519,351,0
FYEE.US,60,20240702,220000,25.59,25.59,25.59,25.59,100,0
FYEE.US,60,20240703,180000,25.65,25.65,25.65,25.65,200,0
FYEE.US,60,20240705,210000,25.7199,25.7199,25.7199,25.7199,100,0
FYEE.US,60,20240708,170000,25.725,25.75,25.725,25.75,281,0
FYEE.US,60,20240708,200000,25.73,25.75,25.73,25.75,571,0
FYEE.US,60,20240709,170000,25.765,25.78,25.765,25.78,350,0
FYEE.US,60,20240709,210000,25.77,25.77,25.77,25.77,121,0
FYEE.US,60,20240709,220000,25.8199,25.8199,25.77,25.77,300,0
FYEE.US,60,20240710,160000,25.8185,25.83,25.8,25.806,1000,0
FYEE.US,60,20240710,180000,25.81,25.81,25.81,25.81,250,0
FYEE.US,60,20240710,210000,25.8499,25.85,25.81,25.85,3000,0
FYEE.US,60,20240710,220000,25.84,25.85,25.84,25.85,245,0
FYEE.US,60,20240712,160000,25.845,25.855,25.845,25.855,674,0
FYEE.US,60,20240712,170000,25.89,25.89,25.85,25.8899,888,0
FYEE.US,60,20240712,190000,25.86,25.86,25.86,25.86,100,0
FYEE.US,60,20240712,220000,25.88,25.88,25.8694,25.8694,550,0
FYEE.US,60,20240715,160000,26.28,26.28,26.28,26.28,396,0
FYEE.US,60,20240715,170000,25.9499,25.9587,25.9304,25.9351,4538,0
FYEE.US,60,20240715,180000,25.9696,25.97,25.9547,25.9547,2300,0
FYEE.US,60,20240715,200000,25.9387,25.9387,25.9387,25.9387,100,0
FYEE.US,60,20240716,160000,26.34,26.34,26.34,26.34,122,0
FYEE.US,60,20240716,170000,25.95,25.95,25.92,25.92,700,0
FYEE.US,60,20240716,220000,25.99,25.99,25.9805,25.99,300,0
FYEE.US,60,20240717,160000,26.12,26.12,25.85,25.85,650,0
FYEE.US,60,20240717,170000,25.8287,25.8287,25.8287,25.8287,200,0
FYEE.US,60,20240717,210000,25.82,25.82,25.82,25.82,387,0
FYEE.US,60,20240717,220000,25.83,25.83,25.81,25.81,800,0
FYEE.US,60,20240718,210000,25.7099,25.73,25.6785,25.69,682,0
FYEE.US,60,20240719,200000,25.5499,25.57,25.51,25.57,800,0
FYEE.US,60,20240719,220000,25.55,25.55,25.5357,25.54,600,0
FYEE.US,60,20240722,190000,25.6787,25.6787,25.64,25.64,300,0
FYEE.US,60,20240722,210000,25.75,25.76,25.73,25.76,1105,0
FYEE.US,60,20240722,220000,25.78,25.78,25.78,25.78,200,0
FYEE.US,60,20240723,160000,25.78,25.78,25.78,25.78,100,0
FYEE.US,60,20240723,220000,25.79,25.79,25.79,25.79,100,0
FYEE.US,60,20240724,170000,25.47,25.47,25.451,25.451,352,0
FYEE.US,60,20240724,180000,25.4252,25.43,25.42,25.42,302,0
FYEE.US,60,20240724,200000,25.395,25.395,25.395,25.395,108,0
FYEE.US,60,20240724,210000,25.29,25.3,25.29,25.3,693,0
FYEE.US,60,20240724,220000,25.29,25.29,25.29,25.29,100,0
FYEE.US,60,20240725,180000,25.3019,25.3019,25.3019,25.3019,1000,0
FYEE.US,60,20240725,200000,25.4687,25.4999,25.4687,25.4999,507,0
FYEE.US,60,20240725,210000,25.3199,25.3199,25.3199,25.3199,700,0
FYEE.US,60,20240725,220000,25.34,25.34,25.23,25.23,1100,0
FYEE.US,60,20240726,200000,25.4799,25.4799,25.4799,25.4799,100,0
FYEE.US,60,20240726,210000,25.44,25.44,25.44,25.44,200,0
FYEE.US,60,20240726,220000,25.455,25.455,25.455,25.455,100,0
FYEE.US,60,20240729,170000,25.46,25.46,25.4599,25.4599,350,0
FYEE.US,60,20240729,220000,25.4799,25.4799,25.4799,25.4799,800,0
FYEE.US,60,20240730,160000,25.42,25.42,25.42,25.42,175,0
FYEE.US,60,20240730,170000,25.42,25.42,25.42,25.42,200,0
FYEE.US,60,20240730,190000,25.24,25.24,25.2305,25.24,400,0
FYEE.US,60,20240730,200000,25.23,25.23,25.23,25.23,100,0
FYEE.US,60,20240730,210000,25.29,25.29,25.29,25.29,100,0
FYEE.US,60,20240730,220000,25.33,25.33,25.33,25.33,185,0
FYEE.US,60,20240731,160000,25.5607,25.5607,25.5607,25.5607,100,0
FYEE.US,60,20240801,170000,25.78,25.78,25.78,25.78,100,0
FYEE.US,60,20240801,210000,25.2552,25.2552,25.2552,25.2552,100,0
FYEE.US,60,20240801,220000,25.26,25.3,25.25,25.3,600,0
FYEE.US,60,20240802,180000,24.73,24.865,24.73,24.85,900,0
FYEE.US,60,20240802,190000,24.9099,24.9099,24.9099,24.9099,414,0
FYEE.US,60,20240805,160000,23.98,23.98,23.68,23.68,370,0
FYEE.US,60,20240805,180000,24.28,24.34,24.28,24.34,355,0
FYEE.US,60,20240805,220000,24.25,24.25,24.2,24.2,388,0
FYEE.US,60,20240806,160000,24.26,24.315,24.26,24.315,500,0
FYEE.US,60,20240806,170000,24.5303,24.5303,24.5303,24.5303,157,0
FYEE.US,60,20240807,210000,24.29,24.29,24.29,24.29,200,0
FYEE.US,60,20240807,220000,24.405,24.405,24.265,24.265,600,0
FYEE.US,60,20240808,170000,24.73,24.73,24.73,24.73,106,0
FYEE.US,60,20240808,180000,24.71,24.71,24.71,24.71,159,0
FYEE.US,60,20240808,210000,24.8199,24.8199,24.78,24.78,400,0
FYEE.US,60,20240809,170000,24.8899,24.8899,24.8899,24.8899,150,0
FYEE.US,60,20240809,220000,24.9587,24.9587,24.9587,24.9587,200,0
FYEE.US,60,20240812,160000,25.13,25.13,25.13,25.13,610,0
FYEE.US,60,20240812,200000,24.9587,24.9587,24.9587,24.9587,240,0
FYEE.US,60,20240812,220000,24.915,24.95,24.915,24.95,450,0
FYEE.US,60,20240813,170000,25.2,25.2,25.1999,25.1999,200,0
FYEE.US,60,20240813,210000,25.325,25.325,25.325,25.325,196,0
FYEE.US,60,20240814,160000,25.56,25.56,25.56,25.56,107,0
FYEE.US,60,20240814,170000,25.31,25.3101,25.31,25.3101,390,0
FYEE.US,60,20240819,180000,25.9,25.9,25.9,25.9,100,0
FYEE.US,60,20240819,200000,25.9487,25.9487,25.9487,25.9487,300,0
FYEE.US,60,20240820,170000,26.025,26.025,26.025,26.025,197,0
FYEE.US,60,20240821,190000,26.03,26.1,25.92,25.92,1431,0
FYEE.US,60,20240822,170000,26.0685,26.0685,26.0685,26.0685,100,0
FYEE.US,60,20240822,220000,25.9,25.91,25.88,25.9,400,0
FYEE.US,60,20240823,180000,26.0203,26.0203,26.0203,26.0203,201,0
FYEE.US,60,20240823,190000,26.02,26.02,26.02,26.02,154,0
FYEE.US,60,20240823,220000,26.11,26.11,26.11,26.11,100,0
FYEE.US,60,20240827,180000,26.11,26.11,26.11,26.11,100,0
FYEE.US,60,20240827,220000,26.11,26.11,26.11,26.11,100,0
FYEE.US,60,20240903,170000,25.9787,25.9787,25.9787,25.9787,100,0
FYEE.US,60,20240903,190000,25.95,25.96,25.93,25.93,500,0
FYEE.US,60,20240904,160000,25.62,25.62,25.62,25.62,200,0
FYEE.US,60,20240904,170000,25.85,25.869,25.85,25.869,200,0
FYEE.US,60,20240905,160000,25.78,25.78,25.78,25.78,123,0
FYEE.US,60,20240906,190000,25.37,25.37,25.37,25.37,200,0
FYEE.US,60,20240918,160000,25.69,26.55,25.68,26.55,590,0
FYEE.US,60,20240919,170000,26.48,26.48,26.48,26.48,377,0
FYEE.US,60,20240923,160000,25.99,25.99,25.99,25.99,421,0
FYEE.US,60,20240923,180000,26.03,26.03,26.03,26.03,100,0
FYEE.US,60,20240923,190000,26.03,26.03,26.03,26.03,100,0
FYEE.US,60,20240923,210000,26.05,26.05,26.05,26.05,201,0
FYEE.US,60,20240924,220000,26.09,26.09,26.09,26.09,100,0
FYEE.US,60,20240925,200000,26.09,26.09,26.09,26.09,1100,0
FYEE.US,60,20240930,180000,26.1351,26.1351,26.1351,26.1351,300,0
FYEE.US,60,20241004,200000,26.1,26.22,26.095,26.22,4856,0
FYEE.US,60,20241008,160000,26.51,26.51,26.21,26.21,1076,0
FYEE.US,60,20241008,210000,26.3,26.3,26.3,26.3,102,0
FYEE.US,60,20241008,220000,26.32,26.33,26.32,26.33,200,0
FYEE.US,60,20241009,190000,26.4,26.4,26.385,26.385,1594,0
FYEE.US,60,20241010,160000,26.22,26.22,26.22,26.22,101,0
FYEE.US,60,20241010,170000,26.41,26.41,26.41,26.41,150,0
FYEE.US,60,20241010,180000,26.42,26.42,26.42,26.42,100,0
FYEE.US,60,20241010,200000,26.4199,26.4199,26.4199,26.4199,908,0
FYEE.US,60,20241010,220000,26.4199,26.4389,26.4199,26.4389,300,0
FYEE.US,60,20241011,170000,26.51,26.53,26.51,26.53,450,0
FYEE.US,60,20241011,180000,26.52,26.52,26.52,26.52,160,0
FYEE.US,60,20241011,200000,26.51,26.51,26.4999,26.4999,300,0
FYEE.US,60,20241011,210000,26.5187,26.5187,26.5187,26.5187,109,0
FYEE.US,60,20241014,160000,26.595,26.595,26.595,26.595,160,0
FYEE.US,60,20241014,170000,26.6,26.6,26.6,26.6,100,0
FYEE.US,60,20241014,180000,26.6,26.6142,26.6,26.6001,300,0
FYEE.US,60,20241014,190000,26.64,26.64,26.6305,26.6305,500,0
FYEE.US,60,20241015,170000,26.6501,26.6501,26.6501,26.6501,100,0
FYEE.US,60,20241015,180000,26.6399,26.6399,26.6399,26.6399,200,0
FYEE.US,60,20241015,210000,26.61,26.61,26.6099,26.6099,200,0
FYEE.US,60,20241015,220000,26.57,26.57,26.57,26.57,100,0
FYEE.US,60,20241016,170000,26.6099,26.6099,26.6099,26.6099,200,0
FYEE.US,60,20241018,180000,26.72,26.72,26.72,26.72,300,0
FYEE.US,60,20241018,190000,26.705,26.705,26.705,26.705,200,0
FYEE.US,60,20241018,210000,26.74,26.74,26.74,26.74,250,0
FYEE.US,60,20241018,220000,26.73,26.73,26.73,26.73,175,0
FYEE.US,60,20241021,180000,26.62,26.62,26.6105,26.6105,400,0
FYEE.US,60,20241021,210000,26.6787,26.6799,26.6787,26.6787,570,0
FYEE.US,60,20241021,220000,26.68,26.83,26.6,26.69,20197,0
FYEE.US,60,20241022,160000,26.64,26.64,26.6399,26.6399,508,0
FYEE.US,60,20241022,170000,26.6399,26.64,26.6257,26.6257,6794,0
FYEE.US,60,20241022,210000,26.71,26.71,26.7,26.7,4300,0
FYEE.US,60,20241022,220000,26.72,26.72,26.72,26.72,400,0
FYEE.US,60,20241023,180000,26.56,26.56,26.56,26.56,219,0
FYEE.US,60,20241025,210000,26.47,26.59,26.47,26.59,582,0
FYEE.US,60,20241025,220000,26.56,26.56,26.5399,26.5399,250,0
FYEE.US,60,20241028,150000,26.86,26.86,26.69,26.69,350,0
FYEE.US,60,20241029,170000,26.7,26.7,26.7,26.7,800,0
FYEE.US,60,20241029,180000,26.71,26.71,26.7,26.7005,961,0
FYEE.US,60,20241030,200000,26.76,26.76,26.75,26.75,313,0
FYEE.US,60,20241030,210000,26.73,26.73,26.71,26.71,300,0
FYEE.US,60,20241031,160000,26.45,26.4501,26.45,26.4501,200,0
FYEE.US,60,20241031,200000,26.3589,26.3589,26.3589,26.3589,105,0
FYEE.US,60,20241105,210000,26.6187,26.64,26.6187,26.6399,950,0
FYEE.US,60,20241105,220000,26.61,26.63,26.6099,26.63,1106,0
FYEE.US,60,20241106,160000,27.63,27.63,27.63,27.63,127,0
FYEE.US,60,20241106,180000,27.1613,27.1613,27.1613,27.1613,950,0
FYEE.US,60,20241106,200000,27.2024,27.22,27.2024,27.22,680,0
FYEE.US,60,20241106,210000,27.24,27.24,27.24,27.24,199,0
FYEE.US,60,20241107,180000,27.355,27.355,27.35,27.35,420,0
FYEE.US,60,20241107,210000,27.35,27.35,27.35,27.35,255,0
FYEE.US,60,20241107,220000,27.3419,27.3599,27.3419,27.354,946,0
FYEE.US,60,20241108,160000,27.77,27.77,27.77,27.77,366,0
FYEE.US,60,20241108,170000,27.37,27.4199,27.37,27.38,300,0
FYEE.US,60,20241108,180000,27.43,27.43,27.4299,27.4299,200,0
FYEE.US,60,20241108,190000,27.43,27.43,27.43,27.43,100,0
FYEE.US,60,20241111,210000,27.45,27.46,27.45,27.46,382,0
FYEE.US,60,20241111,220000,27.49,27.49,27.49,27.49,200,0
FYEE.US,60,20241113,180000,27.4725,27.52,27.4725,27.52,1706,0
FYEE.US,60,20241113,210000,27.52,27.52,27.5,27.5,571,0
FYEE.US,60,20241114,180000,27.46,27.46,27.46,27.46,483,0
FYEE.US,60,20241115,220000,27.36,27.38,26.99,27.02,3915,0
FYEE.US,60,20241118,170000,27.04,27.04,27.04,27.04,175,0
FYEE.US,60,20241118,200000,27.0701,27.0701,27.0701,27.0701,200,0
FYEE.US,60,20241120,160000,27.17,27.17,27.17,27.17,297,0
FYEE.US,60,20241120,170000,27.0301,27.0301,27.0301,27.0301,184,0
FYEE.US,60,20241120,220000,27.1201,27.1201,27.1201,27.1201,200,0
FYEE.US,60,20241121,170000,27.02,27.0201,27.02,27.0201,404,0
FYEE.US,60,20241121,180000,27.17,27.1701,27.17,27.1701,400,0
FYEE.US,60,20241122,170000,27.379,27.379,27.379,27.379,100,0
FYEE.US,60,20241125,160000,27.57,27.57,27.57,27.57,1000,0
FYEE.US,60,20241125,190000,27.46,27.46,27.4,27.4,400,0
FYEE.US,60,20241125,210000,27.4899,27.4899,27.4899,27.4899,300,0
FYEE.US,60,20241127,160000,27.52,27.5665,27.52,27.5665,3462,0
FYEE.US,60,20241127,170000,27.5301,27.5301,27.5301,27.5301,362,0
FYEE.US,60,20241127,200000,27.5101,27.5101,27.5101,27.5101,363,0
FYEE.US,60,20241129,190000,27.67,27.67,27.67,27.67,200,0
FYEE.US,60,20241202,160000,27.71,27.71,27.7099,27.7099,988,0
FYEE.US,60,20241202,170000,27.72,27.72,27.714,27.714,1716,0
FYEE.US,60,20241202,180000,27.71,27.71,27.7099,27.71,1582,0
FYEE.US,60,20241202,210000,27.7055,27.75,27.7055,27.75,708,0
FYEE.US,60,20241203,160000,27.75,27.75,27.7499,27.7499,720,0
FYEE.US,60,20241203,200000,27.78,27.78,27.78,27.78,400,0
FYEE.US,60,20241203,210000,27.77,27.77,27.7557,27.7557,216,0
FYEE.US,60,20241204,170000,27.84,27.8596,27.84,27.8596,735,0
FYEE.US,60,20241204,180000,27.89,27.89,27.85,27.85,2973,0
FYEE.US,60,20241204,200000,27.89,27.89,27.89,27.89,100,0
FYEE.US,60,20241204,220000,27.95,27.95,27.95,27.95,300,0
FYEE.US,60,20241205,170000,27.9403,27.98,27.9403,27.98,600,0
FYEE.US,60,20241205,220000,27.92,27.92,27.92,27.92,200,0
FYEE.US,60,20241206,160000,28.01,28.01,28.0099,28.0099,200,0
FYEE.US,60,20241210,220000,27.87,27.87,27.8452,27.85,595,0
FYEE.US,60,20241211,160000,27.9457,27.9457,27.9457,27.9457,300,0
FYEE.US,60,20241211,220000,28.01,28.01,28.0099,28.0099,600,0
FYEE.US,60,20241212,160000,27.97,27.97,27.95,27.95,200,0
FYEE.US,60,20241212,180000,27.97,27.97,27.9386,27.9386,400,0
FYEE.US,60,20241212,210000,27.93,27.93,27.93,27.93,107,0
