<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GDLC.US,60,20250919,160000,58,58.1299,57.8111,57.99,75222,0
GDLC.US,60,20250919,170000,58,58.09,57.6929,57.7017,85274,0
GDLC.US,60,20250919,180000,57.7202,57.7202,57.45,57.68,61913,0
GDLC.US,60,20250919,190000,57.67,57.79,57.6188,57.77,28120,0
GDLC.US,60,20250919,200000,57.7714,57.7714,57.5,57.5097,25371,0
GDLC.US,60,20250919,210000,57.5,57.529,57.4,57.435,23327,0
GDLC.US,60,20250919,220000,57.435,57.4727,57.2801,57.305,22677,0
GDLC.US,60,20250922,160000,55.71,55.8087,55.37,55.8087,111299,0
GDLC.US,60,20250922,170000,55.745,55.95,55.57,55.635,31363,0
GDLC.US,60,20250922,180000,55.645,55.69,55.43,55.5893,28480,0
GDLC.US,60,20250922,190000,55.52,55.59,55.38,55.39,57593,0
GDLC.US,60,20250922,200000,55.39,55.41,55.2,55.29,79173,0
GDLC.US,60,20250922,210000,55.32,55.4999,55.26,55.3229,157395,0
GDLC.US,60,20250922,220000,55.33,55.34,55.05,55.15,340743,0
GDLC.US,60,20250923,160000,55.63,55.84,55.5107,55.6589,20998,0
GDLC.US,60,20250923,170000,55.59,55.77,55.4001,55.4001,23434,0
GDLC.US,60,20250923,180000,55.42,55.68,55.37,55.56,51486,0
GDLC.US,60,20250923,190000,55.5904,55.68,55.405,55.5908,43420,0
GDLC.US,60,20250923,200000,55.6,55.6,55.06,55.06,29944,0
GDLC.US,60,20250923,210000,55.1,55.2,54.995,55.0496,9878,0
GDLC.US,60,20250923,220000,55.05,55.18,54.95,55,17378,0
GDLC.US,60,20250924,160000,55.54,55.7,55.435,55.44,12526,0
GDLC.US,60,20250924,170000,55.32,56.03,55.32,55.925,15831,0
GDLC.US,60,20250924,180000,55.97,56.01,55.7,55.71,22628,0
GDLC.US,60,20250924,190000,55.72,55.95,55.675,55.925,21664,0
GDLC.US,60,20250924,200000,55.949625,56.07,55.87,55.92,10477,0
GDLC.US,60,20250924,210000,55.95,55.9897,55.815,55.845,27500,0
GDLC.US,60,20250924,220000,55.86,55.87,55.7,55.75,51519,0
GDLC.US,60,20250925,160000,54.5463,54.58,53.94,54.12,26289,0
GDLC.US,60,20250925,170000,54.125,54.585,54.125,54.526,15294,0
GDLC.US,60,20250925,180000,54.5,54.5,54.145,54.43,28754,0
