<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GIGL.US,60,20250702,160000,50.25,50.26,50.25,50.26,600,0
GIGL.US,60,20250702,170000,50.29,50.29,50.29,50.29,500,0
GIGL.US,60,20250702,200000,50.32,50.32,50.32,50.32,500,0
GIGL.US,60,20250703,170000,50.28,50.28,50.28,50.28,500,0
GIGL.US,60,20250703,200000,50.28,50.28,50.28,50.28,300,0
GIGL.US,60,20250711,190000,49.97,49.97,49.97,49.97,1200,0
GIGL.US,60,20250711,210000,49.98,49.98,49.98,49.98,500,0
GIGL.US,60,20250806,220000,49.96,50.57,49.96,50.535,2100,0
GIGL.US,60,20250808,210000,50.43,50.43,50.4299,50.4299,400,0
GIGL.US,60,20250829,180000,50.58,50.59,50.5799,50.59,400,0
GIGL.US,60,20250829,220000,50.61,50.61,50.61,50.61,1000,0
GIGL.US,60,20250902,170000,50.21,50.22,50.21,50.21,4200,0
GIGL.US,60,20250904,160000,50.62,50.62,50.56,50.5601,800,0
GIGL.US,60,20250912,200000,51.2525,51.2525,51.2525,51.2525,100,0
GIGL.US,60,20250918,160000,51.18,51.18,51.18,51.18,400,0
GIGL.US,60,20251021,220000,51.5,51.6898,51.455,51.6898,340230,0
GIGL.US,60,20251022,190000,51.6,51.6,51.589,51.589,500,0
GIGL.US,60,20251022,210000,51.63,51.63,51.63,51.63,400,0
GIGL.US,60,20251024,220000,51.64,51.64,51.64,51.64,300,0
GIGL.US,60,20251028,200000,51.77,51.77,51.76,51.76,300,0
GIGL.US,60,20251028,210000,51.73,51.745,51.73,51.745,4805,0
GIGL.US,60,20251031,170000,51.3297,51.3297,51.3297,51.3297,695,0
GIGL.US,60,20251031,210000,51.32,51.32,51.32,51.32,100,0
GIGL.US,60,20251104,170000,51.15,51.16,51.1499,51.16,1679,0
GIGL.US,60,20251104,190000,51.1,51.1,51.1,51.1,372,0
GIGL.US,60,20251104,200000,51.1045,51.1045,51.0899,51.0899,1860,0
GIGL.US,60,20251105,170000,51,51.01,51,51.01,600,0
GIGL.US,60,20251105,190000,50.98,50.98,50.97,50.975,1378,0
GIGL.US,60,20251107,220000,51.0799,51.0799,51.0799,51.0799,200,0
GIGL.US,60,20251110,200000,51.095,51.095,51.08,51.08,2300,0
GIGL.US,60,20251112,160000,51.18,51.18,51.17,51.18,3981,0
GIGL.US,60,20251112,170000,51.15,51.2,51.14,51.14,2228,0
GIGL.US,60,20251112,190000,51.19,51.19,51.19,51.19,600,0
GIGL.US,60,20251112,220000,51.15,51.15,51.15,51.15,500,0
GIGL.US,60,20251113,210000,51.1,51.11,51.055,51.055,2140,0
GIGL.US,60,20251114,220000,51.015,51.015,51.01,51.01,236,0
GIGL.US,60,20251117,170000,50.95,50.95,50.95,50.95,100,0
GIGL.US,60,20251117,220000,50.93,50.93,50.93,50.93,1060,0
GIGL.US,60,20251118,180000,50.95,51.0899,50.95,50.95,1951,0
GIGL.US,60,20251118,210000,50.97,50.97,50.97,50.97,3341,0
GIGL.US,60,20251120,170000,51.11,51.24,51.11,51.11,4704,0
GIGL.US,60,20251120,190000,51.0599,51.06,51.04,51.04,600,0
GIGL.US,60,20251120,220000,51.02,51.02,50.98,50.98,7586,0
GIGL.US,60,20251121,170000,51.11,51.2499,51.09,51.09,2614,0
GIGL.US,60,20251121,200000,51.1,51.1,51.1,51.1,100,0
GIGL.US,60,20251121,210000,51.12,51.12,51.12,51.12,2427,0
GIGL.US,60,20251124,220000,51.11,51.41,51.11,51.4,1900,0
GIGL.US,60,20251125,180000,51.43,51.43,51.38,51.38,900,0
GIGL.US,60,20251125,210000,51.46,51.46,51.42,51.42,11319,0
GIGL.US,60,20251126,170000,51.44,51.44,51.44,51.44,400,0
GIGL.US,60,20251126,200000,51.53,51.53,51.53,51.53,600,0
GIGL.US,60,20251126,210000,51.52,51.52,51.52,51.52,470,0
GIGL.US,60,20251128,170000,51.52,51.97,51.52,51.7499,1200,0
GIGL.US,60,20251128,190000,51.5,51.5,51.4999,51.4999,384,0
GIGL.US,60,20251201,220000,51.089,51.089,51.089,51.089,415,0
GIGL.US,60,20251202,170000,51.1,51.2,51.1,51.2,1400,0
GIGL.US,60,20251202,210000,51.18,51.19,51.18,51.19,300,0
GIGL.US,60,20251203,170000,51.16,51.16,51.16,51.16,199,0
GIGL.US,60,20251205,210000,51.1,51.1,51.1,51.1,3002,0
GIGL.US,60,20251205,220000,51.09,51.09,51.05,51.05,600,0
GIGL.US,60,20251208,190000,50.97,50.97,50.97,50.97,197,0
GIGL.US,60,20251208,200000,50.978,50.978,50.978,50.978,332,0
GIGL.US,60,20251209,170000,50.9825,50.9825,50.9825,50.9825,710,0
GIGL.US,60,20251209,220000,50.98,50.98,50.98,50.98,168,0
GIGL.US,60,20251210,170000,51.04,51.08,50.99,50.99,2962,0
GIGL.US,60,20251210,180000,51.07,51.08,51.06,51.08,3636,0
GIGL.US,60,20251210,200000,51.09,51.09,51.09,51.09,100,0
GIGL.US,60,20251210,210000,51.1,51.1,51.08,51.08,200,0
GIGL.US,60,20251210,220000,51.2,51.2,51.15,51.15,1156,0
GIGL.US,60,20251211,170000,51.24,51.24,51.19,51.2,500,0
GIGL.US,60,20251211,190000,51.22,51.23,51.22,51.23,703,0
GIGL.US,60,20251212,220000,50.89,50.89,50.89,50.89,260,0
GIGL.US,60,20251215,170000,51.03,51.04,51.03,51.0399,1369,0
GIGL.US,60,20251215,180000,51,51,51,51,100,0
GIGL.US,60,20251215,210000,50.94,50.94,50.94,50.94,1212,0
GIGL.US,60,20251215,220000,50.97,50.97,50.97,50.97,100,0
GIGL.US,60,20251216,170000,51.01,51.01,51.01,51.01,400,0
GIGL.US,60,20251216,210000,51.06,51.0699,51.06,51.0699,1008,0
GIGL.US,60,20251216,220000,51.06,51.06,51.01,51.035,4431,0
GIGL.US,60,20251217,170000,51.05,51.05,51.05,51.05,100,0
GIGL.US,60,20251217,180000,51.02,51.02,51.02,51.02,152371,0
GIGL.US,60,20251217,190000,51.03,51.04,51.01,51.04,51150,0
GIGL.US,60,20251217,200000,51.06,51.06,51.04,51.0489,182491,0
GIGL.US,60,20251217,210000,51.02,51.02,51.02,51.02,115,0
GIGL.US,60,20251217,220000,51.0722,51.0722,51.06,51.07,2411,0
GIGL.US,60,20251218,160000,51.15,51.15,51.15,51.15,100,0
GIGL.US,60,20251218,170000,51.14,51.1482,51.12,51.12,6643,0
GIGL.US,60,20251218,180000,51.17,51.18,51.14,51.14,2698,0
GIGL.US,60,20251218,200000,51.11,51.11,51.08,51.1025,3972,0
GIGL.US,60,20251218,210000,51.14,51.14,51.14,51.14,100,0
GIGL.US,60,20251218,220000,51.12,51.13,51.115,51.13,15309,0
GIGL.US,60,20251219,170000,51.12,51.12,51.12,51.12,150,0
GIGL.US,60,20251219,190000,51.0974,51.0974,51.0974,51.0974,455,0
GIGL.US,60,20251219,200000,51.09,51.09,51.0631,51.0631,4611,0
GIGL.US,60,20251219,210000,51.1,51.1,51.1,51.1,100,0
GIGL.US,60,20251219,220000,51.08,51.1,51.08,51.1,2775,0
GIGL.US,60,20251222,160000,51.05,51.05,51.04,51.04,1800,0
GIGL.US,60,20251222,170000,51.03,51.0308,51.03,51.03,1069,0
GIGL.US,60,20251222,180000,51.0592,51.0592,51.0592,51.0592,237,0
GIGL.US,60,20251222,190000,51.0716,51.0745,51.055,51.055,1738,0
GIGL.US,60,20251222,200000,51.0544,51.0544,51.045,51.045,1657,0
GIGL.US,60,20251222,210000,51.05,51.05,51.05,51.05,100,0
GIGL.US,60,20251222,220000,51.06,51.06,51.06,51.06,6920,0
GIGL.US,60,20251223,160000,50.98,50.98,50.98,50.98,100,0
GIGL.US,60,20251223,170000,51.0066,51.05,51.0066,51.05,1500,0
GIGL.US,60,20251223,200000,51.05,51.1194,51.05,51.1,6112,0
GIGL.US,60,20251223,210000,51.09,51.09,51.09,51.09,100,0
GIGL.US,60,20251223,220000,51.09,51.09,51.09,51.09,100,0
GIGL.US,60,20251226,170000,51.16,51.29,51.1373,51.29,414,0
GIGL.US,60,20251226,180000,51.27,51.27,51.27,51.27,100,0
GIGL.US,60,20251226,210000,51.28,51.28,51.23,51.23,600,0
GIGL.US,60,20251226,220000,51.26,51.27,51.26,51.27,919,0
