<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GMNY.US,60,20240730,210000,50.23,50.23,50.23,50.23,500,0
GMNY.US,60,20240731,160000,50.22,50.22,50.22,50.22,300,0
GMNY.US,60,20240731,210000,50.26,50.26,50.26,50.26,301,0
GMNY.US,60,20240806,160000,50.37,50.63,50.37,50.63,656,0
GMNY.US,60,20240807,220000,50.57,50.57,45.48,50.54,12500,0
GMNY.US,60,20240809,160000,50.43,50.43,50.43,50.43,356,0
GMNY.US,60,20240812,190000,50.47,50.47,50.47,50.47,218,0
GMNY.US,60,20240813,210000,50.58,50.59,50.5502,50.5502,600,0
GMNY.US,60,20240816,160000,50.46,50.46,50.46,50.46,300,0
GMNY.US,60,20240820,180000,50.49,50.49,50.49,50.49,100,0
GMNY.US,60,20240820,220000,50.56,50.56,50.56,50.56,300,0
GMNY.US,60,20240822,160000,50.55,50.55,50.5304,50.5304,4258,0
GMNY.US,60,20240822,170000,50.51,50.51,50.51,50.51,100,0
GMNY.US,60,20240823,190000,50.6,50.6,50.6,50.6,1000,0
GMNY.US,60,20240823,200000,50.6,50.6,50.6,50.6,100,0
GMNY.US,60,20240826,210000,50.66,50.66,50.66,50.66,1000,0
GMNY.US,60,20240826,220000,50.68,50.68,50.68,50.68,100,0
GMNY.US,60,20240827,200000,50.57,50.57,50.57,50.57,992,0
GMNY.US,60,20240827,220000,50.59,50.59,50.59,50.59,200,0
GMNY.US,60,20240828,160000,50.63,50.63,50.63,50.63,444,0
GMNY.US,60,20240830,170000,50.6098,50.6098,50.6098,50.6098,200,0
GMNY.US,60,20240903,220000,50.57,50.5701,50.515,50.54,2000,0
GMNY.US,60,20240904,170000,50.5,50.53,50.5,50.53,2000,0
GMNY.US,60,20240904,220000,50.57,50.57,50.57,50.57,1000,0
GMNY.US,60,20240905,170000,50.55,50.55,50.55,50.55,1000,0
GMNY.US,60,20240905,200000,50.56,50.56,50.56,50.56,1000,0
GMNY.US,60,20240905,220000,50.58,50.58,50.58,50.58,500,0
GMNY.US,60,20240906,170000,50.62,50.66,50.62,50.66,1999,0
GMNY.US,60,20240906,210000,50.73,51.74,50.73,51.74,3000,0
GMNY.US,60,20240906,220000,50.71,50.71,50.71,50.71,100,0
