<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GMRE.US,60,20240411,160000,36.993,37.1708,36.8084,36.8599,7676.279439694737,0
GMRE.US,60,20240411,170000,36.7934,36.9487,36.7267,36.8599,6625.8293491645,0
GMRE.US,60,20240411,180000,36.8155,37.1264,36.6489,37.0597,8207.0213182327,0
GMRE.US,60,20240411,190000,37.0597,37.0597,36.8822,36.8822,7869.0308389432,0
GMRE.US,60,20240411,200000,36.8599,36.9038,36.8155,36.8599,9290.5724084003,0
GMRE.US,60,20240411,210000,36.8822,36.9043,36.7711,36.7711,4455.1243389369,0
GMRE.US,60,20240411,220000,36.8043,36.8599,36.6822,36.7711,21445.169404465,0
GMRE.US,60,20240412,160000,36.7711,36.7711,36.5935,36.6156,6170.746898368866,0
GMRE.US,60,20240412,170000,36.6347,36.8155,36.4957,36.8155,3811.5688493902,0
GMRE.US,60,20240412,180000,36.7711,36.9043,36.6822,36.8378,7082.4880380381,0
GMRE.US,60,20240412,190000,36.8378,36.993,36.638,36.6601,8144.8725025872,0
GMRE.US,60,20240412,200000,36.6822,36.9043,36.638,36.8599,7326.3545863863,0
GMRE.US,60,20240412,210000,36.8155,36.9267,36.5935,36.7045,5565.2462995616,0
GMRE.US,60,20240412,220000,36.6601,36.9043,36.6268,36.9043,23534.360388375,0
GMRE.US,60,20240415,160000,36.993,37.1264,36.6822,36.749,7892.899586980933,0
GMRE.US,60,20240415,170000,36.8155,36.8155,36.6818,36.7355,6071.8942531936,0
GMRE.US,60,20240415,180000,36.6822,36.8599,36.5712,36.8378,7311.2677362115,0
GMRE.US,60,20240415,190000,36.8378,36.8599,36.594,36.749,5841.5383169422,0
GMRE.US,60,20240415,200000,36.7267,36.7267,36.4602,36.5268,14449.599637583,0
GMRE.US,60,20240415,210000,36.5082,36.5268,36.2826,36.327,13418.965111462,0
GMRE.US,60,20240415,220000,36.327,36.4379,36.2826,36.327,27221.856783342,0
GMRE.US,60,20240416,160000,36.1937,36.2381,35.5942,35.6165,12132.079309236526,0
GMRE.US,60,20240416,170000,35.62,35.883,35.6165,35.8385,9647.928098362,0
GMRE.US,60,20240416,180000,35.8606,36.2604,35.8606,36.1493,7009.9810864517,0
GMRE.US,60,20240416,190000,36.1272,36.1937,36.0605,36.0659,5421.8086344667,0
GMRE.US,60,20240416,200000,36.0605,36.0605,35.7497,35.8385,14883.965816497,0
GMRE.US,60,20240416,210000,35.8163,36.0605,35.7053,35.7995,10180.696568715,0
GMRE.US,60,20240416,220000,35.8127,35.8163,35.4388,35.4388,43083.315385046,0
GMRE.US,60,20240417,160000,35.6609,36.1493,35.6342,36.0605,8427.244295411429,0
GMRE.US,60,20240417,170000,36.0162,36.0601,35.8385,35.905,5642.7071422502,0
GMRE.US,60,20240417,180000,35.9494,35.9494,35.6386,35.8385,2583.2290329181,0
GMRE.US,60,20240417,190000,35.8606,35.9704,35.7718,35.8718,5037.206543443,0
GMRE.US,60,20240417,200000,35.8606,36.1493,35.8385,36.1493,6484.8686296207,0
GMRE.US,60,20240417,210000,36.1493,36.1937,35.7497,35.7497,5405.5958999505,0
GMRE.US,60,20240417,220000,35.7053,35.9494,35.6609,35.7942,20877.723696397,0
GMRE.US,60,20240418,160000,35.9273,36.0383,35.7942,35.9717,2846.9111456749956,0
GMRE.US,60,20240418,170000,35.9273,36.1937,35.9273,36.105,7750.8129830957,0
GMRE.US,60,20240418,180000,36.0605,36.1937,35.9494,36.0162,6202.947190533,0
GMRE.US,60,20240418,190000,36.0383,36.1045,35.9273,35.9677,3751.8969792958,0
GMRE.US,60,20240418,200000,35.9717,36.0162,35.87,36.0032,3142.3431968595,0
GMRE.US,60,20240418,210000,35.9717,36.0383,35.883,35.9939,2456.2292792077,0
GMRE.US,60,20240418,220000,36.0162,36.1272,35.9717,36.0605,27724.001199609,0
GMRE.US,60,20240419,160000,35.9273,36.5491,35.9273,36.5491,7038.128194986763,0
GMRE.US,60,20240419,170000,36.5712,36.5712,36.2159,36.2159,6130.8905926832,0
GMRE.US,60,20240419,180000,36.2159,36.2604,36.1937,36.2053,8032.2840684468,0
GMRE.US,60,20240419,190000,36.2159,36.2381,36.0627,36.2381,4059.938935104,0
GMRE.US,60,20240419,200000,36.2129,36.2604,36.1272,36.1937,5515.031857935,0
GMRE.US,60,20240419,210000,36.1716,36.1937,35.9717,36.105,2391.8286948794,0
GMRE.US,60,20240419,220000,36.0828,36.327,36.0828,36.327,26503.542573526,0
GMRE.US,60,20240422,160000,36.5491,36.7622,36.2381,36.327,11459.701180549862,0
GMRE.US,60,20240422,170000,36.327,36.327,36.2159,36.2381,2897.3507641699,0
GMRE.US,60,20240422,180000,36.2604,36.3492,36.2381,36.3047,5135.3836580134,0
GMRE.US,60,20240422,190000,36.2936,36.3715,36.2831,36.3257,7135.1794252158,0
