<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GTOS.US,60,20240417,170000,24.73,24.7385,24.711,24.711,756,0
GTOS.US,60,20240419,180000,24.72,24.72,24.72,24.72,10859,0
GTOS.US,60,20240419,200000,24.71,24.71,24.7,24.7,5157,0
GTOS.US,60,20240422,220000,24.71,24.71,24.62,24.62,500,0
GTOS.US,60,20240430,200000,24.6616,24.6616,24.6616,24.6616,2000,0
GTOS.US,60,20240430,220000,24.67,24.67,24.67,24.67,100,0
GTOS.US,60,20240501,200000,24.65,24.65,24.65,24.65,30292,0
GTOS.US,60,20240502,180000,24.7001,24.7001,24.7001,24.7001,140,0
GTOS.US,60,20240502,190000,24.7335,24.7335,24.73,24.73,600,0
GTOS.US,60,20240507,160000,24.83,24.83,24.83,24.83,160,0
GTOS.US,60,20240507,180000,24.8,24.8001,24.8,24.8001,860,0
GTOS.US,60,20240507,190000,24.815,24.815,24.815,24.815,242,0
GTOS.US,60,20240510,220000,24.82,24.82,24.81,24.81,655,0
GTOS.US,60,20240514,200000,24.8216,24.8216,24.8216,24.8216,2000,0
GTOS.US,60,20240516,170000,24.86,24.86,24.83,24.855,1028,0
GTOS.US,60,20240516,210000,24.87,24.87,24.87,24.87,1500,0
GTOS.US,60,20240522,190000,24.72,24.7351,24.72,24.7351,200,0
GTOS.US,60,20240523,210000,24.68,24.68,24.68,24.68,6854,0
GTOS.US,60,20240531,180000,24.69,24.7406,24.69,24.7406,400,0
GTOS.US,60,20240531,220000,24.7403,24.7403,24.7403,24.7403,100,0
GTOS.US,60,20240603,160000,24.7769,24.7769,24.7769,24.7769,1200,0
GTOS.US,60,20240604,170000,24.78,24.8,24.78,24.8,200,0
GTOS.US,60,20240605,220000,24.84,24.84,24.83,24.83,1900,0
GTOS.US,60,20240607,180000,24.76,24.7601,24.76,24.7601,200,0
GTOS.US,60,20240610,220000,24.7882,24.7882,24.7882,24.7882,500,0
GTOS.US,60,20240617,190000,24.82,24.84,24.82,24.84,528,0
GTOS.US,60,20240618,160000,24.91,24.91,24.91,24.91,610,0
GTOS.US,60,20240621,220000,24.8999,24.91,24.8887,24.8887,8290,0
GTOS.US,60,20240625,180000,24.7606,24.7606,24.7606,24.7606,600,0
