<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HOLA.US,60,20250714,220000,50.0933,50.0933,49.81,50.011,3031,0
HOLA.US,60,20250715,160000,49.91,49.96,49.85,49.916,2344,0
HOLA.US,60,20250715,170000,49.74,49.7427,49.635,49.6691,3080,0
HOLA.US,60,20250715,180000,49.63,49.63,49.58,49.62,3009,0
HOLA.US,60,20250715,190000,49.6,49.6,49.35,49.37,940,0
HOLA.US,60,20250715,200000,49.5498,49.5894,49.5498,49.5894,529,0
HOLA.US,60,20250715,210000,49.68,49.68,49.68,49.68,102,0
HOLA.US,60,20250715,220000,49.64,49.64,49.64,49.64,1977,0
HOLA.US,60,20250716,170000,49.52,49.64,49.46,49.46,3571,0
HOLA.US,60,20250716,180000,49.68,49.68,49.68,49.68,100,0
HOLA.US,60,20250716,190000,49.67,49.67,49.67,49.67,700,0
HOLA.US,60,20250716,200000,49.675,49.8299,49.6736,49.7568,1387,0
HOLA.US,60,20250716,210000,49.76,49.7945,49.7514,49.7945,500,0
HOLA.US,60,20250716,220000,49.73,49.8,49.7101,49.7861,3035,0
HOLA.US,60,20250717,180000,49.76,49.76,49.76,49.76,100,0
HOLA.US,60,20250717,190000,49.77,49.77,49.77,49.77,574,0
HOLA.US,60,20250717,200000,49.7499,49.7601,49.7499,49.75,648,0
HOLA.US,60,20250717,210000,49.77,49.82,49.761,49.81,1254,0
HOLA.US,60,20250717,220000,49.83,49.905,49.8,49.8,1115,0
HOLA.US,60,20250718,160000,49.9,49.9,49.9,49.9,1000,0
HOLA.US,60,20250718,170000,49.8692,49.8692,49.8692,49.8692,115,0
HOLA.US,60,20250718,180000,49.937,50.25,49.915,50.0167,6133,0
HOLA.US,60,20250718,190000,49.9,49.955,49.8775,49.929,2706,0
HOLA.US,60,20250718,200000,49.865,49.94,49.76,49.9136,87468,0
HOLA.US,60,20250718,210000,49.87,49.87,49.87,49.87,100,0
HOLA.US,60,20250718,220000,49.87,49.9225,49.87,49.9225,2089,0
HOLA.US,60,20250721,160000,49.852,49.9,49.852,49.9,798,0
HOLA.US,60,20250721,170000,49.94,49.99,49.88,49.9694,43362,0
HOLA.US,60,20250721,180000,49.98,50.01,49.935,50.01,6200,0
HOLA.US,60,20250721,190000,49.97,49.99,49.9,49.99,1367,0
HOLA.US,60,20250721,200000,50,50,49.9504,49.9534,995,0
HOLA.US,60,20250721,210000,49.952,49.98,49.95,49.955,4287,0
HOLA.US,60,20250721,220000,49.955,49.9592,49.95,49.9592,355,0
HOLA.US,60,20250722,160000,49.816,49.816,49.816,49.816,830,0
HOLA.US,60,20250722,170000,49.88,49.9684,49.87,49.9684,4794,0
HOLA.US,60,20250722,180000,49.92,49.996,49.92,49.996,817,0
HOLA.US,60,20250722,190000,49.99,50.015,49.92,49.98,6200,0
HOLA.US,60,20250722,200000,49.99,50,49.9,49.9,3217,0
HOLA.US,60,20250722,210000,49.9935,49.9935,49.985,49.985,404,0
HOLA.US,60,20250722,220000,50.025,50.03,50.025,50.03,1969,0
HOLA.US,60,20250723,160000,50.63,50.63,50.51,50.5375,1059,0
HOLA.US,60,20250723,170000,50.55,50.6,50.55,50.6,1100,0
HOLA.US,60,20250723,180000,50.625,50.87,50.565,50.87,9767,0
HOLA.US,60,20250723,200000,50.79,50.85,50.79,50.82,1700,0
HOLA.US,60,20250723,210000,50.855,50.94,50.78,50.78,1946,0
HOLA.US,60,20250723,220000,50.84,50.86,50.835,50.84,1300,0
HOLA.US,60,20250724,160000,50.78,50.78,50.78,50.78,500,0
HOLA.US,60,20250724,170000,50.77,50.845,50.77,50.845,3400,0
HOLA.US,60,20250724,180000,50.775,50.8054,50.775,50.8054,211,0
HOLA.US,60,20250724,190000,50.68,50.68,50.64,50.65,1922,0
HOLA.US,60,20250724,200000,50.725,50.725,50.645,50.645,200,0
HOLA.US,60,20250724,210000,50.74,50.79,50.71,50.71,2213,0
HOLA.US,60,20250724,220000,50.71,50.71,50.71,50.71,137,0
HOLA.US,60,20250725,170000,50.3799,50.45,50.3059,50.45,1242,0
HOLA.US,60,20250725,180000,50.4108,50.4108,50.385,50.385,892,0
HOLA.US,60,20250725,200000,50.48,50.529,50.4785,50.4785,12001,0
HOLA.US,60,20250725,210000,50.44,50.49,50.34,50.38,7834,0
HOLA.US,60,20250725,220000,50.38,50.4,50.205,50.4,4800,0
HOLA.US,60,20250728,170000,50.03,50.08,49.98,50.025,1604,0
HOLA.US,60,20250728,180000,49.9699,49.99,49.96,49.99,1154,0
HOLA.US,60,20250728,190000,49.9547,49.9598,49.9547,49.9598,220,0
HOLA.US,60,20250728,200000,49.95,49.95,49.83,49.9,2564,0
HOLA.US,60,20250728,210000,49.87,49.87,49.87,49.87,200,0
HOLA.US,60,20250728,220000,49.89,49.9015,49.8087,49.9015,1869,0
HOLA.US,60,20250729,160000,49.99,49.99,49.9807,49.9807,704,0
HOLA.US,60,20250729,170000,49.9212,49.9212,49.885,49.885,399,0
HOLA.US,60,20250729,180000,49.889,49.89,49.889,49.8899,1700,0
HOLA.US,60,20250729,200000,50,50,49.92,49.9499,1852,0
HOLA.US,60,20250729,220000,49.92,49.9667,49.92,49.9499,2900,0
HOLA.US,60,20250730,160000,49.73,49.74,49.73,49.74,999,0
HOLA.US,60,20250730,170000,49.8,49.8292,49.785,49.812,1961,0
HOLA.US,60,20250730,190000,49.8,49.81,49.76,49.76,505,0
HOLA.US,60,20250730,200000,49.82,49.87,49.81,49.87,800,0
HOLA.US,60,20250730,210000,49.91,49.91,49.5,49.7,5203,0
HOLA.US,60,20250730,220000,49.507,49.62,49.507,49.62,900,0
HOLA.US,60,20250731,160000,49.4,49.4,49.4,49.4,500,0
HOLA.US,60,20250731,180000,49.33,49.33,49.33,49.33,195,0
HOLA.US,60,20250731,190000,49.36,49.41,49.36,49.41,1000,0
HOLA.US,60,20250731,200000,49.3333,49.3333,49.14,49.21,911,0
HOLA.US,60,20250731,210000,49.29,49.305,49.29,49.305,630,0
HOLA.US,60,20250731,220000,49.2942,49.3477,49.259,49.3477,1382,0
HOLA.US,60,20250801,160000,48.82,48.82,48.74,48.74,300,0
HOLA.US,60,20250801,170000,48.58,48.91,46.05,48.89,8618,0
HOLA.US,60,20250801,180000,48.9,48.964,48.84,48.964,3616,0
HOLA.US,60,20250801,190000,48.9,48.96,48.9,48.9094,1185,0
HOLA.US,60,20250801,210000,48.95,49.04,48.91,49.04,9127,0
HOLA.US,60,20250801,220000,48.93,49.12,48.93,49.09,2810,0
HOLA.US,60,20250804,160000,49.72,49.72,49.58,49.58,537,0
HOLA.US,60,20250804,170000,49.51,49.55,49.47,49.52,1150,0
HOLA.US,60,20250804,190000,49.55,49.55,49.55,49.55,100,0
HOLA.US,60,20250804,210000,49.5001,49.5001,49.5001,49.5001,217,0
HOLA.US,60,20250804,220000,49.5097,49.65,49.5,49.63,2845,0
HOLA.US,60,20250805,160000,49.565,49.57,49.49,49.49,561,0
HOLA.US,60,20250805,170000,49.54,49.54,49.24,49.41,6786,0
HOLA.US,60,20250805,180000,49.58,49.58,49.58,49.58,100,0
HOLA.US,60,20250805,190000,49.5865,49.5865,49.545,49.545,221,0
HOLA.US,60,20250805,200000,49.56,49.61,49.52,49.61,1703,0
HOLA.US,60,20250805,210000,49.6,49.6,49.52,49.58,580,0
HOLA.US,60,20250806,160000,49.72,49.72,49.5501,49.5501,1297,0
HOLA.US,60,20250806,170000,49.535,49.7,49.535,49.67,1471,0
HOLA.US,60,20250806,180000,49.6489,49.7458,49.6489,49.745,1156,0
HOLA.US,60,20250806,190000,49.76,49.76,49.66,49.737,902,0
HOLA.US,60,20250806,200000,49.675,49.7512,49.64,49.68,994,0
HOLA.US,60,20250806,210000,49.66,49.8,49.66,49.74,2997,0
HOLA.US,60,20250806,220000,49.7,49.79,49.7,49.745,1400,0
HOLA.US,60,20250807,160000,50.26,50.27,50.0901,50.0901,1276,0
HOLA.US,60,20250807,170000,49.94,49.99,49.94,49.9899,904,0
HOLA.US,60,20250807,180000,49.98,50.1704,49.98,50.1,4896,0
HOLA.US,60,20250807,190000,50.06,50.2,50.0105,50.11,7630,0
HOLA.US,60,20250807,200000,50.1,50.11,50.1,50.11,200,0
HOLA.US,60,20250807,210000,50.01,50.01,49.9397,49.9942,546,0
HOLA.US,60,20250807,220000,49.93,50.19,49.93,50.19,4140,0
HOLA.US,60,20250808,170000,50.35,50.35,50.22,50.22,2300,0
HOLA.US,60,20250808,180000,50.32,50.38,50.2,50.31,1619,0
HOLA.US,60,20250808,190000,50.26,50.2601,50.21,50.2101,817,0
HOLA.US,60,20250808,200000,50.34,50.37,50.34,50.37,601,0
HOLA.US,60,20250808,210000,50.3897,50.3897,50.3762,50.3762,230,0
HOLA.US,60,20250808,220000,50.37,50.37,50.275,50.275,432,0
HOLA.US,60,20250811,170000,50.15,50.17,50.1087,50.11,1400,0
HOLA.US,60,20250811,180000,50.085,50.21,50.085,50.21,1415,0
HOLA.US,60,20250811,190000,50.265,50.265,50.265,50.265,200,0
HOLA.US,60,20250811,210000,50.19,50.22,50.1637,50.18,2820,0
HOLA.US,60,20250811,220000,50.17,50.17,50.09,50.09,1976,0
HOLA.US,60,20250812,160000,50.32,50.32,50.32,50.32,500,0
HOLA.US,60,20250812,170000,50.47,50.47,50.47,50.47,200,0
HOLA.US,60,20250812,180000,50.43,50.43,50.43,50.43,115,0
HOLA.US,60,20250812,190000,50.52,50.52,50.52,50.52,100,0
HOLA.US,60,20250812,200000,50.53,50.5565,50.52,50.5565,1670,0
HOLA.US,60,20250812,220000,50.5899,50.6,50.5587,50.5587,2093,0
HOLA.US,60,20250813,170000,50.77,50.92,50.77,50.88,72994,0
HOLA.US,60,20250813,180000,50.8596,50.9,50.77,50.82,1206,0
HOLA.US,60,20250813,190000,50.845,50.8575,50.8234,50.8234,697,0
HOLA.US,60,20250813,200000,50.79,50.9,50.6,50.8999,1907,0
HOLA.US,60,20250813,210000,50.7989,50.83,50.7989,50.83,1247,0
HOLA.US,60,20250813,220000,50.88,50.9,50.8,50.9,960,0
HOLA.US,60,20250814,170000,50.735,50.9,50.72,50.9,70715,0
HOLA.US,60,20250814,180000,50.8,50.9,50.8,50.9,200,0
HOLA.US,60,20250814,190000,50.81,50.8599,50.81,50.8411,922,0
HOLA.US,60,20250814,200000,50.88,50.88,50.8623,50.8623,287,0
HOLA.US,60,20250814,210000,50.77,50.93,50.77,50.93,1567,0
HOLA.US,60,20250814,220000,50.925,51.0099,50.92,50.96,3285,0
HOLA.US,60,20250815,160000,51.2599,51.2599,50.9713,50.9713,1171,0
HOLA.US,60,20250815,170000,51.0169,51.0169,50.96,50.96,1992,0
HOLA.US,60,20250815,180000,51.03,51.12,50.9917,50.9917,2724,0
HOLA.US,60,20250815,190000,51.0117,51.05,51.0117,51.04,552,0
HOLA.US,60,20250815,200000,50.9855,51.08,50.9855,51.08,1094,0
HOLA.US,60,20250815,210000,51.11,51.11,51.0109,51.09,900,0
HOLA.US,60,20250815,220000,51.035,51.09,51.01,51.09,4039,0
HOLA.US,60,20250818,160000,51.69,51.69,51.06,51.06,200,0
HOLA.US,60,20250818,170000,51.08,51.08,51.0005,51.0005,6516,0
HOLA.US,60,20250818,180000,51.04,51.16,51.04,51.16,1422,0
HOLA.US,60,20250818,190000,51.18,51.18,51.1,51.1,688,0
HOLA.US,60,20250818,200000,51.15,51.15,51.134,51.15,1308,0
HOLA.US,60,20250818,220000,51.095,51.13,51.095,51.125,1222,0
HOLA.US,60,20250819,160000,51.23,51.23,51.23,51.23,500,0
HOLA.US,60,20250819,170000,51.27,51.27,51.18,51.18,1587,0
HOLA.US,60,20250819,190000,51.18,51.185,51.13,51.1366,400,0
HOLA.US,60,20250819,200000,51,51,51,51,133,0
HOLA.US,60,20250819,210000,51.109,51.11,51.0594,51.0594,1875,0
HOLA.US,60,20250819,220000,51.21,51.23,51.1,51.1,7827,0
HOLA.US,60,20250820,160000,51.09,51.27,51.0715,51.129,499,0
HOLA.US,60,20250820,170000,51.14,51.18,51.125,51.125,832,0
HOLA.US,60,20250820,180000,51.17,51.29,51.16,51.29,974,0
HOLA.US,60,20250820,190000,51.205,51.205,51.205,51.205,590,0
HOLA.US,60,20250820,210000,51.2,51.2,50.95,51.15,5192,0
HOLA.US,60,20250820,220000,51.28,51.335,51.19,51.335,1534,0
HOLA.US,60,20250821,160000,51.08,51.08,51.08,51.08,100,0
HOLA.US,60,20250821,170000,51.21,51.21,51.15,51.15,600,0
HOLA.US,60,20250821,180000,51.11,51.11,51.11,51.11,200,0
HOLA.US,60,20250821,200000,51.11,51.115,51.11,51.1125,371,0
HOLA.US,60,20250821,210000,51.1462,51.16,51.11,51.16,2088,0
HOLA.US,60,20250821,220000,51.16,51.17,51.05,51.15,1681,0
HOLA.US,60,20250822,160000,51.1501,51.29,51.1501,51.29,1159,0
HOLA.US,60,20250822,170000,51.21,51.52,51.21,51.5199,3800,0
HOLA.US,60,20250822,180000,51.425,51.425,51.425,51.425,471,0
HOLA.US,60,20250822,200000,51.475,51.475,51.4301,51.4301,419,0
HOLA.US,60,20250822,210000,51.3994,51.43,51.38,51.43,800,0
HOLA.US,60,20250822,220000,51.3702,51.51,51.3702,51.51,638,0
HOLA.US,60,20250825,160000,51.33,51.47,51.33,51.47,569,0
HOLA.US,60,20250825,180000,51.264,51.2789,51.1501,51.1501,455,0
HOLA.US,60,20250825,190000,51.26,51.26,51.238,51.25,713,0
HOLA.US,60,20250825,200000,51.1199,51.1896,51.1199,51.188,348,0
HOLA.US,60,20250825,210000,51.19,51.19,51.06,51.06,2694,0
HOLA.US,60,20250825,220000,51.13,51.23,51.13,51.23,2032,0
HOLA.US,60,20250826,160000,50.99,50.9915,50.9262,50.9262,1191,0
HOLA.US,60,20250826,170000,51,51.0275,50.96,50.96,1388,0
HOLA.US,60,20250826,190000,50.975,50.98,50.975,50.98,582,0
HOLA.US,60,20250826,220000,50.99,50.99,50.98,50.98,364,0
HOLA.US,60,20250827,180000,50.74,50.78,50.74,50.7789,2113,0
HOLA.US,60,20250827,190000,50.785,50.7918,50.785,50.7918,544,0
HOLA.US,60,20250827,200000,50.8612,50.8718,50.82,50.8718,1150,0
HOLA.US,60,20250827,210000,50.85,50.8522,50.85,50.8522,568,0
HOLA.US,60,20250827,220000,50.92,50.92,50.83,50.88,682,0
HOLA.US,60,20250828,160000,51.025,51.025,51.025,51.025,158,0
HOLA.US,60,20250828,170000,51.06,51.08,51.06,51.07,1600,0
HOLA.US,60,20250828,180000,51.024,51.0449,50.83,51.04,2433,0
HOLA.US,60,20250828,190000,51.061,51.061,51.061,51.061,294,0
HOLA.US,60,20250828,200000,50.97,50.97,50.94,50.94,1290,0
HOLA.US,60,20250828,210000,50.94,50.9605,50.89,50.9605,11392,0
HOLA.US,60,20250828,220000,50.86,50.95,50.86,50.94,7500,0
HOLA.US,60,20250829,160000,50.65,50.6999,50.65,50.6999,650,0
HOLA.US,60,20250829,170000,50.6434,50.6434,50.6434,50.6434,307,0
HOLA.US,60,20250829,180000,50.655,50.7,50.655,50.7,949,0
HOLA.US,60,20250829,210000,50.621,50.675,50.524,50.605,4044,0
HOLA.US,60,20250829,220000,50.69,50.7,50.646,50.646,1187,0
HOLA.US,60,20250902,170000,50.49,50.49,50.43,50.43,1000,0
HOLA.US,60,20250902,180000,50.3699,50.4,50.285,50.345,3848,0
HOLA.US,60,20250902,190000,50.3873,50.4081,50.35,50.355,1950,0
HOLA.US,60,20250902,200000,50.345,50.345,50.345,50.345,400,0
HOLA.US,60,20250902,210000,50.47,50.47,50.29,50.3645,3625,0
HOLA.US,60,20250902,220000,50.2909,50.4476,50.2909,50.4476,2728,0
HOLA.US,60,20250903,160000,50.2511,50.2511,50.2511,50.2511,695,0
HOLA.US,60,20250903,170000,50.36,50.36,50.36,50.36,500,0
HOLA.US,60,20250903,180000,50.39,50.4,50.3601,50.4,326,0
HOLA.US,60,20250903,190000,50.365,50.365,50.365,50.365,147,0
HOLA.US,60,20250903,210000,50.26,50.31,50.26,50.31,580,0
HOLA.US,60,20250903,220000,50.26,50.355,50.26,50.355,8498,0
HOLA.US,60,20250904,160000,50.59,50.6999,50.41,50.56,7717,0
HOLA.US,60,20250904,170000,50.471,50.6,50.471,50.6,744,0
HOLA.US,60,20250904,180000,50.634,50.634,50.57,50.57,1029,0
HOLA.US,60,20250904,190000,50.645,50.6638,50.6008,50.6008,840,0
HOLA.US,60,20250904,200000,50.5511,50.62,50.5511,50.62,1493,0
HOLA.US,60,20250904,210000,50.558,50.63,50.55,50.63,680,0
HOLA.US,60,20250904,220000,50.53,50.63,50.53,50.59,1971,0
HOLA.US,60,20250905,160000,50.86,50.89,50.8485,50.8485,979,0
HOLA.US,60,20250905,170000,50.795,50.795,50.65,50.7206,3465,0
HOLA.US,60,20250905,180000,50.7192,50.8,50.7,50.8,7443,0
