<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KHPI.US,60,20240906,160000,25,25,25,25,4998,0
KHPI.US,60,20240906,170000,24.91,24.91,24.84,24.845,2100,0
KHPI.US,60,20240906,180000,24.77,24.81,24.77,24.77,2404,0
KHPI.US,60,20240906,190000,24.73,24.73,24.73,24.73,500,0
KHPI.US,60,20240906,200000,24.73,24.74,24.73,24.74,1190,0
KHPI.US,60,20240906,220000,24.77,24.77,24.75,24.75,600,0
KHPI.US,60,20240909,160000,24.864,24.87,24.864,24.8699,4110,0
KHPI.US,60,20240909,170000,24.895,24.895,24.83,24.83,18565,0
KHPI.US,60,20240909,180000,24.83,24.88,24.81,24.88,3850,0
KHPI.US,60,20240909,200000,24.93,24.93,24.9,24.91,668,0
KHPI.US,60,20240909,220000,24.8999,24.91,24.8899,24.91,8912,0
KHPI.US,60,20240910,170000,24.91,24.91,24.89,24.89,400,0
KHPI.US,60,20240910,180000,24.91,24.91,24.9,24.9,404,0
KHPI.US,60,20240910,200000,24.92,24.92,24.91,24.91,6849,0
KHPI.US,60,20240910,220000,24.9488,24.98,24.945,24.98,8733,0
KHPI.US,60,20240911,160000,24.909,24.92,24.86,24.86,4056,0
KHPI.US,60,20240911,170000,24.85,24.85,24.75,24.75,7100,0
KHPI.US,60,20240911,180000,24.74,24.8699,24.74,24.839,13632,0
KHPI.US,60,20240911,190000,24.85,24.9,24.85,24.9,2500,0
KHPI.US,60,20240911,200000,25,25,24.99,24.99,9500,0
KHPI.US,60,20240911,210000,25.01,25.05,25.01,25.05,1200,0
KHPI.US,60,20240911,220000,25.07,25.12,25.07,25.12,3402,0
KHPI.US,60,20240912,160000,25.1054,25.1054,25.1054,25.1054,325,0
KHPI.US,60,20240912,210000,25.22,25.22,25.17,25.19,1760,0
KHPI.US,60,20240912,220000,25.16,25.22,25.16,25.22,4358,0
KHPI.US,60,20240913,190000,25.3,25.3,25.2762,25.28,3251,0
KHPI.US,60,20240913,200000,25.28,25.28,25.28,25.28,3952,0
KHPI.US,60,20240913,210000,25.29,25.29,25.25,25.25,900,0
KHPI.US,60,20240913,220000,25.26,25.2899,25.26,25.289,4909,0
KHPI.US,60,20240916,160000,25.25,25.2899,25.25,25.28,4694,0
KHPI.US,60,20240916,170000,25.26,25.26,25.26,25.26,100,0
KHPI.US,60,20240916,190000,25.2699,25.2699,25.2699,25.2699,1250,0
KHPI.US,60,20240916,200000,25.255,25.28,25.255,25.279,2000,0
KHPI.US,60,20240916,210000,25.28,25.2899,25.279,25.2899,2050,0
KHPI.US,60,20240916,220000,25.29,25.31,25.27,25.27,16544,0
KHPI.US,60,20240917,170000,25.35,25.35,25.35,25.35,275,0
KHPI.US,60,20240917,190000,25.31,25.3106,25.31,25.31,320,0
KHPI.US,60,20240917,200000,25.28,25.29,25.26,25.29,5846,0
KHPI.US,60,20240917,210000,25.29,25.29,25.29,25.29,400,0
KHPI.US,60,20240917,220000,25.285,25.31,25.26,25.285,2800,0
KHPI.US,60,20240918,160000,25.34,25.34,25.34,25.34,104,0
KHPI.US,60,20240918,190000,25.3099,25.3099,25.2878,25.2878,767,0
KHPI.US,60,20240918,200000,25.2973,25.2973,25.2973,25.2973,1350,0
KHPI.US,60,20240918,220000,25.3756,25.38,25.3756,25.38,1200,0
KHPI.US,60,20240919,170000,25.42,25.42,25.42,25.42,15300,0
KHPI.US,60,20240919,180000,25.43,25.43,25.43,25.43,1966,0
KHPI.US,60,20240919,200000,25.439,25.45,25.439,25.45,39941,0
KHPI.US,60,20240919,210000,25.44,25.46,25.43,25.45,1793,0
KHPI.US,60,20240919,220000,25.47,25.47,25.44,25.44,3433,0
KHPI.US,60,20240920,160000,25.46,25.46,25.46,25.46,1000,0
KHPI.US,60,20240920,170000,25.29,25.3788,25.29,25.3788,600,0
KHPI.US,60,20240920,180000,25.3287,25.3287,25.3287,25.3287,892,0
KHPI.US,60,20240920,200000,25.355,25.37,25.355,25.359,800,0
KHPI.US,60,20240920,210000,25.3529,25.3529,25.3529,25.3529,487,0
KHPI.US,60,20240920,220000,25.37,25.37,25.37,25.37,3600,0
KHPI.US,60,20240923,160000,25.23,25.23,25.23,25.23,200,0
KHPI.US,60,20240923,190000,25.3613,25.3613,25.34,25.34,1162,0
KHPI.US,60,20240923,210000,25.36,25.36,25.36,25.36,2366,0
KHPI.US,60,20240924,160000,25.46,25.46,25.46,25.46,131,0
KHPI.US,60,20240924,170000,25.3675,25.38,25.345,25.3799,6666,0
KHPI.US,60,20240924,180000,25.3884,25.39,25.3884,25.39,1900,0
KHPI.US,60,20240925,170000,25.42,25.42,25.3966,25.3966,4274,0
KHPI.US,60,20240925,180000,25.39,25.39,25.379,25.379,800,0
KHPI.US,60,20240925,200000,25.36,25.36,25.36,25.36,100,0
KHPI.US,60,20240925,210000,25.38,25.39,25.38,25.38,2300,0
KHPI.US,60,20240925,220000,25.4,25.4,25.36,25.36,1609,0
KHPI.US,60,20240926,180000,25.42,25.42,25.42,25.42,100,0
KHPI.US,60,20240926,190000,25.4079,25.4079,25.4079,25.4079,200,0
KHPI.US,60,20240926,200000,25.4,25.4,25.4,25.4,500,0
KHPI.US,60,20240926,210000,25.425,25.425,25.425,25.425,1300,0
KHPI.US,60,20240930,170000,25.22,25.22,25.22,25.22,100,0
KHPI.US,60,20240930,180000,25.23,25.23,25.2297,25.2297,1980,0
KHPI.US,60,20240930,190000,25.24,25.24,25.24,25.24,100,0
KHPI.US,60,20240930,200000,25.23,25.23,25.23,25.23,4262,0
KHPI.US,60,20240930,210000,25.22,25.22,25.19,25.2,500,0
KHPI.US,60,20240930,220000,25.26,25.29,25.26,25.29,773,0
KHPI.US,60,20241001,160000,25.2,25.2,25.2,25.2,1984,0
KHPI.US,60,20241001,170000,25.19,25.195,25.19,25.19,1050,0
KHPI.US,60,20241001,180000,25.19,25.19,25.19,25.19,100,0
KHPI.US,60,20241001,190000,25.1941,25.1941,25.1941,25.1941,1028,0
