<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KNRX.US,60,20250929,180000,4,4,2.74,3.57,427253,0
KNRX.US,60,20250929,190000,3.55,3.74,3.35,3.45,78307,0
KNRX.US,60,20250929,200000,3.4871,3.649,3.4,3.4,38847,0
KNRX.US,60,20250929,210000,3.42,3.44,3.41,3.41,13484,0
KNRX.US,60,20250929,220000,3.415,3.42,3,3.2,92135,0
KNRX.US,60,20250930,160000,3.17,3.22,2.85,2.85,48666,0
KNRX.US,60,20250930,170000,2.86,2.95,2.8,2.9199,27409,0
KNRX.US,60,20250930,180000,2.92,2.94,2.8,2.94,9498,0
KNRX.US,60,20250930,190000,2.94,3.0617,2.8258,2.8475,5359,0
KNRX.US,60,20250930,200000,2.955,2.985,2.86,2.985,2459,0
KNRX.US,60,20250930,210000,2.92,3.15,2.92,2.96,12662,0
KNRX.US,60,20250930,220000,2.975,3.01,2.94,3.01,9520,0
KNRX.US,60,20251001,160000,3.05,3.1942,3.05,3.1,11300,0
KNRX.US,60,20251001,170000,3.08,3.5198,3.07,3.25,47195,0
KNRX.US,60,20251001,180000,3.29,3.5,3.25,3.48,31385,0
KNRX.US,60,20251001,190000,3.44,3.4664,3.3909,3.41,5376,0
KNRX.US,60,20251001,200000,3.41,3.41,3.2972,3.2972,8547,0
KNRX.US,60,20251001,210000,3.2612,3.36,3.2612,3.34,2950,0
KNRX.US,60,20251001,220000,3.35,3.35,3.21,3.3,9171,0
KNRX.US,60,20251002,160000,3,3.1697,3,3.06,6915,0
KNRX.US,60,20251002,170000,3.0699,3.36,3.06,3.18,17941,0
KNRX.US,60,20251002,180000,3.16,3.19,3.1505,3.185,1200,0
KNRX.US,60,20251002,190000,3.19,3.23,3.19,3.19,400,0
KNRX.US,60,20251002,200000,3.19,3.19,3.0999,3.1,3463,0
KNRX.US,60,20251002,210000,3.1264,3.1855,3.1015,3.11,1466,0
KNRX.US,60,20251002,220000,3.1002,3.13,3.07,3.1,5096,0
KNRX.US,60,20251003,160000,3.2,3.2,3.1702,3.1714,1250,0
KNRX.US,60,20251003,170000,3.19,3.2265,3.18,3.19,2116,0
KNRX.US,60,20251003,180000,3.19,3.23,3.19,3.23,2501,0
KNRX.US,60,20251003,190000,3.205,3.205,3.15,3.16,10494,0
KNRX.US,60,20251003,200000,3.15,3.15,2.93,2.98,11911,0
KNRX.US,60,20251003,210000,2.85,2.945,2.85,2.945,1720,0
KNRX.US,60,20251003,220000,3,3,3,3,200,0
KNRX.US,60,20251006,160000,3.1585,3.175,2.8001,3,5352,0
KNRX.US,60,20251006,170000,3.02,3.03,2.99,3,1466,0
KNRX.US,60,20251006,180000,3.03,3.1199,3.0177,3.09,9593,0
KNRX.US,60,20251006,190000,3.075,3.1199,3.0301,3.075,15000,0
KNRX.US,60,20251006,200000,3.0309,3.0309,3.0309,3.0309,250,0
KNRX.US,60,20251006,210000,2.8902,3.035,2.8902,3.035,11250,0
KNRX.US,60,20251006,220000,3.04,3.04,3.04,3.04,200,0
KNRX.US,60,20251007,160000,2.8599,2.97,2.8599,2.97,2842,0
KNRX.US,60,20251007,170000,2.96,3.05,2.9,3.05,10390,0
KNRX.US,60,20251007,180000,2.9,2.91,2.9,2.9002,2202,0
KNRX.US,60,20251007,190000,2.91,2.9217,2.9,2.9002,3113,0
KNRX.US,60,20251007,200000,2.9,2.97,2.9,2.97,1276,0
KNRX.US,60,20251007,210000,2.97,2.97,2.93,2.97,1988,0
KNRX.US,60,20251007,220000,2.9,2.92,2.88,2.88,4125,0
KNRX.US,60,20251008,160000,2.9,2.95,2.89,2.9,4332,0
KNRX.US,60,20251008,170000,2.9,2.95,2.88,2.9,2849,0
KNRX.US,60,20251008,180000,2.9,3,2.9,2.98,9216,0
KNRX.US,60,20251008,190000,2.92,2.94,2.875,2.875,1271,0
KNRX.US,60,20251008,200000,2.95,2.95,2.9,2.9,6366,0
KNRX.US,60,20251008,210000,2.8958,2.92,2.865,2.865,4233,0
KNRX.US,60,20251008,220000,2.8117,2.88,2.8112,2.8112,9008,0
KNRX.US,60,20251009,160000,2.89,2.9994,2.6,2.9,42466,0
KNRX.US,60,20251009,170000,2.76,2.81,2.76,2.81,2500,0
KNRX.US,60,20251009,180000,2.7,2.75,2.7,2.75,828,0
KNRX.US,60,20251009,200000,2.7543,2.7737,2.7002,2.71,12269,0
KNRX.US,60,20251009,210000,2.7,2.7016,2.6,2.65,27050,0
KNRX.US,60,20251009,220000,2.62,2.65,2.42,2.52,17967,0
KNRX.US,60,20251010,160000,2.58,2.58,2.54,2.57,2300,0
KNRX.US,60,20251010,170000,2.6,2.6,2.51,2.55,8033,0
KNRX.US,60,20251010,180000,2.58,2.59,2.51,2.53,12607,0
KNRX.US,60,20251010,190000,2.51,2.54,2.51,2.5343,2702,0
KNRX.US,60,20251010,200000,2.51,2.555,2.41,2.42,26882,0
KNRX.US,60,20251010,210000,2.42,2.45,2.42,2.42,10577,0
KNRX.US,60,20251010,220000,2.43,2.43,2.36,2.3601,12002,0
KNRX.US,60,20251013,160000,2.38,2.595,2.3,2.35,11670,0
KNRX.US,60,20251013,170000,2.26,2.425,2.26,2.395,3500,0
KNRX.US,60,20251013,180000,2.4,2.49,2.3406,2.39,5247,0
KNRX.US,60,20251013,190000,2.42,2.42,2.42,2.42,1000,0
KNRX.US,60,20251013,200000,2.38,2.4,2.35,2.35,2100,0
KNRX.US,60,20251013,220000,2.3889,2.3889,2.27,2.34,10894,0
KNRX.US,60,20251014,160000,2.22,2.45,2.032,2.2005,11688,0
KNRX.US,60,20251014,170000,2.17,2.18,2.1088,2.1088,4108,0
KNRX.US,60,20251014,180000,2.146,2.146,2.1,2.1101,6312,0
KNRX.US,60,20251014,190000,2.16,2.2093,2.1006,2.17,4760,0
KNRX.US,60,20251014,200000,2.12,2.21,2.09,2.09,6949,0
KNRX.US,60,20251014,210000,2.0619,2.09,2.06,2.09,2600,0
KNRX.US,60,20251014,220000,2.07,2.19,2.06,2.19,10285,0
KNRX.US,60,20251015,160000,2.03,2.1948,2.03,2.19,2398,0
KNRX.US,60,20251015,170000,2.1545,2.66,2.055,2.3,250246,0
KNRX.US,60,20251015,180000,2.29,2.29,2.165,2.2075,21888,0
KNRX.US,60,20251015,190000,2.2,2.25,2.17,2.17,8855,0
KNRX.US,60,20251015,200000,2.16,2.2,2.15,2.194,3184,0
KNRX.US,60,20251015,210000,2.19,2.19,2.15,2.1699,5163,0
KNRX.US,60,20251015,220000,2.1663,2.1663,2.13,2.15,7627,0
KNRX.US,60,20251016,160000,2.101,2.1495,2.0001,2.13,6766,0
KNRX.US,60,20251016,170000,2.13,2.13,1.8,1.95,30429,0
KNRX.US,60,20251016,180000,1.945,1.97,1.82,1.8504,19497,0
KNRX.US,60,20251016,190000,1.8504,1.8516,1.82,1.82,6097,0
KNRX.US,60,20251016,200000,1.8202,1.925,1.8202,1.925,4404,0
KNRX.US,60,20251016,210000,1.86,1.95,1.85,1.95,4432,0
KNRX.US,60,20251016,220000,1.85,1.88,1.8,1.835,7602,0
KNRX.US,60,20251017,160000,1.78,1.8,1.7501,1.8,4006,0
KNRX.US,60,20251017,170000,1.8,1.8,1.7604,1.8,2178,0
KNRX.US,60,20251017,180000,1.8,1.93,1.8,1.801,5892,0
KNRX.US,60,20251017,190000,1.81,1.94,1.81,1.85,7918,0
KNRX.US,60,20251017,200000,1.81,1.93,1.81,1.92,9057,0
KNRX.US,60,20251017,210000,1.88,2.1,1.86,1.9802,38486,0
KNRX.US,60,20251017,220000,1.98,2.08,1.945,2,57655,0
KNRX.US,60,20251020,160000,2.0056,2.01,1.9,1.9396,6377,0
KNRX.US,60,20251020,170000,1.94,1.94,1.8,1.8,4977,0
KNRX.US,60,20251020,180000,1.82,1.9,1.81,1.9,1332,0
KNRX.US,60,20251020,190000,1.9,1.9,1.81,1.8701,3632,0
KNRX.US,60,20251020,200000,1.8875,1.95,1.8708,1.95,1217,0
KNRX.US,60,20251020,210000,1.9,1.9,1.87,1.87,300,0
KNRX.US,60,20251020,220000,1.85,1.855,1.81,1.8299,6933,0
KNRX.US,60,20251021,160000,1.89,1.89,1.812,1.812,200,0
KNRX.US,60,20251021,170000,1.8112,1.85,1.8112,1.85,200,0
KNRX.US,60,20251021,180000,1.85,1.85,1.85,1.85,200,0
KNRX.US,60,20251021,190000,1.8103,1.8103,1.8103,1.8103,200,0
KNRX.US,60,20251021,220000,1.83,1.83,1.81,1.83,7496,0
KNRX.US,60,20251022,160000,1.84,1.84,1.84,1.84,498,0
KNRX.US,60,20251022,170000,1.9292,1.9292,1.86,1.87,700,0
KNRX.US,60,20251022,180000,1.9,1.9,1.8,1.8,2693,0
KNRX.US,60,20251022,190000,1.8,1.81,1.79,1.8,11558,0
KNRX.US,60,20251022,200000,1.8,1.8,1.8,1.8,257,0
KNRX.US,60,20251022,210000,1.82,1.84,1.8,1.8,1450,0
KNRX.US,60,20251022,220000,1.8026,1.8026,1.801,1.801,200,0
KNRX.US,60,20251023,170000,1.85,1.8901,1.8,1.8,9092,0
KNRX.US,60,20251023,180000,1.825,1.84,1.8,1.82,1550,0
KNRX.US,60,20251023,190000,1.8399,1.87,1.815,1.87,4091,0
KNRX.US,60,20251023,200000,1.87,1.88,1.87,1.8796,1501,0
KNRX.US,60,20251023,220000,1.8501,1.8501,1.79,1.81,1900,0
KNRX.US,60,20251024,170000,1.8401,1.88,1.8314,1.8314,4199,0
KNRX.US,60,20251024,180000,1.9,1.9,1.8812,1.8812,2799,0
KNRX.US,60,20251024,190000,1.9,1.95,1.9,1.95,5820,0
KNRX.US,60,20251024,200000,1.97,2.03,1.955,1.975,3997,0
KNRX.US,60,20251024,210000,2,2.14,1.98,2.03,37638,0
KNRX.US,60,20251024,220000,2.05,2.08,2.03,2.07,12372,0
KNRX.US,60,20251027,150000,2.07,2.22,2.07,2.12,11669,0
KNRX.US,60,20251027,160000,2.04,2.195,2.03,2.1,1960,0
KNRX.US,60,20251027,170000,2.14,2.17,2.09,2.17,6478,0
KNRX.US,60,20251027,180000,2.1,2.18,2.1,2.18,500,0
KNRX.US,60,20251027,190000,2.18,2.18,2.1,2.1,3908,0
KNRX.US,60,20251027,200000,2.18,2.19,2.1,2.1,1061,0
KNRX.US,60,20251027,210000,2.19,2.25,2.15,2.17,5601,0
KNRX.US,60,20251028,150000,2.19,2.29,2.18,2.29,5485,0
KNRX.US,60,20251028,160000,2.25,2.25,2.18,2.21,1900,0
KNRX.US,60,20251028,170000,2.2,2.2,2.17,2.17,300,0
KNRX.US,60,20251028,190000,2.145,2.145,2.07,2.1,1133,0
KNRX.US,60,20251028,200000,2.1,2.18,2.1,2.1,955,0
KNRX.US,60,20251028,210000,2.095,2.095,2.095,2.095,1000,0
KNRX.US,60,20251029,150000,2.14,2.1997,2.13,2.159,8309,0
KNRX.US,60,20251029,160000,2.16,2.16,2.14,2.15,4055,0
KNRX.US,60,20251029,170000,2.15,2.15,2.1217,2.1217,600,0
KNRX.US,60,20251029,180000,2.12,2.12,2.0601,2.0601,2117,0
KNRX.US,60,20251029,190000,2.0601,2.12,2.0601,2.12,1100,0
KNRX.US,60,20251029,200000,2.1,2.12,2.05,2.05,9186,0
KNRX.US,60,20251029,210000,2.05,2.12,2.05,2.08,10950,0
KNRX.US,60,20251030,150000,2.0799,2.17,2.0629,2.089,11993,0
KNRX.US,60,20251030,160000,2.0709,2.082,2.0709,2.082,1300,0
KNRX.US,60,20251030,170000,2.0648,2.11,2.06,2.11,1955,0
KNRX.US,60,20251030,180000,2.13,2.13,2.07,2.12,1824,0
KNRX.US,60,20251030,200000,2.085,2.085,2.085,2.085,250,0
KNRX.US,60,20251030,210000,2.085,2.1,2.0467,2.05,1185,0
KNRX.US,60,20251031,150000,2.04,2.04,1.9,2,8180,0
KNRX.US,60,20251031,160000,2,2.045,1.9981,1.9981,1200,0
KNRX.US,60,20251031,170000,2.055,2.1297,1.98,1.9815,5600,0
KNRX.US,60,20251031,180000,2.01,2.01,2.01,2.01,1500,0
KNRX.US,60,20251031,200000,2.13,2.13,2.13,2.13,469,0
KNRX.US,60,20251031,210000,2.1084,2.1084,2.1084,2.1084,100,0
KNRX.US,60,20251103,170000,2.03,2.03,2,2,1600,0
KNRX.US,60,20251103,180000,1.98,2.01,1.98,2,1873,0
KNRX.US,60,20251103,190000,2.02,2.02,1.9501,1.9501,7200,0
KNRX.US,60,20251103,200000,2.09,2.09,2.09,2.09,100,0
KNRX.US,60,20251103,220000,1.97,2.025,1.95,1.95,650,0
KNRX.US,60,20251104,160000,1.96,2,1.96,1.96,850,0
KNRX.US,60,20251104,170000,1.98,2.0312,1.92,1.92,12415,0
KNRX.US,60,20251104,180000,1.9457,1.955,1.9457,1.955,1651,0
KNRX.US,60,20251104,200000,1.95,1.95,1.95,1.95,889,0
KNRX.US,60,20251104,210000,1.9001,1.988,1.9,1.92,1600,0
KNRX.US,60,20251104,220000,1.91,1.91,1.85,1.85,9850,0
KNRX.US,60,20251105,160000,1.84,1.98,1.8301,1.98,2300,0
KNRX.US,60,20251105,170000,1.84,1.9,1.8301,1.851,2300,0
KNRX.US,60,20251105,180000,1.86,1.8965,1.85,1.8965,4723,0
KNRX.US,60,20251105,190000,1.79,1.79,1.79,1.79,100,0
KNRX.US,60,20251105,200000,1.75,1.8,1.75,1.8,200,0
KNRX.US,60,20251105,210000,1.8,1.8,1.8,1.8,512,0
KNRX.US,60,20251105,220000,1.81,1.81,1.8,1.8,400,0
KNRX.US,60,20251106,170000,1.75,1.75,1.75,1.75,100,0
KNRX.US,60,20251106,200000,1.76,1.76,1.76,1.76,100,0
KNRX.US,60,20251106,210000,1.78,1.78,1.71,1.75,3991,0
KNRX.US,60,20251106,220000,1.73,1.745,1.7,1.745,2213,0
KNRX.US,60,20251107,160000,1.73,1.755,1.7,1.755,10576,0
KNRX.US,60,20251107,170000,1.75,1.75,1.5512,1.6,14106,0
KNRX.US,60,20251107,180000,1.6,1.63,1.37,1.39,19611,0
KNRX.US,60,20251107,190000,1.44,1.55,1.405,1.48,9982,0
KNRX.US,60,20251107,200000,1.49,1.52,1.49,1.52,380,0
KNRX.US,60,20251107,210000,1.51,1.51,1.39,1.39,960,0
KNRX.US,60,20251107,220000,1.4868,1.4868,1.4,1.4255,965,0
KNRX.US,60,20251110,160000,1.54,1.54,1.47,1.47,1149,0
KNRX.US,60,20251110,170000,1.42,1.47,1.4,1.47,11916,0
KNRX.US,60,20251110,180000,1.4304,1.47,1.3001,1.34,37590,0
KNRX.US,60,20251110,190000,1.31,1.31,1.31,1.31,100,0
KNRX.US,60,20251110,200000,1.3222,1.41,1.31,1.35,12876,0
KNRX.US,60,20251110,210000,1.35,1.35,1.25,1.26,25498,0
KNRX.US,60,20251110,220000,1.25,1.3599,1.25,1.3599,12146,0
KNRX.US,60,20251111,160000,1.3499,1.45,1.32,1.35,23803,0
KNRX.US,60,20251111,170000,1.35,1.35,1.28,1.33,15527,0
KNRX.US,60,20251111,180000,1.36,1.36,1.35,1.35,920,0
KNRX.US,60,20251111,190000,1.36,1.36,1.36,1.36,510,0
KNRX.US,60,20251111,200000,1.35,1.35,1.35,1.35,660,0
KNRX.US,60,20251111,210000,1.32,1.34,1.32,1.34,900,0
KNRX.US,60,20251111,220000,1.35,1.725,1.32,1.6,16706,0
KNRX.US,60,20251112,160000,1.515,1.6344,1.4501,1.6,19597,0
KNRX.US,60,20251112,170000,1.6,1.6,1.51,1.51,3319,0
KNRX.US,60,20251112,180000,1.51,1.56,1.51,1.56,5700,0
KNRX.US,60,20251112,190000,1.56,1.56,1.56,1.56,800,0
KNRX.US,60,20251112,200000,1.5999,1.63,1.55,1.6,25302,0
KNRX.US,60,20251112,220000,1.74,1.74,1.65,1.65,400,0
KNRX.US,60,20251113,160000,1.5,1.73,1.5,1.62,12487,0
KNRX.US,60,20251113,170000,1.655,1.66,1.605,1.66,10396,0
KNRX.US,60,20251113,180000,1.69,1.69,1.66,1.66,3814,0
KNRX.US,60,20251113,190000,1.67,1.67,1.6606,1.6606,600,0
KNRX.US,60,20251113,200000,1.66,1.66,1.66,1.66,900,0
KNRX.US,60,20251113,210000,1.665,1.77,1.61,1.77,20156,0
KNRX.US,60,20251113,220000,1.7243,1.77,1.695,1.73,2121,0
KNRX.US,60,20251114,160000,1.73,1.84,1.61,1.61,3752,0
KNRX.US,60,20251114,170000,1.71,1.71,1.71,1.71,125,0
KNRX.US,60,20251114,180000,1.61,1.61,1.6,1.6,1013,0
KNRX.US,60,20251114,190000,1.7064,1.7064,1.6231,1.6231,230,0
KNRX.US,60,20251114,200000,1.685,1.685,1.685,1.685,100,0
KNRX.US,60,20251114,210000,1.66,1.7199,1.65,1.7199,819,0
KNRX.US,60,20251114,220000,1.66,1.66,1.64,1.64,1300,0
KNRX.US,60,20251117,160000,1.64,1.8,1.64,1.8,2734,0
KNRX.US,60,20251117,170000,1.85,1.86,1.8,1.8,4870,0
KNRX.US,60,20251117,180000,1.82,1.82,1.7501,1.7501,600,0
KNRX.US,60,20251117,190000,1.76,1.76,1.71,1.76,4500,0
KNRX.US,60,20251117,210000,1.76,1.86,1.6749,1.79,7700,0
KNRX.US,60,20251117,220000,1.76,1.76,1.64,1.75,1900,0
KNRX.US,60,20251118,160000,1.71,1.71,1.71,1.71,150,0
KNRX.US,60,20251118,210000,1.755,1.755,1.755,1.755,2611,0
KNRX.US,60,20251118,220000,1.73,1.73,1.73,1.73,200,0
KNRX.US,60,20251119,160000,1.77,1.77,1.77,1.77,100,0
KNRX.US,60,20251119,170000,1.68,1.68,1.68,1.68,100,0
KNRX.US,60,20251119,220000,1.735,1.7517,1.7078,1.7517,3193,0
KNRX.US,60,20251120,170000,1.8499,1.8499,1.8,1.8,200,0
KNRX.US,60,20251120,210000,1.85,1.89,1.85,1.88,800,0
KNRX.US,60,20251120,220000,1.89,1.89,1.89,1.89,2300,0
KNRX.US,60,20251121,160000,1.89,1.89,1.8009,1.8009,350,0
KNRX.US,60,20251121,170000,1.86,1.86,1.8,1.8,3545,0
KNRX.US,60,20251121,180000,1.8001,1.815,1.8,1.815,2568,0
KNRX.US,60,20251121,190000,1.815,1.815,1.815,1.815,100,0
KNRX.US,60,20251121,220000,1.76,1.85,1.76,1.8206,1300,0
KNRX.US,60,20251124,160000,1.88,1.9,1.7,1.7,400,0
KNRX.US,60,20251124,180000,2.04,2.045,2.04,2.045,300,0
KNRX.US,60,20251124,210000,2.05,2.05,1.9,1.9,1100,0
KNRX.US,60,20251124,220000,1.9,1.9239,1.88,1.88,3590,0
KNRX.US,60,20251125,160000,1.81,1.81,1.81,1.81,100,0
KNRX.US,60,20251125,190000,1.9,1.95,1.9,1.95,200,0
KNRX.US,60,20251125,200000,1.9,2.0287,1.9,2.0113,1400,0
KNRX.US,60,20251125,210000,2,2.01,2,2.01,800,0
KNRX.US,60,20251126,160000,2.05,2.15,2,2.07,16142,0
KNRX.US,60,20251126,170000,2.05,2.071,1.96,1.975,22959,0
KNRX.US,60,20251126,180000,1.96,1.96,1.95,1.95,1248,0
KNRX.US,60,20251126,190000,1.95,1.95,1.95,1.95,100,0
KNRX.US,60,20251126,200000,1.95,1.95,1.95,1.95,611,0
KNRX.US,60,20251126,210000,1.95,1.95,1.95,1.95,100,0
KNRX.US,60,20251126,220000,1.95,1.95,1.92,1.94,3755,0
KNRX.US,60,20251128,160000,1.95,1.95,1.86,1.86,9425,0
KNRX.US,60,20251128,170000,2.02,2.03,2.02,2.03,2900,0
KNRX.US,60,20251128,190000,1.9193,1.93,1.9193,1.93,696,0
KNRX.US,60,20251201,160000,2.03,2.03,2.03,2.03,100,0
KNRX.US,60,20251201,170000,1.9049,1.9049,1.9049,1.9049,1000,0
KNRX.US,60,20251201,180000,1.965,1.965,1.965,1.965,375,0
KNRX.US,60,20251201,210000,1.9001,1.9001,1.9001,1.9001,1000,0
KNRX.US,60,20251201,220000,1.995,1.995,1.9,1.9,224,0
KNRX.US,60,20251202,170000,1.96,1.96,1.9423,1.9423,4000,0
KNRX.US,60,20251202,180000,1.9,1.9,1.9,1.9,3139,0
KNRX.US,60,20251202,210000,1.9583,1.9583,1.895,1.895,200,0
KNRX.US,60,20251202,220000,1.91,1.9599,1.9,1.9599,1740,0
KNRX.US,60,20251203,160000,1.9,1.9,1.9,1.9,4879,0
KNRX.US,60,20251203,220000,1.92,1.935,1.92,1.935,200,0
KNRX.US,60,20251204,160000,1.92,1.92,1.92,1.92,200,0
KNRX.US,60,20251204,170000,1.96,1.96,1.94,1.94,457,0
KNRX.US,60,20251204,190000,1.925,1.925,1.9101,1.9101,1600,0
KNRX.US,60,20251204,200000,1.925,1.925,1.925,1.925,700,0
KNRX.US,60,20251204,220000,1.95,1.98,1.95,1.98,200,0
KNRX.US,60,20251205,160000,1.98,1.98,1.9,1.95,810,0
KNRX.US,60,20251205,190000,1.94,1.95,1.9006,1.9006,570,0
KNRX.US,60,20251205,220000,1.97,1.98,1.97,1.98,200,0
KNRX.US,60,20251208,160000,1.99,2,1.99,2,831,0
KNRX.US,60,20251208,170000,2,2,2,2,600,0
KNRX.US,60,20251208,180000,2.001,2.0014,2.001,2.0014,590,0
KNRX.US,60,20251209,160000,2.08,2.08,2.04,2.04,3226,0
KNRX.US,60,20251209,210000,2.005,2.005,1.9001,1.945,1002,0
KNRX.US,60,20251210,190000,1.9,1.9,1.895,1.895,400,0
KNRX.US,60,20251210,200000,1.9089,1.9089,1.9089,1.9089,100,0
