<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KRSP-U.US,60,20251001,170000,10.13,10.21,10.12,10.195,1762369,0
KRSP-U.US,60,20251001,180000,10.195,10.28,10.19,10.265,1010853,0
KRSP-U.US,60,20251001,190000,10.26,10.27,10.21,10.24,378209,0
KRSP-U.US,60,20251001,200000,10.235,10.325,10.235,10.31,416386,0
KRSP-U.US,60,20251001,210000,10.31,10.355,10.3,10.35,225267,0
KRSP-U.US,60,20251001,220000,10.35,10.375,10.3,10.3,338359,0
KRSP-U.US,60,20251002,160000,10.25,10.3,10.25,10.2592,11178,0
KRSP-U.US,60,20251002,170000,10.2999,10.3,10.25,10.2975,169144,0
KRSP-U.US,60,20251002,180000,10.3,10.42,10.3,10.4,185867,0
KRSP-U.US,60,20251002,190000,10.405,10.405,10.39,10.4,42149,0
KRSP-U.US,60,20251002,200000,10.4,10.55,10.3999,10.55,139570,0
KRSP-U.US,60,20251002,210000,10.55,10.6,10.495,10.52,95511,0
KRSP-U.US,60,20251002,220000,10.49,10.55,10.41,10.41,68214,0
KRSP-U.US,60,20251003,160000,10.45,10.45,10.45,10.45,1350,0
KRSP-U.US,60,20251003,170000,10.499,10.499,10.4,10.45,18595,0
KRSP-U.US,60,20251003,180000,10.45,10.5,10.44,10.5,37016,0
KRSP-U.US,60,20251003,190000,10.5,10.58,10.46,10.5,56088,0
KRSP-U.US,60,20251003,200000,10.5,10.525,10.45,10.47,18521,0
KRSP-U.US,60,20251003,210000,10.47,10.54,10.45,10.5,109731,0
KRSP-U.US,60,20251003,220000,10.5,10.5,10.44,10.47,57728,0
KRSP-U.US,60,20251006,160000,10.534,10.534,10.47,10.48,49004,0
KRSP-U.US,60,20251006,170000,10.5,10.6,10.485,10.59,277776,0
KRSP-U.US,60,20251006,180000,10.59,10.59,10.5,10.54,23916,0
KRSP-U.US,60,20251006,190000,10.54,10.54,10.51,10.52,15996,0
KRSP-U.US,60,20251006,200000,10.525,10.55,10.525,10.545,64158,0
KRSP-U.US,60,20251006,210000,10.545,10.55,10.52,10.55,38954,0
KRSP-U.US,60,20251006,220000,10.58,10.59,10.51,10.59,5351,0
KRSP-U.US,60,20251007,160000,10.6,10.6,10.6,10.6,147,0
KRSP-U.US,60,20251007,170000,10.5884,10.5884,10.5884,10.5884,1000,0
KRSP-U.US,60,20251007,180000,10.51,10.58,10.51,10.58,1599,0
KRSP-U.US,60,20251007,190000,10.457,10.64,10.457,10.62,34758,0
KRSP-U.US,60,20251007,200000,10.6,10.62,10.6,10.615,8940,0
KRSP-U.US,60,20251007,210000,10.615,10.63,10.567,10.57,11971,0
KRSP-U.US,60,20251007,220000,10.57,10.6,10.54,10.6,6591,0
KRSP-U.US,60,20251008,170000,10.595,10.64,10.595,10.63,1200,0
KRSP-U.US,60,20251008,190000,10.6055,10.6055,10.604,10.604,585,0
KRSP-U.US,60,20251008,200000,10.6,10.61,10.58,10.6,1159,0
KRSP-U.US,60,20251008,210000,10.58,10.61,10.58,10.605,2735,0
KRSP-U.US,60,20251008,220000,10.605,10.65,10.605,10.65,70949,0
KRSP-U.US,60,20251009,160000,10.49,10.49,10.49,10.49,6100,0
KRSP-U.US,60,20251009,170000,10.6,10.64,10.54,10.63,52398,0
KRSP-U.US,60,20251009,180000,10.63,10.64,10.62,10.64,9319,0
KRSP-U.US,60,20251009,190000,10.645,10.7395,10.645,10.655,13573,0
KRSP-U.US,60,20251009,200000,10.65,10.69,10.64,10.64,5419,0
KRSP-U.US,60,20251009,210000,10.64,10.64,10.64,10.64,1652,0
KRSP-U.US,60,20251009,220000,10.65,10.69,10.64,10.67,3661,0
KRSP-U.US,60,20251010,170000,10.6,10.6,10.6,10.6,761,0
KRSP-U.US,60,20251010,180000,10.73,10.73,10.6003,10.73,10398,0
KRSP-U.US,60,20251010,190000,10.62,10.62,10.6,10.61,300,0
KRSP-U.US,60,20251010,200000,10.62,10.71,10.62,10.71,200,0
KRSP-U.US,60,20251010,210000,10.665,10.72,10.665,10.665,13514,0
KRSP-U.US,60,20251010,220000,10.67,10.74,10.62,10.63,6885,0
KRSP-U.US,60,20251013,160000,10.6,10.7,10.6,10.69,75877,0
KRSP-U.US,60,20251013,170000,10.69,10.69,10.645,10.6748,1729,0
KRSP-U.US,60,20251013,180000,10.62,10.7,10.61,10.69,13746,0
KRSP-U.US,60,20251013,190000,10.7092,10.74,10.67,10.74,1743,0
KRSP-U.US,60,20251013,200000,10.74,10.74,10.67,10.74,2032,0
KRSP-U.US,60,20251013,210000,10.71,10.74,10.71,10.74,800,0
KRSP-U.US,60,20251013,220000,10.74,10.74,10.67,10.74,56824,0
KRSP-U.US,60,20251014,160000,10.74,10.74,10.74,10.74,822,0
KRSP-U.US,60,20251014,170000,10.7,10.73,10.695,10.695,12753,0
KRSP-U.US,60,20251014,180000,10.7,10.7,10.67,10.7,45589,0
KRSP-U.US,60,20251014,190000,10.66,10.705,10.66,10.7,6524,0
KRSP-U.US,60,20251014,200000,10.67,10.705,10.67,10.67,4232,0
KRSP-U.US,60,20251014,210000,10.67,10.7,10.67,10.69,9746,0
KRSP-U.US,60,20251014,220000,10.685,10.705,10.67,10.705,1904,0
KRSP-U.US,60,20251015,160000,10.72,10.74,10.72,10.73,12252,0
KRSP-U.US,60,20251015,170000,10.72,10.72,10.69,10.72,1800,0
KRSP-U.US,60,20251015,180000,10.68,10.71,10.68,10.71,2000,0
KRSP-U.US,60,20251015,190000,10.71,10.73,10.71,10.71,9079,0
KRSP-U.US,60,20251015,200000,10.71,10.72,10.68,10.72,2952,0
KRSP-U.US,60,20251015,210000,10.71,10.715,10.71,10.715,27333,0
KRSP-U.US,60,20251015,220000,10.715,10.735,10.715,10.735,18228,0
KRSP-U.US,60,20251016,160000,10.73,10.73,10.725,10.73,4293,0
KRSP-U.US,60,20251016,170000,10.73,10.9106,10.73,10.9,220037,0
KRSP-U.US,60,20251016,180000,10.9,10.935,10.85,10.93,140988,0
KRSP-U.US,60,20251016,190000,10.9007,10.97,10.8505,10.92,146233,0
KRSP-U.US,60,20251016,200000,10.8905,10.96,10.8905,10.945,122844,0
KRSP-U.US,60,20251016,210000,10.945,10.95,10.9,10.92,67022,0
