<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LGDX.US,60,20250303,170000,20.3,20.3,20.2864,20.2864,24615,0
LGDX.US,60,20250303,180000,20.27,20.29,20.27,20.29,49296,0
LGDX.US,60,20250303,200000,20.24,20.24,20.24,20.24,500,0
LGDX.US,60,20250303,210000,20.17,20.19,20.1,20.1,49631,0
LGDX.US,60,20250303,220000,19.94,20.02,19.92,19.97,49963,0
LGDX.US,60,20250304,160000,19.79,19.79,19.74,19.76,202725,0
LGDX.US,60,20250304,190000,19.78,19.78,19.77,19.77,151590,0
LGDX.US,60,20250304,220000,19.8,19.8,19.8,19.8,500,0
LGDX.US,60,20250305,200000,19.89,19.98,19.81,19.87,99975,0
LGDX.US,60,20250305,210000,19.98,20.16,19.95,19.99,275620,0
LGDX.US,60,20250305,220000,19.96,20,19.9562,19.9562,4605,0
LGDX.US,60,20250306,160000,19.65,19.73,19.65,19.7299,87600,0
LGDX.US,60,20250306,170000,19.72,19.82,19.72,19.82,548410,0
LGDX.US,60,20250306,200000,19.54,19.54,19.54,19.54,300,0
LGDX.US,60,20250307,160000,19.55,19.55,19.47,19.47,1182,0
LGDX.US,60,20250307,170000,19.38,19.41,19.38,19.41,398,0
LGDX.US,60,20250307,180000,19.42,19.45,19.33,19.3399,534954,0
LGDX.US,60,20250307,190000,19.32,19.32,19.3,19.3,515,0
LGDX.US,60,20250307,200000,19.56,19.56,19.56,19.56,9600,0
LGDX.US,60,20250307,210000,19.62,19.65,19.59,19.61,731,0
LGDX.US,60,20250307,220000,19.61,19.62,19.58,19.6,1295,0
LGDX.US,60,20250310,150000,19.26,19.41,19.26,19.35,2324,0
LGDX.US,60,20250310,160000,19.2,19.2,19.2,19.2,300,0
LGDX.US,60,20250310,180000,19.14,19.14,19.14,19.14,211,0
LGDX.US,60,20250310,210000,18.99,18.99,18.99,18.99,202,0
LGDX.US,60,20250311,150000,19.07,19.07,18.98,19.03,1398,0
LGDX.US,60,20250311,160000,18.89,18.91,18.89,18.91,560,0
LGDX.US,60,20250311,170000,18.96,19.05,18.96,19.03,1730,0
LGDX.US,60,20250311,180000,19.02,19.02,18.92,18.92,28183,0
LGDX.US,60,20250311,190000,18.85,18.89,18.82,18.89,1159,0
LGDX.US,60,20250311,200000,18.92,19.09,18.92,19.09,914,0
LGDX.US,60,20250311,210000,19.15,19.15,19.04,19.04,3923,0
LGDX.US,60,20250312,150000,19.21,19.21,19.05,19.05,1050,0
LGDX.US,60,20250312,160000,19.03,19.03,19.03,19.03,161,0
LGDX.US,60,20250312,170000,19.07,19.09,19.05,19.09,867,0
LGDX.US,60,20250312,180000,19.04,19.12,19.04,19.12,379,0
LGDX.US,60,20250312,190000,19.13,19.13,19.09,19.09,400,0
LGDX.US,60,20250312,200000,19.1,19.13,19.1,19.13,724,0
LGDX.US,60,20250312,210000,19.12,19.12,19.06,19.08,1157,0
LGDX.US,60,20250313,150000,19.09,19.09,18.97,18.97,1227,0
LGDX.US,60,20250313,160000,18.93,19.03,18.9,18.93,1124,0
LGDX.US,60,20250313,170000,18.82,18.82,18.82,18.82,100,0
LGDX.US,60,20250313,180000,18.83,18.83,18.78,18.78,771,0
LGDX.US,60,20250313,190000,18.8,18.8,18.7,18.7,2155,0
LGDX.US,60,20250313,200000,18.7,18.82,18.7,18.82,640,0
LGDX.US,60,20250313,210000,18.82,18.84,18.73,18.74,2401,0
LGDX.US,60,20250314,150000,18.9,18.9,18.9,18.9,174,0
LGDX.US,60,20250314,160000,18.93,18.93,18.93,18.93,300,0
