<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LQTI.US,60,20250214,180000,20.339,20.339,20.31,20.31,435,0
LQTI.US,60,20250214,190000,20.31,20.31,20.31,20.31,500,0
LQTI.US,60,20250219,170000,20.23,20.23,20.23,20.23,500,0
LQTI.US,60,20250219,200000,20.219,20.22,20.1924,20.1924,1978,0
LQTI.US,60,20250219,220000,20.2209,20.2209,20.2209,20.2209,500,0
LQTI.US,60,20250221,170000,20.3,20.3,20.3,20.3,1000,0
LQTI.US,60,20250221,220000,20.3298,20.3298,20.3298,20.3298,500,0
LQTI.US,60,20250224,160000,20.36,20.36,20.36,20.36,2000,0
LQTI.US,60,20250225,180000,20.5,20.5,20.5,20.5,500,0
LQTI.US,60,20250225,190000,20.5,20.5,20.5,20.5,1001,0
LQTI.US,60,20250226,170000,20.4833,20.5098,20.4833,20.5098,3800,0
LQTI.US,60,20250226,190000,20.482,20.482,20.48,20.48,320,0
LQTI.US,60,20250227,180000,20.509,20.509,20.4916,20.4916,1378,0
LQTI.US,60,20250227,190000,20.5,20.51,20.47,20.47,2432,0
LQTI.US,60,20250227,210000,20.5,20.5,20.5,20.5,2700,0
LQTI.US,60,20250227,220000,20.5,20.5,20.475,20.5,5200,0
LQTI.US,60,20250228,170000,20.52,20.52,20.47,20.47,3146,0
LQTI.US,60,20250228,180000,20.519,20.539,20.519,20.539,4067,0
LQTI.US,60,20250228,200000,20.52,20.52,20.52,20.52,700,0
LQTI.US,60,20250303,180000,20.52,20.57,20.52,20.547,2196,0
LQTI.US,60,20250303,200000,20.5999,20.5999,20.5999,20.5999,250,0
LQTI.US,60,20250303,210000,20.5999,20.5999,20.575,20.575,472,0
LQTI.US,60,20250304,190000,20.57,20.6,20.57,20.6,44852,0
LQTI.US,60,20250304,200000,20.56,20.56,20.55,20.56,500,0
LQTI.US,60,20250304,220000,20.55,20.6,20.55,20.569,44409,0
LQTI.US,60,20250305,160000,20.59,20.6,20.59,20.6,2500,0
LQTI.US,60,20250305,170000,20.49,20.49,20.49,20.49,100,0
LQTI.US,60,20250305,180000,20.5398,20.54,20.539,20.539,729,0
LQTI.US,60,20250305,190000,20.52,20.52,20.507,20.507,1000,0
LQTI.US,60,20250305,210000,20.52,20.53,20.507,20.53,5275,0
LQTI.US,60,20250305,220000,20.51,20.51,20.507,20.51,7219,0
LQTI.US,60,20250306,180000,20.37,20.37,20.37,20.37,100,0
LQTI.US,60,20250306,190000,20.44,20.46,20.44,20.46,347,0
LQTI.US,60,20250307,170000,20.5,20.51,20.48,20.51,600,0
LQTI.US,60,20250307,200000,20.43,20.43,20.4199,20.42,1586,0
LQTI.US,60,20250307,210000,20.41,20.42,20.397,20.42,740,0
LQTI.US,60,20250307,220000,20.41,20.41,20.41,20.41,1500,0
LQTI.US,60,20250310,170000,20.53,20.53,20.47,20.47,200,0
LQTI.US,60,20250310,180000,20.47,20.47,20.47,20.47,477,0
LQTI.US,60,20250310,200000,20.48,20.48,20.47,20.47,300,0
LQTI.US,60,20250310,210000,20.48,20.5,20.48,20.5,14173,0
LQTI.US,60,20250311,150000,20.5,20.5,20.5,20.5,100,0
LQTI.US,60,20250311,160000,20.459,20.459,20.459,20.459,1000,0
LQTI.US,60,20250311,170000,20.4,20.41,20.377,20.377,3327,0
LQTI.US,60,20250311,180000,20.41,20.41,20.35,20.3759,1550,0
LQTI.US,60,20250311,190000,20.41,20.41,20.41,20.41,400,0
LQTI.US,60,20250311,200000,20.4,20.4,20.38,20.39,1862,0
LQTI.US,60,20250311,210000,20.3804,20.3804,20.37,20.37,665,0
LQTI.US,60,20250312,150000,20.36,20.36,20.335,20.335,1250,0
