<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MEI.US,60,20240411,160000,12.28,12.46,12.2,12.46,25159,0
MEI.US,60,20240411,170000,12.44,12.52,12.36,12.39,26325,0
MEI.US,60,20240411,180000,12.39,12.52,12.375,12.51,24524,0
MEI.US,60,20240411,190000,12.52,12.59,12.51,12.53,25852,0
MEI.US,60,20240411,200000,12.54,12.67,12.54,12.65,31317,0
MEI.US,60,20240411,210000,12.645,12.73,12.64,12.72,31712,0
MEI.US,60,20240411,220000,12.71,12.72,12.57,12.57,155179,0
MEI.US,60,20240412,160000,12.46,12.46,12.32,12.345,13085,0
MEI.US,60,20240412,170000,12.35,12.57,12.29,12.56,21885,0
MEI.US,60,20240412,180000,12.57,12.57,12.44,12.52,42714,0
MEI.US,60,20240412,190000,12.53,12.64,12.48,12.55,33720,0
MEI.US,60,20240412,200000,12.555,12.58,12.52,12.54,37297,0
MEI.US,60,20240412,210000,12.54,12.59,12.5,12.53,35489,0
MEI.US,60,20240412,220000,12.52,12.56,12.5,12.52,218263,0
MEI.US,60,20240415,160000,12.48,12.6,12.46,12.56,9209,0
MEI.US,60,20240415,170000,12.55,12.55,12.36,12.4325,11553,0
MEI.US,60,20240415,180000,12.45,12.49,12.34,12.47,53586,0
MEI.US,60,20240415,190000,12.48,12.53,12.43,12.46,39869,0
MEI.US,60,20240415,200000,12.45,12.67,12.435,12.67,53190,0
MEI.US,60,20240415,210000,12.67,12.7,12.49,12.5,43996,0
MEI.US,60,20240415,220000,12.5,12.65,12.46,12.57,160907,0
MEI.US,60,20240416,160000,12.45,12.57,12.32,12.32,10452,0
MEI.US,60,20240416,170000,12.32,12.37,12.2,12.32,23739,0
MEI.US,60,20240416,180000,12.33,12.421,12.33,12.41,14628,0
MEI.US,60,20240416,190000,12.4082,12.49,12.39,12.45,8439,0
MEI.US,60,20240416,200000,12.45,12.49,12.2859,12.32,30279,0
