<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MMSD.US,60,20250507,160000,25.07,25.07,25.07,25.07,1500,0
MMSD.US,60,20250507,200000,25.06,25.06,25.06,25.06,500,0
MMSD.US,60,20250508,190000,25.06,25.06,25.06,25.06,1000,0
MMSD.US,60,20250509,220000,25.03,25.03,25.03,25.03,141,0
MMSD.US,60,20250512,160000,25.03,25.03,25.03,25.03,100,0
MMSD.US,60,20250512,190000,24.995,24.995,24.995,24.995,1000,0
MMSD.US,60,20250512,200000,24.99,24.99,24.99,24.99,300,0
MMSD.US,60,20250512,210000,24.995,24.995,24.995,24.995,200,0
MMSD.US,60,20250513,190000,25.0292,25.0292,25.0292,25.0292,500,0
MMSD.US,60,20250516,220000,25,25.09,25,25.09,567,0
MMSD.US,60,20250520,190000,25.05,25.06,25.05,25.06,16960,0
MMSD.US,60,20250520,220000,25.07,25.07,25.07,25.07,141,0
MMSD.US,60,20250521,200000,25.025,25.025,25.025,25.025,600,0
MMSD.US,60,20250521,210000,25.02,25.02,25.02,25.02,300,0
MMSD.US,60,20250521,220000,25,25,24.99,24.99,1150,0
MMSD.US,60,20250527,210000,25.12,25.12,25.12,25.12,100,0
MMSD.US,60,20250528,220000,25.11,25.11,25.08,25.08,241,0
MMSD.US,60,20250530,170000,25.095,25.095,25.095,25.095,200,0
MMSD.US,60,20250530,190000,25.1,25.1,25.1,25.1,2500,0
MMSD.US,60,20250530,210000,25.1,25.11,25.1,25.11,599,0
MMSD.US,60,20250530,220000,25.11,25.11,25.11,25.11,201,0
MMSD.US,60,20250602,160000,25.045,25.045,25.045,25.045,1000,0
MMSD.US,60,20250616,220000,25.05,25.15,25.05,25.15,610,0
MMSD.US,60,20250626,210000,25.1792,25.249,25.1792,25.249,2325,0
MMSD.US,60,20250702,220000,25.24,25.27,25.2,25.2,650,0
MMSD.US,60,20250703,200000,25.19,25.19,25.19,25.19,141,0
MMSD.US,60,20250710,220000,25.2,25.24,25.2,25.24,282,0
MMSD.US,60,20250711,200000,25.23,25.23,25.23,25.23,100,0
MMSD.US,60,20250714,220000,25.23,25.23,25.22,25.22,2741,0
MMSD.US,60,20250715,200000,25.2296,25.2296,25.2296,25.2296,200,0
MMSD.US,60,20250715,220000,25.22,25.22,25.22,25.22,141,0
MMSD.US,60,20250716,190000,25.22,25.22,25.22,25.22,2500,0
MMSD.US,60,20250716,210000,25.21,25.21,25.21,25.21,500,0
MMSD.US,60,20250716,220000,25.21,25.21,25.21,25.21,500,0
MMSD.US,60,20250717,170000,25.21,25.21,25.21,25.21,3000,0
MMSD.US,60,20250717,220000,25.21,25.21,25.21,25.21,2500,0
MMSD.US,60,20250721,170000,25.3,25.3,25.3,25.3,2500,0
MMSD.US,60,20250721,200000,25.29,25.29,25.29,25.29,100,0
MMSD.US,60,20250722,170000,25.29,25.29,25.29,25.29,100,0
MMSD.US,60,20250724,200000,25.28,25.28,25.28,25.28,100,0
MMSD.US,60,20250730,220000,25.28,25.29,25.28,25.29,432,0
MMSD.US,60,20250731,200000,25.33,25.48,25.33,25.48,26700,0
MMSD.US,60,20250804,220000,25.33,25.37,25.33,25.35,4419,0
MMSD.US,60,20250805,210000,25.35,25.36,25.35,25.36,700,0
MMSD.US,60,20250806,170000,25.347,25.41,25.347,25.375,14754,0
MMSD.US,60,20250807,180000,25.3452,25.35,25.345,25.35,1200,0
MMSD.US,60,20250808,200000,25.36,25.49,25.3499,25.49,32050,0
MMSD.US,60,20250808,210000,25.37,25.55,25.369,25.37,16800,0
MMSD.US,60,20250811,170000,25.37,25.37,25.37,25.37,100,0
MMSD.US,60,20250811,210000,25.37,25.37,25.37,25.37,900,0
MMSD.US,60,20250814,220000,25.37,25.39,25.37,25.38,2661,0
MMSD.US,60,20250815,170000,25.36,25.36,25.36,25.36,100,0
MMSD.US,60,20250815,180000,25.38,25.44,25.3799,25.39,16000,0
MMSD.US,60,20250818,220000,25.38,25.39,25.38,25.39,564,0
MMSD.US,60,20250821,180000,25.3914,25.3914,25.3914,25.3914,1000,0
MMSD.US,60,20250821,190000,25.39,25.39,25.39,25.39,200,0
MMSD.US,60,20250825,170000,25.44,25.44,25.44,25.44,100,0
MMSD.US,60,20250825,220000,25.45,25.45,25.45,25.45,2500,0
MMSD.US,60,20250826,210000,25.45,25.45,25.45,25.45,100,0
MMSD.US,60,20250826,220000,25.45,25.45,25.45,25.45,998,0
MMSD.US,60,20250827,180000,25.43,25.43,25.43,25.43,500,0
MMSD.US,60,20250828,220000,25.46,25.46,25.46,25.46,800,0
MMSD.US,60,20250902,210000,25.37,25.37,25.37,25.37,100,0
MMSD.US,60,20250902,220000,25.37,25.37,25.37,25.37,4037,0
MMSD.US,60,20250905,160000,25.51,25.51,25.49,25.49,1300,0
MMSD.US,60,20250905,220000,25.51,25.51,25.51,25.51,5000,0
MMSD.US,60,20250908,160000,25.53,25.53,25.53,25.53,2500,0
MMSD.US,60,20250908,170000,25.55,25.55,25.55,25.55,500,0
MMSD.US,60,20250908,180000,25.56,25.56,25.56,25.56,2500,0
MMSD.US,60,20250908,190000,25.54,25.54,25.54,25.54,500,0
MMSD.US,60,20250908,200000,25.55,25.55,25.55,25.55,2500,0
MMSD.US,60,20250908,220000,25.56,25.56,25.56,25.56,2000,0
MMSD.US,60,20250910,210000,25.59,25.59,25.58,25.59,700,0
MMSD.US,60,20250911,220000,25.62,25.62,25.61,25.61,1142,0
MMSD.US,60,20250916,180000,25.61,25.61,25.61,25.61,17953,0
MMSD.US,60,20250917,220000,25.61,25.61,25.61,25.61,1171,0
MMSD.US,60,20250919,190000,25.58,25.72,25.56,25.56,24400,0
MMSD.US,60,20250919,200000,25.56,25.56,25.56,25.56,2000,0
MMSD.US,60,20250919,210000,25.56,25.56,25.56,25.56,2900,0
MMSD.US,60,20250919,220000,25.57,25.57,25.57,25.57,13797,0
MMSD.US,60,20250922,180000,25.57,25.57,25.57,25.57,750,0
MMSD.US,60,20250926,220000,25.553,25.553,25.5,25.5,337,0
MMSD.US,60,20250930,200000,25.52,25.609,25.52,25.609,15800,0
MMSD.US,60,20251002,170000,25.43,25.4302,25.43,25.4302,400,0
MMSD.US,60,20251002,220000,25.47,25.47,25.47,25.47,200,0
MMSD.US,60,20251003,200000,25.46,25.46,25.46,25.46,100,0
MMSD.US,60,20251003,210000,25.4401,25.4473,25.4401,25.4473,400,0
MMSD.US,60,20251006,170000,25.439,25.44,25.439,25.44,255,0
MMSD.US,60,20251006,200000,25.44,25.45,25.44,25.45,10100,0
MMSD.US,60,20251006,210000,25.44,25.44,25.44,25.44,4500,0
MMSD.US,60,20251006,220000,25.44,25.44,25.44,25.44,142,0
MMSD.US,60,20251007,170000,25.44,25.44,25.44,25.44,982705,0
MMSD.US,60,20251008,190000,25.46,25.46,25.44,25.44,3296,0
MMSD.US,60,20251008,200000,25.4599,25.4599,25.43,25.43,2800,0
MMSD.US,60,20251008,220000,25.43,25.43,25.43,25.43,142,0
MMSD.US,60,20251009,180000,25.43,25.45,25.41,25.41,9100,0
MMSD.US,60,20251014,170000,25.43,25.47,25.43,25.47,866,0
MMSD.US,60,20251014,200000,25.48,25.48,25.48,25.48,100,0
MMSD.US,60,20251014,210000,25.48,25.64,25.45,25.45,9600,0
MMSD.US,60,20251014,220000,25.45,25.465,25.45,25.46,500,0
MMSD.US,60,20251015,170000,25.47,25.47,25.47,25.47,2700,0
MMSD.US,60,20251015,190000,25.48,25.48,25.48,25.48,100,0
MMSD.US,60,20251015,200000,25.46,25.46,25.46,25.46,300,0
MMSD.US,60,20251015,220000,25.48,25.49,25.46,25.46,3069,0
MMSD.US,60,20251016,180000,25.48,25.485,25.48,25.48,3300,0
MMSD.US,60,20251017,220000,25.5,25.5,25.48,25.48,3308,0
MMSD.US,60,20251020,160000,25.51,25.51,25.51,25.51,2500,0
MMSD.US,60,20251020,170000,25.49,25.49,25.49,25.49,100,0
MMSD.US,60,20251020,180000,25.49,25.49,25.49,25.49,100,0
MMSD.US,60,20251020,220000,25.495,25.51,25.48,25.48,7068,0
MMSD.US,60,20251021,170000,25.49,25.49,25.49,25.49,100,0
MMSD.US,60,20251021,190000,25.5,25.51,25.49,25.49,6600,0
MMSD.US,60,20251021,210000,25.5,25.51,25.49,25.49,6600,0
MMSD.US,60,20251022,170000,25.49,25.49,25.49,25.49,2500,0
MMSD.US,60,20251022,190000,25.4999,25.4999,25.49,25.49,5100,0
MMSD.US,60,20251022,200000,25.495,25.5,25.49,25.5,3239,0
MMSD.US,60,20251023,220000,25.475,25.49,25.41,25.47,5691,0
MMSD.US,60,20251024,160000,25.46,25.46,25.46,25.46,588,0
MMSD.US,60,20251024,180000,25.4795,25.4795,25.4795,25.4795,5000,0
MMSD.US,60,20251024,220000,25.46,25.48,25.46,25.46,8965,0
MMSD.US,60,20251027,160000,25.47,25.48,25.47,25.48,1700,0
MMSD.US,60,20251027,210000,25.48,25.48,25.48,25.48,1371,0
MMSD.US,60,20251028,180000,25.4799,25.4799,25.46,25.46,5650,0
MMSD.US,60,20251028,190000,25.47,25.48,25.46,25.46,11905,0
MMSD.US,60,20251029,200000,25.46,25.46,25.45,25.45,500,0
MMSD.US,60,20251103,190000,25.3835,25.3835,25.3835,25.3835,984,0
MMSD.US,60,20251106,160000,25.3835,25.3835,25.3835,25.3835,590,0
MMSD.US,60,20251106,170000,25.4,25.4,25.4,25.4,2100,0
MMSD.US,60,20251106,200000,25.3935,25.3935,25.3935,25.3935,400,0
