<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MUNA.US,60,20250819,160000,100.05,100.05,100.05,100.05,1000,0
MUNA.US,60,20250819,220000,100.1,100.1,100.1,100.1,423,0
MUNA.US,60,20250820,210000,100.07,100.07,100.07,100.07,100,0
MUNA.US,60,20250820,220000,100.1199,100.1199,100.1199,100.1199,100,0
MUNA.US,60,20250822,160000,99.98,99.98,99.98,99.98,1000,0
MUNA.US,60,20250822,170000,100.02,100.02,100.02,100.02,1000,0
MUNA.US,60,20250822,190000,100.06,100.06,100.06,100.06,1000,0
MUNA.US,60,20250825,210000,100.15,100.15,100.15,100.15,200,0
MUNA.US,60,20250827,220000,100.13,100.18,100.13,100.18,400,0
MUNA.US,60,20250829,180000,99.9,99.9,99.8,99.8,300,0
MUNA.US,60,20250904,170000,99.89,99.89,99.89,99.89,400,0
MUNA.US,60,20250908,200000,100.45,100.45,100.45,100.45,1000,0
MUNA.US,60,20250910,180000,100.62,100.62,100.62,100.62,100,0
MUNA.US,60,20250912,190000,100.7078,100.7078,100.7078,100.7078,100,0
MUNA.US,60,20250912,210000,100.715,100.715,100.715,100.715,200,0
MUNA.US,60,20251008,220000,100.04,100.04,100.04,100.04,100,0
MUNA.US,60,20251013,200000,99.97,99.97,99.97,99.97,100,0
MUNA.US,60,20251013,220000,100.06,100.06,100.06,100.06,445,0
MUNA.US,60,20251014,170000,100.01,100.01,100.01,100.01,100,0
MUNA.US,60,20251015,220000,100.11,100.11,100.11,100.11,312,0
MUNA.US,60,20251020,210000,100.01,100.01,100.01,100.01,100,0
MUNA.US,60,20251021,180000,100.02,100.02,100.02,100.02,100,0
MUNA.US,60,20251021,220000,100.11,100.11,100.11,100.11,312,0
MUNA.US,60,20251022,190000,100.01,100.01,100.01,100.01,100,0
MUNA.US,60,20251022,220000,100.1,100.1,100.1,100.1,312,0
MUNA.US,60,20251024,170000,100.04,100.04,100.04,100.04,25054,0
MUNA.US,60,20251024,180000,100.05,100.05,100.05,100.05,7300,0
MUNA.US,60,20251024,210000,100.06,100.06,100.06,100.06,952,0
MUNA.US,60,20251103,170000,99.85,99.85,99.83,99.83,400,0
MUNA.US,60,20251106,160000,99.9,100,99.9,99.92,6400,0
MUNA.US,60,20251107,190000,99.78,99.79,99.78,99.79,2700,0
MUNA.US,60,20251107,220000,99.82,99.82,99.82,99.82,312,0
MUNA.US,60,20251110,170000,99.79,99.79,99.79,99.79,700,0
MUNA.US,60,20251111,220000,99.82,99.86,99.82,99.86,624,0
MUNA.US,60,20251112,210000,99.88,99.91,99.88,99.91,1998,0
MUNA.US,60,20251113,160000,99.82,99.82,99.82,99.82,200,0
MUNA.US,60,20251113,170000,99.82,99.82,99.82,99.82,500,0
MUNA.US,60,20251118,200000,99.92,99.92,99.92,99.92,200,0
MUNA.US,60,20251118,210000,99.92,99.92,99.92,99.92,400,0
MUNA.US,60,20251118,220000,99.92,99.92,99.92,99.92,1200,0
MUNA.US,60,20251128,180000,100.03,100.03,100.03,100.03,2002,0
MUNA.US,60,20251202,170000,99.83,99.83,99.83,99.83,1000,0
MUNA.US,60,20251203,190000,99.87,99.87,99.87,99.87,5001,0
MUNA.US,60,20251204,220000,99.9,99.9,99.9,99.9,999,0
