<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MUNB.US,60,20250912,210000,101.53,101.53,101.5299,101.5299,400,0
MUNB.US,60,20251008,220000,100.96,100.96,100.96,100.96,100,0
MUNB.US,60,20251013,200000,101.04,101.04,101.01,101.01,600,0
MUNB.US,60,20251014,170000,101.05,101.05,101.05,101.05,600,0
MUNB.US,60,20251020,210000,101.21,101.21,101.21,101.21,100,0
MUNB.US,60,20251021,180000,101.27,101.27,101.27,101.27,100,0
MUNB.US,60,20251022,190000,101.27,101.27,101.27,101.27,100,0
MUNB.US,60,20251027,160000,101.24,101.26,101.23,101.24,1300,0
MUNB.US,60,20251027,210000,101.25,101.25,101.25,101.25,604,0
MUNB.US,60,20251028,150000,101.26,101.26,101.24,101.24,600,0
MUNB.US,60,20251028,180000,101.23,101.23,101.23,101.23,100,0
MUNB.US,60,20251028,210000,101.23,101.23,101.23,101.23,348,0
MUNB.US,60,20251029,150000,101.28,101.28,101.225,101.225,600,0
MUNB.US,60,20251029,170000,101.23,101.25,101.225,101.24,500,0
MUNB.US,60,20251029,180000,101.25,101.25,101.23,101.23,500,0
MUNB.US,60,20251105,220000,101.115,101.115,100.8556,100.8556,308,0
MUNB.US,60,20251110,210000,101.09,101.09,101.09,101.09,200,0
MUNB.US,60,20251118,190000,101.02,101.02,101.02,101.02,100,0
MUNB.US,60,20251120,210000,101.11,101.11,101.11,101.11,1380,0
MUNB.US,60,20251201,220000,100.95,100.95,100.82,100.82,600,0
MUNB.US,60,20251203,180000,100.95,100.95,100.95,100.95,100,0
MUNB.US,60,20251204,200000,101.08,101.08,101.08,101.08,100,0
MUNB.US,60,20251208,190000,100.88,100.88,100.88,100.88,100,0
MUNB.US,60,20251208,220000,100.98,100.98,100.98,100.98,100,0
MUNB.US,60,20251209,190000,100.9,100.905,100.9,100.905,600,0
MUNB.US,60,20251210,220000,100.88,100.88,100.88,100.88,100,0
MUNB.US,60,20251212,190000,101.05,101.05,101.05,101.05,100,0
MUNB.US,60,20251212,200000,101.04,101.04,100.965,100.965,300,0
MUNB.US,60,20251212,220000,101.03,101.12,100.9,101.02,915,0
MUNB.US,60,20251216,210000,100.94,100.96,100.94,100.96,200,0
MUNB.US,60,20251222,220000,100.78,100.78,100.78,100.78,100,0
MUNB.US,60,20251224,170000,100.81,100.81,100.81,100.81,100,0
