<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MUNX.US,60,20251030,160000,24.97,24.97,24.97,24.97,110,0
MUNX.US,60,20251030,170000,24.9658,24.97,24.9658,24.97,200,0
MUNX.US,60,20251030,180000,24.955,24.955,24.955,24.955,8009,0
MUNX.US,60,20251030,210000,24.98,24.98,24.9798,24.9798,400,0
MUNX.US,60,20251103,170000,25.04,25.04,25,25,13200,0
MUNX.US,60,20251103,190000,24.9956,25.02,24.9956,25.01,12000,0
MUNX.US,60,20251103,210000,25,25,25,25,120,0
MUNX.US,60,20251103,220000,25,25.01,25,25.01,23120,0
MUNX.US,60,20251104,180000,25.03,25.03,25.03,25.03,8000,0
MUNX.US,60,20251104,210000,25.025,25.03,25.025,25.03,1200,0
MUNX.US,60,20251105,220000,25.03,25.03,24.98,24.98,12382,0
MUNX.US,60,20251106,210000,25.02,25.085,25.02,25.085,5200,0
MUNX.US,60,20251106,220000,25.04,25.05,25.035,25.045,6700,0
MUNX.US,60,20251107,190000,25.07,25.07,25.0615,25.0615,8000,0
MUNX.US,60,20251107,200000,25.0799,25.08,25.0799,25.08,5010,0
MUNX.US,60,20251110,170000,25.04,25.04,25.0327,25.0327,12000,0
MUNX.US,60,20251110,180000,25.05,25.05,25.05,25.05,100,0
MUNX.US,60,20251110,220000,25.05,25.06,25.05,25.06,4182,0
MUNX.US,60,20251112,170000,25.059,25.0699,25.059,25.0699,8000,0
MUNX.US,60,20251112,180000,25.07,25.07,25.07,25.07,100,0
MUNX.US,60,20251112,190000,25.07,25.07,25.07,25.07,182,0
MUNX.US,60,20251113,210000,25.045,25.05,25.045,25.05,9215,0
MUNX.US,60,20251113,220000,25.05,25.05,25.05,25.05,5002,0
MUNX.US,60,20251114,180000,25.04,25.0599,25.0399,25.0599,13800,0
MUNX.US,60,20251114,200000,25.03,25.03,25.03,25.03,100,0
MUNX.US,60,20251117,180000,25.04,25.05,25.04,25.0499,8300,0
MUNX.US,60,20251117,200000,25.04,25.04,25.04,25.04,100,0
MUNX.US,60,20251117,210000,25.04,25.04,25.04,25.04,6782,0
MUNX.US,60,20251117,220000,25.04,25.04,25.04,25.04,100,0
MUNX.US,60,20251118,170000,25.0236,25.12,25.0236,25.12,200,0
MUNX.US,60,20251118,180000,25.02,25.035,25.02,25.035,13749,0
MUNX.US,60,20251118,190000,25.035,25.035,25.035,25.035,100,0
