<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NHYB.US,60,20250924,190000,25.01,25.01,25.01,25.01,100,0
NHYB.US,60,20250925,220000,24.95,24.95,24.95,24.95,4950,0
NHYB.US,60,20250926,180000,24.97,24.97,24.97,24.97,100,0
NHYB.US,60,20251024,220000,25.01,25.12,24.97,25.12,1200,0
NHYB.US,60,20251028,210000,25.16,25.16,25.16,25.16,100,0
NHYB.US,60,20251104,220000,24.94,24.94,24.94,24.94,100,0
NHYB.US,60,20251107,200000,24.91,24.91,24.91,24.91,100,0
NHYB.US,60,20251117,220000,24.97,25.05,24.92,24.92,400,0
NHYB.US,60,20251204,160000,25.089,25.089,25.089,25.089,198,0
NHYB.US,60,20251208,190000,25.04,25.04,25.04,25.04,235,0
NHYB.US,60,20251210,200000,25.0699,25.0699,25.0699,25.0699,4000,0
NHYB.US,60,20251215,210000,25.08,25.14,25.08,25.11,4013,0
NHYB.US,60,20251216,190000,25.06,25.06,25.06,25.06,160000,0
NHYB.US,60,20251216,220000,25.0998,25.0998,25.0998,25.0998,597,0
NHYB.US,60,20251218,170000,24.93,24.93,24.93,24.93,198,0
NHYB.US,60,20251218,180000,24.93,24.93,24.93,24.93,180000,0
NHYB.US,60,20251222,170000,24.92,24.92,24.92,24.92,440000,0
NHYB.US,60,20251222,210000,24.92,24.93,24.92,24.93,200,0
NHYB.US,60,20251223,180000,24.975,25.01,24.975,24.975,2400,0
NHYB.US,60,20251226,170000,25.01,25.01,24.98,24.98,200,0
