<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NOTE.US,60,20240411,160000,16.2,16.2,15.18,15.2256,4056.2499983775,0
NOTE.US,60,20240411,170000,15.12,15.12,14.64,14.64,4987.9999980048,0
NOTE.US,60,20240411,180000,14.64,15,14.52,14.94,6266.0833308269,0
NOTE.US,60,20240411,190000,14.94,14.9988,14.76,14.76,2346.8333323946,0
NOTE.US,60,20240411,200000,14.82,15.24,14.76,14.94,7621.9999969512,0
NOTE.US,60,20240411,210000,14.88,14.9988,14.64,14.64,2763.0833322281,0
NOTE.US,60,20240411,220000,14.64,15.6,14.64,15.36,12562.583328308,0
NOTE.US,60,20240412,160000,15.6,15.72,14.82,14.94,2413.2499990347,0
NOTE.US,60,20240412,170000,14.76,14.82,14.76,14.76,1356.8333327906,0
NOTE.US,60,20240412,180000,14.76,14.88,14.64,14.7,4004.5833317315,0
NOTE.US,60,20240412,190000,14.7,15.06,14.4,14.94,13685.416661193,0
NOTE.US,60,20240412,200000,14.94,15.3492,14.88,15.3,6073.2499975707,0
NOTE.US,60,20240412,210000,15.3,15.3,15.12,15.12,2003.4166658653,0
NOTE.US,60,20240412,220000,15.18,15.18,14.82,14.88,10913.833328968,0
NOTE.US,60,20240415,160000,15.24,15.24,14.64,14.76,976.4166662761,0
NOTE.US,60,20240415,170000,14.88,14.88,14.4,14.4,1947.7499992209,0
NOTE.US,60,20240415,180000,14.4,14.52,14.4,14.46,2156.8333324706,0
NOTE.US,60,20240415,190000,14.46,14.5188,14.4,14.46,1595.5833326951,0
NOTE.US,60,20240415,200000,14.4,14.46,13.92,13.98,12139.333328478,0
NOTE.US,60,20240415,210000,13.92,14.04,13.92,13.98,4444.8333315554,0
NOTE.US,60,20240415,220000,13.98,14.04,13.32,13.92,18186.749992725,0
NOTE.US,60,20240416,160000,13.92,14.04,12.66,13.32,13234.2499947063,0
NOTE.US,60,20240416,170000,13.26,13.68,13.02,13.62,4794.9166647487,0
NOTE.US,60,20240416,180000,13.62,13.68,13.5612,13.6656,777.9166663555,0
NOTE.US,60,20240416,190000,13.6224,13.8,13.62,13.7904,1616.8333326866,0
NOTE.US,60,20240416,200000,13.68,13.68,13.56,13.62,835.6666663324,0
NOTE.US,60,20240416,210000,13.62,13.6788,13.5612,13.5612,664.9166664007,0
NOTE.US,60,20240416,220000,13.62,13.68,13.56,13.68,3396.7499986413,0
NOTE.US,60,20240417,160000,13.56,13.92,13.44,13.89,1721.7499993113001,0
NOTE.US,60,20240417,170000,13.8,14.16,13.68,13.68,5350.7499978597,0
NOTE.US,60,20240417,180000,13.68,14.1,13.68,14.1,2847.0833321945,0
NOTE.US,60,20240417,190000,14.13,14.28,14.04,14.28,1702.1666659858,0
NOTE.US,60,20240417,200000,14.28,14.28,14.16,14.16,997.499999601,0
NOTE.US,60,20240417,210000,14.22,14.58,14.16,14.22,6594.0833306957,0
NOTE.US,60,20240417,220000,14.1636,14.64,13.8,14.64,18787.583325818,0
NOTE.US,60,20240418,160000,15.24,15.24,14.52,15.12,1679.2499993283002,0
NOTE.US,60,20240418,170000,15.12,15.84,15,15.84,10644.249995742,0
NOTE.US,60,20240418,180000,15.78,16.2,15.72,15.84,7896.9999968412,0
NOTE.US,60,20240418,190000,15.78,15.84,14.64,14.7564,8993.6666630692,0
NOTE.US,60,20240418,200000,14.7,14.82,14.28,14.76,9378.7499962485,0
NOTE.US,60,20240418,210000,14.7,15.12,14.7,15.06,7228.9999971084,0
NOTE.US,60,20240418,220000,15.1188,15.12,14.88,14.88,9194.9166629887,0
NOTE.US,60,20240419,160000,14.64,14.64,13.92,13.92,3929.4999984282003,0
NOTE.US,60,20240419,170000,14.0232,14.28,13.8,13.8,7206.3333304508,0
NOTE.US,60,20240419,180000,13.812,14.22,13.8,14.04,3925.0833317633,0
NOTE.US,60,20240419,190000,14.04,14.16,13.8,13.92,2380.1666657146,0
NOTE.US,60,20240419,200000,13.98,13.98,13.8,13.8,1405.9166661043,0
NOTE.US,60,20240419,210000,13.8,13.9188,13.8,13.86,819.999999672,0
NOTE.US,60,20240419,220000,13.92,13.92,13.32,13.62,16161.583326869,0
NOTE.US,60,20240422,160000,13.8,13.92,13.8,13.86,1797.7499992809,0
NOTE.US,60,20240422,170000,13.86,13.92,13.8,13.92,2573.1666656374,0
NOTE.US,60,20240422,180000,13.86,13.8864,13.8,13.8864,632.9166664135,0
NOTE.US,60,20240422,190000,13.86,13.896,13.8012,13.86,276.8333332226,0
NOTE.US,60,20240422,200000,13.86,13.92,13.8564,13.86,1738.8333326378001,0
NOTE.US,60,20240422,210000,13.9188,13.92,13.8,13.86,1878.2499992487,0
NOTE.US,60,20240422,220000,13.86,14.04,13.8,14.04,5814.3333310076,0
NOTE.US,60,20240423,160000,13.92,14.52,13.92,14.46,5530.499997787801,0
NOTE.US,60,20240423,170000,14.46,14.76,14.16,14.58,9978.6666626752,0
NOTE.US,60,20240423,180000,14.52,14.76,14.04,14.52,10011.749995995,0
NOTE.US,60,20240423,190000,14.592,14.82,14.4,14.7672,4175.2499983299,0
NOTE.US,60,20240423,200000,14.88,14.88,14.52,14.52,3171.1666653982,0
NOTE.US,60,20240423,210000,14.52,14.52,14.28,14.28,2294.6666657488,0
NOTE.US,60,20240423,220000,14.34,14.4,14.07,14.4,9893.8333293758,0
NOTE.US,60,20240424,160000,14.52,14.64,14.4,14.52,2065.4999991738,0
NOTE.US,60,20240424,170000,14.64,14.64,14.4,14.52,2120.5833324851,0
NOTE.US,60,20240424,180000,14.46,14.52,14.34,14.34,6339.8333307974,0
NOTE.US,60,20240424,190000,14.34,14.4,14.22,14.28,1952.499999219,0
NOTE.US,60,20240424,200000,14.22,14.28,14.16,14.28,2379.4166657149,0
NOTE.US,60,20240424,210000,14.22,14.28,14.16,14.22,2741.9999989032,0
NOTE.US,60,20240424,220000,14.22,14.4,14.16,14.4,9081.666663034,0
NOTE.US,60,20240425,160000,14.16,14.376,13.8,13.92,9101.4166630261,0
NOTE.US,60,20240425,170000,13.8,14.28,13.8,14.04,7997.6666634676,0
NOTE.US,60,20240425,180000,14.1,14.28,14.1,14.2656,1111.8333328886,0
NOTE.US,60,20240425,190000,14.1912,14.52,14.1684,14.52,1790.1666659506,0
NOTE.US,60,20240425,200000,14.52,15,14.52,15,4576.9166648359,0
NOTE.US,60,20240425,210000,14.94,15,14.76,14.82,4223.5833316439,0
NOTE.US,60,20240425,220000,14.82,15.36,14.64,15.24,17839.416659531,0
NOTE.US,60,20240426,160000,15.36,16.08,15.36,16.08,1933.6666658932002,0
