<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NPB.US,60,20250214,190000,14.7,14.7,14.5,14.62,1193523,0
NPB.US,60,20250214,200000,14.62,14.63,14.5,14.62,298954,0
NPB.US,60,20250214,210000,14.61,14.62,14.5,14.59,222361,0
NPB.US,60,20250214,220000,14.58,14.59,14.5,14.5,456319,0
NPB.US,60,20250218,160000,14.51,14.65,14.51,14.52,6373,0
NPB.US,60,20250218,170000,14.575,14.7,14.52,14.64,39598,0
NPB.US,60,20250218,180000,14.64,14.75,14.55,14.56,29747,0
NPB.US,60,20250218,190000,14.55,14.66,14.52,14.66,16864,0
NPB.US,60,20250218,200000,14.6,14.6599,14.54,14.55,10534,0
NPB.US,60,20250218,210000,14.54,14.57,14.52,14.55,5545,0
NPB.US,60,20250218,220000,14.565,14.6,14.51,14.59,31998,0
NPB.US,60,20250219,160000,14.51,14.55,14.51,14.5114,3185,0
NPB.US,60,20250219,170000,14.51,14.53,14.25,14.32,125107,0
NPB.US,60,20250219,180000,14.34,14.5,14.34,14.45,17447,0
NPB.US,60,20250219,190000,14.45,14.54,14.4101,14.54,13160,0
NPB.US,60,20250219,200000,14.53,14.53,14.45,14.5049,9555,0
NPB.US,60,20250219,210000,14.53,14.55,14.48,14.53,6684,0
NPB.US,60,20250219,220000,14.53,14.57,14.49,14.54,35557,0
NPB.US,60,20250220,160000,14.52,14.57,14.5,14.51,22864,0
NPB.US,60,20250220,170000,14.5,14.57,14.3,14.5,24144,0
NPB.US,60,20250220,180000,14.53,14.75,14.5,14.75,18030,0
NPB.US,60,20250220,190000,14.75,14.98,14.66,14.66,18954,0
NPB.US,60,20250220,200000,14.7488,14.7488,14.51,14.57,8491,0
NPB.US,60,20250220,210000,14.5975,14.63,14.5601,14.58,6218,0
NPB.US,60,20250220,220000,14.58,14.6,14.55,14.6,39749,0
NPB.US,60,20250221,160000,14.72,14.72,14.5,14.5009,6163,0
NPB.US,60,20250221,170000,14.5,14.51,14.45,14.465,28535,0
NPB.US,60,20250221,180000,14.46,14.49,14.4501,14.475,2621,0
NPB.US,60,20250221,190000,14.47,14.47,14.454,14.454,400,0
NPB.US,60,20250221,200000,14.4891,14.5,14.45,14.5,3873,0
NPB.US,60,20250221,210000,14.48,14.55,14.45,14.45,27711,0
NPB.US,60,20250221,220000,14.46,14.69,14.43,14.48,117239,0
NPB.US,60,20250224,160000,14.51,14.625,14.5,14.52,8114,0
NPB.US,60,20250224,170000,14.5,14.51,14.28,14.31,50269,0
NPB.US,60,20250224,180000,14.31,14.405,14.25,14.405,21729,0
NPB.US,60,20250224,190000,14.355,14.45,14.27,14.35,19357,0
NPB.US,60,20250224,200000,14.34,14.3622,14.34,14.34,2100,0
NPB.US,60,20250224,210000,14.34,14.5,14.34,14.455,10805,0
NPB.US,60,20250224,220000,14.475,14.49,14.39,14.39,72984,0
NPB.US,60,20250225,160000,14.405,14.46,14.38,14.46,8510,0
NPB.US,60,20250225,170000,14.46,14.46,14.37,14.3752,9315,0
NPB.US,60,20250225,180000,14.3752,14.415,14.31,14.4,17618,0
NPB.US,60,20250225,190000,14.38,14.48,14.38,14.46,12486,0
NPB.US,60,20250225,200000,14.48,14.48,14.33,14.345,4732,0
NPB.US,60,20250225,210000,14.345,14.415,14.335,14.4,6339,0
NPB.US,60,20250225,220000,14.3589,14.38,14.34,14.35,20173,0
NPB.US,60,20250226,170000,14.35,14.43,14.35,14.4,2348,0
NPB.US,60,20250226,180000,14.4,14.4,14.39,14.4,324,0
NPB.US,60,20250226,190000,14.3878,14.4,14.38,14.38,3206,0
NPB.US,60,20250226,200000,14.36,14.37,14.35,14.35,2331,0
NPB.US,60,20250226,210000,14.35,14.36,14.34,14.34,14026,0
NPB.US,60,20250226,220000,14.34,14.4,14.25,14.35,8281,0
NPB.US,60,20250227,160000,14.35,14.35,14.35,14.35,100,0
NPB.US,60,20250227,170000,14.44,14.44,14.385,14.385,504,0
NPB.US,60,20250227,180000,14.385,14.385,14.375,14.375,356,0
NPB.US,60,20250227,190000,14.37,14.39,14.35,14.37,1036,0
NPB.US,60,20250227,200000,14.35,14.37,14.35,14.37,954,0
NPB.US,60,20250227,210000,14.375,14.39,14.35,14.39,5444,0
NPB.US,60,20250227,220000,14.35,14.48,14.35,14.41,42513,0
NPB.US,60,20250228,160000,14.43,14.44,14.43,14.44,200,0
NPB.US,60,20250228,170000,14.35,14.41,14.25,14.26,18376,0
NPB.US,60,20250228,180000,14.26,14.3,14.255,14.3,4462,0
NPB.US,60,20250228,190000,14.28,14.45,14.28,14.43,9040,0
NPB.US,60,20250228,200000,14.4,14.45,14.4,14.41,1585,0
NPB.US,60,20250228,210000,14.425,14.44,14.41,14.41,1946,0
NPB.US,60,20250228,220000,14.4363,14.54,14.435,14.5,34390,0
NPB.US,60,20250303,160000,14.29,14.49,14.27,14.3,5981,0
NPB.US,60,20250303,170000,14.3,14.33,14.05,14.1355,7424,0
NPB.US,60,20250303,180000,14.0601,14.1736,14.0601,14.1736,4393,0
NPB.US,60,20250303,190000,14.15,14.275,14.15,14.27,1456,0
NPB.US,60,20250303,200000,14.25,14.28,14.24,14.28,2625,0
NPB.US,60,20250303,210000,14.2641,14.35,14.2641,14.345,1166,0
NPB.US,60,20250303,220000,14.35,14.5,14.33,14.43,22142,0
NPB.US,60,20250304,160000,14.29,14.29,13.915,14.1,10921,0
NPB.US,60,20250304,170000,14.1,14.1,13.5,13.97,11110,0
NPB.US,60,20250304,180000,13.91,14.12,13.91,14.03,12429,0
NPB.US,60,20250304,190000,14.04,14.16,14,14.16,2394,0
NPB.US,60,20250304,200000,14.16,14.21,14.16,14.18,1015,0
NPB.US,60,20250304,210000,14.2,14.2,14.07,14.07,1000,0
NPB.US,60,20250304,220000,14.04,14.17,14.03,14.17,23260,0
NPB.US,60,20250305,160000,13.79,13.79,13.79,13.79,100,0
NPB.US,60,20250305,170000,14,14.02,14,14.02,435,0
NPB.US,60,20250305,180000,14.04,14.28,14.04,14.28,1100,0
NPB.US,60,20250305,190000,14.0601,14.28,14.0601,14.28,700,0
NPB.US,60,20250305,200000,14.06,14.06,14.06,14.06,100,0
NPB.US,60,20250305,210000,14.08,14.285,14.06,14.1,10243,0
NPB.US,60,20250305,220000,14.16,14.19,14.03,14.1,38667,0
NPB.US,60,20250306,160000,13.86,13.92,13.7,13.78,6919,0
NPB.US,60,20250306,170000,13.72,13.94,13.72,13.94,4342,0
NPB.US,60,20250306,180000,14.03,14.165,13.87,14,3836,0
NPB.US,60,20250306,190000,13.93,14,13.91,14,4064,0
NPB.US,60,20250306,200000,14,14.01,13.96,14,1819,0
NPB.US,60,20250306,210000,14,14.02,13.945,14,4363,0
NPB.US,60,20250306,220000,14,14.03,13.89,13.89,35575,0
NPB.US,60,20250307,160000,13.94,13.95,13.94,13.95,300,0
NPB.US,60,20250307,170000,14.11,14.12,14,14.11,1861,0
NPB.US,60,20250307,180000,14.27,14.29,14.08,14.2,5356,0
NPB.US,60,20250307,190000,14.13,14.2,14,14.085,3923,0
NPB.US,60,20250307,200000,14.085,14.15,14.01,14.04,3151,0
NPB.US,60,20250307,210000,14.01,14.04,14,14.025,4030,0
NPB.US,60,20250307,220000,14.04,14.18,13.995,14.01,31987,0
NPB.US,60,20250310,150000,13.975,13.975,13.85,13.85,5100,0
NPB.US,60,20250310,160000,13.92,13.92,13.59,13.59,7768,0
NPB.US,60,20250310,170000,13.59,13.74,13.575,13.59,12429,0
NPB.US,60,20250310,180000,13.59,13.745,13.55,13.67,8676,0
NPB.US,60,20250310,190000,13.65,13.665,13.58,13.58,4728,0
NPB.US,60,20250310,200000,13.6,13.66,13.57,13.66,17560,0
NPB.US,60,20250310,210000,13.66,13.83,13.6,13.63,24597,0
NPB.US,60,20250311,150000,13.795,13.8,13.7,13.75,2066,0
NPB.US,60,20250311,160000,13.75,13.8,13.71,13.736,10422,0
NPB.US,60,20250311,170000,13.76,13.865,13.72,13.75,4710,0
NPB.US,60,20250311,180000,13.75,13.83,13.725,13.725,14783,0
NPB.US,60,20250311,190000,13.75,13.81,13.725,13.81,6046,0
NPB.US,60,20250311,200000,13.75,13.815,13.735,13.815,4973,0
NPB.US,60,20250311,210000,13.77,13.8,13.73,13.75,23110,0
NPB.US,60,20250312,150000,13.76,13.76,13.76,13.76,1020,0
NPB.US,60,20250312,160000,13.76,13.77,13.685,13.73,6256,0
NPB.US,60,20250312,170000,13.75,13.94,13.73,13.87,5991,0
NPB.US,60,20250312,180000,13.8,13.915,13.71,13.87,8028,0
NPB.US,60,20250312,190000,13.96,14.16,13.89,14,5303,0
NPB.US,60,20250312,200000,14.065,14.1,13.95,13.9875,60845,0
NPB.US,60,20250312,210000,13.89,13.92,13.695,13.89,21425,0
NPB.US,60,20250313,150000,13.72,13.72,13.72,13.72,400,0
NPB.US,60,20250313,160000,13.66,14.12,13.64,13.865,16478,0
NPB.US,60,20250313,170000,13.77,13.78,13.55,13.55,4400,0
NPB.US,60,20250313,180000,13.71,13.85,13.51,13.82,14537,0
NPB.US,60,20250313,190000,13.75,13.92,13.75,13.84,11338,0
NPB.US,60,20250313,200000,13.92,13.94,13.84,13.93,3183,0
NPB.US,60,20250313,210000,13.93,14.22,13.895,14.17,30229,0
NPB.US,60,20250314,150000,14.22,14.235,14.2,14.235,774,0
NPB.US,60,20250314,160000,14.2,14.2,13.805,13.875,8040,0
NPB.US,60,20250314,170000,13.85,14.01,13.72,13.84,13570,0
NPB.US,60,20250314,180000,13.83,13.83,13.73,13.78,4400,0
NPB.US,60,20250314,190000,13.81,13.91,13.74,13.89,8661,0
NPB.US,60,20250314,200000,13.89,13.95,13.89,13.895,2327,0
NPB.US,60,20250314,210000,13.9,14,13.88,13.89,27641,0
NPB.US,60,20250317,150000,13.875,14.42,13.7918,14.18,4073,0
NPB.US,60,20250317,160000,14.15,14.56,14.135,14.375,22779,0
NPB.US,60,20250317,170000,14.375,14.535,14.34,14.4999,3823,0
NPB.US,60,20250317,180000,14.48,14.62,14.48,14.59,9207,0
NPB.US,60,20250317,190000,14.65,14.71,14.34,14.34,5590,0
NPB.US,60,20250317,200000,14.35,14.475,14.35,14.43,4949,0
NPB.US,60,20250317,210000,14.4008,14.67,14.36,14.64,64455,0
NPB.US,60,20250318,150000,14.4,14.45,14.33,14.41,1523,0
NPB.US,60,20250318,160000,14.515,14.63,14.42,14.46,7062,0
NPB.US,60,20250318,170000,14.5,14.77,14.42,14.5,9536,0
NPB.US,60,20250318,180000,14.48,14.51,14.39,14.39,34618,0
NPB.US,60,20250318,190000,14.32,14.42,14.165,14.165,15786,0
NPB.US,60,20250318,200000,14.16,14.46,14.11,14.275,11475,0
NPB.US,60,20250318,210000,14.3,14.46,14.27,14.4,37015,0
NPB.US,60,20250319,150000,14.2,14.37,14.2,14.37,1685,0
NPB.US,60,20250319,160000,14.435,14.435,14.27,14.27,2659,0
NPB.US,60,20250319,170000,14.17,14.205,14.13,14.205,1603,0
NPB.US,60,20250319,180000,14.2,14.2,13.8,13.8,2033,0
NPB.US,60,20250319,190000,13.79,13.9,13.7,13.755,3619,0
NPB.US,60,20250319,200000,13.71,14.15,13.66,14.15,9356,0
NPB.US,60,20250319,210000,14.25,14.46,14.15,14.24,35510,0
NPB.US,60,20250320,150000,14.32,14.51,14.32,14.5,1881,0
NPB.US,60,20250320,160000,14.5,14.665,14.425,14.645,8423,0
NPB.US,60,20250320,170000,14.64,14.64,14.5,14.55,1921,0
NPB.US,60,20250320,180000,14.5,14.54,14.39,14.425,5542,0
NPB.US,60,20250320,190000,14.425,14.825,14.42,14.78,33941,0
NPB.US,60,20250320,200000,14.78,14.79,14.59,14.65,12099,0
NPB.US,60,20250320,210000,14.65,14.69,14.47,14.49,52052,0
NPB.US,60,20250321,150000,14.41,14.57,14.41,14.5,1251,0
NPB.US,60,20250321,160000,14.56,14.56,14.43,14.53,2266,0
NPB.US,60,20250321,170000,14.53,14.64,14.52,14.63,4297,0
NPB.US,60,20250321,180000,14.55,14.65,14.55,14.64,3607,0
NPB.US,60,20250321,190000,14.62,14.62,14.57,14.57,2979,0
NPB.US,60,20250321,200000,14.56,14.63,14.539,14.59,16314,0
NPB.US,60,20250321,210000,14.585,14.66,14.49,14.55,70846,0
NPB.US,60,20250324,150000,14.54,14.54,14.54,14.54,100,0
NPB.US,60,20250324,170000,14.4288,14.46,14.4288,14.46,1452,0
NPB.US,60,20250324,180000,14.48,14.48,14.3701,14.405,1355,0
NPB.US,60,20250324,190000,14.41,14.41,14.4,14.405,700,0
NPB.US,60,20250324,200000,14.4,14.46,14.395,14.46,2992,0
NPB.US,60,20250324,210000,14.41,14.51,14.41,14.46,25883,0
NPB.US,60,20250325,160000,14.57,14.58,14.49,14.525,5065,0
NPB.US,60,20250325,170000,14.525,14.57,14.42,14.49,3888,0
NPB.US,60,20250325,180000,14.53,14.54,14.418,14.54,3100,0
NPB.US,60,20250325,190000,14.54,14.58,14.45,14.54,5783,0
NPB.US,60,20250325,200000,14.53,14.54,14.425,14.425,3062,0
NPB.US,60,20250325,210000,14.3797,14.61,14.3275,14.58,32490,0
NPB.US,60,20250326,150000,14.685,14.685,14.545,14.63,1255,0
NPB.US,60,20250326,160000,14.73,14.73,14.57,14.68,2277,0
NPB.US,60,20250326,170000,14.575,14.575,14.44,14.44,2574,0
NPB.US,60,20250326,180000,14.54,14.61,14.5101,14.61,600,0
NPB.US,60,20250326,190000,14.565,14.57,14.44,14.44,3519,0
NPB.US,60,20250326,200000,14.49,14.52,14.35,14.35,2437,0
NPB.US,60,20250326,210000,14.38,14.4,14.275,14.29,22314,0
NPB.US,60,20250327,160000,14.2246,14.29,14.2246,14.29,286,0
NPB.US,60,20250327,170000,14.21,14.39,14.21,14.39,1634,0
NPB.US,60,20250327,180000,14.47,14.52,14.3101,14.34,3821,0
NPB.US,60,20250327,200000,14.43,14.43,14.43,14.43,200,0
NPB.US,60,20250327,210000,14.47,14.63,14.47,14.57,51941,0
NPB.US,60,20250328,150000,14.54,14.54,14.36,14.39,956,0
NPB.US,60,20250328,160000,14.4,14.49,14.4,14.42,400,0
NPB.US,60,20250328,170000,14.46,14.485,14.46,14.485,400,0
NPB.US,60,20250328,180000,14.54,14.56,14.48,14.53,5327,0
NPB.US,60,20250328,190000,14.44,14.53,14.425,14.53,15761,0
NPB.US,60,20250328,200000,14.54,14.59,14.48,14.5,7632,0
NPB.US,60,20250328,210000,14.43,14.56,14.43,14.55,56568,0
NPB.US,60,20250331,160000,14.495,14.495,14.495,14.495,266,0
NPB.US,60,20250331,170000,14.55,14.55,14.475,14.48,1545,0
NPB.US,60,20250331,180000,14.51,14.58,14.4601,14.53,3767,0
