<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PBFR.US,60,20240624,180000,25.175,25.219,25.175,25.1808,1250,0
PBFR.US,60,20240626,170000,25.1698,25.2,25.1698,25.2,3100,0
PBFR.US,60,20240626,180000,25.21,25.21,25.21,25.21,152,0
PBFR.US,60,20240626,190000,25.2002,25.2002,25.2002,25.2002,3967,0
PBFR.US,60,20240626,210000,25.21,25.22,25.21,25.22,4068,0
PBFR.US,60,20240626,220000,25.22,25.22,25.1772,25.22,355,0
PBFR.US,60,20240627,190000,25.1901,25.24,25.1901,25.24,468,0
PBFR.US,60,20240627,220000,25.23,25.24,25.23,25.24,400,0
PBFR.US,60,20240628,170000,25.2644,25.29,25.2644,25.29,2472,0
PBFR.US,60,20240628,180000,25.2697,25.2697,25.2697,25.2697,200,0
PBFR.US,60,20240628,220000,25.205,25.23,25.205,25.23,400,0
PBFR.US,60,20240701,160000,25.23,25.23,25.23,25.23,500,0
PBFR.US,60,20240701,170000,25.25,25.25,25.2,25.21,2162,0
PBFR.US,60,20240701,180000,25.22,25.23,25.21,25.23,1100,0
PBFR.US,60,20240701,190000,25.23,25.25,25.23,25.25,800,0
PBFR.US,60,20240701,200000,25.22,25.25,25.22,25.25,800,0
PBFR.US,60,20240701,210000,25.24,25.25,25.24,25.25,800,0
PBFR.US,60,20240701,220000,25.25,25.26,25.24,25.25,6239,0
PBFR.US,60,20240702,190000,25.2429,25.27,25.2429,25.2461,6329,0
PBFR.US,60,20240702,200000,25.28,25.28,25.2799,25.2799,950,0
PBFR.US,60,20240702,210000,25.28,25.28,25.269,25.269,1278,0
PBFR.US,60,20240702,220000,25.25,25.25,25.25,25.25,100,0
PBFR.US,60,20240703,170000,25.32,25.32,25.2962,25.2962,200,0
PBFR.US,60,20240705,180000,25.32,25.36,25.32,25.3599,1751,0
PBFR.US,60,20240708,190000,25.3455,25.36,25.3455,25.3515,1100,0
PBFR.US,60,20240708,220000,25.39,25.39,25.38,25.38,4285,0
PBFR.US,60,20240709,170000,25.3999,25.3999,25.3999,25.3999,150,0
PBFR.US,60,20240710,200000,25.44,25.44,25.44,25.44,100,0
PBFR.US,60,20240710,210000,25.44,25.45,25.44,25.45,448,0
PBFR.US,60,20240711,220000,25.44,25.44,25.35,25.35,1142,0
PBFR.US,60,20240715,170000,25.4899,25.49,25.4899,25.49,500,0
PBFR.US,60,20240715,180000,25.475,25.475,25.475,25.475,100,0
PBFR.US,60,20240716,160000,25.5,25.5,25.4999,25.4999,200,0
PBFR.US,60,20240716,170000,25.465,25.465,25.465,25.465,200,0
PBFR.US,60,20240717,200000,25.43,25.43,25.43,25.43,200,0
PBFR.US,60,20240718,210000,25.3693,25.37,25.3542,25.37,11418,0
PBFR.US,60,20240719,180000,25.3547,25.37,25.3547,25.37,4178,0
PBFR.US,60,20240719,200000,25.33,25.33,25.3205,25.3205,472,0
PBFR.US,60,20240719,210000,25.32,25.34,25.32,25.34,420,0
PBFR.US,60,20240719,220000,25.34,25.35,25.331,25.331,7880,0
PBFR.US,60,20240722,160000,25.41,25.41,25.41,25.41,112,0
PBFR.US,60,20240723,210000,25.4183,25.43,25.4183,25.43,650,0
PBFR.US,60,20240723,220000,25.43,25.43,25.42,25.42,1400,0
PBFR.US,60,20240724,170000,25.3,25.3,25.281,25.281,200,0
PBFR.US,60,20240724,190000,25.2669,25.2669,25.2669,25.2669,100,0
PBFR.US,60,20240724,220000,25.25,25.27,25.25,25.25,2288,0
PBFR.US,60,20240725,210000,25.27,25.27,25.24,25.24,887,0
PBFR.US,60,20240725,220000,25.23,25.23,25.23,25.23,800,0
PBFR.US,60,20240726,200000,25.3076,25.3076,25.3076,25.3076,513,0
PBFR.US,60,20240729,170000,25.2892,25.2892,25.2892,25.2892,350,0
PBFR.US,60,20240729,180000,25.2598,25.31,25.2598,25.3099,600,0
PBFR.US,60,20240729,190000,25.32,25.32,25.3199,25.3199,400,0
PBFR.US,60,20240729,200000,25.2994,25.2994,25.2994,25.2994,100,0
PBFR.US,60,20240729,220000,25.33,25.33,25.33,25.33,200,0
PBFR.US,60,20240731,170000,25.34,25.37,25.34,25.3401,6940,0
PBFR.US,60,20240731,180000,25.3808,25.3808,25.3808,25.3808,1579,0
PBFR.US,60,20240731,190000,25.34,25.34,25.34,25.34,200,0
PBFR.US,60,20240731,210000,25.35,25.35,25.35,25.35,100,0
PBFR.US,60,20240731,220000,25.42,25.42,25.42,25.42,200,0
PBFR.US,60,20240801,160000,25.35,25.35,25.35,25.35,2827,0
PBFR.US,60,20240801,190000,25.29,25.29,25.29,25.29,1967,0
PBFR.US,60,20240801,210000,25.2684,25.2684,25.2684,25.2684,100,0
PBFR.US,60,20240805,220000,25.25,25.26,24.7999,24.7999,800,0
PBFR.US,60,20240806,160000,24.9398,24.94,24.9398,24.94,980,0
PBFR.US,60,20240807,170000,24.9899,25.1,24.9899,25.1,200,0
PBFR.US,60,20240807,180000,25.082,25.082,25.0547,25.0547,500,0
PBFR.US,60,20240807,210000,24.91,24.91,24.91,24.91,100,0
PBFR.US,60,20240808,160000,24.94,24.94,24.94,24.94,300,0
PBFR.US,60,20240808,170000,25.0003,25.0003,25.0003,25.0003,500,0
PBFR.US,60,20240808,210000,25.08,25.09,25.08,25.09,491,0
PBFR.US,60,20240812,190000,25.12,25.12,25.12,25.12,100,0
PBFR.US,60,20240814,200000,25.354,25.354,25.354,25.354,150,0
PBFR.US,60,20240815,220000,25.39,25.53,25.39,25.53,600,0
PBFR.US,60,20240816,210000,25.5698,25.57,25.5698,25.57,300,0
PBFR.US,60,20240816,220000,25.56,25.56,25.56,25.56,300,0
PBFR.US,60,20240819,170000,25.57,25.57,25.565,25.565,200,0
PBFR.US,60,20240819,180000,25.6,25.6,25.5999,25.5999,380,0
PBFR.US,60,20240819,190000,25.6096,25.6096,25.6096,25.6096,100,0
PBFR.US,60,20240819,220000,25.6199,25.6199,25.6199,25.6199,100,0
PBFR.US,60,20240820,170000,25.59,25.59,25.59,25.59,100,0
PBFR.US,60,20240820,180000,25.585,25.63,25.585,25.59,300,0
PBFR.US,60,20240820,220000,25.63,25.63,25.63,25.63,500,0
PBFR.US,60,20240821,210000,25.65,25.65,25.65,25.65,440,0
PBFR.US,60,20240821,220000,25.65,25.65,25.65,25.65,100,0
PBFR.US,60,20240823,200000,25.67,25.67,25.67,25.67,100,0
PBFR.US,60,20240826,220000,25.69,25.7,25.67,25.7,6376,0
PBFR.US,60,20240828,210000,25.65,25.65,25.65,25.65,100,0
PBFR.US,60,20240830,220000,25.66,25.76,25.66,25.76,400,0
PBFR.US,60,20240903,210000,25.58,25.58,25.58,25.58,100,0
PBFR.US,60,20240903,220000,25.55,25.55,25.55,25.55,100,0
PBFR.US,60,20240904,210000,25.52,25.52,25.52,25.52,130,0
PBFR.US,60,20240905,190000,25.46,25.46,25.46,25.46,100,0
PBFR.US,60,20240909,200000,25.483,25.49,25.483,25.4899,1892,0
PBFR.US,60,20240910,210000,25.49,25.52,25.49,25.52,200,0
PBFR.US,60,20240911,220000,25.59,25.59,25.58,25.58,200,0
PBFR.US,60,20240912,200000,25.68,25.68,25.68,25.68,2000,0
PBFR.US,60,20240912,210000,25.68,25.69,25.66,25.69,1050,0
PBFR.US,60,20240913,170000,25.7377,25.77,25.7377,25.77,2391,0
PBFR.US,60,20240913,190000,25.76,25.76,25.7352,25.7352,2213,0
PBFR.US,60,20240913,200000,25.78,25.78,25.7546,25.7546,5135,0
PBFR.US,60,20240913,210000,25.75,25.75,25.75,25.75,100,0
PBFR.US,60,20240913,220000,25.75,25.75,25.75,25.75,200,0
PBFR.US,60,20240916,180000,25.7499,25.7499,25.715,25.7265,1100,0
PBFR.US,60,20240916,200000,25.78,25.78,25.78,25.78,289,0
PBFR.US,60,20240916,220000,25.79,25.79,25.79,25.79,800,0
PBFR.US,60,20240917,170000,25.83,25.83,25.83,25.83,605,0
PBFR.US,60,20240917,180000,25.81,25.81,25.81,25.81,250,0
PBFR.US,60,20240917,220000,25.77,25.79,25.77,25.78,2700,0
PBFR.US,60,20240918,160000,25.8,25.8,25.8,25.8,2800,0
PBFR.US,60,20240918,170000,25.745,25.745,25.745,25.745,100,0
PBFR.US,60,20240918,210000,25.8,25.84,25.8,25.82,1962,0
PBFR.US,60,20240918,220000,25.8,25.84,25.78,25.8,2400,0
PBFR.US,60,20240919,180000,25.8999,25.8999,25.8999,25.8999,193,0
PBFR.US,60,20240919,190000,25.88,25.88,25.88,25.88,400,0
PBFR.US,60,20240919,200000,25.84,25.9199,25.84,25.9199,220,0
PBFR.US,60,20240920,170000,25.9,25.9,25.9,25.9,730,0
PBFR.US,60,20240920,190000,25.91,25.91,25.868,25.868,300,0
PBFR.US,60,20240923,170000,25.93,25.93,25.9299,25.9299,400,0
PBFR.US,60,20240923,190000,25.89,25.89,25.89,25.89,100,0
PBFR.US,60,20240923,200000,25.93,25.93,25.898,25.898,200,0
PBFR.US,60,20240923,220000,25.94,25.94,25.94,25.94,200,0
PBFR.US,60,20240924,190000,25.95,25.95,25.9281,25.9281,200,0
PBFR.US,60,20240924,200000,25.92,25.95,25.92,25.95,200,0
PBFR.US,60,20240924,210000,25.95,25.95,25.95,25.95,515,0
PBFR.US,60,20240924,220000,25.95,25.95,25.95,25.95,300,0
PBFR.US,60,20240925,160000,25.945,25.945,25.945,25.945,1148,0
PBFR.US,60,20240925,180000,25.97,25.97,25.93,25.93,894,0
PBFR.US,60,20240925,190000,25.925,25.96,25.925,25.9599,800,0
PBFR.US,60,20240925,200000,25.95,25.95,25.9499,25.9499,800,0
PBFR.US,60,20240925,220000,25.95,25.95,25.94,25.94,900,0
PBFR.US,60,20240926,160000,25.99,25.99,25.9899,25.9899,200,0
PBFR.US,60,20240927,190000,25.955,25.955,25.955,25.955,250,0
PBFR.US,60,20240930,180000,25.9346,25.9346,25.9346,25.9346,192,0
PBFR.US,60,20240930,190000,25.98,25.98,25.9544,25.9544,360,0
PBFR.US,60,20240930,200000,25.92,25.92,25.92,25.92,385,0
PBFR.US,60,20240930,210000,25.97,25.97,25.93,25.96,2636,0
PBFR.US,60,20241001,170000,25.9467,25.95,25.89,25.89,4134,0
PBFR.US,60,20241001,210000,25.95,25.98,25.95,25.96,7907,0
PBFR.US,60,20241002,220000,25.95,25.95,25.9199,25.9199,32674,0
PBFR.US,60,20241003,160000,25.9,25.9,25.9,25.9,1170,0
PBFR.US,60,20241003,220000,25.89,25.91,25.89,25.91,800,0
PBFR.US,60,20241004,210000,25.95,25.96,25.95,25.96,388,0
PBFR.US,60,20241004,220000,25.96,25.98,25.96,25.97,3000,0
PBFR.US,60,20241007,200000,25.9101,25.9101,25.9101,25.9101,390,0
PBFR.US,60,20241007,210000,25.86,25.86,25.86,25.86,200,0
PBFR.US,60,20241008,180000,25.93,25.93,25.93,25.93,350,0
PBFR.US,60,20241010,220000,25.99,26.0204,25.9725,26.0204,7248,0
PBFR.US,60,20241011,170000,26.09,26.09,26.0899,26.0899,500,0
PBFR.US,60,20241011,220000,26.0872,26.1,26.0872,26.1,1900,0
PBFR.US,60,20241014,190000,26.14,26.14,26.14,26.14,100,0
PBFR.US,60,20241014,200000,26.095,26.095,26.095,26.095,250,0
PBFR.US,60,20241016,220000,26.14,26.15,26.0986,26.13,3462,0
PBFR.US,60,20241017,180000,26.1157,26.1157,26.1157,26.1157,140,0
PBFR.US,60,20241017,200000,26.16,26.16,26.16,26.16,108,0
PBFR.US,60,20241017,210000,26.15,26.15,26.15,26.15,643,0
PBFR.US,60,20241018,160000,26.165,26.165,26.165,26.165,120,0
PBFR.US,60,20241018,170000,26.19,26.19,26.1899,26.1899,240,0
PBFR.US,60,20241018,180000,26.177,26.177,26.177,26.177,200,0
PBFR.US,60,20241018,190000,26.2,26.2,26.175,26.175,3600,0
PBFR.US,60,20241018,220000,26.21,26.22,26.1793,26.2,8091,0
PBFR.US,60,20241021,180000,26.13,26.13,26.13,26.13,3800,0
PBFR.US,60,20241021,200000,26.135,26.17,26.135,26.1595,2370,0
PBFR.US,60,20241021,210000,26.17,26.17,26.16,26.16,670,0
PBFR.US,60,20241022,220000,26.18,26.19,26.18,26.19,300,0
PBFR.US,60,20241023,180000,26.13,26.13,26.1299,26.1299,840,0
PBFR.US,60,20241023,210000,26.1,26.11,26.1,26.11,358,0
PBFR.US,60,20241024,160000,26.1074,26.1074,26.1074,26.1074,1562,0
PBFR.US,60,20241028,210000,26.19,26.19,26.19,26.19,100,0
PBFR.US,60,20241029,150000,26.61,26.61,26.12,26.12,825,0
PBFR.US,60,20241030,200000,26.18,26.18,26.16,26.1799,600,0
PBFR.US,60,20241031,150000,26.151,26.151,26.13,26.13,584,0
PBFR.US,60,20241031,200000,26.12,26.12,26.12,26.12,500,0
PBFR.US,60,20241031,210000,26.12,26.12,26.12,26.12,200,0
PBFR.US,60,20241101,170000,26.0762,26.0762,26.0762,26.0762,100,0
PBFR.US,60,20241101,180000,26.09,26.09,26.09,26.09,200,0
PBFR.US,60,20241101,190000,26.08,26.08,26.08,26.08,425,0
PBFR.US,60,20241104,160000,26.06,26.06,26.06,26.06,127,0
PBFR.US,60,20241105,220000,26.1291,26.1291,26.1291,26.1291,810,0
PBFR.US,60,20241106,160000,26.2,26.2,26.2,26.2,200,0
PBFR.US,60,20241106,190000,26.25,26.25,26.24,26.24,6276,0
PBFR.US,60,20241107,160000,26.37,26.38,26.37,26.38,2204,0
PBFR.US,60,20241107,190000,26.4,26.4,26.4,26.4,110,0
PBFR.US,60,20241111,170000,26.34,26.4493,26.34,26.4493,4252,0
PBFR.US,60,20241112,220000,26.42,26.42,26.4,26.42,805,0
PBFR.US,60,20241113,210000,26.4171,26.43,26.4171,26.42,1440,0
PBFR.US,60,20241114,160000,26.4,26.4,26.4,26.4,1179,0
PBFR.US,60,20241114,170000,26.42,26.42,26.42,26.42,100,0
PBFR.US,60,20241114,190000,26.4,26.405,26.39,26.4,20599,0
PBFR.US,60,20241114,200000,26.4,26.4,26.4,26.4,1700,0
PBFR.US,60,20241114,220000,26.4,26.4,26.4,26.4,300,0
PBFR.US,60,20241115,160000,26.4,26.4,26.4,26.4,428,0
PBFR.US,60,20241115,170000,26.37,26.37,26.37,26.37,137,0
PBFR.US,60,20241118,160000,26.33,26.33,26.33,26.33,7677,0
PBFR.US,60,20241118,180000,26.38,26.4,26.38,26.4,7775,0
PBFR.US,60,20241118,190000,26.3527,26.3527,26.3527,26.3527,1420,0
PBFR.US,60,20241118,200000,26.39,26.39,26.39,26.39,125,0
