<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLGI.US,60,20251211,190000,25.325,25.435,25.3099,25.435,3600,0
PLGI.US,60,20251211,200000,25.32,25.32,25.32,25.32,8300,0
PLGI.US,60,20251212,220000,25.16,25.17,25.16,25.16,10100,0
PLGI.US,60,20251215,180000,25.04,25.07,25.0196,25.07,21852,0
PLGI.US,60,20251215,210000,25.05,25.05,25.05,25.05,841,0
PLGI.US,60,20251216,160000,25.129,25.129,25.129,25.129,100,0
PLGI.US,60,20251216,170000,25.0726,25.0726,24.98,24.98,2424,0
PLGI.US,60,20251216,180000,25.0712,25.0712,25.0712,25.0712,300,0
PLGI.US,60,20251216,200000,25.037,25.037,25.037,25.037,400,0
PLGI.US,60,20251216,210000,25.01,25.03,25.01,25.02,300,0
PLGI.US,60,20251217,160000,25.18,25.18,25.18,25.18,100,0
PLGI.US,60,20251217,180000,24.99,25.205,24.96,25.01,48370,0
PLGI.US,60,20251217,190000,24.99,24.99,24.99,24.99,100,0
PLGI.US,60,20251217,200000,24.96,24.96,24.93,24.93,300,0
PLGI.US,60,20251217,210000,24.93,24.93,24.93,24.93,400,0
PLGI.US,60,20251217,220000,24.91,24.91,24.87,24.88,2714,0
PLGI.US,60,20251218,160000,25.02,25.02,25.02,25.02,104004,0
PLGI.US,60,20251218,170000,24.97,24.97,24.97,24.97,200,0
PLGI.US,60,20251218,180000,25.04,25.04,25.04,25.04,343180,0
PLGI.US,60,20251218,200000,24.95,24.96,24.95,24.96,249270,0
PLGI.US,60,20251218,210000,24.91,24.91,24.91,24.91,200,0
PLGI.US,60,20251219,160000,25.1,25.1,25.1,25.1,298027,0
PLGI.US,60,20251219,170000,25.11,25.145,25.08,25.1,4185,0
PLGI.US,60,20251219,180000,25.17,25.19,25.17,25.17,18800,0
PLGI.US,60,20251219,190000,25.17,25.17,25.17,25.17,100,0
PLGI.US,60,20251219,200000,25.16,25.16,25.16,25.16,200,0
PLGI.US,60,20251219,210000,25.14,25.14,25.14,25.14,213,0
PLGI.US,60,20251219,220000,25.16,25.2199,25.1,25.16,12835,0
PLGI.US,60,20251222,160000,25.1704,25.21,25.1704,25.21,224441,0
PLGI.US,60,20251222,170000,25.17,25.17,25.15,25.15,3869,0
PLGI.US,60,20251222,180000,25.26,25.26,25.26,25.26,41751,0
PLGI.US,60,20251222,200000,25.2,25.2999,25.19,25.21,69796,0
PLGI.US,60,20251222,220000,25.17,25.17,25.13,25.13,3300,0
PLGI.US,60,20251223,170000,25.1001,25.1001,25.1001,25.1001,286,0
PLGI.US,60,20251223,180000,25.16,25.16,25.16,25.16,1782,0
PLGI.US,60,20251223,190000,25.17,25.18,25.17,25.18,400,0
PLGI.US,60,20251223,200000,25.2,25.2,25.19,25.2,2700,0
PLGI.US,60,20251224,180000,25.29,25.315,25.29,25.295,1964,0
PLGI.US,60,20251224,190000,25.29,25.3,25.29,25.3,8060,0
PLGI.US,60,20251226,180000,25.23,25.23,25.23,25.23,200,0
PLGI.US,60,20251226,190000,25.26,25.29,25.26,25.29,7491,0
