<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RSMR.US,60,20250325,150000,20.3,20.36,20.3,20.3,1836,0
RSMR.US,60,20250325,170000,20.32,20.32,20.32,20.32,400,0
RSMR.US,60,20250325,180000,20.3,20.3,20.3,20.3,200,0
RSMR.US,60,20250325,190000,20.31,20.329,20.265,20.265,61862,0
RSMR.US,60,20250325,200000,20.2982,20.3,20.28,20.3,10100,0
RSMR.US,60,20250325,210000,20.3,20.3,20.29,20.29,4600,0
RSMR.US,60,20250326,160000,20.28,20.28,20.28,20.28,300,0
RSMR.US,60,20250326,170000,20.27,20.28,20.245,20.245,2800,0
RSMR.US,60,20250326,180000,20.22,20.2699,20.22,20.2699,764,0
RSMR.US,60,20250326,190000,20.27,20.27,20.2699,20.2699,5000,0
RSMR.US,60,20250326,200000,20.2501,20.26,20.2224,20.2224,3372,0
RSMR.US,60,20250327,170000,20.26,20.26,20.26,20.26,300,0
RSMR.US,60,20250327,190000,20.22,20.22,20.22,20.22,100,0
RSMR.US,60,20250327,200000,20.26,20.26,20.235,20.2444,1566,0
RSMR.US,60,20250327,210000,20.285,20.285,20.23,20.23,2500,0
RSMR.US,60,20250328,160000,20.17,20.17,20.1,20.1,3049,0
RSMR.US,60,20250328,170000,20.095,20.1,20.095,20.095,2789,0
RSMR.US,60,20250328,180000,20.08,20.085,20.08,20.08,500,0
RSMR.US,60,20250328,190000,20.06,20.06,20.0599,20.0599,1000,0
RSMR.US,60,20250328,200000,20.07,20.07,20.0519,20.06,24505,0
RSMR.US,60,20250328,210000,20.06,20.07,20.0573,20.06,4600,0
RSMR.US,60,20250331,170000,20.01,20.01,20.01,20.01,100,0
RSMR.US,60,20250331,190000,20.035,20.035,20.035,20.035,100,0
RSMR.US,60,20250331,220000,20.14,20.18,20.14,20.18,1740,0
RSMR.US,60,20250401,170000,20.06,20.14,20.06,20.14,2950,0
RSMR.US,60,20250401,190000,20.17,20.17,20.16,20.16,400,0
RSMR.US,60,20250401,200000,20.14,20.14,20.14,20.14,100,0
RSMR.US,60,20250401,220000,20.15,20.18,20.125,20.15,5532,0
RSMR.US,60,20250402,190000,20.25,20.26,20.225,20.26,2276,0
RSMR.US,60,20250402,200000,20.31,20.31,20.26,20.26,1446,0
RSMR.US,60,20250402,220000,20.25,20.3,20.215,20.3,159007,0
RSMR.US,60,20250403,200000,19.74,19.74,19.74,19.74,8729,0
RSMR.US,60,20250403,210000,19.75,19.8,19.75,19.79,2356,0
RSMR.US,60,20250403,220000,19.76,19.76,19.69,19.69,1700,0
RSMR.US,60,20250404,170000,19.04,19.04,19.04,19.04,100,0
RSMR.US,60,20250404,180000,19.13,19.13,19.13,19.13,300,0
RSMR.US,60,20250404,220000,19.04,19.04,18.9,18.9,11740,0
RSMR.US,60,20250408,160000,18.33,19.03,18.33,19.03,1143,0
RSMR.US,60,20250408,170000,19.06,19.17,19.06,19.12,1162,0
RSMR.US,60,20250408,190000,18.96,18.96,18.9,18.9,200,0
RSMR.US,60,20250408,200000,18.68,18.71,18.65,18.71,3800,0
RSMR.US,60,20250408,210000,18.72,18.72,18.62,18.62,300,0
RSMR.US,60,20250408,220000,18.56,18.56,18.4785,18.4785,4149,0
RSMR.US,60,20250409,170000,18.47,18.47,18.47,18.47,200,0
RSMR.US,60,20250409,180000,18.4,18.4242,18.38,18.38,9839,0
RSMR.US,60,20250409,190000,18.47,18.47,18.47,18.47,100,0
