<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SCOW.US,60,20250829,180000,20.08,20.08,20.0799,20.0799,200,0
SCOW.US,60,20250903,160000,19.98,19.9886,19.9326,19.9326,10000,0
SCOW.US,60,20250903,170000,19.97,20,19.9599,19.9599,15000,0
SCOW.US,60,20250904,180000,19.92,20.08,19.92,20.08,400,0
SCOW.US,60,20250904,190000,20.073,20.073,20.073,20.073,150,0
SCOW.US,60,20250904,220000,20.17,20.17,20.17,20.17,180,0
SCOW.US,60,20250905,170000,20.29,20.29,20.21,20.21,200,0
SCOW.US,60,20250908,180000,20.27,20.27,20.27,20.27,233,0
SCOW.US,60,20250908,210000,20.32,20.32,20.32,20.32,4600,0
SCOW.US,60,20250909,160000,20.19,20.19,20.16,20.16,300,0
SCOW.US,60,20250909,170000,20.171,20.171,20.13,20.13,515,0
SCOW.US,60,20250909,180000,20.13,20.13,20.13,20.13,593,0
SCOW.US,60,20250909,200000,20.09,20.09,20.09,20.09,100,0
SCOW.US,60,20250909,220000,20.16,20.16,20.16,20.16,200,0
SCOW.US,60,20250910,180000,20.02,20.06,20.02,20.0485,2200,0
SCOW.US,60,20250910,190000,20.05,20.05,20.03,20.0428,3365,0
SCOW.US,60,20250910,220000,19.94,19.94,19.94,19.94,110,0
SCOW.US,60,20250911,200000,20.4272,20.4272,20.4272,20.4272,200,0
SCOW.US,60,20250911,210000,20.44,20.44,20.44,20.44,100,0
SCOW.US,60,20250911,220000,20.4532,20.46,20.4532,20.4599,300,0
SCOW.US,60,20250912,180000,20.3,20.3,20.2374,20.25,698,0
SCOW.US,60,20250912,190000,20.24,20.24,20.24,20.24,100,0
SCOW.US,60,20250912,220000,20.25,20.25,20.21,20.21,624,0
SCOW.US,60,20250915,160000,20.21,20.21,20.21,20.21,173,0
SCOW.US,60,20250915,170000,20.21,20.21,20.21,20.21,494,0
SCOW.US,60,20250915,190000,20.15,20.16,20.15,20.16,667,0
