<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SNTH.US,60,20250317,170000,24.83,24.83,24.83,24.83,100,0
SNTH.US,60,20250317,190000,24.88,24.88,24.88,24.88,500,0
SNTH.US,60,20250317,200000,25.1,25.17,25.1,25.16,13274,0
SNTH.US,60,20250317,210000,25.175,25.175,25.03,25.03,3500,0
SNTH.US,60,20250318,170000,24.62,24.62,24.62,24.62,500,0
SNTH.US,60,20250318,180000,24.69,24.69,24.69,24.69,488,0
SNTH.US,60,20250318,200000,24.69,24.69,24.69,24.69,488,0
SNTH.US,60,20250318,210000,24.656,24.656,24.656,24.656,107,0
SNTH.US,60,20250319,170000,24.85,24.85,24.85,24.85,130,0
SNTH.US,60,20250319,180000,24.9,24.9,24.85,24.85,700,0
SNTH.US,60,20250319,190000,24.78,24.78,24.78,24.78,1000,0
SNTH.US,60,20250319,210000,24.98,24.98,24.98,24.98,500,0
SNTH.US,60,20250320,170000,25.05,25.08,25.05,25.08,710,0
SNTH.US,60,20250320,180000,24.98,24.98,24.98,24.98,560,0
SNTH.US,60,20250320,200000,24.8499,24.8499,24.755,24.7999,1380,0
SNTH.US,60,20250320,210000,24.8399,24.8899,24.82,24.8799,2085,0
SNTH.US,60,20250321,170000,24.65,24.65,24.65,24.65,900,0
SNTH.US,60,20250321,180000,24.68,24.68,24.68,24.68,500,0
SNTH.US,60,20250321,190000,24.9,24.9,24.9,24.9,100,0
SNTH.US,60,20250321,200000,24.72,24.75,24.71,24.73,2200,0
SNTH.US,60,20250321,210000,24.71,24.71,24.71,24.71,100,0
SNTH.US,60,20250324,180000,25.265,25.265,25.265,25.265,104,0
SNTH.US,60,20250324,210000,25.37,25.37,25.35,25.35,600,0
SNTH.US,60,20250325,170000,25.39,25.39,25.35,25.35,31505,0
SNTH.US,60,20250325,200000,25.32,25.32,25.32,25.32,841,0
SNTH.US,60,20250325,210000,25.3,25.3,25.3,25.3,500,0
SNTH.US,60,20250326,150000,25.35,25.35,25.35,25.35,500,0
SNTH.US,60,20250326,180000,25.12,25.12,25.12,25.12,500,0
SNTH.US,60,20250326,190000,25.1199,25.1199,24.98,25.0489,3275,0
SNTH.US,60,20250326,200000,25.0135,25.07,24.98,24.9899,4360,0
SNTH.US,60,20250326,210000,24.98,25.04,24.97,25.04,4930,0
SNTH.US,60,20250327,150000,24.92,24.92,24.92,24.92,100,0
SNTH.US,60,20250327,160000,25.02,25.03,25.02,25.03,3400,0
SNTH.US,60,20250327,180000,25.04,25.04,25.04,25.04,1000,0
SNTH.US,60,20250327,200000,24.97,25.02,24.95,24.95,3000,0
SNTH.US,60,20250327,210000,25.06,25.06,24.95,24.95,1400,0
SNTH.US,60,20250328,160000,24.56,24.56,24.43,24.43,236,0
SNTH.US,60,20250328,170000,24.44,24.48,24.44,24.48,500,0
SNTH.US,60,20250328,180000,24.3501,24.3501,24.3501,24.3501,180,0
SNTH.US,60,20250331,190000,24.2,24.28,24.2,24.28,1600,0
SNTH.US,60,20250331,200000,24.27,24.27,24.27,24.27,100,0
SNTH.US,60,20250331,210000,24.34,24.34,24.34,24.34,260,0
SNTH.US,60,20250331,220000,24.57,24.57,24.57,24.57,500,0
SNTH.US,60,20250401,160000,24.46,24.46,24.46,24.46,500,0
SNTH.US,60,20250401,180000,24.57,24.63,24.57,24.63,742,0
SNTH.US,60,20250401,190000,24.585,24.585,24.585,24.585,560,0
SNTH.US,60,20250401,220000,24.62,24.62,24.62,24.62,600,0
SNTH.US,60,20250402,170000,24.65,24.65,24.62,24.62,800,0
SNTH.US,60,20250402,180000,24.75,24.75,24.59,24.65,1552,0
SNTH.US,60,20250402,190000,24.78,24.79,24.78,24.78,400,0
SNTH.US,60,20250402,200000,24.79,24.79,24.78,24.79,5589,0
SNTH.US,60,20250402,210000,24.73,24.75,24.66,24.66,591,0
SNTH.US,60,20250402,220000,24.83,24.85,24.83,24.85,668,0
SNTH.US,60,20250403,200000,23.92,23.92,23.9,23.91,2750,0
SNTH.US,60,20250403,220000,23.7999,23.86,23.75,23.75,926,0
SNTH.US,60,20250404,160000,23.27,23.27,23.27,23.27,150,0
SNTH.US,60,20250404,170000,23.27,23.29,23.15,23.18,22131,0
SNTH.US,60,20250404,180000,23.25,23.25,23.25,23.25,250,0
SNTH.US,60,20250404,210000,23.12,24.18,22.015,23.35,106357,0
SNTH.US,60,20250404,220000,22.88,23.1899,22.88,23.01,1146,0
