<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TBBB.US,60,20240411,160000,20.6,20.8199,20.36,20.5,16624,0
TBBB.US,60,20240411,170000,20.5,20.6,20.49,20.55,10942,0
TBBB.US,60,20240411,180000,20.5204,20.565,20.46,20.55,27643,0
TBBB.US,60,20240411,190000,20.53,20.57,20.48,20.56,36454,0
TBBB.US,60,20240411,200000,20.56,20.675,20.51,20.56,30114,0
TBBB.US,60,20240411,210000,20.56,20.595,20.51,20.55,60155,0
TBBB.US,60,20240411,220000,20.545,20.57,20.45,20.5,142730,0
TBBB.US,60,20240412,160000,20.39,20.8,20.27,20.4,71663,0
TBBB.US,60,20240412,170000,20.4,20.51,20.2339,20.4,56068,0
TBBB.US,60,20240412,180000,20.378,20.41,20.15,20.28,36029,0
TBBB.US,60,20240412,190000,20.31,20.31,19.95,20.09,42673,0
TBBB.US,60,20240412,200000,20.08,20.16,19.92,20.06,146813,0
TBBB.US,60,20240412,210000,20.01,20.06,19.87,19.965,53130,0
TBBB.US,60,20240412,220000,19.965,20.16,19.95,20.04,155100,0
TBBB.US,60,20240415,160000,20.01,20.3429,19.94,20.03,28520,0
TBBB.US,60,20240415,170000,19.97,20.01,19.87,19.93,46696,0
TBBB.US,60,20240415,180000,19.92,20.01,19.91,19.99,18920,0
TBBB.US,60,20240415,190000,19.99,20.05,19.96,20.015,17573,0
TBBB.US,60,20240415,200000,20.04,20.05,19.99,20.005,27084,0
TBBB.US,60,20240415,210000,20.01,20.05,20.01,20.015,13027,0
TBBB.US,60,20240415,220000,20,20.04,19.97,20,79343,0
TBBB.US,60,20240416,160000,19.85,19.85,19.31,19.311,29438,0
TBBB.US,60,20240416,170000,19.38,19.58,19.35,19.5,49092,0
TBBB.US,60,20240416,180000,19.485,19.51,19.44,19.49,17785,0
TBBB.US,60,20240416,190000,19.49,19.83,19.49,19.72,43211,0
TBBB.US,60,20240416,200000,19.72,19.75,19.61,19.7,20097,0
TBBB.US,60,20240416,210000,19.725,19.88,19.68,19.88,30942,0
TBBB.US,60,20240416,220000,19.87,19.9,19.44,19.46,109220,0
TBBB.US,60,20240417,160000,19.52,19.73,19.46,19.61,22367,0
TBBB.US,60,20240417,170000,19.65,19.67,19.565,19.59,47000,0
TBBB.US,60,20240417,180000,19.6,19.635,19.55,19.6,105281,0
TBBB.US,60,20240417,190000,19.62,19.74,19.585,19.72,87516,0
TBBB.US,60,20240417,200000,19.715,19.83,19.7,19.76,110448,0
TBBB.US,60,20240417,210000,19.76,19.86,19.68,19.82,76459,0
TBBB.US,60,20240417,220000,19.82,20.06,19.77,20.05,156416,0
TBBB.US,60,20240418,160000,20.17,20.17,19.88,19.975,36299,0
TBBB.US,60,20240418,170000,19.975,20.07,19.97,19.98,11675,0
TBBB.US,60,20240418,180000,19.98,20,19.84,19.875,20216,0
TBBB.US,60,20240418,190000,19.875,19.95,19.84,19.88,20175,0
TBBB.US,60,20240418,200000,19.85,19.91,19.82,19.88,171526,0
TBBB.US,60,20240418,210000,19.88,19.96,19.75,19.775,84122,0
TBBB.US,60,20240418,220000,19.75,19.83,19.75,19.8,110722,0
TBBB.US,60,20240419,160000,19.89,20.29,19.86,20.16,14609,0
TBBB.US,60,20240419,170000,20.16,20.2683,19.9,19.995,40129,0
TBBB.US,60,20240419,180000,19.995,20.075,19.955,19.985,55625,0
TBBB.US,60,20240419,190000,19.97,19.99,19.81,19.92,103754,0
TBBB.US,60,20240419,200000,19.89,19.99,19.84,19.955,35043,0
TBBB.US,60,20240419,210000,19.945,20.03,19.92,20,31623,0
TBBB.US,60,20240419,220000,20.005,20.01,19.81,19.9,76797,0
TBBB.US,60,20240422,160000,19.9,20.11,19.67,20.095,106808,0
TBBB.US,60,20240422,170000,20.095,20.24,20.05,20.24,34147,0
TBBB.US,60,20240422,180000,20.24,20.38,20.06,20.1,44497,0
TBBB.US,60,20240422,190000,20.07,20.16,20.05,20.1,26011,0
TBBB.US,60,20240422,200000,20.06,20.3,20.06,20.1,46670,0
TBBB.US,60,20240422,210000,20.1,20.1,19.9606,20.045,178834,0
TBBB.US,60,20240422,220000,20.045,20.32,20.045,20.24,84808,0
TBBB.US,60,20240423,160000,20.36,20.4799,20,20.225,2512,0
TBBB.US,60,20240423,170000,20.335,20.345,20.105,20.1635,6142,0
TBBB.US,60,20240423,180000,20.195,20.22,19.925,19.97,120007,0
TBBB.US,60,20240423,190000,19.97,20,19.875,19.91,21784,0
TBBB.US,60,20240423,200000,19.91,20.025,19.91,19.945,22772,0
TBBB.US,60,20240423,210000,19.945,20,19.925,19.96,30517,0
TBBB.US,60,20240423,220000,19.96,20.12,19.95,20.05,106946,0
TBBB.US,60,20240424,160000,20.15,20.5,20,20.28,17726,0
TBBB.US,60,20240424,170000,20.315,20.35,20.14,20.14,16745,0
TBBB.US,60,20240424,180000,20.165,20.3,20.1401,20.26,25850,0
TBBB.US,60,20240424,190000,20.26,20.34,20.19,20.28,16592,0
TBBB.US,60,20240424,200000,20.315,20.545,20.28,20.535,25723,0
TBBB.US,60,20240424,210000,20.52,20.52,20.39,20.4825,28924,0
TBBB.US,60,20240424,220000,20.485,20.73,20.41,20.6,259260,0
TBBB.US,60,20240425,160000,20.13,20.42,20.13,20.21,17275,0
TBBB.US,60,20240425,170000,20.21,20.32,20,20,47738,0
TBBB.US,60,20240425,180000,20.07,20.15,19.985,20.07,49019,0
TBBB.US,60,20240425,190000,20.05,20.195,20.0101,20.18,24741,0
TBBB.US,60,20240425,200000,20.15,20.22,20.11,20.19,14419,0
TBBB.US,60,20240425,210000,20.18,20.33,20.18,20.27,30882,0
TBBB.US,60,20240425,220000,20.27,20.63,20.27,20.6,153569,0
TBBB.US,60,20240426,160000,20.42,22.09,20.32,21.885,46554,0
TBBB.US,60,20240426,170000,21.84,22.29,21.815,22.28,185624,0
TBBB.US,60,20240426,180000,22.285,22.3,21.8201,22.18,226345,0
TBBB.US,60,20240426,190000,22.205,23.65,22.17,23.5793,80931,0
TBBB.US,60,20240426,200000,23.595,23.75,22.9502,23,140975,0
TBBB.US,60,20240426,210000,22.99,23.83,22.88,23.55,176433,0
TBBB.US,60,20240426,220000,23.55,23.64,22.94,23.11,352833,0
TBBB.US,60,20240429,160000,23.25,23.6899,23.165,23.23,23923,0
TBBB.US,60,20240429,170000,23.225,23.65,23.19,23.5,35525,0
TBBB.US,60,20240429,180000,23.46,23.4924,23.075,23.19,53752,0
TBBB.US,60,20240429,190000,23.15,23.22,23.05,23.095,28823,0
TBBB.US,60,20240429,200000,23.11,23.43,23.11,23.43,46646,0
TBBB.US,60,20240429,210000,23.43,23.5,23.21,23.31,32911,0
TBBB.US,60,20240429,220000,23.29,23.29,23.13,23.2,91457,0
TBBB.US,60,20240430,160000,22.8653,23.48,22.8653,23.15,31342,0
TBBB.US,60,20240430,170000,23.219,23.3216,23.03,23.19,17465,0
TBBB.US,60,20240430,180000,23.24,23.31,23,23.08,101795,0
TBBB.US,60,20240430,190000,23.1,23.13,23,23.025,40848,0
TBBB.US,60,20240430,200000,23.0208,23.07,22.84,22.91,84118,0
TBBB.US,60,20240430,210000,22.92,23.28,22.84,23.14,93440,0
TBBB.US,60,20240430,220000,23.155,23.23,22.95,22.95,262827,0
TBBB.US,60,20240501,160000,22.93,23,22.73,22.74,14435,0
