<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
THIR.US,60,20240926,170000,25.15,25.15,25.15,25.15,100,0
THIR.US,60,20240926,180000,25.14,25.14,25.14,25.14,100,0
THIR.US,60,20240926,200000,25.19,25.19,25.19,25.19,100,0
THIR.US,60,20240927,190000,25.18,25.18,25.18,25.18,401,0
THIR.US,60,20240930,200000,25.15,25.15,25.0904,25.0904,3877,0
THIR.US,60,20241001,170000,25,25,24.96,24.96,200,0
THIR.US,60,20241002,220000,25.02,25.02,25.02,25.02,462,0
THIR.US,60,20241003,180000,24.93,24.93,24.93,24.93,255,0
THIR.US,60,20241003,210000,24.94,24.94,24.94,24.94,1100,0
THIR.US,60,20241004,170000,25.04,25.04,25.01,25.0101,1999,0
THIR.US,60,20241004,210000,25.09,25.12,25.09,25.12,655,0
THIR.US,60,20241008,180000,25.1099,25.1099,25.1099,25.1099,301,0
THIR.US,60,20241008,200000,25.05,25.05,25.05,25.05,96519,0
THIR.US,60,20241008,220000,25.1932,25.1932,25.1932,25.1932,198,0
THIR.US,60,20241009,210000,25.37,25.39,25.34,25.37,2825,0
THIR.US,60,20241010,220000,25.4,25.41,25.35,25.35,2733,0
THIR.US,60,20241011,210000,25.5,25.5,25.5,25.5,986,0
THIR.US,60,20241014,200000,25.61,25.61,25.61,25.61,145,0
THIR.US,60,20241014,210000,25.62,25.63,25.62,25.63,114697,0
THIR.US,60,20241014,220000,25.63,25.63,25.63,25.63,1100,0
THIR.US,60,20241015,160000,25.55,25.55,25.55,25.55,100,0
THIR.US,60,20241015,170000,25.58,25.58,25.58,25.58,2617,0
THIR.US,60,20241015,190000,25.5,25.5,25.5,25.5,1100,0
THIR.US,60,20241015,200000,25.43,25.43,25.43,25.43,14866,0
THIR.US,60,20241015,210000,25.405,25.43,25.405,25.43,571,0
THIR.US,60,20241015,220000,25.33,25.33,25.33,25.33,1269,0
THIR.US,60,20241016,160000,25.37,25.37,25.37,25.37,100,0
THIR.US,60,20241016,220000,25.4733,25.4733,25.4733,25.4733,152,0
THIR.US,60,20241017,180000,25.57,25.5701,25.57,25.5701,2418,0
THIR.US,60,20241017,200000,25.61,25.61,25.61,25.61,100,0
THIR.US,60,20241017,210000,25.52,25.52,25.52,25.52,1100,0
THIR.US,60,20241017,220000,25.55,25.56,25.55,25.56,39210,0
THIR.US,60,20241018,160000,25.54,25.54,25.54,25.54,200,0
THIR.US,60,20241018,190000,25.61,25.61,25.61,25.61,1100,0
THIR.US,60,20241018,220000,25.62,25.62,25.61,25.61,86595,0
THIR.US,60,20241021,160000,25.45,25.63,25.45,25.63,618,0
THIR.US,60,20241021,220000,25.53,25.53,25.53,25.53,2027,0
THIR.US,60,20241022,190000,25.505,25.505,25.505,25.505,196,0
THIR.US,60,20241022,220000,25.56,25.56,25.55,25.55,30083,0
THIR.US,60,20241023,190000,25.32,25.32,25.32,25.32,1100,0
THIR.US,60,20241023,210000,25.1101,25.13,25.1101,25.13,10431,0
THIR.US,60,20241023,220000,25.22,25.27,25.22,25.27,1617,0
THIR.US,60,20241024,160000,25.32,25.32,25.32,25.32,400,0
THIR.US,60,20241024,170000,25.2843,25.2843,25.2843,25.2843,471,0
THIR.US,60,20241024,190000,25.245,25.245,25.23,25.23,5361,0
THIR.US,60,20241024,220000,25.27,25.35,25.27,25.35,35390,0
THIR.US,60,20241025,180000,25.49,25.4901,25.49,25.4901,360,0
THIR.US,60,20241025,210000,25.29,25.3,25.29,25.3,1025,0
THIR.US,60,20241028,150000,25.44,25.44,25.44,25.44,100,0
THIR.US,60,20241028,170000,25.4255,25.4255,25.41,25.41,1771,0
THIR.US,60,20241028,200000,25.42,25.42,25.42,25.42,3946,0
THIR.US,60,20241028,210000,25.41,25.44,25.4,25.4001,1938,0
THIR.US,60,20241029,200000,25.51,25.51,25.5,25.5,15513,0
THIR.US,60,20241030,210000,25.49,25.55,25.4,25.4,84633,0
THIR.US,60,20241031,160000,24.99,24.99,24.94,24.94,1535,0
THIR.US,60,20241031,170000,24.92,24.94,24.92,24.93,2700,0
THIR.US,60,20241031,180000,24.99,24.99,24.98,24.98,1500,0
THIR.US,60,20241031,190000,25.01,25.01,24.93,24.93,4183,0
THIR.US,60,20241031,200000,24.93,24.97,24.93,24.97,2135,0
THIR.US,60,20241031,210000,24.96,25.07,24.89,24.89,22477,0
THIR.US,60,20241101,150000,25.13,25.13,25.13,25.13,700,0
THIR.US,60,20241101,190000,25.12,25.12,25.12,25.12,14563,0
THIR.US,60,20241101,200000,25.08,25.11,25.08,25.11,8981,0
THIR.US,60,20241101,210000,25.17,25.18,25.09,25.1,8704,0
THIR.US,60,20241104,200000,25.02,25.02,25,25.02,33188,0
THIR.US,60,20241104,210000,24.98,25,24.98,25,3039,0
THIR.US,60,20241104,220000,24.98,24.98,24.96,24.96,2252,0
THIR.US,60,20241105,160000,25.05,25.05,25.04,25.04,1300,0
THIR.US,60,20241105,200000,25.25,25.26,25.25,25.26,6835,0
THIR.US,60,20241106,160000,25.892,25.892,25.892,25.892,100,0
THIR.US,60,20241106,190000,25.955,25.955,25.955,25.955,166,0
THIR.US,60,20241106,210000,26.029,26.029,25.99,25.99,1671,0
THIR.US,60,20241106,220000,26.09,26.09,26.09,26.09,100,0
THIR.US,60,20241107,190000,26.22,26.22,26.22,26.22,7762,0
THIR.US,60,20241108,200000,26.21,26.325,26.21,26.31,3901,0
THIR.US,60,20241108,210000,26.375,26.375,26.375,26.375,385,0
THIR.US,60,20241112,200000,26.2,26.2,26.2,26.2,349,0
THIR.US,60,20241112,210000,26.31,26.31,26.31,26.31,1027,0
THIR.US,60,20241112,220000,26.29,26.32,26.29,26.32,6308,0
THIR.US,60,20241113,190000,26.36,26.36,26.36,26.36,1100,0
THIR.US,60,20241114,220000,26.33,26.33,26.09,26.09,16054,0
THIR.US,60,20241115,210000,25.7,25.7,25.69,25.69,562,0
THIR.US,60,20241118,170000,25.77,25.77,25.77,25.77,100,0
THIR.US,60,20241119,210000,25.79,25.91,25.79,25.9,59237,0
THIR.US,60,20241119,220000,25.83,25.865,25.83,25.865,1042,0
THIR.US,60,20241120,190000,25.7701,25.7701,25.7701,25.7701,605,0
THIR.US,60,20241121,210000,25.73,26.1,25.72,26.08,7398,0
THIR.US,60,20241125,180000,26.35,26.3642,26.35,26.3642,500,0
THIR.US,60,20241125,200000,26.32,26.32,26.3001,26.3001,7463,0
THIR.US,60,20241125,220000,26.32,26.36,26.32,26.36,9096,0
THIR.US,60,20241126,160000,26.37,26.37,26.37,26.37,1180,0
THIR.US,60,20241126,190000,26.37,26.37,26.37,26.37,900,0
THIR.US,60,20241126,200000,26.41,26.42,26.41,26.42,2614,0
THIR.US,60,20241126,210000,26.4,26.4,26.4,26.4,644,0
THIR.US,60,20241126,220000,26.48,26.48,26.48,26.48,700,0
THIR.US,60,20241127,190000,26.28,26.29,26.28,26.29,622,0
