<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TIIV.US,60,20250728,170000,24.65,24.65,24.65,24.65,770,0
TIIV.US,60,20250728,180000,24.659,24.659,24.659,24.659,125,0
TIIV.US,60,20250728,210000,24.5635,24.5635,24.5635,24.5635,201,0
TIIV.US,60,20250729,170000,25.43,25.43,25.43,25.43,100,0
TIIV.US,60,20250729,180000,24.6302,24.6302,24.6302,24.6302,182,0
TIIV.US,60,20250729,190000,24.65,24.65,24.65,24.65,500,0
TIIV.US,60,20250729,200000,24.66,24.67,24.66,24.67,600,0
TIIV.US,60,20250730,170000,24.5747,24.5747,24.5747,24.5747,800,0
TIIV.US,60,20250730,220000,24.46,24.51,24.46,24.51,1299,0
TIIV.US,60,20250731,170000,24.32,26.96,24.32,26.96,220,0
TIIV.US,60,20250731,180000,24.33,24.339,24.33,24.339,428,0
TIIV.US,60,20250731,200000,24.32,24.32,24.32,24.32,100,0
TIIV.US,60,20250731,220000,24.27,24.27,24.23,24.23,2620,0
TIIV.US,60,20250801,160000,23.97,23.97,23.97,23.97,100,0
TIIV.US,60,20250804,210000,24.26,24.3099,24.26,24.3099,1000,0
TIIV.US,60,20250804,220000,24.34,24.34,24.34,24.34,1000,0
TIIV.US,60,20250806,190000,24.49,24.49,24.46,24.46,1700,0
TIIV.US,60,20250807,170000,24.75,24.75,24.75,24.75,100,0
TIIV.US,60,20250807,220000,24.71,24.71,24.7,24.7,1600,0
TIIV.US,60,20250811,180000,24.875,24.91,24.875,24.91,3732,0
TIIV.US,60,20250814,210000,25.39,25.4,25.39,25.4,400,0
TIIV.US,60,20250818,190000,25.47,25.56,25.4384,25.4384,2100,0
TIIV.US,60,20250819,180000,25.47,25.47,25.47,25.47,1000,0
TIIV.US,60,20250821,190000,25.41,25.41,25.41,25.41,106,0
TIIV.US,60,20250821,200000,25.41,25.42,25.41,25.42,524,0
TIIV.US,60,20250825,220000,25.8,25.8,25.5558,25.5558,487,0
TIIV.US,60,20250827,180000,25.27,25.27,25.27,25.27,7850,0
TIIV.US,60,20250828,200000,25.4323,25.52,25.4323,25.4499,1600,0
TIIV.US,60,20250910,210000,25.17,25.87,25.17,25.87,1557,0
TIIV.US,60,20250915,200000,26.1684,26.1684,26.1684,26.1684,200,0
TIIV.US,60,20250918,170000,26.12,26.12,26.12,26.12,100,0
TIIV.US,60,20250918,210000,26.18,26.2,26.18,26.2,200,0
TIIV.US,60,20250919,180000,26.09,26.09,26.09,26.09,100,0
TIIV.US,60,20250922,170000,26.03,26.03,26.03,26.03,100,0
TIIV.US,60,20250924,180000,26.17,26.17,26.17,26.17,100,0
TIIV.US,60,20250926,170000,26.01,26.01,26.0099,26.0099,250,0
TIIV.US,60,20250930,180000,26.09,26.19,26.09,26.19,200,0
TIIV.US,60,20251002,170000,26.39,26.3985,26.35,26.35,839,0
TIIV.US,60,20251010,180000,26.57,26.57,25.9,25.9,973,0
TIIV.US,60,20251010,200000,25.65,25.65,25.6499,25.6499,620,0
TIIV.US,60,20251015,170000,26.13,26.13,26.13,26.13,100,0
TIIV.US,60,20251016,180000,26.11,26.11,26.11,26.11,100,0
TIIV.US,60,20251016,210000,26.05,26.05,26.05,26.05,100,0
TIIV.US,60,20251017,170000,25.94,25.94,25.94,25.94,100,0
TIIV.US,60,20251017,180000,25.94,25.94,25.94,25.94,200,0
TIIV.US,60,20251031,200000,26.1648,26.1648,26.1648,26.1648,784,0
TIIV.US,60,20251103,190000,26.23,26.34,26.2299,26.34,1300,0
TIIV.US,60,20251106,180000,26.36,26.36,26.36,26.36,150,0
TIIV.US,60,20251113,220000,26.81,26.81,26.81,26.81,100,0
TIIV.US,60,20251117,170000,26.68,26.83,26.6,26.6,1950,0
TIIV.US,60,20251117,210000,26.425,26.425,26.425,26.425,100,0
TIIV.US,60,20251118,160000,26.12,26.12,26.12,26.12,1916,0
TIIV.US,60,20251118,170000,26.03,26.03,26.03,26.03,100,0
TIIV.US,60,20251118,210000,26.17,26.17,26.1699,26.1699,200,0
TIIV.US,60,20251119,220000,26,26,26,26,1700,0
TIIV.US,60,20251121,210000,26.07,26.07,26.07,26.07,100,0
TIIV.US,60,20251126,200000,26.437,26.78,26.437,26.78,201,0
TIIV.US,60,20251208,190000,26.99,26.9901,26.94,26.94,1750,0
TIIV.US,60,20251211,180000,27.14,27.45,27.1399,27.4499,3226,0
TIIV.US,60,20251216,160000,27.45,27.45,27.45,27.45,1321,0
TIIV.US,60,20251216,170000,27.361,27.37,27.361,27.37,460,0
TIIV.US,60,20251217,190000,27.13,27.21,27.07,27.21,3321,0
TIIV.US,60,20251219,200000,27.56,27.56,27.56,27.56,100,0
TIIV.US,60,20251219,210000,27.545,27.57,27.545,27.57,597,0
