<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TSLI.US,60,20250910,220000,25.205,25.205,25.205,25.205,1000,0
TSLI.US,60,20250911,160000,25.45,25.45,25.45,25.45,100,0
TSLI.US,60,20250911,170000,26.57,26.86,26.57,26.86,300,0
TSLI.US,60,20250911,190000,27.33,27.33,27.33,27.33,100,0
TSLI.US,60,20250911,200000,27.7,27.71,27.7,27.71,632,0
TSLI.US,60,20250911,220000,27.98,27.98,27.98,27.98,100,0
TSLI.US,60,20250912,160000,29.61,30.96,29.61,30.96,2162,0
TSLI.US,60,20250912,190000,32.08,32.1701,32.08,32.1701,300,0
TSLI.US,60,20250912,200000,31.919,31.979,31.919,31.979,1500,0
TSLI.US,60,20250912,220000,32.25,32.25,32.25,32.25,200,0
TSLI.US,60,20250915,160000,36,36.184,35.6,35.97,1501,0
TSLI.US,60,20250915,170000,36.12,36.12,35.59,35.59,300,0
TSLI.US,60,20250915,180000,36.47,36.47,36.42,36.42,1000,0
TSLI.US,60,20250915,190000,36.325,36.325,36.06,36.295,2148,0
TSLI.US,60,20250915,210000,35.39,35.4,33.55,34.145,13613,0
TSLI.US,60,20250916,160000,35.06,35.06,35.06,35.06,100,0
TSLI.US,60,20250916,170000,35.7,36.29,35.7,36.29,1367,0
TSLI.US,60,20250916,180000,35.92,35.92,35.92,35.92,100,0
TSLI.US,60,20250916,200000,36.34,36.34,36.12,36.12,200,0
TSLI.US,60,20250916,210000,36.0565,36.0565,36.0565,36.0565,500,0
TSLI.US,60,20250917,160000,34.76,35.465,34.76,35.43,2371,0
TSLI.US,60,20250917,170000,35.55,35.559,34.9,35.255,1673,0
TSLI.US,60,20250917,180000,36.1137,36.1137,36.1137,36.1137,100,0
TSLI.US,60,20250917,190000,35.93,35.9649,35.93,35.9649,1000,0
TSLI.US,60,20250917,200000,36.0805,36.0805,36.0805,36.0805,250,0
TSLI.US,60,20250917,210000,35.48,35.6,35.2,35.4,2994,0
TSLI.US,60,20250917,220000,36.85,36.86,36.8,36.835,3982,0
TSLI.US,60,20250918,160000,37.17,37.64,37.17,37.64,700,0
TSLI.US,60,20250918,170000,37.58,37.58,37.58,37.58,529,0
TSLI.US,60,20250918,180000,37.2984,37.31,37.2984,37.31,1100,0
TSLI.US,60,20250918,190000,36.48,36.48,36.48,36.48,152,0
TSLI.US,60,20250918,210000,36.892,36.892,36.892,36.892,165,0
TSLI.US,60,20250919,160000,37.55,37.55,37.12,37.14,1800,0
TSLI.US,60,20250919,170000,37.565,37.565,37.02,37.02,581,0
TSLI.US,60,20250919,180000,36.74,36.74,36.68,36.68,1000,0
TSLI.US,60,20250919,200000,36.7908,36.7908,36.7555,36.7555,1000,0
TSLI.US,60,20250919,210000,37.1412,37.1412,37.1217,37.1217,200,0
TSLI.US,60,20250922,160000,38.6684,39.4701,38.6684,39.4701,1000,0
TSLI.US,60,20250922,170000,40.1,40.27,40.1,40.11,8068,0
TSLI.US,60,20250922,180000,39.65,39.92,39.635,39.635,628,0
TSLI.US,60,20250922,190000,39.47,39.47,39,39,300,0
TSLI.US,60,20250922,200000,38.2999,38.2999,37.89,37.89,1345,0
TSLI.US,60,20250922,210000,38.45,38.477,38.45,38.477,2638,0
TSLI.US,60,20250922,220000,38.5,38.5,38.5,38.5,100,0
TSLI.US,60,20250923,160000,39.06,39.06,39.06,39.06,100,0
TSLI.US,60,20250923,170000,39.01,39.01,38.65,38.65,200,0
TSLI.US,60,20250923,190000,38.54,38.54,38.54,38.54,100,0
TSLI.US,60,20250923,200000,38.83,38.85,37.5,37.5,7709,0
TSLI.US,60,20250923,210000,37.52,37.52,37.169,37.1801,2400,0
TSLI.US,60,20250923,220000,37.36,37.68,37.36,37.68,2535,0
TSLI.US,60,20250924,160000,38.22,38.99,38.22,38.9899,6930,0
TSLI.US,60,20250924,170000,38.77,39.61,38.77,39.4012,2438,0
TSLI.US,60,20250924,180000,39.469,39.5,39.305,39.5,400,0
TSLI.US,60,20250924,190000,39.05,39.06,39.05,39.06,200,0
